Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016
BBr6300	1	1	[M]Chronic myeloid leukaemia		[M] Cancer	Blood	CML
BBrA400	1	1	[M]Hairy cell leukaemia		[M] Cancer	Blood	HCL
BBrA500	1	1	[M]Acute megakaryoblastic leukaemia		[M] Cancer	Blood	LEU
BBrA700	2	2	[M]Acute myelofibrosis		[M] Cancer	Blood	na
BBrz.00	3	3	[M]Leukaemia NOS		[M] Cancer	Blood	LEU
BBs..00	3	3	[M]Misc myeloproliferative and lymphoproliferative disorders		[M] Cancer	Blood	na
BBs0.00	39	31	[M]Polycythaemia vera		[M] Cancer	Blood	PV
BBs0.11	2	2	[M]Polycythaemia rubra vera		[M] Cancer	Blood	PV
BBs2.00	4	4	[M]Chronic myeloproliferative disease		[M] Cancer	Blood	CML
BBs4.00	8	5	[M]Idiopathic thrombocythaemia		[M] Benign	Blood	na
BBs5.00	35	31	[M]Chronic lymphoproliferative disease		[M] Cancer	Blood	na
BBsz.00	3	3	[M]Misc myeloproliferative or lymphoproliferative dis NOS		[M] Cancer	Blood	na
BBT2.00	60	56	[M]Cavernous haemangioma		[M] Benign	na	na
BBv..00	110	99	[M]Myelodysplastic syndrome		[M] Cancer	Blood	MDS
BBW0.00	23	19	[M]Osteochondroma		[M] Benign	na	na
BBW0.11	1	1	[M]Cartilaginous exostosis	considered synonymous with Osteochondroma.	[M] Benign	na	na
BBW0.13	37	36	[M]Osteocartilaginous exostosis		[M] Benign	na	na
BBY2.00	2	2	[M]Ossifying fibroma		[M] Benign	na	na
By...00	4	4	Neoplasms otherwise specified		Cancer	na	na
Byu1100	5	5	[X]Other specified carcinomas of liver		Cancer	Liver	Liver
Byu2.00	16	16	[X]Malignant neoplasm of respiratory and intrathoracic orga		Cancer	Respiratory tract 	na
Byu2000	6	6	[X]Malignant neoplasm of bronchus or lung, unspecified		Cancer	lung	lung
Byu4.00	30	23	[X]Melanoma and other malignant neoplasms of skin		[M] Cancer	Melanoma	Skin
Byu5011	13	13	[X]Mesothelioma of lung		Cancer	lung	lung
Byu5A00	3	3	[X]Malignant neoplasm overlapping lesion of skin		[M] Cancer	Skin	Skin
Byu6.00	102	100	[X]Malignant neoplasm of breast		Cancer	Breast	Breast
ByuC300	7	7	[X]Secondary malignant neoplasm/oth+unspc respiratory organs		Metastases To	na	na
ByuC400	3	3	[X]Secondary malignant neoplasm/oth+unspcfd digestive organs		Metastases To	Digestive System	na
ByuC600	3	3	[X]2ndry malignant neoplasm/oth+unspec parts/nervous system		Metastases To	na	na
ByuC700	25	25	[X]Secondary malignant neoplasm of other specified sites		Metastases To	na	na
ByuD.00	4	4	[X]Malignant neoplasms of lymphoid, haematopoietic and rela		Cancer	Blood	UNS
ByuD000	2	2	[X]Other Hodgkin's disease		Cancer	Blood	HODG
ByuD100	1	1	[X]Other types of follicular non-Hodgkin's lymphoma		Cancer	Blood	NHL
ByuD300	1	1	[X]Other specified types of non-Hodgkin's lymphoma		Cancer	Blood	NHL
ByuD500	2	2	[X]Other lymphoid leukaemia		Cancer	Blood	LEU
ByuD600	4	4	[X]Other myeloid leukaemia		Cancer	Blood	LEU
ByuD800	1	1	[X]Other specified leukaemias		Cancer	Blood	LEU
ByuDE00	2	1	[X]Unspecified B-cell non-Hodgkin's lymphoma		Cancer	Blood	NHL
ByuDF00	11	10	[X]Non-Hodgkin's lymphoma, unspecified type		Cancer	Blood	NHL
ByuDF11	21	20	[X]Non-Hodgkin's lymphoma NOS		Cancer	Blood	NHL
ByuFA00	1	1	[X]Carcinoma in situ of other parts of cervix		[M] CIS	Uterus	Cervix Uteri
ByuFF00	2	2	[X]Melanoma in situ, unspecified		[M] CIS	Melanoma	Skin
ByuFG00	1	1	[X]Other carcinoma in situ of breast		[M] CIS	Breast	Breast
ByuHD00	1	1	[X]Myelodysplastic syndrome, unspecified		Cancer	Blood	MDS
Bz...00	36	35	Neoplasms NOS		Ca_bg	na	na
ZV10016	0	0	[V]Personal history of malignant neoplasm of oesophagus		tumor;oeso	Cancer	oeso
ZV10018	0	0	[V]Personal history of malignant neoplasm of stomach		tumor;stom	Cancer	stom
