ndc	atc	description
11822-3534-10	N02BE	Anilides
11822-3534-50	N07BA	Drugs used in nicotine dependence
11822-3534-60	N07BA	Drugs used in nicotine dependence
11822-3580-90	G02CC	Antiinflammatory products for vaginal administration
11822-3580-90	M01AE	Propionic acid derivatives
11822-3580-90	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3582-40	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3582-40	A07AC	Imidazole derivatives
11822-3582-40	D01AC	Imidazole and triazole derivatives
11822-3582-40	G01AF	Imidazole derivatives
11822-3582-40	J02AB	Imidazole derivatives
11822-3582-40	S02AA	Antiinfectives
11822-3587-70	D06AX	Other antibiotics for topical use
11822-3587-70	J01XX	Other antibacterials
11822-3587-70	R02AB	Antibiotics
11822-3587-70	A07AA	Antibiotics
11822-3587-70	J01XB	Polymyxins
11822-3587-70	S01AA	Antibiotics
11822-3587-70	S02AA	Antiinfectives
11822-3587-70	S03AA	Antiinfectives
11822-3587-80	A01AC	Corticosteroids for local oral treatment
11822-3587-80	A07EA	Corticosteroids acting locally
11822-3587-80	C05AA	Corticosteroids
11822-3587-80	D07AA	Corticosteroids, weak (group I)
11822-3587-80	D07XA	Corticosteroids, weak, other combinations
11822-3587-80	H02AB	Glucocorticoids
11822-3587-80	S01BA	Corticosteroids, plain
11822-3587-80	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-3587-80	S02BA	Corticosteroids
11822-3588-90	A11GA	Ascorbic acid (vitamin C), plain
11822-3588-90	G01AD	Organic acids
11822-3588-90	S01XA	Other ophthalmologicals
11822-3592-20	A06AB	Contact laxatives
11822-3612-60	A02AC	Calcium compounds
11822-3612-60	A12AA	Calcium
11822-3613-00	A06AB	Contact laxatives
11822-3615-30	A01AD	Other agents for local oral treatment
11822-3615-30	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3615-30	N02BA	Salicylic acid and derivatives
11822-3615-70	A01AD	Other agents for local oral treatment
11822-3615-70	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3615-70	N02BA	Salicylic acid and derivatives
11822-3615-70	N02BE	Anilides
11822-3615-70	N06BC	Xanthine derivatives
11822-3615-80	A01AD	Other agents for local oral treatment
11822-3615-80	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3615-80	N02BA	Salicylic acid and derivatives
11822-3615-80	N02BE	Anilides
11822-3615-80	N06BC	Xanthine derivatives
11822-3615-90	C01EB	Other cardiac preparations
11822-3615-90	G02CC	Antiinflammatory products for vaginal administration
11822-3615-90	M01AE	Propionic acid derivatives
11822-3615-90	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3615-90	R02AX	Other throat preparations
11822-3616-00	C01EB	Other cardiac preparations
11822-3616-00	G02CC	Antiinflammatory products for vaginal administration
11822-3616-00	M01AE	Propionic acid derivatives
11822-3616-00	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3616-00	R02AX	Other throat preparations
11822-3632-60	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-3632-90	N05CH	Melatonin receptor agonists
11822-3650-10	C01EB	Other cardiac preparations
11822-3650-10	G02CC	Antiinflammatory products for vaginal administration
11822-3650-10	M01AE	Propionic acid derivatives
11822-3650-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3650-10	R02AX	Other throat preparations
11822-3650-30	C01EB	Other cardiac preparations
11822-3650-30	G02CC	Antiinflammatory products for vaginal administration
11822-3650-30	M01AE	Propionic acid derivatives
11822-3650-30	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3650-30	R02AX	Other throat preparations
11822-3650-50	C01EB	Other cardiac preparations
11822-3650-50	G02CC	Antiinflammatory products for vaginal administration
11822-3650-50	M01AE	Propionic acid derivatives
11822-3650-50	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3650-50	R02AX	Other throat preparations
11822-3650-70	C01EB	Other cardiac preparations
11822-3650-70	G02CC	Antiinflammatory products for vaginal administration
11822-3650-70	M01AE	Propionic acid derivatives
11822-3650-70	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3650-70	R02AX	Other throat preparations
11822-3650-80	C01EB	Other cardiac preparations
11822-3650-80	G02CC	Antiinflammatory products for vaginal administration
11822-3650-80	M01AE	Propionic acid derivatives
11822-3650-80	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3650-80	R02AX	Other throat preparations
11822-3656-70	N02BE	Anilides
11822-3678-80	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3678-80	B05CA	Antiinfectives
11822-3678-80	D08AC	Biguanides and amidines
11822-3678-80	D09AA	Medicated dressings with antiinfectives
11822-3678-80	R02AA	Antiseptics
11822-3678-80	S01AX	Other antiinfectives
11822-3678-80	S02AA	Antiinfectives
11822-3678-80	S03AA	Antiinfectives
11822-3680-30	A01AD	Other agents for local oral treatment
11822-3680-30	B01AC	Platelet aggregation inhibitors excl. heparin
11822-3680-30	N02BA	Salicylic acid and derivatives
11822-3701-60	C01EB	Other cardiac preparations
11822-3705-90	D08AX	Other antiseptics and disinfectants
11822-3708-60	G04BX	Other urologicals
11822-3714-70	C01EB	Other cardiac preparations
11822-3714-70	G02CC	Antiinflammatory products for vaginal administration
11822-3714-70	M01AE	Propionic acid derivatives
11822-3714-70	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3714-70	R02AX	Other throat preparations
11822-3714-80	N02BE	Anilides
11822-3721-30	A06AC	Bulk-forming laxatives
11822-3722-70	C05AD	Local anesthetics
11822-3722-70	D04AB	Anesthetics for topical use
11822-3722-90	D08AX	Other antiseptics and disinfectants
11822-3723-90	A01AC	Corticosteroids for local oral treatment
11822-3723-90	A07EA	Corticosteroids acting locally
11822-3723-90	C05AA	Corticosteroids
11822-3723-90	D07AA	Corticosteroids, weak (group I)
11822-3723-90	D07XA	Corticosteroids, weak, other combinations
11822-3723-90	H02AB	Glucocorticoids
11822-3723-90	S01BA	Corticosteroids, plain
11822-3723-90	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-3723-90	S02BA	Corticosteroids
11822-3724-10	C05AD	Local anesthetics
11822-3724-10	D04AB	Anesthetics for topical use
11822-3724-10	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3724-10	A07AA	Antibiotics
11822-3724-10	B05CA	Antiinfectives
11822-3724-10	D06AX	Other antibiotics for topical use
11822-3724-10	J01GB	Other aminoglycosides
11822-3724-10	R02AB	Antibiotics
11822-3724-10	S01AA	Antibiotics
11822-3724-10	S02AA	Antiinfectives
11822-3724-10	S03AA	Antiinfectives
11822-3724-10	J01XB	Polymyxins
11822-3727-30	A02BA	H2-receptor antagonists
11822-3727-60	A02AB	Aluminium compounds
11822-3727-60	A02AA	Magnesium compounds
11822-3727-60	G04BX	Other urologicals
11822-3727-80	R06AE	Piperazine derivatives
11822-3727-90	A02AC	Calcium compounds
11822-3727-90	A12AA	Calcium
11822-3728-20	A02AC	Calcium compounds
11822-3728-20	A12AA	Calcium
11822-3730-00	C01EB	Other cardiac preparations
11822-3730-00	G02CC	Antiinflammatory products for vaginal administration
11822-3730-00	M01AE	Propionic acid derivatives
11822-3730-00	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-3730-00	R02AX	Other throat preparations
11822-3822-70	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-3822-70	A07AC	Imidazole derivatives
11822-3822-70	D01AC	Imidazole and triazole derivatives
11822-3822-70	G01AF	Imidazole derivatives
11822-3822-70	J02AB	Imidazole derivatives
11822-3822-70	S02AA	Antiinfectives
11822-3823-10	D04AA	Antihistamines for topical use
11822-3823-10	R06AA	Aminoalkyl ethers
11822-3865-10	A02BA	H2-receptor antagonists
11822-3865-20	A02BA	H2-receptor antagonists
11822-3865-60	R01AA	Sympathomimetics, plain
11822-3865-60	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-3865-60	S01GA	Sympathomimetics used as decongestants
11822-3865-60	D04AA	Antihistamines for topical use
11822-3865-60	R06AB	Substituted alkylamines
11822-3865-70	A02BA	H2-receptor antagonists
11822-3865-90	A02BA	H2-receptor antagonists
11822-3887-20	N02BE	Anilides
11822-3894-70	D04AA	Antihistamines for topical use
11822-3894-70	R06AA	Aminoalkyl ethers
11822-3953-20	A06AB	Contact laxatives
11822-3953-20	A06AG	Enemas
11822-4042-60	A02BC	Proton pump inhibitors
11822-4222-40	N07BA	Drugs used in nicotine dependence
11822-4409-80	A07DA	Antipropulsives
11822-4471-00	D04AA	Antihistamines for topical use
11822-4471-00	R06AA	Aminoalkyl ethers
11822-4471-90	A11CC	Vitamin D and analogues
11822-4495-80	C01EB	Other cardiac preparations
11822-4525-90	N07BA	Drugs used in nicotine dependence
11822-4526-00	N07BA	Drugs used in nicotine dependence
11822-4526-10	N07BA	Drugs used in nicotine dependence
11822-4526-20	N07BA	Drugs used in nicotine dependence
11822-4526-30	N07BA	Drugs used in nicotine dependence
11822-4535-70	A02BA	H2-receptor antagonists
11822-4535-80	A02BA	H2-receptor antagonists
11822-4535-90	A02BA	H2-receptor antagonists
11822-4543-50	D04AA	Antihistamines for topical use
11822-4543-50	R06AA	Aminoalkyl ethers
11822-4601-50	D04AA	Antihistamines for topical use
11822-4601-50	R06AA	Aminoalkyl ethers
11822-4699-30	R06AE	Piperazine derivatives
11822-4709-50	D01AE	Other antifungals for topical use
11822-4712-50	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-4712-50	D01AC	Imidazole and triazole derivatives
11822-4712-50	G01AF	Imidazole derivatives
11822-4890-90	A06AB	Contact laxatives
11822-4890-90	A06AG	Enemas
11822-4891-70	A02AC	Calcium compounds
11822-4891-70	A12AA	Calcium
11822-4892-00	A07DA	Antipropulsives
11822-4892-20	A06AA	Softeners, emollients
11822-4892-30	A06AB	Contact laxatives
11822-4892-50	A06AB	Contact laxatives
11822-4892-50	A06AG	Enemas
11822-4892-80	G04BX	Other urologicals
11822-4893-70	G02CC	Antiinflammatory products for vaginal administration
11822-4893-70	M01AE	Propionic acid derivatives
11822-4893-70	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-4893-80	C01EB	Other cardiac preparations
11822-4893-80	G02CC	Antiinflammatory products for vaginal administration
11822-4893-80	M01AE	Propionic acid derivatives
11822-4893-80	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-4893-80	R02AX	Other throat preparations
11822-4894-00	A01AD	Other agents for local oral treatment
11822-4894-00	B01AC	Platelet aggregation inhibitors excl. heparin
11822-4894-00	N02BA	Salicylic acid and derivatives
11822-4894-00	N02BE	Anilides
11822-4894-00	N06BC	Xanthine derivatives
11822-4894-10	A01AD	Other agents for local oral treatment
11822-4894-10	B01AC	Platelet aggregation inhibitors excl. heparin
11822-4894-10	N02BA	Salicylic acid and derivatives
11822-4894-20	C01EB	Other cardiac preparations
11822-4894-20	G02CC	Antiinflammatory products for vaginal administration
11822-4894-20	M01AE	Propionic acid derivatives
11822-4894-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-4894-20	R02AX	Other throat preparations
11822-4894-30	R06AA	Aminoalkyl ethers
11822-4894-70	D04AA	Antihistamines for topical use
11822-4894-70	R06AA	Aminoalkyl ethers
11822-4894-80	C01EB	Other cardiac preparations
11822-4894-80	G02CC	Antiinflammatory products for vaginal administration
11822-4894-80	M01AE	Propionic acid derivatives
11822-4894-80	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-4894-80	R02AX	Other throat preparations
11822-4896-60	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-4896-70	A11CC	Vitamin D and analogues
11822-4897-10	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-4897-20	A11CC	Vitamin D and analogues
11822-4897-30	A11HA	Other plain vitamin preparations
11822-4897-40	N05CH	Melatonin receptor agonists
11822-4899-50	A11HA	Other plain vitamin preparations
11822-4899-90	A11CC	Vitamin D and analogues
11822-4900-00	A11CC	Vitamin D and analogues
11822-4930-10	B03AA	Iron bivalent, oral preparations
11822-4930-10	B03AD	Iron in combination with folic acid
11822-5048-60	R06AX	Other antihistamines for systemic use
11822-5048-60	R01BA	Sympathomimetics
11822-5051-80	A02BA	H2-receptor antagonists
11822-5052-10	A02BA	H2-receptor antagonists
11822-5052-20	A02BA	H2-receptor antagonists
11822-5052-50	A02BC	Proton pump inhibitors
11822-5052-53	A02BC	Proton pump inhibitors
11822-5052-60	A02BC	Proton pump inhibitors
11822-5052-70	A02BC	Proton pump inhibitors
11822-5052-77	A02BC	Proton pump inhibitors
11822-5053-70	R06AE	Piperazine derivatives
11822-5053-80	R06AE	Piperazine derivatives
11822-5053-90	R06AE	Piperazine derivatives
11822-5054-00	R06AE	Piperazine derivatives
11822-5054-00	R01BA	Sympathomimetics
11822-5054-10	R06AE	Piperazine derivatives
11822-5054-10	R01BA	Sympathomimetics
11822-5055-30	A02AA	Magnesium compounds
11822-5055-30	G04BX	Other urologicals
11822-5055-50	A06AA	Softeners, emollients
11822-5058-50	R06AX	Other antihistamines for systemic use
11822-5058-50	S01GX	Other antiallergics
11822-5059-50	C01EB	Other cardiac preparations
11822-5059-50	G02CC	Antiinflammatory products for vaginal administration
11822-5059-50	M01AE	Propionic acid derivatives
11822-5059-50	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-5059-50	R02AX	Other throat preparations
11822-5059-60	D04AA	Antihistamines for topical use
11822-5059-60	R06AA	Aminoalkyl ethers
11822-5059-70	R06AE	Piperazine derivatives
11822-5059-90	N02BE	Anilides
11822-5060-00	A01AD	Other agents for local oral treatment
11822-5060-00	B01AC	Platelet aggregation inhibitors excl. heparin
11822-5060-00	N02BA	Salicylic acid and derivatives
11822-5060-40	N02BE	Anilides
11822-5060-50	C01EB	Other cardiac preparations
11822-5060-50	G02CC	Antiinflammatory products for vaginal administration
11822-5060-50	M01AE	Propionic acid derivatives
11822-5060-50	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-5060-50	R02AX	Other throat preparations
11822-5106-30	C01EB	Other cardiac preparations
11822-5106-30	G02CC	Antiinflammatory products for vaginal administration
11822-5106-30	M01AE	Propionic acid derivatives
11822-5106-30	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-5106-30	R02AX	Other throat preparations
11822-5108-40	D04AA	Antihistamines for topical use
11822-5108-40	R06AA	Aminoalkyl ethers
11822-5108-80	N02BE	Anilides
11822-5110-40	A06AA	Softeners, emollients
11822-5111-20	N05CH	Melatonin receptor agonists
11822-5111-40	A11GA	Ascorbic acid (vitamin C), plain
11822-5111-40	G01AD	Organic acids
11822-5111-40	S01XA	Other ophthalmologicals
11822-5111-50	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-5112-00	A11CC	Vitamin D and analogues
11822-5112-10	A11CC	Vitamin D and analogues
11822-5112-20	A11CC	Vitamin D and analogues
11822-5113-20	N02BE	Anilides
11822-5113-50	N02BE	Anilides
11822-5113-50	N06BC	Xanthine derivatives
11822-5113-50	D04AA	Antihistamines for topical use
11822-5113-50	R06AC	Substituted ethylene diamines
11822-5126-70	A06AA	Softeners, emollients
11822-5128-30	N02BE	Anilides
11822-5128-80	C01EB	Other cardiac preparations
11822-5128-80	G02CC	Antiinflammatory products for vaginal administration
11822-5128-80	M01AE	Propionic acid derivatives
11822-5128-80	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-5128-80	R02AX	Other throat preparations
11822-5136-10	C01EB	Other cardiac preparations
11822-5156-60	D08AX	Other antiseptics and disinfectants
11822-5175-30	C04AC	Nicotinic acid and derivatives
11822-5175-30	C10AD	Nicotinic acid and derivatives
11822-5175-50	A11GA	Ascorbic acid (vitamin C), plain
11822-5175-50	G01AD	Organic acids
11822-5175-50	S01XA	Other ophthalmologicals
11822-5175-60	A11CC	Vitamin D and analogues
11822-5175-70	N05CH	Melatonin receptor agonists
11822-5222-50	N07BA	Drugs used in nicotine dependence
11822-5240-90	A11HA	Other plain vitamin preparations
11822-5259-30	R06AB	Substituted alkylamines
11822-5259-30	R05DA	Opium alkaloids and derivatives
11822-5259-30	C01CA	Adrenergic and dopaminergic agents
11822-5259-30	R01AA	Sympathomimetics, plain
11822-5259-30	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5259-30	R01BA	Sympathomimetics
11822-5259-30	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5259-30	S01GA	Sympathomimetics used as decongestants
11822-5259-60	R05DA	Opium alkaloids and derivatives
11822-5259-60	R05CA	Expectorants
11822-5259-60	C01CA	Adrenergic and dopaminergic agents
11822-5259-60	R01AA	Sympathomimetics, plain
11822-5259-60	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5259-60	R01BA	Sympathomimetics
11822-5259-60	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5259-60	S01GA	Sympathomimetics used as decongestants
11822-5259-70	R05DA	Opium alkaloids and derivatives
11822-5259-70	R05CA	Expectorants
11822-5259-70	C01CA	Adrenergic and dopaminergic agents
11822-5259-70	R01AA	Sympathomimetics, plain
11822-5259-70	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5259-70	R01BA	Sympathomimetics
11822-5259-70	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5259-70	S01GA	Sympathomimetics used as decongestants
11822-5259-80	R05DA	Opium alkaloids and derivatives
11822-5259-80	R05CA	Expectorants
11822-5259-80	C01CA	Adrenergic and dopaminergic agents
11822-5259-80	R01AA	Sympathomimetics, plain
11822-5259-80	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5259-80	R01BA	Sympathomimetics
11822-5259-80	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5259-80	S01GA	Sympathomimetics used as decongestants
11822-5270-60	R06AB	Substituted alkylamines
11822-5270-60	R05DA	Opium alkaloids and derivatives
11822-5270-60	C01CA	Adrenergic and dopaminergic agents
11822-5270-60	R01AA	Sympathomimetics, plain
11822-5270-60	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5270-60	R01BA	Sympathomimetics
11822-5270-60	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5270-60	S01GA	Sympathomimetics used as decongestants
11822-5271-20	R06AX	Other antihistamines for systemic use
11822-5279-30	A02BA	H2-receptor antagonists
11822-5279-40	A02BA	H2-receptor antagonists
11822-5279-50	A02BA	H2-receptor antagonists
11822-5366-60	A06AG	Enemas
11822-5366-60	A06AX	Other drugs for constipation
11822-5375-20	A02BC	Proton pump inhibitors
11822-5381-20	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-5381-20	D01AC	Imidazole and triazole derivatives
11822-5381-20	G01AF	Imidazole derivatives
11822-5381-30	A01AC	Corticosteroids for local oral treatment
11822-5381-30	A07EA	Corticosteroids acting locally
11822-5381-30	C05AA	Corticosteroids
11822-5381-30	D07AA	Corticosteroids, weak (group I)
11822-5381-30	D07XA	Corticosteroids, weak, other combinations
11822-5381-30	H02AB	Glucocorticoids
11822-5381-30	S01BA	Corticosteroids, plain
11822-5381-30	S01CB	Corticosteroids/antiinfectives/mydriatics in combination
11822-5381-30	S02BA	Corticosteroids
11822-5381-50	A12CA	Sodium
11822-5381-50	B05CB	Salt solutions
11822-5381-50	B05XA	Electrolyte solutions
11822-5406-00	A11CC	Vitamin D and analogues
11822-5406-00	A12AA	Calcium
11822-5458-10	A12CA	Sodium
11822-5458-10	B05CB	Salt solutions
11822-5458-10	B05XA	Electrolyte solutions
11822-5460-90	A01AB	Antiinfectives and antiseptics for local oral treatment
11822-5460-90	A07AC	Imidazole derivatives
11822-5460-90	D01AC	Imidazole and triazole derivatives
11822-5460-90	G01AF	Imidazole derivatives
11822-5460-90	J02AB	Imidazole derivatives
11822-5460-90	S02AA	Antiinfectives
11822-5478-90	A11CC	Vitamin D and analogues
11822-5498-70	A11CC	Vitamin D and analogues
11822-5589-30	N07BA	Drugs used in nicotine dependence
11822-5589-60	N07BA	Drugs used in nicotine dependence
11822-5643-90	R05CA	Expectorants
11822-5717-60	N02BE	Anilides
11822-5717-80	A01AD	Other agents for local oral treatment
11822-5717-80	B01AC	Platelet aggregation inhibitors excl. heparin
11822-5717-80	N02BA	Salicylic acid and derivatives
11822-5718-00	R06AX	Other antihistamines for systemic use
11822-5718-10	R06AX	Other antihistamines for systemic use
11822-5730-70	R05DA	Opium alkaloids and derivatives
11822-5730-70	R05CA	Expectorants
11822-5730-70	C01CA	Adrenergic and dopaminergic agents
11822-5730-70	R01AA	Sympathomimetics, plain
11822-5730-70	R01AB	Sympathomimetics, combinations excl. corticosteroids
11822-5730-70	R01BA	Sympathomimetics
11822-5730-70	S01FB	Sympathomimetics excl. antiglaucoma preparations
11822-5730-70	S01GA	Sympathomimetics used as decongestants
11822-5731-20	N07BA	Drugs used in nicotine dependence
11822-5731-70	R06AE	Piperazine derivatives
11822-5732-60	N07BA	Drugs used in nicotine dependence
11822-5732-70	N07BA	Drugs used in nicotine dependence
11822-5732-80	N07BA	Drugs used in nicotine dependence
11822-5732-90	N07BA	Drugs used in nicotine dependence
11822-5733-30	R06AX	Other antihistamines for systemic use
11822-5733-30	R01BA	Sympathomimetics
11822-5733-40	R06AX	Other antihistamines for systemic use
11822-5733-40	R01BA	Sympathomimetics
11822-5735-10	A02BC	Proton pump inhibitors
11822-5735-20	A02BC	Proton pump inhibitors
11822-5735-30	A02BC	Proton pump inhibitors
11822-5736-30	R06AE	Piperazine derivatives
11822-5739-20	A06AA	Softeners, emollients
11822-5740-70	A02BC	Proton pump inhibitors
11822-5742-00	A02AB	Aluminium compounds
11822-5742-00	A02AA	Magnesium compounds
11822-5742-00	G04BX	Other urologicals
11822-5742-80	A01AD	Other agents for local oral treatment
11822-5742-80	B01AC	Platelet aggregation inhibitors excl. heparin
11822-5742-80	N02BA	Salicylic acid and derivatives
11822-5742-80	N02BE	Anilides
11822-5742-80	N06BC	Xanthine derivatives
11822-5743-00	N02BE	Anilides
11822-5743-00	N06BC	Xanthine derivatives
11822-5743-10	A01AD	Other agents for local oral treatment
11822-5743-10	B01AC	Platelet aggregation inhibitors excl. heparin
11822-5743-10	N02BA	Salicylic acid and derivatives
11822-5743-10	N02BE	Anilides
11822-5743-10	N06BC	Xanthine derivatives
11822-5744-00	A01AD	Other agents for local oral treatment
11822-5744-00	B01AC	Platelet aggregation inhibitors excl. heparin
11822-5744-00	N02BA	Salicylic acid and derivatives
11822-5744-00	N02BE	Anilides
11822-5744-00	N06BC	Xanthine derivatives
11822-5756-90	N07BA	Drugs used in nicotine dependence
11822-5757-00	N07BA	Drugs used in nicotine dependence
11822-5760-00	A16AA	Amino acids and derivatives
11822-5760-20	A12CB	Zinc
11822-5760-30	A02AA	Magnesium compounds
11822-5760-30	A06AD	Osmotically acting laxatives
11822-5760-30	A12CC	Magnesium
11822-5760-40	A16AA	Amino acids and derivatives
11822-5760-60	B03BB	Folic acid and derivatives
11822-5760-60	V04CX	Other diagnostic agents
11822-5760-70	A11CA	Vitamin A, plain
11822-5760-70	D10AD	Retinoids for topical use in acne
11822-5760-70	R01AX	Other nasal preparations
11822-5760-70	S01XA	Other ophthalmologicals
11822-5760-70	A11CC	Vitamin D and analogues
11822-5761-10	B05CA	Antiinfectives
11822-5761-10	D08AJ	Quaternary ammonium compounds
11822-5761-10	D09AA	Medicated dressings with antiinfectives
11822-5761-10	R02AA	Antiseptics
11822-5761-20	B05CA	Antiinfectives
11822-5761-20	D08AJ	Quaternary ammonium compounds
11822-5761-20	D09AA	Medicated dressings with antiinfectives
11822-5761-20	R02AA	Antiseptics
11822-5902-10	A09AA	Enzyme preparations
11822-5904-20	R05CA	Expectorants
11822-5904-20	R01BA	Sympathomimetics
11822-5904-30	R05CA	Expectorants
11822-5904-30	R01BA	Sympathomimetics
11822-5952-70	A02BC	Proton pump inhibitors
11822-6043-90	R06AX	Other antihistamines for systemic use
11822-6043-90	S01GX	Other antiallergics
11822-6190-20	R05CA	Expectorants
11822-6190-30	R05CA	Expectorants
11822-6190-40	R05CA	Expectorants
11822-6190-70	R05DA	Opium alkaloids and derivatives
11822-6190-80	R06AX	Other antihistamines for systemic use
11822-6190-80	R01BA	Sympathomimetics
11822-6191-40	R06AX	Other antihistamines for systemic use
11822-6205-70	D04AA	Antihistamines for topical use
11822-6205-70	R06AA	Aminoalkyl ethers
11822-6222-40	N07BA	Drugs used in nicotine dependence
11822-6222-50	N07BA	Drugs used in nicotine dependence
11822-6228-30	A06AA	Softeners, emollients
11822-6230-20	A02AC	Calcium compounds
11822-6230-20	A12AA	Calcium
11822-6231-10	C01EB	Other cardiac preparations
11822-6231-10	G02CC	Antiinflammatory products for vaginal administration
11822-6231-10	M01AE	Propionic acid derivatives
11822-6231-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-6231-10	R02AX	Other throat preparations
11822-6356-90	N07BA	Drugs used in nicotine dependence
11822-6487-90	A11CC	Vitamin D and analogues
11822-6556-90	N07BA	Drugs used in nicotine dependence
11822-7092-90	R06AX	Other antihistamines for systemic use
11822-7700-50	A02AC	Calcium compounds
11822-7700-50	A12AA	Calcium
11822-7700-50	A11CC	Vitamin D and analogues
11822-7703-90	A02AC	Calcium compounds
11822-7703-90	A12AA	Calcium
11822-7703-90	A11CC	Vitamin D and analogues
11822-7711-00	R05CA	Expectorants
11822-7729-30	A01AD	Other agents for local oral treatment
11822-7729-30	B01AC	Platelet aggregation inhibitors excl. heparin
11822-7729-30	N02BA	Salicylic acid and derivatives
11822-7752-50	A02AC	Calcium compounds
11822-7752-50	A12AA	Calcium
11822-7752-50	A11CC	Vitamin D and analogues
11822-7753-50	R05DA	Opium alkaloids and derivatives
11822-7753-50	R05CA	Expectorants
11822-7784-50	A02AC	Calcium compounds
11822-7784-50	A12AA	Calcium
11822-7784-50	A11CC	Vitamin D and analogues
11822-8348-20	A02AC	Calcium compounds
11822-8348-20	A12AA	Calcium
11822-8355-30	R05DA	Opium alkaloids and derivatives
11822-8355-30	R05CA	Expectorants
11822-8461-40	A06AB	Contact laxatives
11822-8463-10	A02BA	H2-receptor antagonists
11822-8530-90	C01EB	Other cardiac preparations
11822-8541-20	N07BA	Drugs used in nicotine dependence
11822-8541-30	N07BA	Drugs used in nicotine dependence
11822-8542-60	C01EB	Other cardiac preparations
11822-8542-60	G02CC	Antiinflammatory products for vaginal administration
11822-8542-60	M01AE	Propionic acid derivatives
11822-8542-60	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-8542-60	R02AX	Other throat preparations
11822-8542-70	R06AX	Other antihistamines for systemic use
11822-8556-40	A06AB	Contact laxatives
11822-8556-40	A06AA	Softeners, emollients
11822-8556-50	A06AB	Contact laxatives
11822-8556-50	A06AA	Softeners, emollients
11822-8650-20	C01EB	Other cardiac preparations
11822-8650-20	G02CC	Antiinflammatory products for vaginal administration
11822-8650-20	M01AE	Propionic acid derivatives
11822-8650-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-8650-20	R02AX	Other throat preparations
11822-8674-10	G02CC	Antiinflammatory products for vaginal administration
11822-8674-10	M01AE	Propionic acid derivatives
11822-8674-10	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-8674-20	G02CC	Antiinflammatory products for vaginal administration
11822-8674-20	M01AE	Propionic acid derivatives
11822-8674-20	M02AA	Antiinflammatory preparations, non-steroids for topical use
11822-8737-80	R05CA	Expectorants
11822-8800-00	A11CA	Vitamin A, plain
11822-8800-00	D10AD	Retinoids for topical use in acne
11822-8800-00	R01AX	Other nasal preparations
11822-8800-00	S01XA	Other ophthalmologicals
11822-8800-70	B03BA	Vitamin B12 (cyanocobalamin and analogues)
11822-8802-20	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-20	G01AD	Organic acids
11822-8802-20	S01XA	Other ophthalmologicals
11822-8802-30	A11GA	Ascorbic acid (vitamin C), plain
11822-8802-30	G01AD	Organic acids
