CPT_CODE	CPT_DESCR
27880	AMPUTATION OF LOWER LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27881	AMPUTATION OF LOWER LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27882	AMPUTATION OF LOWER LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27884	AMPUTATION FOLLOW-UP SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27886	AMPUTATION FOLLOW-UP SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27888	AMPUTATION OF FOOT AT AN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27889	AMPUTATION OF FOOT AT AN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27892	DECOMPRESSION OF LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27893	DECOMPRESSION OF LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27894	DECOMPRESSION OF LEG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
27899	Unlisted procedure, leg or ankle Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28309	INCISION OF METATARSALS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28360	RECONSTRUCT CLEFT FOOT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28705	FUSION OF FOOT BONES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28730	FUSION OF FOOT BONES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28735	FUSION OF FOOT BONES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28737	REVISION OF FOOT BONES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28800	AMPUTATION OF MIDFOOT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
28805	AMPUTATION THRU METATARS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29805	SHOULDER ARTHROSCOPY, DX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29806	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29807	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29819	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29820	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29821	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29822	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29823	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29824	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29825	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29826	SHOULDER ARTHROSCOPY/SUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29827	ARTHROSCOP ROTATOR CUFF Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29828	ARTHROSCOPY BICEPS TENOD Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29850	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29851	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29855	TIBIAL ARTHROSCOPY/SURGE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29856	TIBIAL ARTHROSCOPY/SURGE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29860	HIP ARTHROSCOPY, DX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29861	HIP ARHRO W/FB REMOVAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29862	HIP ARTHRO W/DEBRIDEMENT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29863	HIP ARTHRO W/SYNOVECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29866	AUTGRFT IMPLNT, KNEE W/S Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29867	ALLGRFT IMPLNT, KNEE W/S Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29868	MENISCAL TRNSPL, KNEE W/ Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29870	KNEE ARTHROSCOPY, DX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29871	KNEE ARTHROSCOPY/DRAINAG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29873	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29874	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29875	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29876	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29877	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29879	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29880	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29881	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29882	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29883	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29884	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29885	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29886	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29887	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29888	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29889	KNEE ARTHROSCOPY/SURGERY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29914	HIP ARTHRO W/FEMOROPLAST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29915	HIP ARTHRO ACETABULOPLAS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29916	HIP ARTHRO W/LABRAL REPA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
29999	Unlisted ARTHROSCOPY OF JOINT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31225	REMOVAL OF UPPER JAW Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31230	REMOVAL OF UPPER JAW Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31300	REMOVAL OF LARYNX LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31360	REMOVAL OF LARYNX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31365	REMOVAL OF LARYNX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31367	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31368	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31370	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31375	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31380	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31382	PARTIAL REMOVAL OF LARYN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31390	REMOVAL OF LARYNX & PHAR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31395	RECONSTRUCT LARYNX & PHA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31400	REVISION OF LARYNX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31420	REMOVAL OF EPIGLOTTIS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31500	INSERT EMERGENCY AIRWAY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31603	INCISION OF WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31750	REPAIR OF WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31755	REPAIR OF WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31760	REPAIR OF WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31766	RECONSTRUCTION OF WINDPI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31770	REPAIR/GRAFT OF BRONCHUS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31775	RECONSTRUCT BRONCHUS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31780	RECONSTRUCT WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31781	RECONSTRUCT WINDPIPE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31786	REMOVE WINDPIPE LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31800	REPAIR OF WINDPIPE INJUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
31805	REPAIR OF WINDPIPE INJUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32035	EXPLORATION OF CHEST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32036	EXPLORATION OF CHEST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32095	BIOPSY THROUGH CHEST WAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32096	OPEN WEDGE/BX LUNG INFIL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32097	OPEN WEDGE/BX LUNG NODUL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32098	OPEN BIOPSY OF LUNG PLEU Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32100	EXPLORATION/BIOPSY OF CH Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32110	EXPLORE/REPAIR CHEST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32120	RE-EXPLORATION OF CHEST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32124	EXPLORE CHEST FREE ADHES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32140	REMOVAL OF LUNG LESION(S Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32141	REMOVE/TREAT LUNG LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32150	REMOVAL OF LUNG LESION(S Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32151	REMOVE LUNG FOREIGN BODY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32160	OPEN CHEST HEART MASSAGE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32200	DRAIN, OPEN, LUNG LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32201	DRAIN, PERCUT, LUNG LESI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32220	RELEASE OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32225	PARTIAL RELEASE OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32310	REMOVAL OF CHEST LINING Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32320	FREE/REMOVE CHEST LINING Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32402	OPEN BIOPSY CHEST LINING Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32440	REMOVAL OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32442	SLEEVE PNEUMONECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32445	REMOVAL OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32480	PARTIAL REMOVAL OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32482	BILOBECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32484	SEGMENTECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32486	SLEEVE LOBECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32488	COMPLETION PNEUMONECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32500	PARTIAL REMOVAL OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32501	REPAIR BRONCHUS ADD-ON Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32503	RESECT APICAL LUNG TUMOR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32504	RESECT APICAL LUNG TUM/C Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32505	WEDGE RESECT OF LUNG INI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32506	WEDGE RESECT OF LUNG ADD Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32507	WEDGE RESECT OF LUNG DIA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32550	INSERT PLEURAL CATH Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32603	THORACOSCOPY, DIAGNOSTIC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32604	THORACOSCOPY, DIAGNOSTIC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32654	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32658	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32659	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32660	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32661	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32662	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32663	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32665	THORACOSCOPY, SURGICAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32669	THORACOSCOPY REMOVE SEGM Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32670	THORACOSCOPY BILOBECTOMY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32671	THORACOSCOPY PNEUMONECTO Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32673	THORACOSCOPY W/THYMUS RE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32674	THORACOSCOPY W/THYMUS RE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32800	REPAIR LUNG HERNIA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32810	CLOSE CHEST AFTER DRAINA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32815	CLOSE BRONCHIAL FISTULA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32820	RECONSTRUCT INJURED CHES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32900	REMOVAL OF RIB(S) Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32905	REVISE & REPAIR CHEST WA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32906	REVISE & REPAIR CHEST WA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32940	REVISION OF LUNG Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32960	THERAPEUTIC PNEUMOTHORAX Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
32997	TOTAL LUNG LAVAGE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33010	DRAINAGE OF HEART SAC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33011	REPEAT DRAINAGE OF HEART Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33015	INCISION OF HEART SAC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33020	INCISION OF HEART SAC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33025	INCISION OF HEART SAC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33030	PARTIAL REMOVAL OF HEART Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33031	PARTIAL REMOVAL OF HEART Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33050	REMOVAL OF HEART SAC LES Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33120	REMOVAL OF HEART LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33130	REMOVAL OF HEART LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33140	HEART REVASCULARIZE (TMR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33256	ABLATE ATRIA W/BYPASS, E Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33300	REPAIR OF HEART WOUND Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33305	REPAIR OF HEART WOUND Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33310	EXPLORATORY HEART SURGER Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33315	EXPLORATORY HEART SURGER Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33320	REPAIR MAJOR BLOOD VESSE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33321	REPAIR MAJOR VESSEL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33322	REPAIR MAJOR BLOOD VESSE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33330	INSERT MAJOR VESSEL GRAF Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33332	INSERT MAJOR VESSEL GRAF Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33335	INSERT MAJOR VESSEL GRAF Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33400	REPAIR OF AORTIC VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33401	VALVULOPLASTY, OPEN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33403	VALVULOPLASTY, W/CP BYPA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33404	PREPARE HEART-AORTA COND Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33405	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33406	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33410	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33411	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33412	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33413	REPLACEMENT OF AORTIC VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33414	REPAIR OF AORTIC VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33415	REVISION, SUBVALVULAR TI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33416	REVISE VENTRICLE MUSCLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33417	REPAIR OF AORTIC VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33420	REVISION OF MITRAL VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33422	REVISION OF MITRAL VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33425	REPAIR OF MITRAL VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33426	REPAIR OF MITRAL VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33427	REPAIR OF MITRAL VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33430	REPLACEMENT OF MITRAL VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33460	REVISION OF TRICUSPID VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33463	VALVULOPLASTY, TRICUSPID Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33464	VALVULOPLASTY, TRICUSPID Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33465	REPLACE TRICUSPID VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33468	REVISION OF TRICUSPID VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33470	REVISION OF PULMONARY VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33471	VALVOTOMY, PULMONARY VAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33472	REVISION OF PULMONARY VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33474	REVISION OF PULMONARY VA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33475	REPLACEMENT, PULMONARY V Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33476	REVISION OF HEART CHAMBE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33478	REVISION OF HEART CHAMBE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33496	REPAIR, PROSTH VALVE CLO Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33500	REPAIR HEART VESSEL FIST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33501	REPAIR HEART VESSEL FIST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33502	CORONARY ARTERY CORRECTI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33503	CORONARY ARTERY GRAFT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33504	CORONARY ARTERY GRAFT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33505	REPAIR ARTERY W/TUNNEL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33506	REPAIR ARTERY, TRANSLOCA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33507	REPAIR ART, INTRAMURAL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33508	ENDOSCOPIC VEIN HARVEST Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33510	CABG, VEIN, SINGLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33511	CABG, VEIN, TWO Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33512	CABG, VEIN, THREE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33513	CABG, VEIN, FOUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33514	CABG, VEIN, FIVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33516	CABG, VEIN, SIX OR MORE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33517	CABG, ARTERY-VEIN, SINGL Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33518	CABG, ARTERY-VEIN, TWO Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33519	CABG, ARTERY-VEIN, THREE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33521	CABG, ARTERY-VEIN, FOUR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33522	CABG, ARTERY-VEIN, FIVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33523	CABG, ART-VEIN, SIX OR M Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33530	CORONARY ARTERY, BYPASS/ Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33533	CABG, ARTERIAL, SINGLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33534	CABG, ARTERIAL, TWO Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33535	CABG, ARTERIAL, THREE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33536	CABG, ARTERIAL, FOUR OR Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33542	REMOVAL OF HEART LESION Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33545	REPAIR OF HEART DAMAGE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33572	OPEN CORONARY ENDARTEREC Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33600	CLOSURE OF VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33602	CLOSURE OF VALVE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33606	ANASTOMOSIS/ARTERY-AORTA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33608	REPAIR ANOMALY W/CONDUIT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33610	REPAIR BY ENLARGEMENT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33611	REPAIR DOUBLE VENTRICLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33612	REPAIR DOUBLE VENTRICLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33615	REPAIR, MODIFIED FONTAN Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33617	REPAIR SINGLE VENTRICLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33619	REPAIR SINGLE VENTRICLE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33620	APPLY R&L PULM ART BANDS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33621	TRANSTHOR CATH FOR STENT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33622	REDO COMPL CARDIAC ANOMA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33641	REPAIR HEART SEPTUM DEFE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33645	REVISION OF HEART VEINS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33647	REPAIR HEART SEPTUM DEFE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33660	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33665	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33670	REPAIR OF HEART CHAMBERS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33675	CLOSE MULT VSD Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33676	CLOSE MULT VSD W/RESECTI Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33677	CL MULT VSD W/REM PUL BA Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33681	REPAIR HEART SEPTUM DEFE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33684	REPAIR HEART SEPTUM DEFE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33688	REPAIR HEART SEPTUM DEFE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33690	REINFORCE PULMONARY ARTE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33692	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33694	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33697	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33702	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33710	REPAIR OF HEART DEFECTS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33720	REPAIR OF HEART DEFECT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33722	REPAIR OF HEART DEFECT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33724	REPAIR VENOUS ANOMALY Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33726	REPAIR PUL VENOUS STENOS Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33730	REPAIR HEART-VEIN DEFECT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33732	REPAIR HEART-VEIN DEFECT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33735	REVISION OF HEART CHAMBE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33736	REVISION OF HEART CHAMBE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33737	REVISION OF HEART CHAMBE Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
33750	MAJOR VESSEL SHUNT Fast Certify Contact Customer Service at 1-855-999-1522 for authorization
