***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
E1270	"Lightweight wheelchair, fixed full length arms, swing away detachable elevating legrests"	Wheelchair lightweight leg r
E1280	"Heavy duty wheelchair, detachable arms (desk or full length) elevating legrests"	Whchr h-duty det arm leg res
E1285	"Heavy duty wheelchair, fixed full length arms, swing away detachable footrest"	Wheelchair heavy duty fixed
E1290	"Heavy duty wheelchair, detachable arms (desk or full length) swing away detachable footrest"	Wheelchair hvy duty detach a
E1295	"Heavy duty wheelchair, fixed full length arms, elevating legrest"	Wheelchair heavy duty fixed
E1296	Special wheelchair seat height from floor	Wheelchair special seat heig
E1297	"Special wheelchair seat depth, by upholstery"	Wheelchair special seat dept
E1298	"Special wheelchair seat depth and/or width, by construction"	Wheelchair spec seat depth/w
E1300	"Whirlpool, portable (overtub type)"	Whirlpool portable
E1310	"Whirlpool, non-portable (built-in type)"	Whirlpool non-portable
E1352	"Oxygen accessory, flow regulator capable of positive inspiratory pressure"	O2 flow reg pos inspir press
E1353	Regulator	Oxygen supplies regulator
E1354	"Oxygen accessory, wheeled cart for portable cylinder or portable concentrator, any type, replacement only, each"	"Wheeled cart, port cyl/conc"
E1355	Stand/rack	Oxygen supplies stand/rack
E1356	"Oxygen accessory, battery pack/cartridge for portable concentrator, any type, replacement only, each"	"Batt pack/cart, port conc"
E1357	"Oxygen accessory, battery charger for portable concentrator, any type, replacement only, each"	"Battery charger, port conc"
E1358	"Oxygen accessory, dc power adapter for portable concentrator, any type, replacement only, each"	"Dc power adapter, port conc"
E1372	Immersion external heater for nebulizer	Oxy suppl heater for nebuliz
E1390	"Oxygen concentrator, single delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate"	Oxygen concentrator
E1391	"Oxygen concentrator, dual delivery port, capable of delivering 85 percent or greater oxygen concentration at the prescribed flow rate, each"	"Oxygen concentrator, dual"
E1392	"Portable oxygen concentrator, rental"	Portable oxygen concentrator
E1399	"Durable medical equipment, miscellaneous"	Durable medical equipment mi
E1405	Oxygen and water vapor enriching system with heated delivery	O2/water vapor enrich w/heat
E1406	Oxygen and water vapor enriching system without heated delivery	O2/water vapor enrich w/o he
E1500	"Centrifuge, for dialysis"	Centrifuge
E1510	"Kidney, dialysate delivery syst kidney machine, pump recirculating, air removal syst, flowrate meter, power off, heater and temperature control with alarm, i.v. poles, pressure gauge, concentrate container"	Kidney dialysate delivry sys
E1520	Heparin infusion pump for hemodialysis	Heparin infusion pump
E1530	"Air bubble detector for hemodialysis, each, replacement"	Replacement air bubble detec
E1540	"Pressure alarm for hemodialysis, each, replacement"	Replacement pressure alarm
E1550	"Bath conductivity meter for hemodialysis, each"	Bath conductivity meter
E1560	"Blood leak detector for hemodialysis, each, replacement"	Replace blood leak detector
E1570	"Adjustable chair, for esrd patients"	Adjustable chair for esrd pt
E1575	"Transducer protectors/fluid barriers, for hemodialysis, any size, per 10"	Transducer protect/fld bar
E1580	Unipuncture control system for hemodialysis	Unipuncture control system
E1590	Hemodialysis machine	Hemodialysis machine
E1592	Automatic intermittent peritoneal dialysis system	Auto interm peritoneal dialy
E1594	Cycler dialysis machine for peritoneal dialysis	Cycler dialysis machine
E1600	Delivery and/or installation charges for hemodialysis equipment	Deli/install chrg hemo equip
E1610	"Reverse osmosis water purification system, for hemodialysis"	Reverse osmosis h2o puri sys
E1615	"Deionizer water purification system, for hemodialysis"	Deionizer h2o puri system
E1620	"Blood pump for hemodialysis, replacement"	Replacement blood pump
E1625	"Water softening system, for hemodialysis"	Water softening system
E1630	Reciprocating peritoneal dialysis system	Reciprocating peritoneal dia
E1632	"Wearable artificial kidney, each"	Wearable artificial kidney
E1634	"Peritoneal dialysis clamps, each"	Peritoneal dialysis clamp
E1635	Compact (portable) travel hemodialyzer system	Compact travel hemodialyzer
E1636	"Sorbent cartridges, for hemodialysis, per 10"	Sorbent cartridges per 10
E1637	"Hemostats, each"	"Hemostats for dialysis, each"
E1639	"Scale, each"	"Scale, each"
E1699	"Dialysis equipment, not otherwise specified"	Dialysis equipment noc
E1700	Jaw motion rehabilitation system	Jaw motion rehab system
E1701	"Replacement cushions for jaw motion rehabilitation system, pkg. of 6"	Repl cushions for jaw motion
E1702	"Replacement measuring scales for jaw motion rehabilitation system, pkg. of 200"	Repl measr scales jaw motion
E1800	"Dynamic adjustable elbow extension/flexion device, includes soft interface material"	Adjust elbow ext/flex device
E1801	"Static progressive stretch elbow device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories"	Sps elbow device
E1802	"Dynamic adjustable forearm pronation/supination device, includes soft interface material"	Adjst forearm pro/sup device
E1805	"Dynamic adjustable wrist extension / flexion device, includes soft interface material"	Adjust wrist ext/flex device
E1806	"Static progressive stretch wrist device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories"	Sps wrist device
E1810	"Dynamic adjustable knee extension / flexion device, includes soft interface material"	Adjust knee ext/flex device
E1811	"Static progressive stretch knee device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories"	Sps knee device
E1812	"Dynamic knee, extension/flexion device with active resistance control"	Knee ext/flex w act res ctrl
E1815	"Dynamic adjustable ankle extension/flexion device, includes soft interface material"	Adjust ankle ext/flex device
E1816	"Static progressive stretch ankle device, flexion and/or extension, with or without range of motion adjustment, includes all components and accessories"	Sps ankle device
E1818	"Static progressive stretch forearm pronation / supination device, with or without range of motion adjustment, includes all components and accessories"	Sps forearm device
E1820	"Replacement soft interface material, dynamic adjustable extension/flexion device"	Soft interface material
E1821	Replacement soft interface material/cuffs for bi-directional static progressive stretch device	Replacement interface spsd
E1825	"Dynamic adjustable finger extension/flexion device, includes soft interface material"	Adjust finger ext/flex devc
E1830	"Dynamic adjustable toe extension/flexion device, includes soft interface material"	Adjust toe ext/flex device
E1831	"Static progressive stretch toe device, extension and/or flexion, with or without range of motion adjustment, includes all components and accessories"	Static str toe dev ext/flex
E1840	"Dynamic adjustable shoulder flexion / abduction / rotation device, includes soft interface material"	Adj shoulder ext/flex device
E1841	"Static progressive stretch shoulder device, with or without range of motion adjustment, includes all components and accessories"	Static str shldr dev rom adj
E1902	"Communication board, non-electronic augmentative or alternative communication device"	Aac non-electronic board
E2000	"Gastric suction pump, home model, portable or stationary, electric"	Gastric suction pump hme mdl
E2100	Blood glucose monitor with integrated voice synthesizer	Bld glucose monitor w voice
E2101	Blood glucose monitor with integrated lancing/blood sample	Bld glucose monitor w lance
E2120	Pulse generator system for tympanic treatment of inner ear endolymphatic fluid	Pulse gen sys tx endolymp fl
E2201	"Manual wheelchair accessory, nonstandard seat frame, width greater than or equal to 20 inches and less than 24 inches"	"Man w/ch acc seat w>=20""<24"""
E2202	"Manual wheelchair accessory, nonstandard seat frame width, 24-27 inches"	Seat width 24-27 in
E2203	"Manual wheelchair accessory, nonstandard seat frame depth, 20 to less than 22 inches"	Frame depth less than 22 in
E2204	"Manual wheelchair accessory, nonstandard seat frame depth, 22 to 25 inches"	Frame depth 22 to 25 in
E2205	"Manual wheelchair accessory, handrim without projections (includes ergonomic or contoured), any type, replacement only, each"	"Manual wc accessory, handrim"
E2206	"Manual wheelchair accessory, wheel lock assembly, complete, replacement only, each"	Man wc whl lock comp repl ea
E2207	"Wheelchair accessory, crutch and cane holder, each"	Crutch and cane holder
E2208	"Wheelchair accessory, cylinder tank carrier, each"	Cylinder tank carrier
E2209	"Accessory, arm trough, with or without hand support, each"	Arm trough each
E2210	"Wheelchair accessory, bearings, any type, replacement only, each"	Wheelchair bearings
E2211	"Manual wheelchair accessory, pneumatic propulsion tire, any size, each"	Pneumatic propulsion tire
E2212	"Manual wheelchair accessory, tube for pneumatic propulsion tire, any size, each"	Pneumatic prop tire tube
E2213	"Manual wheelchair accessory, insert for pneumatic propulsion tire (removable), any type, any size, each"	Pneumatic prop tire insert
E2214	"Manual wheelchair accessory, pneumatic caster tire, any size, each"	Pneumatic caster tire each
E2215	"Manual wheelchair accessory, tube for pneumatic caster tire, any size, each"	Pneumatic caster tire tube
E2216	"Manual wheelchair accessory, foam filled propulsion tire, any size, each"	Foam filled propulsion tire
E2217	"Manual wheelchair accessory, foam filled caster tire, any size, each"	Foam filled caster tire each
E2218	"Manual wheelchair accessory, foam propulsion tire, any size, each"	Foam propulsion tire each
E2219	"Manual wheelchair accessory, foam caster tire, any size, each"	Foam caster tire any size ea
E2220	"Manual wheelchair accessory, solid (rubber/plastic) propulsion tire, any size, replacement only, each"	"Solid propuls tire, repl, ea"
E2221	"Manual wheelchair accessory, solid (rubber/plastic) caster tire (removable), any size, replacement only, each"	"Solid caster tire repl, each"
E2222	"Manual wheelchair accessory, solid (rubber/plastic) caster tire with integrated wheel, any size, replacement only, each"	"Solid caster integ whl, repl"
E2224	"Manual wheelchair accessory, propulsion wheel excludes tire, any size, replacement only, each"	Propulsion whl excl tire rep
E2225	"Manual wheelchair accessory, caster wheel excludes tire, any size, replacement only, each"	Caster wheel excludes tire
E2226	"Manual wheelchair accessory, caster fork, any size, replacement only, each"	Caster fork replacement only
E2227	"Manual wheelchair accessory, gear reduction drive wheel, each"	Gear reduction drive wheel
E2228	"Manual wheelchair accessory, wheel braking system and lock, complete, each"	"Mwc acc, wheelchair brake"
E2230	"Manual wheelchair accessory, manual standing system"	Manual standing system
E2231	"Manual wheelchair accessory, solid seat support base (replaces sling seat), includes any type mounting hardware"	Solid seat support base
E2291	"Back, planar, for pediatric size wheelchair including fixed attaching hardware"	Planar back for ped size wc
E2292	"Seat, planar, for pediatric size wheelchair including fixed attaching hardware"	Planar seat for ped size wc
E2293	"Back, contoured, for pediatric size wheelchair including fixed attaching hardware"	Contour back for ped size wc
E2294	"Seat, contoured, for pediatric size wheelchair including fixed attaching hardware"	Contour seat for ped size wc
E2295	"Manual wheelchair accessory, for pediatric size wheelchair, dynamic seating frame, allows coordinated movement of multiple positioning features"	Ped dynamic seating frame
E2300	"Wheelchair accessory, power seat elevation system, any type"	Pwr seat elevation sys
E2301	"Wheelchair accessory, power standing system, any type"	Pwr standing
E2310	"Power wheelchair accessory, electronic connection between wheelchair controller and one power seating system motor, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware"	Electro connect btw control
E2311	"Power wheelchair accessory, electronic connection between wheelchair controller and two or more power seating system motors, including all related electronics, indicator feature, mechanical function selection switch, and fixed mounting hardware"	Electro connect btw 2 sys
E2312	"Power wheelchair accessory, hand or chin control interface, mini-proportional remote joystick, proportional, including fixed mounting hardware"	Mini-prop remote joystick
E2313	"Power wheelchair accessory, harness for upgrade to expandable controller, including all fasteners, connectors and mounting hardware, each"	"Pwc harness, expand control"
E2321	"Power wheelchair accessory, hand control interface, remote joystick, nonproportional, including all related electronics, mechanical stop switch, and fixed mounting hardware"	Hand interface joystick
E2322	"Power wheelchair accessory, hand control interface, multiple mechanical switches, nonproportional, including all related electronics, mechanical stop switch, and fixed mounting hardware"	Mult mech switches
E2323	"Power wheelchair accessory, specialty joystick handle for hand control interface, prefabricated"	Special joystick handle
E2324	"Power wheelchair accessory, chin cup for chin control interface"	Chin cup interface
E2325	"Power wheelchair accessory, sip and puff interface, nonproportional, including all related electronics, mechanical stop switch, and manual swingaway mounting hardware"	Sip and puff interface
E2326	"Power wheelchair accessory, breath tube kit for sip and puff interface"	Breath tube kit
E2327	"Power wheelchair accessory, head control interface, mechanical, proportional, including all related electronics, mechanical direction change switch, and fixed mounting hardware"	Head control interface mech
E2328	"Power wheelchair accessory, head control or extremity control interface, electronic, proportional, including all related electronics and fixed mounting hardware"	Head/extremity control inter
E2329	"Power wheelchair accessory, head control interface, contact switch mechanism, nonproportional, including all related electronics, mechanical stop switch, mechanical direction change switch, head array, and fixed mounting hardware"	Head control nonproportional
E2330	"Power wheelchair accessory, head control interface, proximity switch mechanism, nonproportional, including all related electronics, mechanical stop switch, mechanical direction change switch, head array, and fixed mounting hardware"	Head control proximity switc
E2331	"Power wheelchair accessory, attendant control, proportional, including all related electronics and fixed mounting hardware"	Attendant control
E2340	"Power wheelchair accessory, nonstandard seat frame width, 20-23 inches"	W/c wdth 20-23 in seat frame
E2341	"Power wheelchair accessory, nonstandard seat frame width, 24-27 inches"	W/c wdth 24-27 in seat frame
E2342	"Power wheelchair accessory, nonstandard seat frame depth, 20 or 21 inches"	W/c dpth 20-21 in seat frame
E2343	"Power wheelchair accessory, nonstandard seat frame depth, 22-25 inches"	W/c dpth 22-25 in seat frame
E2351	"Power wheelchair accessory, electronic interface to operate speech generating device using power wheelchair control interface"	Electronic sgd interface
E2358	"Power wheelchair accessory, group 34 non-sealed lead acid battery, each"	Gr 34 nonsealed leadacid
E2359	"Power wheelchair accessory, group 34 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)"	Gr34 sealed leadacid battery
E2360	"Power wheelchair accessory, 22nf non-sealed lead acid battery, each"	22nf nonsealed leadacid
E2361	"Power wheelchair accessory, 22nf sealed lead acid battery, each, (e.g., gel cell, absorbed glassmat)"	22nf sealed leadacid battery
E2362	"Power wheelchair accessory, group 24 non-sealed lead acid battery, each"	Gr24 nonsealed leadacid
E2363	"Power wheelchair accessory, group 24 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)"	Gr24 sealed leadacid battery
E2364	"Power wheelchair accessory, u-1 non-sealed lead acid battery, each"	U1nonsealed leadacid battery
E2365	"Power wheelchair accessory, u-1 sealed lead acid battery, each (e.g., gel cell, absorbed glassmat)"	U1 sealed leadacid battery
E2366	"Power wheelchair accessory, battery charger, single mode, for use with only one battery type, sealed or non-sealed, each"	"Battery charger, single mode"
E2367	"Power wheelchair accessory, battery charger, dual mode, for use with either battery type, sealed or non-sealed, each"	"Battery charger, dual mode"
E2368	"Power wheelchair component, drive wheel motor, replacement only"	Pwr wc drivewheel motor repl
E2369	"Power wheelchair component, drive wheel gear box, replacement only"	Pwr wc drivewheel gear repl
E2370	"Power wheelchair component, integrated drive wheel motor and gear box combination, replacement only"	Pwr wc dr wh motor/gear comb
E2371	"Power wheelchair accessory, group 27 sealed lead acid battery, (e.g., gel cell, absorbed glassmat), each"	Gr27 sealed leadacid battery
E2372	"Power wheelchair accessory, group 27 non-sealed lead acid battery, each"	Gr27 non-sealed leadacid
E2373	"Power wheelchair accessory, hand or chin control interface, compact remote joystick, proportional, including fixed mounting hardware"	Hand/chin ctrl spec joystick
E2374	"Power wheelchair accessory, hand or chin control interface, standard remote joystick (not including controller), proportional, including all related electronics and fixed mounting hardware, replacement only"	Hand/chin ctrl std joystick
E2375	"Power wheelchair accessory, non-expandable controller, including all related electronics and mounting hardware, replacement only"	Non-expandable controller
E2376	"Power wheelchair accessory, expandable controller, including all related electronics and mounting hardware, replacement only"	"Expandable controller, repl"
E2377	"Power wheelchair accessory, expandable controller, including all related electronics and mounting hardware, upgrade provided at initial issue"	"Expandable controller, initl"
E2378	"Power wheelchair component, actuator, replacement only"	Pw actuator replacement
E2381	"Power wheelchair accessory, pneumatic drive wheel tire, any size, replacement only, each"	Pneum drive wheel tire
E2382	"Power wheelchair accessory, tube for pneumatic drive wheel tire, any size, replacement only, each"	"Tube, pneum wheel drive tire"
E2383	"Power wheelchair accessory, insert for pneumatic drive wheel tire (removable), any type, any size, replacement only, each"	"Insert, pneum wheel drive"
E2384	"Power wheelchair accessory, pneumatic caster tire, any size, replacement only, each"	Pneumatic caster tire
E2385	"Power wheelchair accessory, tube for pneumatic caster tire, any size, replacement only, each"	"Tube, pneumatic caster tire"
E2386	"Power wheelchair accessory, foam filled drive wheel tire, any size, replacement only, each"	Foam filled drive wheel tire
E2387	"Power wheelchair accessory, foam filled caster tire, any size, replacement only, each"	Foam filled caster tire
E2388	"Power wheelchair accessory, foam drive wheel tire, any size, replacement only, each"	Foam drive wheel tire
E2389	"Power wheelchair accessory, foam caster tire, any size, replacement only, each"	Foam caster tire
E2390	"Power wheelchair accessory, solid (rubber/plastic) drive wheel tire, any size, replacement only, each"	Solid drive wheel tire
E2391	"Power wheelchair accessory, solid (rubber/plastic) caster tire (removable), any size, replacement only, each"	Solid caster tire
E2392	"Power wheelchair accessory, solid (rubber/plastic) caster tire with integrated wheel, any size, replacement only, each"	"Solid caster tire, integrate"
E2394	"Power wheelchair accessory, drive wheel excludes tire, any size, replacement only, each"	Drive wheel excludes tire
E2395	"Power wheelchair accessory, caster wheel excludes tire, any size, replacement only, each"	Caster wheel excludes tire
E2396	"Power wheelchair accessory, caster fork, any size, replacement only, each"	Caster fork
E2397	"Power wheelchair accessory, lithium-based battery, each"	"Pwc acc, lith-based battery"
E2402	"Negative pressure wound therapy electrical pump, stationary or portable"	Neg press wound therapy pump
E2500	"Speech generating device, digitized speech, using pre-recorded messages, less than or equal to 8 minutes recording time"	Sgd digitized pre-rec <=8min
E2502	"Speech generating device, digitized speech, using pre-recorded messages, greater than 8 minutes but less than or equal to 20 minutes recording time"	Sgd prerec msg >8min <=20min
E2504	"Speech generating device, digitized speech, using pre-recorded messages, greater than 20 minutes but less than or equal to 40 minutes recording time"	Sgd prerec msg>20min <=40min
E2506	"Speech generating device, digitized speech, using pre-recorded messages, greater than 40 minutes recording time"	Sgd prerec msg > 40 min
E2508	"Speech generating device, synthesized speech, requiring message formulation by spelling and access by physical contact with the device"	Sgd spelling phys contact
E2510	"Speech generating device, synthesized speech, permitting multiple methods of message formulation and multiple methods of device access"	Sgd w multi methods msg/accs
E2511	"Speech generating software program, for personal computer or personal digital assistant"	Sgd sftwre prgrm for pc/pda
E2512	"Accessory for speech generating device, mounting system"	"Sgd accessory, mounting sys"
E2599	"Accessory for speech generating device, not otherwise classified"	Sgd accessory noc
E2601	"General use wheelchair seat cushion, width less than 22 inches, any depth"	Gen w/c cushion wdth < 22 in
E2602	"General use wheelchair seat cushion, width 22 inches or greater, any depth"	Gen w/c cushion wdth >=22 in
E2603	"Skin protection wheelchair seat cushion, width less than 22 inches, any depth"	Skin protect wc cus wd <22in
E2604	"Skin protection wheelchair seat cushion, width 22 inches or greater, any depth"	Skin protect wc cus wd>=22in
E2605	"Positioning wheelchair seat cushion, width less than 22 inches, any depth"	Position wc cush wdth <22 in
E2606	"Positioning wheelchair seat cushion, width 22 inches or greater, any depth"	Position wc cush wdth>=22 in
E2607	"Skin protection and positioning wheelchair seat cushion, width less than 22 inches, any depth"	Skin pro/pos wc cus wd <22in
E2608	"Skin protection and positioning wheelchair seat cushion, width 22 inches or greater, any depth"	Skin pro/pos wc cus wd>=22in
E2609	"Custom fabricated wheelchair seat cushion, any size"	Custom fabricate w/c cushion
E2610	"Wheelchair seat cushion, powered"	Powered w/c cushion
E2611	"General use wheelchair back cushion, width less than 22 inches, any height, including any type mounting hardware"	Gen use back cush wdth <22in
E2612	"General use wheelchair back cushion, width 22 inches or greater, any height, including any type mounting hardware"	Gen use back cush wdth>=22in
E2613	"Positioning wheelchair back cushion, posterior, width less than 22 inches, any height, including any type mounting hardware"	Position back cush wd <22in
E2614	"Positioning wheelchair back cushion, posterior, width 22 inches or greater, any height, including any type mounting hardware"	Position back cush wd>=22in
E2615	"Positioning wheelchair back cushion, posterior-lateral, width less than 22 inches, any height, including any type mounting hardware"	Pos back post/lat wdth <22in
E2616	"Positioning wheelchair back cushion, posterior-lateral, width 22 inches or greater, any height, including any type mounting hardware"	Pos back post/lat wdth>=22in
E2617	"Custom fabricated wheelchair back cushion, any size, including any type mounting hardware"	Custom fab w/c back cushion
E2619	"Replacement cover for wheelchair seat cushion or back cushion, each"	Replace cover w/c seat cush
E2620	"Positioning wheelchair back cushion, planar back with lateral supports, width less than 22 inches, any height, including any type mounting hardware"	Wc planar back cush wd <22in
E2621	"Positioning wheelchair back cushion, planar back with lateral supports, width 22 inches or greater, any height, including any type mounting hardware"	Wc planar back cush wd>=22in
E2622	"Skin protection wheelchair seat cushion, adjustable, width less than 22 inches, any depth"	Adj skin pro w/c cus wd<22in
E2623	"Skin protection wheelchair seat cushion, adjustable, width 22 inches or greater, any depth"	Adj skin pro wc cus wd>=22in
E2624	"Skin protection and positioning wheelchair seat cushion, adjustable, width less than 22 inches, any depth"	Adj skin pro/pos cus<22in
E2625	"Skin protection and positioning wheelchair seat cushion, adjustable, width 22 inches or greater, any depth"	Adj skin pro/pos wc cus>=22
E2626	"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable"	Seo mobile arm sup att to wc
E2627	"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, adjustable rancho type"	Arm supp att to wc rancho ty
E2628	"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, reclining"	Mobile arm supports reclinin
E2629	"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, friction arm support (friction dampening to proximal and distal joints)"	Friction dampening arm supp
E2630	"Wheelchair accessory, shoulder elbow, mobile arm support, monosuspension arm and hand support, overhead elbow forearm hand sling support, yoke type suspension support"	Monosuspension arm/hand supp
E2631	"Wheelchair accessory, addition to mobile arm support, elevating proximal arm"	Elevat proximal arm support
E2632	"Wheelchair accessory, addition to mobile arm support, offset or lateral rocker arm with elastic balance control"	Offset/lat rocker arm w/ela
E2633	"Wheelchair accessory, addition to mobile arm support, supinator"	Mobile arm support supinator
E8000	"Gait trainer, pediatric size, posterior support, includes all accessories and components"	Posterior gait trainer
E8001	"Gait trainer, pediatric size, upright support, includes all accessories and components"	Upright gait trainer
E8002	"Gait trainer, pediatric size, anterior support, includes all accessories and components"	Anterior gait trainer
G0008	Administration of influenza virus vaccine	Admin influenza virus vac
G0009	Administration of pneumococcal vaccine	Admin pneumococcal vaccine
G0010	Administration of hepatitis b vaccine	Admin hepatitis b vaccine
G0027	Semen analysis; presence and/or motility of sperm excluding huhner	Semen analysis
G0101	Cervical or vaginal cancer screening; pelvic and clinical breast examination	Ca screen;pelvic/breast exam
G0102	Prostate cancer screening; digital rectal examination	Prostate ca screening; dre
G0103	Prostate cancer screening; prostate specific antigen test (psa)	Psa screening
G0104	Colorectal cancer screening; flexible sigmoidoscopy	Ca screen;flexi sigmoidscope
G0105	Colorectal cancer screening; colonoscopy on individual at high risk	Colorectal scrn; hi risk ind
G0106	"Colorectal cancer screening; alternative to g0104, screening sigmoidoscopy, barium enema"	Colon ca screen;barium enema
G0108	"Diabetes outpatient self-management training services, individual, per 30 minutes"	Diab manage trn  per indiv
G0109	"Diabetes outpatient self-management training services, group session (2 or more), per 30 minutes"	Diab manage trn ind/group
G0117	Glaucoma screening for high risk patients furnished by an optometrist or ophthalmologist	Glaucoma scrn hgh risk direc
G0118	Glaucoma screening for high risk patient furnished under the direct supervision of an optometrist or ophthalmologist	Glaucoma scrn hgh risk direc
G0120	"Colorectal cancer screening; alternative to g0105, screening colonoscopy, barium enema."	Colon ca scrn; barium enema
G0121	Colorectal cancer screening; colonoscopy on individual not meeting criteria for high risk	Colon ca scrn not hi rsk ind
G0122	Colorectal cancer screening; barium enema	Colon ca scrn; barium enema
G0123	"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, screening by cytotechnologist under physician supervision"	Screen cerv/vag thin layer
G0124	"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, requiring interpretation by physician"	Screen c/v thin layer by md
G0127	"Trimming of dystrophic nails, any number"	Trim nail(s)
G0128	"Direct (face-to-face with patient) skilled nursing services of a registered nurse provided in a comprehensive outpatient rehabilitation facility, each 10 minutes beyond the first 5 minutes"	Corf skilled nursing service
G0129	"Occupational therapy services requiring the skills of a qualified occupational therapist, furnished as a component of a partial hospitalization treatment program, per session (45 minutes or more)"	Partial hosp prog service
G0130	"Single energy x-ray absorptiometry (sexa) bone density study, one or more sites; appendicular skeleton (peripheral) (e.g., radius, wrist, heel)"	Single energy x-ray study
G0141	"Screening cytopathology smears, cervical or vaginal, performed by automated system, with manual rescreening, requiring interpretation by physician"	"Scr c/v cyto,autosys and md"
G0143	"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with manual screening and rescreening by cytotechnologist under physician supervision"	"Scr c/v cyto,thinlayer,rescr"
G0144	"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system, under physician supervision"	"Scr c/v cyto,thinlayer,rescr"
G0145	"Screening cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation, with screening by automated system and manual rescreening under physician supervision"	"Scr c/v cyto,thinlayer,rescr"
G0147	"Screening cytopathology smears, cervical or vaginal, performed by automated system under physician supervision"	"Scr c/v cyto, automated sys"
G0148	"Screening cytopathology smears, cervical or vaginal, performed by automated system with manual rescreening"	"Scr c/v cyto, autosys, rescr"
G0151	"Services performed by a qualified physical therapist in the home health or hospice setting, each 15 minutes"	"Hhcp-serv of pt,ea 15 min"
G0152	"Services performed by a qualified occupational therapist in the home health or hospice setting, each 15 minutes"	"Hhcp-serv of ot,ea 15 min"
G0153	"Services performed by a qualified speech-language pathologist in the home health or hospice setting, each 15 minutes"	"Hhcp-svs of s/l path,ea 15mn"
G0154	"Direct skilled nursing services of a licensed nurse (lpn or rn) in the home health or hospice setting, each 15 minutes"	"Hhcp-svs of rn,ea 15 min"
G0155	"Services of clinical social worker in home health or hospice settings, each 15 minutes"	"Hhcp-svs of csw,ea 15 min"
G0156	"Services of home health/hospice aide in home health or hospice settings, each 15 minutes"	"Hhcp-svs of aide,ea 15 min"
G0157	"Services performed by a qualified physical therapist assistant in the home health or hospice setting, each 15 minutes"	Hhc pt assistant ea 15
G0158	"Services performed by a qualified occupational therapist assistant in the home health or hospice setting, each 15 minutes"	Hhc ot assistant ea 15
G0159	"Services performed by a qualified physical therapist, in the home health setting, in the establishment or delivery of a safe and effective physical therapy maintenance program, each 15 minutes"	Hhc pt maint ea 15 min
G0160	"Services performed by a qualified occupational therapist, in the home health setting, in the establishment or delivery of a safe and effective occupational therapy maintenance program, each 15 minutes"	Hhc occup therapy ea 15
G0161	"Services performed by a qualified speech-language pathologist, in the home health setting, in the establishment or delivery of a safe and effective speech-language pathology maintenance program, each 15 minutes"	Hhc slp ea 15 min
G0162	Skilled services by a registered nurse (rn) for management and evaluation of the plan of care; each 15 minutes (the patient's underlying condition or complication requires an rn to ensure that essential non-skilled care achieves its purpose in the home health or hospice setting)	"Hhc rn e&m plan svs, 15 min"
G0163	"Skilled services of a licensed nurse (lpn or rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)"	Hhc lpn/rn obs/asses ea 15
G0164	"Skilled services of a licensed nurse (lpn or rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes"	Hhc lis nurse train ea 15
G0166	"External counterpulsation, per treatment session"	"Extrnl counterpulse, per tx"
G0168	Wound closure utilizing tissue adhesive(s) only	Wound closure by adhesive
G0173	"Linear accelerator based stereotactic radiosurgery, complete course of therapy in one session"	Linear acc stereo radsur com
G0175	Scheduled interdisciplinary team conference (minimum of three exclusive of patient care nursing staff) with patient present	"Opps service,sched team conf"
G0176	"Activity therapy, such as music, dance, art or play therapies not for recreation, related to the care and treatment of patient's disabling mental health problems, per session (45 minutes or more)"	Opps/php;activity therapy
G0177	Training and educational services related to the care and treatment of patient's disabling mental health problems per session (45 minutes or more)	Opps/php; train & educ serv
G0179	"Physician re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implementation of the plan of care that meets patient's needs, per re-certification period"	Md recertification hha pt
