HCPC	Seq Num	RIC	Long Description	Short Description	PI1	PI2	PI3	PI4	MPI	CIM1	CIM2	CIM3	MCM1	MCM2	MCM3	Statute	Lab Cert1	Lab Cert2	Lab Cert3	Lab Cert4	Lab Cert5	Lab Cert6	Lab Cert7	Lab Cert8	X-Ref1	X-Ref2	X-Ref3	X-Ref4	X-Ref5	Coverage	ASC Pay Grp	ASC Pay Grp Eff Date	MOG Pay Grp	MOG Pay Ind	MOG Eff Date	Proc Note	BETOS	FILLER	TOS1	TOS2	TOS3	TOS4	TOS5	Anest Base Units	Code Add Date	Action Eff Date	Term Date	Action Code
A6510	00200	4	CUSTOM FABRICATED																																													
A6511	00100	3	"COMPRESSION BURN GARMENT, LOWER TRUNK INCLUDING LEG OPENINGS (PANTY), CUSTOM"	Compres burn garment panty	35				A				2079																	D							D1A		S					  0	20030101	20030101		N
A6511	00200	4	FABRICATED																																													
A6512	00100	3	"COMPRESSION BURN GARMENT, NOT OTHERWISE CLASSIFIED"	"Compres burn garment, noc"	35				A				2079																	D							D1A		S					  0	20030101	20030101		N
A6513	00100	3	"COMPRESSION BURN MASK, FACE AND/OR NECK, PLASTIC OR EQUAL, CUSTOM FABRICATED"	Compress burn mask face/neck	00				9																					C							D1A		P					  0	20060101	20060101		N
A6530	00100	3	"GRADIENT COMPRESSION STOCKING, BELOW KNEE, 18-30 MMHG, EACH"	Compression stocking BK18-30	00				9	60-9																				M						0072	D1A		P					  0	20060101	20110101		T
A6531	00100	3	"GRADIENT COMPRESSION STOCKING, BELOW KNEE, 30-40 MMHG, EACH"	Compression stocking BK30-40	35				A				2079																	D						0072	D1A		P	S				  0	20060101	20060101		N
A6532	00100	3	"GRADIENT COMPRESSION STOCKING, BELOW KNEE, 40-50 MMHG, EACH"	Compression stocking BK40-50	35				A				2079																	D						0072	D1A		P	S				  0	20060101	20060101		N
A6533	00100	3	"GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 18-30 MMHG, EACH"	Gc stocking thighlngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6534	00100	3	"GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 30-40 MMHG, EACH"	Gc stocking thighlngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6535	00100	3	"GRADIENT COMPRESSION STOCKING, THIGH LENGTH, 40-50 MMHG, EACH"	Gc stocking thighlngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6536	00100	3	"GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 18-30 MMHG, EACH"	Gc stocking full lngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6537	00100	3	"GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 30-40 MMHG, EACH"	Gc stocking full lngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6538	00100	3	"GRADIENT COMPRESSION STOCKING, FULL LENGTH/CHAP STYLE, 40-50 MMHG, EACH"	Gc stocking full lngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6539	00100	3	"GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 18-30 MMHG, EACH"	Gc stocking waistlngth 18-30	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6540	00100	3	"GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 30-40 MMHG, EACH"	Gc stocking waistlngth 30-40	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6541	00100	3	"GRADIENT COMPRESSION STOCKING, WAIST LENGTH, 40-50 MMHG, EACH"	Gc stocking waistlngth 40-50	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6542	00100	3	"GRADIENT COMPRESSION STOCKING, CUSTOM MADE"	Gc stocking custom made	00				9	60-9			2133																	M						0072	D1F		P					  0	20060101	20100101	20091231	D
A6543	00100	3	"GRADIENT COMPRESSION STOCKING, LYMPHEDEMA"	Gc stocking lymphedema	00				9	60-9			2133																	M						0072	D1F		P					  0	20060101	20100101	20091231	D
A6544	00100	3	"GRADIENT COMPRESSION STOCKING, GARTER BELT"	Gc stocking garter belt	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6545	00100	3	"GRADIENT COMPRESSION WRAP, NON-ELASTIC, BELOW KNEE, 30-50 MM HG, EACH"	Grad comp non-elastic BK	35				A				2079																	D							D1A		P	S				  0	20090101	20110101		T
A6549	00100	3	"GRADIENT COMPRESSION STOCKING/SLEEVE, NOT OTHERWISE SPECIFIED"	G compression stocking	00				9	60-9			2133																	M						0072	D1A		P					  0	20060101	20110101		T
A6550	00100	3	"WOUND CARE SET, FOR NEGATIVE PRESSURE WOUND THERAPY ELECTRICAL PUMP, INCLUDES"	Neg pres wound ther drsg set	34				A																					C							D1E		P					  0	20040101	20060101		N
A6550	00200	4	ALL SUPPLIES AND ACCESSORIES																																													
A7000	00100	3	"CANISTER, DISPOSABLE, USED WITH SUCTION PUMP, EACH"	Disposable canister for pump	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7001	00100	3	"CANISTER, NON-DISPOSABLE, USED WITH SUCTION PUMP, EACH"	Nondisposable pump canister	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7002	00100	3	"TUBING, USED WITH SUCTION PUMP, EACH"	Tubing used w suction pump	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7003	00100	3	"ADMINISTRATION SET, WITH SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER,"	Nebulizer administration set	32				A																					C							D1E		P					  0	20000101	20000101		N
A7003	00200	4	DISPOSABLE																																													
A7004	00100	3	"SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER, DISPOSABLE"	Disposable nebulizer sml vol	32				A																					C							D1E		P					  0	20000101	20000101		N
A7005	00100	3	"ADMINISTRATION SET, WITH SMALL VOLUME NONFILTERED PNEUMATIC NEBULIZER,"	Nondisposable nebulizer set	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7005	00200	4	NON-DISPOSABLE																																													
A7006	00100	3	"ADMINISTRATION SET, WITH SMALL VOLUME FILTERED PNEUMATIC NEBULIZER"	Filtered nebulizer admin set	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7007	00100	3	"LARGE VOLUME NEBULIZER, DISPOSABLE, UNFILLED, USED WITH AEROSOL COMPRESSOR"	Lg vol nebulizer disposable	32				A																					C							D1E		P					  0	20000101	20000101		N
A7008	00100	3	"LARGE VOLUME NEBULIZER, DISPOSABLE, PREFILLED, USED WITH AEROSOL COMPRESSOR"	Disposable nebulizer prefill	32				A																					C							D1E		P					  0	20000101	20000101		N
A7009	00100	3	"RESERVOIR BOTTLE, NON-DISPOSABLE, USED WITH LARGE VOLUME ULTRASONIC NEBULIZER"	Nebulizer reservoir bottle	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7010	00100	3	"CORRUGATED TUBING, DISPOSABLE, USED WITH LARGE VOLUME NEBULIZER, 100 FEET"	Disposable corrugated tubing	32				A																					C							D1E		P					  0	20000101	20000101		N
A7011	00100	3	"CORRUGATED TUBING, NON-DISPOSABLE, USED WITH LARGE VOLUME NEBULIZER, 10 FEET"	Nondispos corrugated tubing	46				A																					C							D1E		P					  0	20000101	20000101		N
A7012	00100	3	"WATER COLLECTION DEVICE, USED WITH LARGE VOLUME NEBULIZER"	Nebulizer water collec devic	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7013	00100	3	"FILTER, DISPOSABLE, USED WITH AEROSOL COMPRESSOR OR ULTRASONIC GENERATOR"	Disposable compressor filter	32				A																					C							D1E		P					  0	20000101	20110101		C
A7014	00100	3	"FILTER, NONDISPOSABLE, USED WITH AEROSOL COMPRESSOR OR ULTRASONIC GENERATOR"	Compressor nondispos filter	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7015	00100	3	"AEROSOL MASK, USED WITH DME NEBULIZER"	Aerosol mask used w nebulize	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7016	00100	3	"DOME AND MOUTHPIECE, USED WITH SMALL VOLUME ULTRASONIC NEBULIZER"	Nebulizer dome & mouthpiece	32				A																					C							D1E		A	P	R			  0	20000101	20000101		N
A7017	00100	3	"NEBULIZER, DURABLE, GLASS OR AUTOCLAVABLE PLASTIC, BOTTLE TYPE, NOT USED WITH"	Nebulizer not used w oxygen	32				A	60-9																				D							D1E		A	P	R			  0	20000101	20000101		N
A7017	00200	4	OXYGEN																																													
A7018	00100	3	"WATER, DISTILLED, USED WITH LARGE VOLUME NEBULIZER, 1000 ML"	Water distilled w/nebulizer	32				A																					C							D1E		P					  0	20010101	20010101		N
A7020	00100	3	"INTERFACE FOR COUGH STIMULATING DEVICE, INCLUDES ALL COMPONENTS, REPLACEMENT"	"Interface, cough stim device"	32				A																					C							D1E		R					  0	20110101	20110101		A
A7020	00200	4	ONLY																																													
A7025	00100	3	"HIGH FREQUENCY CHEST WALL OSCILLATION SYSTEM VEST, REPLACEMENT FOR USE WITH"	Replace chest compress vest	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7025	00200	4	"PATIENT OWNED EQUIPMENT, EACH"																																													
A7026	00100	3	"HIGH FREQUENCY CHEST WALL OSCILLATION SYSTEM HOSE, REPLACEMENT FOR USE WITH"	Replace chst cmprss sys hose	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7026	00200	4	"PATIENT OWNED EQUIPMENT, EACH"																																													
A7027	00100	3	"COMBINATION ORAL/NASAL MASK, USED WITH CONTINUOUS POSITIVE AIRWAY PRESSURE"	Combination oral/nasal mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N
A7027	00200	4	"DEVICE, EACH"																																													
A7028	00100	3	"ORAL CUSHION FOR COMBINATION ORAL/NASAL MASK, REPLACEMENT ONLY, EACH"	Repl oral cushion combo mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N
A7029	00100	3	"NASAL PILLOWS FOR COMBINATION ORAL/NASAL MASK, REPLACEMENT ONLY, PAIR"	Repl nasal pillow comb mask	32				A																					C							D1E		A	P	R			  0	20080101	20080101		N
A7030	00100	3	"FULL FACE MASK USED WITH POSITIVE AIRWAY PRESSURE DEVICE, EACH"	CPAP full face mask	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7031	00100	3	"FACE MASK INTERFACE, REPLACEMENT FOR FULL FACE MASK, EACH"	Replacement facemask interfa	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7032	00100	3	"CUSHION FOR USE ON NASAL MASK INTERFACE, REPLACEMENT ONLY, EACH"	Replacement nasal cushion	32				A																					C							D1E		A	P	R			  0	20030101	20060101		N
A7033	00100	3	"PILLOW FOR USE ON NASAL CANNULA TYPE INTERFACE, REPLACEMENT ONLY, PAIR"	Replacement nasal pillows	32				A																					C							D1E		A	P	R			  0	20030101	20060101		N
A7034	00100	3	NASAL INTERFACE (MASK OR CANNULA TYPE) USED WITH POSITIVE AIRWAY PRESSURE	Nasal application device	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7034	00200	4	"DEVICE, WITH OR WITHOUT HEAD STRAP"																																													
A7035	00100	3	HEADGEAR USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway press headgear	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7036	00100	3	CHINSTRAP USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway press chinstrap	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7037	00100	3	TUBING USED WITH POSITIVE AIRWAY PRESSURE DEVICE	Pos airway pressure tubing	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7038	00100	3	"FILTER, DISPOSABLE, USED WITH POSITIVE AIRWAY PRESSURE DEVICE"	Pos airway pressure filter	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7039	00100	3	"FILTER, NON DISPOSABLE, USED WITH POSITIVE AIRWAY PRESSURE DEVICE"	"Filter, non disposable w pap"	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7040	00100	3	ONE WAY CHEST DRAIN VALVE	One way chest drain valve	38				A																					C							D1F		P					  0	20050101	20050101		N
A7041	00100	3	WATER SEAL DRAINAGE CONTAINER AND TUBING FOR USE WITH IMPLANTED CHEST TUBE	Water seal drain container	38				A																					C							D1F		P					  0	20050101	20050101		N
A7042	00100	3	"IMPLANTED PLEURAL CATHETER, EACH"	Implanted pleural catheter	38				A																					C							D1F		P					  0	20030101	20030101		N
A7043	00100	3	VACUUM DRAINAGE BOTTLE AND TUBING FOR USE WITH IMPLANTED CATHETER	Vacuum drainagebottle/tubing	38				A																					C							D1F		P					  0	20030101	20030101		N
A7044	00100	3	"ORAL INTERFACE USED WITH POSITIVE AIRWAY PRESSURE DEVICE, EACH"	PAP oral interface	32				A																					C							D1E		A	P	R			  0	20030101	20030101		N
A7045	00100	3	EXHALATION PORT WITH OR WITHOUT SWIVEL USED WITH ACCESSORIES FOR POSITIVE	Repl exhalation port for PAP	32				A	60-17																				D							D1E		A	P	R			  0	20050101	20050101		N
A7045	00200	4	"AIRWAY DEVICES, REPLACEMENT ONLY"																																													
A7046	00100	3	"WATER CHAMBER FOR HUMIDIFIER, USED WITH POSITIVE AIRWAY PRESSURE DEVICE,"	"Repl water chamber, PAP dev"	32				A	60-17																				D							D1E		P					  0	20040101	20040101		N
A7046	00200	4	"REPLACEMENT, EACH"																																													
A7501	00100	3	"TRACHEOSTOMA VALVE, INCLUDING DIAPHRAGM, EACH"	Tracheostoma valve w diaphra	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7502	00100	3	"REPLACEMENT DIAPHRAGM/FACEPLATE FOR TRACHEOSTOMA VALVE, EACH"	Replacement diaphragm/fplate	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7503	00100	3	"FILTER HOLDER OR FILTER CAP, REUSABLE, FOR USE IN A TRACHEOSTOMA HEAT AND"	HMES filter holder or cap	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7503	00200	4	"MOISTURE EXCHANGE SYSTEM, EACH"																																													
A7504	00100	3	"FILTER FOR USE IN A TRACHEOSTOMA HEAT AND MOISTURE EXCHANGE SYSTEM, EACH"	Tracheostoma HMES filter	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7505	00100	3	"HOUSING, REUSABLE WITHOUT ADHESIVE, FOR USE IN A HEAT AND MOISTURE EXCHANGE"	HMES or trach valve housing	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7505	00200	4	"SYSTEM AND/OR WITH A TRACHEOSTOMA VALVE, EACH"																																													
A7506	00100	3	ADHESIVE DISC FOR USE IN A HEAT AND MOISTURE EXCHANGE SYSTEM AND/OR WITH	HMES/trachvalve adhesivedisk	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7506	00200	4	"TRACHEOSTOMA VALVE, ANY TYPE EACH"																																													
A7507	00100	3	"FILTER HOLDER AND INTEGRATED FILTER WITHOUT ADHESIVE, FOR USE IN A TRACHEOSTOMA"	Integrated filter & holder	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7507	00200	4	"HEAT AND MOISTURE EXCHANGE SYSTEM, EACH"																																													
A7508	00100	3	"HOUSING AND INTEGRATED ADHESIVE, FOR USE IN A TRACHEOSTOMA HEAT AND MOISTURE"	Housing & Integrated Adhesiv	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7508	00200	4	"EXCHANGE SYSTEM AND/OR WITH A TRACHEOSTOMA VALVE, EACH"																																													
A7509	00100	3	"FILTER HOLDER AND INTEGRATED FILTER HOUSING, AND ADHESIVE, FOR USE AS A"	Heat & moisture exchange sys	37				A				2130																	D							D1F		P					  0	20010101	20010101		N
A7509	00200	4	"TRACHEOSTOMA HEAT AND MOISTURE EXCHANGE SYSTEM, EACH"																																													
A7520	00100	3	"TRACHEOSTOMY/LARYNGECTOMY TUBE, NON-CUFFED, POLYVINYLCHLORIDE (PVC), SILICONE"	Trach/laryn tube non-cuffed	37				A																					C							D1F		P					  0	20040101	20040101		N
A7520	00200	4	"OR EQUAL, EACH"																																													
A7521	00100	3	"TRACHEOSTOMY/LARYNGECTOMY TUBE, CUFFED, POLYVINYLCHLORIDE (PVC), SILICONE OR"	Trach/laryn tube cuffed	37				A																					C							D1F		P					  0	20040101	20040101		N
A7521	00200	4	"EQUAL, EACH"																																													
A7522	00100	3	"TRACHEOSTOMY/LARYNGECTOMY TUBE, STAINLESS STEEL OR EQUAL (STERILIZABLE AND"	Trach/laryn tube stainless	37				A																					C							D1F		P					  0	20040101	20040101		N
A7522	00200	4	"REUSABLE), EACH"																																													
A7523	00100	3	"TRACHEOSTOMY SHOWER PROTECTOR, EACH"	Tracheostomy shower protect	37				A																					C							D1F		P					  0	20040101	20040101		N
A7524	00100	3	"TRACHEOSTOMA STENT/STUD/BUTTON, EACH"	Tracheostoma stent/stud/bttn	37				A																					C							D1F		P					  0	20040101	20040101		N
A7525	00100	3	"TRACHEOSTOMY MASK, EACH"	Tracheostomy mask	37				A																					C							D1F		P					  0	20040101	20040101		N
A7526	00100	3	"TRACHEOSTOMY TUBE COLLAR/HOLDER, EACH"	Tracheostomy tube collar	37				A																					C							D1F		P					  0	20040101	20040101		N
A7527	00100	3	"TRACHEOSTOMY/LARYNGECTOMY TUBE PLUG/STOP, EACH"	Trach/laryn tube plug/stop	37				A																					C							D1A		P					  0	20050101	20050101		N
A8000	00100	3	"HELMET, PROTECTIVE, SOFT, PREFABRICATED, INCLUDES ALL COMPONENTS AND ACCESSORIES"	Soft protect helmet prefab	32				A																					C							D1E		A	P	R			  0	20070101	20070101		N
A8001	00100	3	"HELMET, PROTECTIVE, HARD, PREFABRICATED, INCLUDES ALL COMPONENTS AND ACCESSORIES"	Hard protect helmet prefab	32				A																					C							D1E		A	P	R			  0	20070101	20070101		N
A8002	00100	3	"HELMET, PROTECTIVE, SOFT, CUSTOM FABRICATED, INCLUDES ALL COMPONENTS AND"	Soft protect helmet custom	45				A																					C							D1E		A	P	R			  0	20070101	20070101		N
A8002	00200	4	ACCESSORIES																																													
A8003	00100	3	"HELMET, PROTECTIVE, HARD, CUSTOM FABRICATED, INCLUDES ALL COMPONENTS AND"	Hard protect helmet custom	45				A																					C							D1E		A	P	R			  0	20070101	20070101		N
A8003	00200	4	ACCESSORIES																																													
A8004	00100	3	"SOFT INTERFACE FOR HELMET, REPLACEMENT ONLY"	"Repl soft interface, helmet"	32				A																					C							D1E		A	P	R			  0	20070101	20070101		N
A9150	00100	3	NON-PRESCRIPTION DRUGS	Misc/exper non-prescript dru	57				A				2050.5																	D							O1E		9					  0	19860101	19950401		N
A9152	00100	3	"SINGLE VITAMIN/MINERAL/TRACE ELEMENT, ORAL, PER DOSE, NOT OTHERWISE SPECIFIED"	Single vitamin nos	00				9																					I							Z2		9					  0	20050101	20050101		N
A9153	00100	3	"MULTIPLE VITAMINS, WITH OR WITHOUT MINERALS AND TRACE ELEMENTS, ORAL, PER DOSE,"	Multi-vitamin nos	00				9																					I							Z2		9					  0	20050101	20050101		N
A9153	00200	4	NOT OTHERWISE SPECIFIED																																													
A9155	00100	3	"ARTIFICIAL SALIVA, 30 ML"	Artificial saliva	57				A																					C							Z2		9					  0	20080101	20080101		N
A9180	00100	3	"PEDICULOSIS (LICE INFESTATION) TREATMENT, TOPICAL, FOR ADMINISTRATION BY"	"Lice treatment, topical"	00				9																					I							Z2		9					  0	20050101	20050101		N
A9180	00200	4	PATIENT/CARETAKER																																													
A9270	00100	3	NON-COVERED ITEM OR SERVICE	Non-covered item or service	00				9				2303																	M						0106	Z2		9					  0	19860101	20020101		N
A9273	00100	3	"HOT WATER BOTTLE, ICE CAP OR COLLAR, HEAT AND/OR COLD WRAP, ANY TYPE"	Hot/cold h2obot/cap/col/wrap	00				9																					M						0137	Z2		A	P	R			  0	20110101	20110101		A
A9274	00100	3	"EXTERNAL AMBULATORY INSULIN DELIVERY SYSTEM, DISPOSABLE, EACH, INCLUDES ALL"	Ext amb insulin delivery sys	00				9																					I							D1A		9					  0	20080101	20080101		N
A9274	00200	4	SUPPLIES AND ACCESSORIES																																													
A9275	00100	3	"HOME GLUCOSE DISPOSABLE MONITOR, INCLUDES TEST STRIPS"	Disp home glucose monitor	00				9																					M						0131	T1E		9					  0	20060101	20060101		N
A9276	00100	3	"SENSOR; INVASIVE (E.G. SUBCUTANEOUS), DISPOSABLE, FOR USE WITH INTERSTITIAL"	"Disposable sensor, CGM sys"	00				9							1861(n)														S							D1E		9					  0	20080101	20080101		N
A9276	00200	4	"CONTINUOUS GLUCOSE MONITORING SYSTEM, ONE UNIT = 1 DAY SUPPLY"																																													
A9277	00100	3	"TRANSMITTER; EXTERNAL, FOR USE WITH INTERSTITIAL CONTINUOUS GLUCOSE MONITORING"	"External transmitter, CGM"	00				9							1861(n)														S							D1E		9					  0	20080101	20080101		N
A9277	00200	4	SYSTEM																																													
A9278	00100	3	"RECEIVER (MONITOR); EXTERNAL, FOR USE WITH INTERSTITIAL CONTINUOUS GLUCOSE"	"External receiver, CGM sys"	00				9							1861(n)														S							D1E		9					  0	20080101	20080101		N
A9278	00200	4	MONITORING SYSTEM																																													
A9279	00100	3	"MONITORING FEATURE/DEVICE, STAND-ALONE OR INTEGRATED, ANY TYPE, INCLUDES ALL"	Monitoring feature/deviceNOC	00				9																					I							T2D		9					  0	20070101	20070101		N
A9279	00200	4	"ACCESSORIES, COMPONENTS AND ELECTRONICS, NOT OTHERWISE CLASSIFIED"																																													
A9280	00100	3	"ALERT OR ALARM DEVICE, NOT OTHERWISE CLASSIFIED"	"Alert device, noc"	00				9							1861														S							Z2		9					  0	20040101	20040101		N
A9281	00100	3	"REACHING/GRABBING DEVICE, ANY TYPE, ANY LENGTH, EACH"	Reaching/grabbing device	00				9							1862 SSA														S							D1E		A	P	R			  0	20060101	20060101		N
A9282	00100	3	"WIG, ANY TYPE, EACH"	Wig any type	00				9							1861SSA														S							Z2		9					  0	20060101	20060101		N
A9283	00100	3	"FOOT PRESSURE OFF LOADING/SUPPORTIVE DEVICE, ANY TYPE, EACH"	Foot press off load supp dev	00				9							1862a(i)13														S							D1E		P					  0	20080101	20080101		N
A9284	00100	3	"SPIROMETER, NON-ELECTRONIC, INCLUDES ALL ACCESSORIES"	Non-electronic spirometer	00				9																					D						0156	Z2		A	P	R			  0	20090101	20090101		N
A9300	00100	3	EXERCISE EQUIPMENT	Exercise equipment	00				9	60-9			2100.1																	M							Z2		9					  0	19930101	19950401		N
A9500	00100	3	"TECHNETIUM TC-99M SESTAMIBI, DIAGNOSTIC, PER STUDY DOSE"	Tc99m sestamibi	57				A																					C							I1E		4					  0	19960101	20100101		C
A9501	00100	3	"TECHNETIUM TC-99M TEBOROXIME, DIAGNOSTIC, PER STUDY DOSE"	Technetium TC-99m teboroxime	57				A																					C							I1E		4					  0	20080101	20080101		N
A9502	00100	3	"TECHNETIUM TC-99M TETROFOSMIN, DIAGNOSTIC, PER STUDY DOSE"	Tc99m tetrofosmin	57				A																					C							I1E		4					  0	19980101	20090101		N
A9503	00100	3	"TECHNETIUM TC-99M MEDRONATE, DIAGNOSTIC, PER STUDY DOSE, UP TO 30 MILLICURIES"	Tc99m medronate	57				A																					C							I1E		4					  0	19970101	20060101		N
A9504	00100	3	"TECHNETIUM TC-99M APCITIDE, DIAGNOSTIC, PER STUDY DOSE, UP TO 20 MILLICURIES"	Tc99m apcitide	57				A																					C							I1E		4					  0	20000101	20060101		N
A9505	00100	3	"THALLIUM TL-201 THALLOUS CHLORIDE, DIAGNOSTIC, PER MILLICURIE"	TL201 thallium	57				A																					C							I1E		4					  0	19960101	20060101		N
A9507	00100	3	"INDIUM IN-111 CAPROMAB PENDETIDE, DIAGNOSTIC, PER STUDY DOSE, UP TO 10"	In111 capromab	57				A																					C							I1E		4					  0	19990101	20060101		N
A9507	00200	4	MILLICURIES																																													
A9508	00100	3	"IODINE I-131 IOBENGUANE SULFATE, DIAGNOSTIC, PER 0.5 MILLICURIE"	"I131 iodobenguate, dx"	51				A																					C							I1E		4					  0	20010101	20060101		N
A9509	00100	3	"IODINE I-123 SODIUM IODIDE, DIAGNOSTIC, PER MILLICURIE"	Iodine I-123 sod iodide mil	57				A																					C							I1E		4					  0	20080101	20080101		N
A9510	00100	3	"TECHNETIUM TC-99M DISOFENIN, DIAGNOSTIC, PER STUDY DOSE, UP TO 15 MILLICURIES"	Tc99m disofenin	51				A																					C							I1E		4					  0	20010101	20060101		N
A9512	00100	3	"TECHNETIUM TC-99M PERTECHNETATE, DIAGNOSTIC, PER MILLICURIE"	Tc99m pertechnetate	57				A																					C							I1E		4					  0	20030101	20060101		N
A9516	00100	3	"IODINE I-123 SODIUM IODIDE, DIAGNOSTIC, PER 100 MICROCURIES, UP TO 999"	Iodine I-123 sod iodide mic	57				A																					C							I1E		4					  0	20030101	20080101		N
A9516	00200	4	MICROCURIES																																													
A9517	00100	3	"IODINE I-131 SODIUM IODIDE CAPSULE(S), THERAPEUTIC, PER MILLICURIE"	"I131 iodide cap, rx"	57				A																					C							I1E		6					  0	20030101	20060101		N
A9521	00100	3	"TECHNETIUM TC-99M EXAMETAZIME, DIAGNOSTIC, PER STUDY DOSE, UP TO 25 MILLICURIES"	Tc99m exametazime	57				A																					C							I1E		4					  0	20030101	20060101		N
A9524	00100	3	"IODINE I-131 IODINATED SERUM ALBUMIN, DIAGNOSTIC, PER 5 MICROCURIES"	"I131 serum albumin, dx"	57				A																					C							I1E		4					  0	20030101	20060101		N
A9526	00100	3	"NITROGEN N-13 AMMONIA, DIAGNOSTIC, PER STUDY DOSE, UP TO 40 MILLICURIES"	Nitrogen N-13 ammonia	53				A																					C							I1E		4					  0	20040101	20060101		N
A9527	00100	3	"IODINE I-125, SODIUM IODIDE SOLUTION, THERAPEUTIC, PER MILLICURIE"	Iodine I-125 sodium iodide	57				A																					C	YY	20080101					I1E		4					  0	20070101	20070101		N
A9528	00100	3	"IODINE I-131 SODIUM IODIDE CAPSULE(S), DIAGNOSTIC, PER MILLICURIE"	"Iodine I-131 iodide cap, dx"	57				A																					C							I1E		4					  0	20040101	20060101		N
A9529	00100	3	"IODINE I-131 SODIUM IODIDE SOLUTION, DIAGNOSTIC, PER MILLICURIE"	"I131 iodide sol, dx"	57				A																					C							I1E		4					  0	20040101	20060101		N
A9530	00100	3	"IODINE I-131 SODIUM IODIDE SOLUTION, THERAPEUTIC, PER MILLICURIE"	"I131 iodide sol, rx"	57				A																					C							I1E		6					  0	20040101	20060101		N
A9531	00100	3	"IODINE I-131 SODIUM IODIDE, DIAGNOSTIC, PER MICROCURIE (UP TO 100 MICROCURIES)"	I131 max 100uCi	57				A																					C							I1E		4					  0	20040101	20060101		N
A9532	00100	3	"IODINE I-125 SERUM ALBUMIN, DIAGNOSTIC, PER 5 MICROCURIES"	"I125 serum albumin, dx"	57				A																					C							I1E		6					  0	20040101	20060101		N
A9535	00100	3	"INJECTION, METHYLENE BLUE, 1 ML"	"Injection, methylene blue"	51				A																					C							I1E		4					  0	20060101	20100101	20091231	D
A9536	00100	3	"TECHNETIUM TC-99M DEPREOTIDE, DIAGNOSTIC, PER STUDY DOSE, UP TO 35 MILLICURIES"	Tc99m depreotide	57				A																					C							I1E		4					  0	20060101	20060101		N
A9537	00100	3	"TECHNETIUM TC-99M MEBROFENIN, DIAGNOSTIC, PER STUDY DOSE, UP TO 15 MILLICURIES"	Tc99m mebrofenin	57				A																					C							I1E		4					  0	20060101	20060101		N
