Common name	syn_list
HALOPERIDOL	"['1-(3-P-FLUOROBENZOYLPROPYL)-4-P-CHLOROPHENYL-4-HYDROXYPIPERIDINE', ""4-(4-(PARA-CHLOROPHENYL)-4-HYDROXYPIPERIDINO)-4'-FLUOROBUTYROPHENONE"", '4-[4-(4-CHLOROPHENYL)-4-HYDROXY-1-PIPERIDYL]-1-(4-FLUOROPHENYL)-BUTAN-1-ONE', ""4'-FLUORO-4-(4-(P-CHLOROPHENYL)-4-HYDROXYPIPERIDINYL)BUTYROPHENONE"", ""4'-FLUORO-4-(4-HYDROXY-4-(4'-CHLOROPHENYL)PIPERIDINO)BUTYROPHENONE"", 'HALOPERIDOL', 'HALOPERIDOLUM', 'Γ-(4-(P-CHLOROPHENYL)-4-HYDROXPIPERIDINO)-P-FLUORBUTYROPHENONE']"
RITONAVIR	['RITONAVIR', 'RITONAVIRUM']
LEVALLORPHAN	['LEVALLOFANO', 'LEVALLORPHAN', 'LÉVALLORPHANE', 'LEVALLORPHANUM', 'LEVALORFANO']
NITAZOXANIDE	['NITAXOZANID', 'NITAXOZANIDE', 'NITAZOXANIDA', 'NITAZOXANIDE', 'NITAZOXANIDUM']
TRIFLUPROMAZINE	['10-(3-(DIMETHYLAMINO)PROPYL)-2-(TRIFLUOROMETHYL)PHENOTHIAZINE', '2-(TRIFLUOROMETHYL)PROMAZINE', '2-TRIFLUOROMETHYL-10-(GAMMA-DIMETHYLAMINOPROPYL)PHENOTHIAZINE', 'FLUOPROMAZINE', 'TRIFLUPROMAZIN', 'TRIFLUPROMAZINA', 'TRIFLUPROMAZINE', 'TRIFLUPROMAZINUM']
DEXTROTHYROXINE	['D-THYROXINE', 'DEXTROTHYROXINE', 'DEXTROTHYROXINUM', 'O-(4-HYDROXY-3,5-DIIODOPHENYL)-3,5-DIIODO-D-TYROSINE']
ACETYLDIGITOXIN	"['ACETILDIGITOXINA', 'ACETYL-DIGITOXIN-ALPHA', 'ACETYLDIGINATIN', 'ACETYLDIGITOXIN', 'ACETYLDIGITOXINUM', 'ACETYLGITOXIN', 'ALPHA-ACETYLDIGITOXIN', 'ALPHA-ACETYLGITALOXIN', 'ALPHA-MONOACETYLDIGITOXIN', 'DESGLUCOLANATOSIDE A', ""DIGITOXIN 3'''-ACETATE""]"
VANCOMYCIN	['(1S,2R,18R,22S,25R,28R,40S)-22-(2-AMINO-2-OXOETHYL)-48-[2-O-(3-AMINO-2,3,6-TRIDEOXY-3-METHYL-Α-L-LYXO-HEXOPYRANOSYL)-Β-D-GLUCOPYRANOSYLOXY]-5,15-DICHLORO-2,18,32,35,37-PENTAHYDROXY-19-[(N-METHYL-D-LEUCYL)AMINO]-20,23,26,42,44-PENTAOXO-7,13-DIOXA-21,24,27,41,43-PENTAAZAOCTACYCLO[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]PENTACONTA-3,5,8(48),9,11,14,16,29(45),30,32,34,36,38,46,49-PENTADECAENE-40-CARBOXYLIC ACID', '(2.2SP,3.5SA,2.6SP)-O4.2,C3.4:C5.4,O4.6:C3.5,C2.7-TRICYCLO[N-METHYL-D-LEUCYL-3-CHLORO-(R)-Β-HYDROXY-D-TYROSYL-L-ASPARAGINYL-D-2-(4-{[2-O-(3-AMINO-2,3,6-TRIDEOXY-3-C-METHYL-Α-L-LYXO-HEXOPYRANOSYL)-Β-D-GLUCOPYRANOSYL]OXY}PHENYL)GLYCYL-D-2-(4-HYDROXYPHENYL)GLYCYL-3-CHLORO-(R)-Β-HYDROXY-L-TYROSYL-L-2-(3,5-DIHYDROXYPHENYL)GLYCINE]', 'VANCOMICINA', 'VANCOMYCIN', 'VANCOMYCINE', 'VANCOMYCINUM']
AMINOCAPROIC ACID	['6-AMINOCAPROIC ACID', '6-AMINOHEXANOIC ACID', 'ACIDE AMINOCAPROÏQUE', 'ÁCIDO AMINOCAPRÓICO', 'ACIDUM AMINOCAPROICUM', 'AMINOCAPROIC ACID', 'AMINOCAPRONSÄURE', 'EACA', 'EACS', 'EPSILCAPRAMINE', 'EPSILON AMINOCAPROIC ACID', 'EPSILON-AMINOCAPROIC ACID', 'EPSILON-AMINOHEXANOIC ACID', 'OMEGA-AMINOCAPROIC ACID', 'OMEGA-AMINOHEXANOIC ACID']
DEXTROMETHORPHAN	['(+)-DEXTROMETHORPHAN', 'D-METHORPHAN', 'DELTA-METHORPHAN', 'DEX', 'DEXTROMETHORFAN', 'DEXTROMETHORPHAN', 'DEXTROMÉTHORPHANE', 'DEXTROMETHORPHANUM', 'DEXTROMETORFANO', 'DM']
CISPLATIN	['CDDP', 'CIS-DDP', 'CIS-DIAMMINEDICHLOROPLATINUM(II)', 'CISPLATIN', 'CISPLATINO']
ANISOTROPINE METHYLBROMIDE	"['8-METHYL-3-(2-PROPYLPENTANOYLOXY)TROPINIUM BROMIDE', '8-METHYLTROPINIUM BROMIDE 2-PROPYLPENTANOATE', '8-METHYLTROPINIUM BROMIDE 2-PROPYLVALERATE', 'ANISOTROPINE METHOBROMIDE', 'ANISOTROPINE METHYLBROMIDE', 'ENDO-8,8-DIMETHYL-3-((1-OXO-2-PROPYLPENTYL)OXY)-8-AZONIABICYCLO(3.2.1)OCTANE BROMIDE', ""MÉTHYLBROMURE D'OCTATROPINE"", 'METHYLOCTATROPINE BROMIDE', 'METILBROMURO DE OCTATROPINA', 'OCTATROPINE METHYLBROMIDE', 'OCTATROPINI METHYLBROMIDUM']"
ALBENDAZOLE	['(5-(PROPYLTHIO)-1H-BENZIMIDAZOL-2-YL)CARBAMIC ACID METHYL ESTER', '5-(PROPYLTHIO)-2-CARBOMETHOXYAMINOBENZIMIDAZOLE', 'ALBENDAZOL', 'ALBENDAZOLE', 'ALBENDAZOLUM', 'ESKAZOLE', 'O-METHYL N-(5-(PROPYLTHIO)-2-BENZIMIDAZOLYL)CARBAMATE', 'PROFTRIL']
TRANDOLAPRIL	['TRANDOLAPRIL', 'TRANDOLAPRILUM']
CASPOFUNGIN	['(4R,5S)-5-((2-AMINOETHYL)AMINO)-N(SUP 2)-(10,12-DIMETHYLTETRADECANOYL)-4-HYDROXY-L-ORNITHYL-L-THREONYL-TRANS-4-HYDROXY-L-PROLYL-(S)-4-HYDROXY-4-(P-HYDROXYPHENYL)-L-THREONYL-THREO-3-HYDROXY-L-ORNITHYL-TRANS-3-HYDROXY-L-PROLINE CYCLIC (6-1)-PEPTIDE', 'CASPOFUNGIN', 'CASPOFUNGINA']
CARTEOLOL	['CARTEOLOL', 'CARTÉOLOL', 'CARTEOLOLUM']
BENTIROMIDE	['BENTIROMIDE', 'BENTIROMIDO', 'BENTIROMIDUM', 'BTPABA', 'PFT']
ALITRETINOIN	['(2E,4E,6Z,8E)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-2,4,6,8-NONATETRAENOIC ACID', '(7E,9Z,11E,13E)-RETINOIC ACID', '9-CIS-RETINOIC ACID', '9-CIS-TRETINOIN', '9(Z)-RETINOIC ACID', 'ALITRETINOIN', 'ALITRETINOÍNA', 'ALITRÉTINOÏNE', 'ALITRETINOINUM']
METOLAZONE	['2-METHYL-3-O-TOLYL-6-SULFAMYL-7-CHLORO-1,2,3,4-TETRAHYDRO-4-QUINAZOLINONE', '7-CHLORO-1,2,3,4-TETRAHYDRO-2-METHYL-3-(2-METHYLPHENYL)-4-OXO-6-QUINAZOLINESULFONAMIDE', '7-CHLORO-1,2,3,4-TETRAHYDRO-2-METHYL-4-OXO-3-O-TOLYL-6-QUINAZOLINESULFONAMIDE', 'METOLAZON', 'METOLAZONA', 'MÉTOLAZONE', 'METOLAZONE', 'METOLAZONUM']
TOLNAFTATE	['2-NAPHTHYL N-METHYL-N-(3-TOLYL)THIONOCARBAMATE', 'M,N-DIMETHYLTHIOCARBANILIC ACID O-2-NAPHTHYL ESTER', 'METHYL (3-METHYLPHENYL)CARBAMOTHIOIC ACID O-2-NAPHTHALENYL ESTER', 'N-METHYL-N-(3-METHYLPHENYL)-1-(NAPHTHALEN-2-YLOXY)METHANETHIOAMIDE', 'O-2-NAPHTHYL M,N-DIMETHYLTHIOCARBANILATE', 'TOLNAFTATE', 'TOLNAFTATO', 'TOLNAFTATUM', 'TOLNAPHTHATE']
OXALIPLATIN	['DIAMINOCYCLOHEXANE OXALATOPLATINUM', 'L-OHP', 'OXALATOPLATIN', 'OXALATOPLATINUM', 'OXALIPLATIN', 'OXALIPLATINE', 'OXALIPLATINO', 'OXALIPLATINUM']
CINCHOCAINE	['2-BUTOXY-N-(2-(DIETHYLAMINO)ETHYL)CINCHONINAMIDE', '2-BUTOXY-N-(Α-DIETHYLAMINOETHYL)CINCHONINAMIDE', '2-BUTOXY-N-(Β-DIETHYLAMINOETHYL)CINCHONINAMIDE', '2-BUTOXY-N-[2-(DIETHYLAMINO)ETHYL]-4-QUINOLINECARBOXAMIDE', '2-BUTOXY-QUINOLINE-4-CARBOXYLIC ACID (2-DIETHYLAMINO-ETHYL)-AMIDE', '2-BUTOXYQUINOLINE-4-CARBOXYLIC ACID DIETHYLAMINOETHYLAMIDE', '2-N-BUTOXY-N-(2-DIETHYLAMINOETHYL)CINCHONINAMIDE', 'CINCHOCAINE', 'CINCHOCAINUM', 'CINCOCAINIO', 'DIBUCAINE', 'N-(2-(DIETHYLAMINO)ETHYL)-2-BUTOXYCINCHONINAMIDE', 'Α-BUTYLOXYCINCHONIC ACID-Γ-DIETHYLETHYLENEDIAMINE', 'Α-BUTYLOXYCINCHONINIC ACID DIETHYLETHYLENEDIAMIDE']
LERCANIDIPINE	['LERCANIDIPINE', 'LERCANIDIPINO']
FOSCARNET	['CARBOXYPHOSPHONIC ACID', 'FOSCARMET', 'PHOSPHONOFORMATE', 'PHOSPHONOFORMIC ACID', 'PHOSPHONOMETHANOIC ACID']
ERLOTINIB	['[6,7-BIS-(2-METHOXY-ETHOXY)-QUINAZOLIN-4-YL]-(3-ETHYNYL-PHENYL)-AMINE', 'ERLOTINIB']
CYCLOPHOSPHAMIDE	['(+-)-CYCLOPHOSPHAMIDE', '(RS)-CYCLOPHOSPHAMIDE', '2-[BIS(2-CHLOROETHYLAMINO)]-TETRAHYDRO-2H-1,3,2-OXAZAPHOSPHORINE-2-OXIDE', 'ANHYDROUS CYCLOPHOSPHAMIDE', 'BIS(2-CHLOROETHYL)PHOSPHORAMIDE CYCLIC PROPANOLAMIDE ESTER', 'CICLOFOSFAMIDA', 'CICLOFOSFAMIDE', 'CYCLOPHOSPHAMID', 'CYCLOPHOSPHAMIDE', 'CYCLOPHOSPHAMIDE ANHYDROUS', 'CYCLOPHOSPHAMIDUM', 'CYTOPHOSPHANE', 'N,N-BIS(2-CHLOROETHYL)TETRAHYDRO-2H-1,3,2-OXAZAPHOSPHORIN-2-AMINE 2-OXIDE']
MEPHENYTOIN	['MEFENITOÍNA', 'MEPHENYTOIN']
ROFECOXIB	['3-PHENYL-4-[4-(METHYLSULFONYL)PHENYL]-2(5H)-FURANONE', '4-[4-(METHYLSULFONYL)PHENYL]-3-PHENYL-2(5H)-FURANONE', 'ROFÉCOXIB', 'ROFECOXIB', 'ROFECOXIBUM']
CHLORMERODRIN	['{3-[(AMINOCARBONYL)AMINO]-2-METHOXYPROPYL}CHLOROMERCURY', '1-[3-(CHLOROMERCURI)-2-METHOXYPROPYL]UREA', 'CHLORMERODRIN', 'CHLORMERODRINA', 'CHLORMERODRINE', 'CHLORMERODRINUM']
CEFDINIR	['(6R,7R,Z)-7-(2-(2-AMINOTHIAZOL-4-YL)-2-(HYDROXYIMINO)ACETAMIDO)-8-OXO-3-VINYL-5-THIA-1-AZA-BICYCLO[4.2.0]OCT-2-ENE-2-CARBOXYLIC ACID', '(6R,7R)-7-{2-(2-AMINO-THIAZOL-4-YL)-2-[(Z)-HYDROXYIMINO]-ACETYLAMINO}-8-OXO-3-VINYL-5-THIA-1-AZA-BICYCLO[4.2.0]OCT-2-ENE-2-CARBOXYLIC ACID', 'CEFDINIR', 'CEFDINIRUM', 'CFDN']
GUANIDINE	['AMINOMETHANAMIDINE', 'GU', 'GUANIDIN', 'GUANIDINE', 'IMIDOUREA', 'IMINOUREA']
CIPROFLOXACIN	['1-CYCLOPROPYL-6-FLUORO-1,4-DIHYDRO-4-OXO-7-(1-PIPERAZINYL)-3-QUINOLINECARBOXYLIC ACID', '1-CYCLOPROPYL-6-FLUORO-4-OXO-7-(PIPERAZIN-1-YL)-1,4-DIHYDROQUINOLINE-3-CARBOXYLIC ACID', '1-CYCLOPROPYL-6-FLUORO-4-OXO-7-PIPERAZIN-1-YL-1,4-DIHYDRO-QUINOLINE-3-CARBOXYLIC ACID', '1-CYCLOPROPYL-6-FLUORO-4-OXO-7-PIPERAZIN-1-YLQUINOLINE-3-CARBOXYLIC ACID', '1-CYCLOPROPYL-6-FLUORO-7-(4-METHYL-PIPERAZIN-1-YL)-4-OXO-1,4-DIHYDRO-QUINOLINE-3-CARBOXYLIC ACID', '1-CYCLOPROPYL-6-FLUORO-7-HEXAHYDRO-1-PYRAZINYL-4-OXO-1,4-DIHYDRO-3-QUINOLINECARBOXYLIC ACID', 'CIPROFLOXACIN', 'CIPROFLOXACINE', 'CIPROFLOXACINO', 'CIPROFLOXACINUM']
GADOVERSETAMIDE	['GADOVERSETAMID', 'GADOVERSETAMIDA', 'GADOVERSETAMIDE', 'GADOVERSETAMIDUM']
TOREMIFENE	['TOREMIFENE', 'TOREMIFENO', 'TOREMIFENUM']
NORTRIPTYLINE	['10,11-DIHYDRO-N-METHYL-5H-DIBENZO[A,D]CYCLOHEPTENE-Δ5,Γ-PROPYLAMINE', '3-(10,11-DIHYDRO-5H-DIBENZO[A,D]CYCLOHEPTEN-5-YLIDENE)-N-METHYL-1-PROPANAMINE', 'DEMETHYLAMITRIPTYLINE', 'DESMETHYLAMITRIPTYLINE', 'NORTRIPTYLINA', 'NORTRIPTYLINE', 'NORTRIPTYLINUM']
VINCRISTINE	['22-OXOVINCALEUKOBLASTIN', '22-OXOVINCALEUKOBLASTINE', 'LEUROCRISTINE', 'VINCRISTIN', 'VINCRISTINA', 'VINCRISTINE', 'VINCRISTINUM']
BENAZEPRIL	['BÉNAZÉPRIL', 'BENAZEPRIL', 'BENAZEPRILUM']
AMOXAPINE	['2-CHLORO-11-(1-PIPERAZINYL)DIBENZ(B,F)(1,4)OXAZEPINE', 'AMOXAPIN', 'AMOXAPINA', 'AMOXAPINE', 'AMOXAPINUM', 'AMOXEPINE', 'DESMETHYLLOXAPIN']
FLUOROURACIL	['5-FLUORACIL', '5-FLUOROPYRIMIDINE-2,4-DIONE', '5-FLUOROURACIL', '5-FLURACIL', '5-FU', 'FLUORO URACIL', 'FLUOROURACIL', 'FLUOROURACILO', 'FLUOROURACILUM', 'FLUOURACIL']
PYRIDOSTIGMINE	['PIRIDOSTIGMINA', 'PYRIDOSTIGMINE CATION']
ADINAZOLAM	['8-CHLORO-1-((DIMETHYLAMINO)METHYL)-6-PHENYL-4H-S-TRIAZOLO(4,3-A)(1,4)BENZODIAZEPINE', 'ADINAZOLAM', 'ADINAZOLAMUM']
DESOXIMETASONE	['(11Β,16Α)-9-FLUORO-11,21-DIHYDROXY-16-METHYLPREGNA-1,4-DIENE-3,20-DIONE', '9ALPHA-FLUORO-16ALPHA-METHYL-DELTA(1)-CORTICOSTERONE', 'DESOXIMETASON', 'DESOXIMETASONA', 'DÉSOXIMÉTASONE', 'DESOXIMETASONE', 'DESOXIMETASONUM', 'DESOXYMETHASONE']
AZELAIC ACID	['1,7-DICARBOXYHEPTANE', '1,7-HEPTANEDICARBOXYLIC ACID', '1,9-NONANEDIOIC ACID', 'ACIDE AZÉLAÏQUE', 'ÁCIDO AZELAICO', 'ACIDUM ACELAICUM', 'ACIDUM AZELAICUM', 'ANCHOIC ACID', 'AZELAIC ACID', 'AZELAINSÄURE', 'LEPARGYLIC ACID', 'N-NONANEDIOIC ACID', 'NONANDISÄURE', 'NONANEDIOIC ACID']
ZAFIRLUKAST	['4-(5-CYCLOPENTYLOXYCARBONYLAMINO-1-METHYL-1H-INDOL-3-YLMETHYL)-3-METHOXY-N-O-TOLYLSULFONYLBENZAMIDE', 'CYCLOPENTYL 3-(2-METHOXY-4-((O-TOLYLSULFONYL)CARBAMOYL)BENZYL)-1-METHYLINDOLE-5-CARBAMATE', 'ZAFIRLUKAST']
PROPYLTHIOURACIL	['2-MERCAPTO-6-PROPYL-4-PYRIMIDONE', '2-MERCAPTO-6-PROPYLPYRIMID-4-ONE', '2-THIO-4-OXO-6-PROPYL-1,3-PYRIMIDINE', '2-THIO-6-PROPYL-1,3-PYRIMIDIN-4-ONE', '4-PROPYL-2-THIOURACIL', '6-PROPYL-2-THIO-2,4(1H,3H)PYRIMIDINEDIONE', '6-PROPYL-2-THIOURACIL', '6-PROPYL-2-THIOXO-2,3-DIHYDROPYRIMIDIN-4(1H)-ONE', '6-PROPYLTHIOURACIL', '6-THIO-4-PROPYLURACIL', 'PROPILTIOURACILO', 'PROPYLTHIOURACIL', 'PROPYLTHIOURACILE', 'PROPYLTHIOURACILUM']
ACETOHYDROXAMIC ACID	['ACETHYDROXAMSAEURE', 'ACETIC ACID, OXIME', 'ACETOHYDROXAMATE', 'ACETOHYDROXAMIC ACID', 'ACETOHYDROXIMIC ACID', 'ACETYL HYDROXYAMINO', 'ACETYLHYDROXAMIC ACID', 'ACIDE ACETOHYDROXAMIQUE', 'ACIDO ACETOHIDROXAMICO', 'ACIDUM ACETOHYDROXAMICUM', 'AHA', 'CETOHYROXAMIC ACID', 'METHYLHYDROXAMIC ACID', 'N-ACETYL HYDROXYACETAMIDE', 'N-ACETYLHYDROXYLAMINE', 'N-HYDROXYACETAMIDE']
PENTOSTATIN	['CO-VIDARABINE', 'PENTOSTATIN', 'PENTOSTATINA', 'PENTOSTATINE', 'PENTOSTATINUM']
METHOXSALEN	"['6-HYDROXY-7-METHOXY-5-BENZOFURANACRYLIC ACID Δ-LACTONE', ""8-METHOXY-[FURANO-3'.2':6.7-COUMARIN]"", ""8-METHOXY-2',3',6,7-FUROCOUMARIN"", ""8-METHOXY-4',5':6,7-FUROCOUMARIN"", '8-METHOXYFURANOCOUMARIN', '8-METHOXYPSORALEN', '8-MOP', '8-MP', '9-METHOXY-7H-FURO[3,2-G][1]BENZOPYRAN-7-ONE', 'AMMOIDIN', 'METHOXSALEN', 'MÉTHOXSALÈNE', 'METOXALENO', 'O-METHYLXANTHOTOXOL', 'XANTHOTOXIN', 'XANTHOTOXINE']"
PIROXICAM	['4-HYDROXY-2-METHYL-N-(2-PYRIDYL)-2H-1,2-BENZOTHIAZIN-3-CABOXYAMID-1,1-DIOXID', 'PIROXICAM', 'PIROXICAM BETADEX', 'PIROXICAMUM', 'PYROXYCAM']
LAMOTRIGINE	['3,5-DIAMINO-6-(2,3-DICHLOROPHENYL)-1,2,4-TRIAZINE', 'LAMOTRIGINA', 'LAMOTRIGINE', 'LAMOTRIGINUM']
PERFLUTREN	['1,1,1,2,2,3,3,3-OCTAFLUOROPROPANE', 'FREON 218', 'OCTAFLUOROPROPANE', 'OCTAFLUORPROPAN', 'OKTAFLUORPROPAN', 'PERFLUOROPROPANE', 'PERFLUTREN', 'PERFLUTRENO']
HYDROXYZINE	['HIDROXIZINA', 'HYCHOTINE', 'HYDROKSYZYNY', 'HYDROXINE', 'HYDROXIZINE', 'HYDROXIZINUM', 'HYDROXYCINE', 'HYDROXYZIN', 'HYDROXYZINE', 'HYDROXYZINUM', 'IDROSSIZINA']
ZANAMIVIR	['(2R,3R,4S)-3-(ACETYLAMINO)-4-CARBAMIMIDAMIDO-2-[(1R,2R)-1,2,3-TRIHYDROXYPROPYL]-3,4-DIHYDRO-2H-PYRAN-6-CARBOXYLIC ACID', '4-GUANIDINO-2,4-DIDEOXY-2,3-DEHYDRO-N-ACETYLNEURAMINIC ACID', '4-GUANIDINO-NEU5AC2EN', '5-(ACETYLAMINO)-2,6-ANHYDRO-4-CARBAMIMIDAMIDO-3,4,5-TRIDEOXY-D-GLYCERO-D-GALACTO-NON-2-ENONIC ACID', '5-ACETAMIDO-2,6-ANHYDRO-3,4,5-TRIDEOXY-4-GUANIDINO-D-GLYCERO-D-GALACTO-NON-2-ENONIC ACID', 'GANA', 'ZANAMIVIR']
BOSENTAN	"[""4-(1,1-DIMETHYLETHYL)-N-(6-(2-HYDROXYETHOXY)-5-(2-METHOXYPHENOXY)-(2,2'-BIPYRIMIDIN)-4-YL) BENZENESULFORNAMIDE"", 'BOSENTÁN', 'BOSENTAN', 'BOSENTAN ANHYDROUS', 'BOSENTANUM', 'P-TERT-BUTYL-N-(6-(2-HYDROXYETHOXY)-5-(O-METHOXYPHENOXY)-2-(2-PYRIMIDINYL)-4-PYRIMIDINYL)BENZENESULFONAMIDE']"
TIGECYCLINE	['(4S,4AS,5AR,12AS)-9-(2-(TERT-BUTYLAMINO)ACETAMIDO)-4,7-BIS(DIMETHYLAMINO)-1,4,4A,5,5A,6,11,12A-OCTAHYDRO-3,10,12,12A-TETRAHYDROXY-1,11-DIOXO-2-NAPHTHACENECARBOXAMIDE', 'TIGECICLINA', 'TIGECYCLINE', 'TIGECYCLINUM']
DOXAPRAM	['(±)-DOXAPRAM', '1-ETHYL-4-(2-MORPHOLINOETHYL)-3,3-DIPHENYL-2-PYRROLIDINONE', 'DOXAPRAM', 'DOXAPRAMUM']
BENZTHIAZIDE	['3-((BENZYLTHIO)METHYL)-6-CHLORO-7-SULFAMOYL-2H-BENZO-1,2,4-THIADIAZINE 1,1-DIOXIDE', '3-BENZYLTHIOMETHYL-6-CHLORO-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE', '3-BENZYLTHIOMETHYL-6-CHLORO-7-SULFAMOYL-1,2,4-BENZOTHIADIAZINE 1,1-DIOXIDE', '6-CHLORO-1,1-DIOXO-3-(PHENYLMETHYLSULFANYLMETHYL)-4H-BENZO[E][1,2,4]THIADIAZINE-7-SULFONAMIDE', '6-CHLORO-7-SULFAMOYL-3-BENZYLTHIOMETHYL-2H-1,2,4-BENZOTHIADIAZINE 1,1-DIOXIDE', 'BENZOTHIAZIDE', 'BENZOTIAZIDA', 'BENZTHIAZID', 'BENZTHIAZIDE', 'BENZTHIAZIDUM', 'BENZTIAZIDE']
METHOTREXATE	['4-AMINO-10-METHYLFOLIC ACID', '4-AMINO-N(10)-METHYLPTEROYLGLUTAMIC ACID', 'AMETHOPTERIN', 'METHOTREXAT', 'MÉTHOTREXATE', 'METHOTREXATE', 'METHOTREXATUM', 'METOTREXATO', 'MTX', 'N-[4-[[(2,4-DIAMINO-6-PTERIDINYL)METHYL]METHYLAMINO]BENZOYL]-L-GLUTAMIC ACID']
CARBAMAZEPINE	['5-CARBAMOYL-5H-DIBENZ(B,F)AZEPINE', '5-CARBAMOYL-5H-DIBENZ[B,F]AZEPINE', '5-CARBAMOYL-5H-DIBENZO(B,F)AZEPINE', '5-CARBAMYL-5H-DIBENZO(B,F)AZEPINE', '5H-DIBENZ(B,F)AZEPINE-5-CARBOXAMIDE', 'CARBAMAZEPEN', 'CARBAMAZEPIN', 'CARBAMAZEPINA', 'CARBAMAZÉPINE', 'CARBAMAZEPINE', 'CARBAMAZEPINUM', 'CBZ']
CISATRACURIUM	['CISATRACURIUM CATION']
SUCCIMER	['DIM-SA', 'DMS', 'DMS-A', 'DMSA', 'MESO-2,3-DIMERCAPTOBERNSTEINSÄURE', 'MESO-2,3-DIMERCAPTOSUCCINIC ACID', 'MESO-DIMERCAPTOSUCCINIC ACID', 'SUCCIMER', 'SUCCIMERO']
CEPHALEXIN	['(6R,7R)-7-{[(2R)-2-AMINO-2-PHENYLACETYL]AMINO}-3-METHYL-8-OXO-5-THIA-1-AZABICYCLO[4.2.0]OCT-2-ENE-2-CARBOXYLIC ACID', '7-(D-ALPHA-AMINOPHENYLACETAMIDO)DESACETOXYCEPHALOSPORANIC ACID', '7-BETA-(D-ALPHA-AMINO-ALPHA-PHENYLACETYLAMINO)-3-METHYL-3-CEPHEM-4-CARBOXYLIC ACID', 'ANHYDROUS CEFALEXIN', 'ANHYDROUS CEPHALEXIN', 'CEFALEXIN', 'CEFALEXIN ANHYDROUS', 'CEFALEXINA', 'CÉFALEXINE', 'CEFALEXINUM', 'CEPHALEXIN ANHYDROUS']
CINNARIZINE	['1-(DIPHENYLMETHYL)-4-(3-PHENYL-2-PROPENYL)PIPERAZINE', '1-BENZHYDRYL-4-CINNAMYLPIPERAZIN', '1-CINNAMYL-4-(DIPHENYLMETHYL)PIPERAZINE', 'CINARIZINA', 'CINNARIZINE', 'CINNARIZINUM']
FONDAPARINUX	['NATURAL HEPARIN PENTASACCHARIDE']
VINBLASTINE	['VINBLASTIN', 'VINBLASTINA', 'VINBLASTINE', 'VINBLASTINUM', 'VINCALEUKOBLASTINE']
PROPRANOLOL	['1-((1-METHYLETHYL)AMINO)-3-(1-NAPHTHALENYLOXY)-2-PROPANOL', '1-(ISOPROPYLAMINO)-3-(1-NAPHTHYLOXY)PROPAN-2-OL', 'BETA-PROPRANOLOL', 'PROPANALOL', 'PROPANOLOL', 'PROPRANOLOL', 'PROPRANOLOLO', 'PROPRANOLOLUM', 'Β-PROPRANOLOL']
ATROPINE	['(±)-ATROPINE', '(±)-HYOSCYAMINE', 'ATROPIN', 'ATROPINA', 'ATROPINE', 'ATROPINUM', 'DL-HYOSCYAMINE', 'DL-TROPYLTROPATE', 'TROPINE TROPATE']
FENOPROFEN	['(+/-)-FENOPROFEN', '(+/-)-M-PHENOXYHYDRATROPIC ACID', '(±)-2-(3-PHENOXYPHENYL)PROPIONIC ACID', '2-(3-PHENOXYPHENYL)PROPIONIC ACID', '2-(M-PHENOXYPHENYL)PROPIONIC ACID', '3-PHENOXYHYDRATROPIC ACID', 'DL-2-(3-PHENOXYPHENYL)PROPIONIC ACID', 'FENOPROFEN', 'FÉNOPROFÈNE', 'FENOPROFENO', 'FENOPROFENUM', 'Α-(M-PHENOXYPHENYL)PROPIONIC ACID', 'Α-METHYL-3-PHENOXYBENZENEACETIC ACID']
FENFLURAMINE	['FENFLURAMINA', 'FENFLURAMINE', 'FENFLURAMINUM']
CLONIDINE	['2-((2,6-DICHLOROPHENYL)IMINO)IMIDAZOLIDINE', '2,6-DICHLORO-N-2-IMIDAZOLIDINYLIDENEBENZENAMINE', 'CHLOFAZOLINE', 'CLONIDIN', 'CLONIDINA', 'CLONIDINE', 'CLONIDINUM']
SULFAMETHIZOLE	['SULFAMETHIZOL', 'SULFAMÉTHIZOL', 'SULFAMETHIZOLE', 'SULFAMETHIZOLUM', 'SULFAMETHYLTHIADIAZOLE', 'SULFAMETIZOL']
VALACICLOVIR	['L-VALINE ESTER WITH 9-((2-HYDROXYETHOXY)METHYL)GUANINE', 'L-VALINE, 2-((2-AMINO-1,6-DIHYDRO-6-OXO-9H-PURIN-9-YL)METHOXY)ETHYL ESTER', 'VALACICLOVIR', 'VALACICLOVIRUM', 'VALACYCLOVIR']
CARBENICILLIN	['(2S,5R,6R)-6-{[CARBOXY(PHENYL)ACETYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC ACID', 'CARBENICILINA', 'CARBENICILLIN', 'CARBENICILLINE', 'CARBENICILLINUM', 'CARBOXYBENZYLPENICILLIN', 'CBPC', 'N-(2-CARBOXY-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO(3.2.0)HEPT-6-YL)-2-PHENYLMALONAMIC ACID', 'Α-CARBOXYBENZYLPENCILLIN', 'Α-PHENYL(CARBOXYMETHYLPENICILLIN)']
MAZINDOL	['MAZINDOL', 'MAZINDOLO', 'MAZINDOLUM']
