Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016
BB5B400	1	1	[M]Glucagonoma NOS		[M] Benign	Pancreas	Pancreas
BB5Bz00	15	15	[M]Pancreatic adenoma or carcinoma NOS		[M] Cancer	pancreas	pancreas
BB5c.00	47	46	[M]Parathyroid adenomas and adenocarcinomas		[M] Cancer	Parathyroid	Parathyroid
B18..00	9	9	Malignant neoplasm of retroperitoneum and peritoneum		Cancer	Peritoneum	Peritoneum
BB5y400	87	63	[M]Prolactinoma		[M] Benign	Pituitary	Pituitary
B23..00	8	8	Malignant neoplasm of pleura		Cancer	Pleura	Pleura
4M0..00	53	52	Gleason grading of prostate cancer		Anc	Prostate	Prostate
B46..00	5950	4663	Malignant neoplasm of prostate		Cancer	Prostate	Prostate
B834.00	428	375	Carcinoma in situ of prostate		CIS	prostate	prostate
B915.00	4	4	Neoplasm of uncertain behaviour of prostate		Ca_bg	prostate	prostate
B2...00	68	63	Malig neop of respiratory tract and intrathoracic organs		Cancer	na	Respiratory tract 
B2z0.00	2	2	Malig neop of upper respiratory tract, part unspecified		Cancer	na	Respiratory tract 
B2zy.00	1	1	Malignant neoplasm of other site of respiratory tract		Cancer	na	Respiratory tract 
B2zz.00	27	25	Malignant neoplasm of respiratory tract NOS		Cancer	na	Respiratory tract 
B81..00	1	1	Carcinoma in situ of respiratory system		CIS	na	Respiratory tract 
Byu2.00	16	16	[X]Malignant neoplasm of respiratory and intrathoracic orga		Cancer	na	Respiratory tract 
B338.00	1411	1146	Squamous cell carcinoma of skin		Cancer	SCC	Skin
B8...11	2291	1707	Bowen's disease		CIS	SCC	Skin
B33..00	223	206	Other malignant neoplasm of skin		Cancer	Skin	Skin
BA02200	22	17	Neoplasm of unspecified nature of skin		Ca_bg	Skin	Skin
BB6..00	10	10	[M]Adnexal and skin appendage neoplasms		[M] Benign	Skin	Skin
BBE0.00	161	144	[M]Pigmented naevus NOS		[M] Benign	Skin	Skin
BBE1.00	286	228	[M]Malignant melanoma NOS		[M] Cancer	Skin	Skin
BBEJ.00	1013	946	[M]Intradermal naevus		[M] Benign	Skin	Skin
BBEK.00	394	378	[M]Compound naevus		[M] Benign	Skin	Skin
BBEY.00	195	184	[M]Dysplastic naevus		[M] Benign	Skin	Skin
Byu5A00	3	3	[X]Malignant neoplasm overlapping lesion of skin		[M] Cancer	Skin	Skin
B12..00	6	6	Malignant neoplasm of small intestine and duodenum		Cancer	Small intestine	Small intestine
B902100	2	2	Neoplasm of uncertain behaviour of duodenum		Ca_bg	Small intestine	Small intestine
B902200	1	1	Neoplasm of uncertain behaviour of jejunum		Ca_bg	Small intestine	Small intestine
B11..00	0	0	Malignant neoplasm of stomach		Cancer	Stomach	Stomach
B802.00	23	20	Carcinoma in situ of stomach		CIS	Stomach	Stomach
B902000	1	1	Neoplasm of uncertain behaviour of stomach		Ca_bg	Stomach	Stomach
BB5C.00	0	0	[M]Gastrinoma and carcinomas		[M] Cancer	Stomach	Stomach
BB5C100	0	0	[M]Gastrinoma, malignant		[M] Cancer	Stomach	Stomach
BB5Cz00	0	0	[M]Gastrinoma or carcinoma NOS		[M] Cancer	Stomach	Stomach
B47..00	46	40	Malignant neoplasm of testis		Cancer	Testis	Testis
B53..00	153	137	Malignant neoplasm of thyroid gland		Cancer	Thyroid	Thyroid
BB5f.00	5	4	[M]Thyroid adenoma and adenocarcinoma		[M] Cancer	Thyroid	Thyroid
BB5f000	25	22	[M]Follicular adenoma		[M] Benign	Thyroid	Thyroid
BB5f511	7	7	[M]Colloid adenoma		[M] Benign	Thyroid	Thyroid
B40..00	117	107	Malignant neoplasm of uterus, part unspecified		Cancer	Uterus	Uterus
B41..00	141	123	Malignant neoplasm of cervix uteri		Cancer	Cervix Uteri	Uterus
B43..00	181	174	Malignant neoplasm of body of uterus		Cancer	Uterus	Uterus
B832.00	2	2	Carcinoma in situ of other and unspecified parts of uterus		CIS	uterus	uterus
BB5j.00	131	122	[M]Endometrioid adenomas and carcinomas		[M] Cancer	Uterus	Uterus
BBK0011	904	811	[M]Fibroid uterus		[M] Benign	Uterus	Uterus
ByuFA00	1	1	[X]Carcinoma in situ of other parts of cervix		[M] CIS	Cervix Uteri	Uterus
B45..00	12	11	Malig neop of other and unspecified female genital organs		Cancer	Vagina / Vulva	Uterus
B937.00			Neop uncertain behaviour other lymphatic/haematopoietic tiss		Ca_bg	na	Blood
ZV10.00			Personal history of malignant neoplasm		Cancer_history	na	na
