ndc	atc	description
00338-0807-04	V04CA	Tests for diabetes
00338-0807-04	V06DC	Carbohydrates
00338-0807-04	A12BA	Potassium
00338-0807-04	B05XA	Electrolyte solutions
00338-0807-04	A12CA	Sodium
00338-0807-04	B05CB	Salt solutions
00338-0811-04	A12AA	Calcium
00338-0811-04	B05XA	Electrolyte solutions
00338-0811-04	G04BA	Acidifiers
00338-0811-04	B05CX	Other irrigating solutions
00338-0811-04	V04CA	Tests for diabetes
00338-0811-04	V06DC	Carbohydrates
00338-0811-04	A12BA	Potassium
00338-0811-04	A12CA	Sodium
00338-0811-04	B05CB	Salt solutions
00338-1007-02	C01CA	Adrenergic and dopaminergic agents
00338-1013-41	J01CF	Beta-lactamase resistant penicillins
00338-1015-41	J01CF	Beta-lactamase resistant penicillins
00338-1017-41	J01CF	Beta-lactamase resistant penicillins
00338-1023-41	J01CE	Beta-lactamase sensitive penicillins
00338-1023-41	S01AA	Antibiotics
00338-1025-41	J01CE	Beta-lactamase sensitive penicillins
00338-1025-41	S01AA	Antibiotics
00338-1047-02	C01DA	Organic nitrates
00338-1047-02	C05AE	Muscle relaxants
00338-1049-02	C01DA	Organic nitrates
00338-1049-02	C05AE	Muscle relaxants
00338-1073-02	C01CA	Adrenergic and dopaminergic agents
00338-1075-02	C01CA	Adrenergic and dopaminergic agents
00338-1077-02	C01CA	Adrenergic and dopaminergic agents
00338-1301-41	J01DE	Fourth-generation cephalosporins
00338-1301-48	J01DE	Fourth-generation cephalosporins
00338-1305-01	R05CB	Mucolytics
00338-1305-01	V03AF	Detoxifying agents for antineoplastic treatment
00338-3508-41	J01DB	First-generation cephalosporins
00338-3552-48	A07AA	Antibiotics
00338-3552-48	J01XA	Glycopeptide antibacterials
00338-5197-41	A02BA	H2-receptor antagonists
00338-9549-24	D10AF	Antiinfectives for treatment of acne
00338-9549-24	G01AA	Antibiotics
00338-9549-24	J01FF	Lincosamides
00338-9553-24	D10AF	Antiinfectives for treatment of acne
00338-9553-24	G01AA	Antibiotics
00338-9553-24	J01FF	Lincosamides
00378-0060-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0076-01	M01AE	Propionic acid derivatives
00378-0076-01	M02AA	"Antiinflammatory preparations, non-steroids for topical use"
00378-0076-01	R02AX	Other throat preparations
00378-0076-01	S01BC	"Antiinflammatory agents, non-steroids"
00378-0081-01	C09AA	"ACE inhibitors, plain"
00378-0081-01	C03AA	"Thiazides, plain"
00378-0084-01	C09AA	"ACE inhibitors, plain"
00378-0084-01	C03AA	"Thiazides, plain"
00378-0087-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0092-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0150-01	C03AA	"Thiazides, plain"
00378-0211-01	N05BA	Benzodiazepine derivatives
00378-0211-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0215-01	A10BB	Sulfonylureas
00378-0215-01	V04CA	Tests for diabetes
00378-0221-01	C07AA	"Beta blocking agents, non-selective"
00378-0221-01	S01ED	Beta blocking agents
00378-0277-01	N05BA	Benzodiazepine derivatives
00378-0277-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0313-01	M01AB	Acetic acid derivatives and related substances
00378-0313-01	M02AA	"Antiinflammatory preparations, non-steroids for topical use"
00378-0330-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0330-01	N05AB	Phenothiazines with piperazine structure
00378-0442-01	N06AA	Non-selective monoamine reuptake inhibitors
00378-0442-01	N05AB	Phenothiazines with piperazine structure
00378-0460-01	C03DB	Other potassium-sparing agents
00378-0460-01	C03AA	"Thiazides, plain"
00378-0464-01	C03DB	Other potassium-sparing agents
00378-0464-01	C03AA	"Thiazides, plain"
00378-0551-01	A10BB	Sulfonylureas
00378-0715-01	C07AA	"Beta blocking agents, non-selective"
00378-0715-01	S01ED	Beta blocking agents
00378-0731-01	C03AA	"Thiazides, plain"
00378-0731-01	C07AA	"Beta blocking agents, non-selective"
00378-2222-01	C08CA	Dihydropyridine derivatives
00378-2223-01	C08CA	Dihydropyridine derivatives
00378-2670-01	N03AB	Hydantoin derivatives
00378-3266-32	L01CB	Podophyllotoxin derivatives
00378-3340-16	G03AA	"Progestogens and estrogens, fixed combinations"
00378-3340-16	G03CA	"Natural and semisynthetic estrogens, plain"
00378-3340-16	L02AA	Estrogens
00378-3520-91	J05AE	Protease inhibitors
00378-3750-01	N03AB	Hydantoin derivatives
00378-4122-01	R03AC	Selective beta-2-adrenoreceptor agonists
00378-4122-01	R03CC	Selective beta-2-adrenoreceptor agonists
00378-4124-01	R03AC	Selective beta-2-adrenoreceptor agonists
00378-4124-01	R03CC	Selective beta-2-adrenoreceptor agonists
00378-4593-01	C07AB	"Beta blocking agents, selective"
00378-4594-01	C07AB	"Beta blocking agents, selective"
00378-6141-44	D10AD	Retinoids for topical use in acne
00378-6141-44	L01XX	Other antineoplastic agents
00378-6151-46	D01AE	Other antifungals for topical use
00378-6380-01	C08DA	Phenylalkylamine derivatives
00378-6440-01	C08DA	Phenylalkylamine derivatives
00378-6550-53	G03AA	"Progestogens and estrogens, fixed combinations"
00378-6550-53	G03AB	"Progestogens and estrogens, sequential preparations"
00378-6550-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-6550-53	L02AA	Estrogens
00378-6550-53	G03AC	Progestogens
00378-6550-53	G03AD	Emergency contraceptives
00378-6611-85	D10AD	Retinoids for topical use in acne
00378-6611-85	D10BA	Retinoids for treatment of acne
00378-6612-85	D10AD	Retinoids for topical use in acne
00378-6612-85	D10BA	Retinoids for treatment of acne
00378-6614-85	D10AD	Retinoids for topical use in acne
00378-6614-85	D10BA	Retinoids for treatment of acne
00378-6960-32	L03AX	Other immunostimulants
00378-6961-12	L03AX	Other immunostimulants
00378-6991-52	R03AC	Selective beta-2-adrenoreceptor agonists
00378-6991-52	R03CC	Selective beta-2-adrenoreceptor agonists
00378-6997-89	A12CA	Sodium
00378-6997-89	B05CB	Salt solutions
00378-6997-89	B05XA	Electrolyte solutions
00378-6998-89	A12CA	Sodium
00378-6998-89	B05CB	Salt solutions
00378-6998-89	B05XA	Electrolyte solutions
00378-7283-53	B03AA	"Iron bivalent, oral preparations"
00378-7283-53	B03AD	Iron in combination with folic acid
00378-7283-53	G03AA	"Progestogens and estrogens, fixed combinations"
00378-7283-53	G03AB	"Progestogens and estrogens, sequential preparations"
00378-7283-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7283-53	L02AA	Estrogens
00378-7283-53	G03AC	Progestogens
00378-7283-53	G03DC	Estren derivatives
00378-7285-90	G03AA	"Progestogens and estrogens, fixed combinations"
00378-7285-90	G03AB	"Progestogens and estrogens, sequential preparations"
00378-7285-90	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7285-90	L02AA	Estrogens
00378-7285-90	G03AC	Progestogens
00378-7285-90	G03AD	Emergency contraceptives
00378-7296-53	G03AC	Progestogens
00378-7296-53	G03AA	"Progestogens and estrogens, fixed combinations"
00378-7296-53	G03AB	"Progestogens and estrogens, sequential preparations"
00378-7296-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7296-53	L02AA	Estrogens
00378-7301-53	B03AA	"Iron bivalent, oral preparations"
00378-7301-53	B03AD	Iron in combination with folic acid
00378-7301-53	G03AA	"Progestogens and estrogens, fixed combinations"
00378-7301-53	G03AB	"Progestogens and estrogens, sequential preparations"
00378-7301-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7301-53	L02AA	Estrogens
00378-7301-53	G03AC	Progestogens
00378-7301-53	G03DC	Estren derivatives
00378-7306-53	G03DC	Estren derivatives
00378-7306-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7306-53	L02AA	Estrogens
00378-7307-53	G03DC	Estren derivatives
00378-7307-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7307-53	L02AA	Estrogens
00378-7308-53	B03AA	"Iron bivalent, oral preparations"
00378-7308-53	B03AD	Iron in combination with folic acid
00378-7308-53	G03AA	"Progestogens and estrogens, fixed combinations"
00378-7308-53	G03AB	"Progestogens and estrogens, sequential preparations"
00378-7308-53	G03CA	"Natural and semisynthetic estrogens, plain"
00378-7308-53	L02AA	Estrogens
00378-7308-53	G03AC	Progestogens
00378-7308-53	G03DC	Estren derivatives
00378-9040-01	A16AA	Amino acids and derivatives
00378-9040-01	S01XA	Other ophthalmologicals
00378-9045-01	A16AA	Amino acids and derivatives
00378-9045-01	S01XA	Other ophthalmologicals
00394-0102-02	A02AC	Calcium compounds
00394-0102-02	A12AA	Calcium
00394-0102-02	A01AA	Caries prophylactic agents
00394-0102-02	A12CD	Fluoride
00394-0122-02	A12CB	Zinc
00394-0122-51	A12CB	Zinc
00394-0124-02	A12CB	Zinc
00394-0499-02	A12CB	Zinc
00406-0527-10	N07BC	Drugs used in opioid dependence
00406-8553-50	N02BE	Anilides
00406-8553-50	N02AA	Natural opium alkaloids
00406-9907-03	N06AA	Non-selective monoamine reuptake inhibitors
00406-9913-03	N06AA	Non-selective monoamine reuptake inhibitors
00406-9915-01	N05CD	Benzodiazepine derivatives
00406-9917-01	N05CD	Benzodiazepine derivatives
00406-9921-03	N06AA	Non-selective monoamine reuptake inhibitors
00406-9922-03	N06AA	Non-selective monoamine reuptake inhibitors
00409-0219-01	J01DE	Fourth-generation cephalosporins
00409-0220-01	J01DE	Fourth-generation cephalosporins
00409-0996-01	A01AD	Other agents for local oral treatment
00409-0996-01	B02BC	Local hemostatics
00409-0996-01	C01CA	Adrenergic and dopaminergic agents
00409-0996-01	R01AA	"Sympathomimetics, plain"
00409-0996-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-0996-01	S01EA	Sympathomimetics in glaucoma therapy
00409-0996-01	C01BB	"Antiarrhythmics, class Ib"
00409-0996-01	C05AD	Local anesthetics
00409-0996-01	D04AB	Anesthetics for topical use
00409-0996-01	N01BB	Amides
00409-0996-01	R02AD	"Anesthetics, local"
00409-0996-01	S01HA	Local anesthetics
00409-0996-01	S02DA	Analgesics and anesthetics
00409-1134-03	N02AA	Natural opium alkaloids
00409-1176-03	N02AB	Phenylpiperidine derivatives
00409-1179-03	N02AB	Phenylpiperidine derivatives
00409-1180-59	N02AB	Phenylpiperidine derivatives
00409-1187-01	N05AD	Butyrophenone derivatives
00409-1283-03	N02AA	Natural opium alkaloids
00409-1283-04	N02AA	Natural opium alkaloids
00409-1304-03	N02AA	Natural opium alkaloids
00409-1312-03	N02AA	Natural opium alkaloids
00409-1316-11	B01AB	Heparin group
00409-1316-11	C05BA	Heparins or heparinoids for topical use
00409-1316-11	S01XA	Other ophthalmologicals
00409-1402-12	B01AB	Heparin group
00409-1402-12	C05BA	Heparins or heparinoids for topical use
00409-1402-12	S01XA	Other ophthalmologicals
00409-1639-10	C03CA	"Sulfonamides, plain"
00409-1754-10	A06AD	Osmotically acting laxatives
00409-1754-10	A12CC	Magnesium
00409-1754-10	B05XA	Electrolyte solutions
00409-1754-10	D11AX	Other dermatologicals
00409-1754-10	V04CC	Tests for bile duct patency
00409-1782-03	A06AH	Peripheral opioid receptor antagonists
00409-1782-03	V03AB	Antidotes
00409-1890-01	N02AA	Natural opium alkaloids
00409-1891-01	N02AA	Natural opium alkaloids
00409-1893-01	N02AA	Natural opium alkaloids
00409-1985-05	N05BA	Benzodiazepine derivatives
00409-2025-20	C01CA	Adrenergic and dopaminergic agents
00409-2287-03	M01AB	Acetic acid derivatives and related substances
00409-2287-03	S01BC	"Antiinflammatory agents, non-steroids"
00409-2585-01	J01DB	First-generation cephalosporins
00409-2987-03	J01CR	"Combinations of penicillins, incl. beta-lactamase inhibitors"
00409-2987-03	J01CG	Beta-lactamase inhibitors
00409-2987-03	J01CA	Penicillins with extended spectrum
00409-2987-03	S01AA	Antibiotics
00409-3177-01	A01AD	Other agents for local oral treatment
00409-3177-01	B02BC	Local hemostatics
00409-3177-01	C01CA	Adrenergic and dopaminergic agents
00409-3177-01	R01AA	"Sympathomimetics, plain"
00409-3177-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-3177-01	S01EA	Sympathomimetics in glaucoma therapy
00409-3177-01	C01BB	"Antiarrhythmics, class Ib"
00409-3177-01	C05AD	Local anesthetics
00409-3177-01	D04AB	Anesthetics for topical use
00409-3177-01	N01BB	Amides
00409-3177-01	R02AD	"Anesthetics, local"
00409-3177-01	S01HA	Local anesthetics
00409-3177-01	S02DA	Analgesics and anesthetics
00409-3356-01	N02AA	Natural opium alkaloids
00409-3814-12	N02AA	Natural opium alkaloids
00409-3815-12	N02AA	Natural opium alkaloids
00409-3863-05	J05AD	Phosphonic acid derivatives
00409-4275-01	C01BB	"Antiarrhythmics, class Ib"
00409-4275-01	C05AD	Local anesthetics
00409-4275-01	D04AB	Anesthetics for topical use
00409-4275-01	N01BB	Amides
00409-4275-01	R02AD	"Anesthetics, local"
00409-4275-01	S01HA	Local anesthetics
00409-4275-01	S02DA	Analgesics and anesthetics
00409-4278-01	C01BB	"Antiarrhythmics, class Ib"
00409-4278-01	C05AD	Local anesthetics
00409-4278-01	D04AB	Anesthetics for topical use
00409-4278-01	N01BB	Amides
00409-4278-01	R02AD	"Anesthetics, local"
00409-4278-01	S01HA	Local anesthetics
00409-4278-01	S02DA	Analgesics and anesthetics
00409-4283-01	C01BB	"Antiarrhythmics, class Ib"
00409-4283-01	C05AD	Local anesthetics
00409-4283-01	D04AB	Anesthetics for topical use
00409-4283-01	N01BB	Amides
00409-4283-01	R02AD	"Anesthetics, local"
00409-4283-01	S01HA	Local anesthetics
00409-4283-01	S02DA	Analgesics and anesthetics
00409-4346-09	B02AA	Amino acids
00409-4646-01	M03AC	Other quaternary ammonium compounds
00409-4712-01	C01BB	"Antiarrhythmics, class Ib"
00409-4712-01	C05AD	Local anesthetics
00409-4712-01	D04AB	Anesthetics for topical use
00409-4712-01	N01BB	Amides
00409-4712-01	R02AD	"Anesthetics, local"
00409-4712-01	S01HA	Local anesthetics
00409-4712-01	S02DA	Analgesics and anesthetics
00409-4776-01	C01BB	"Antiarrhythmics, class Ib"
00409-4776-01	C05AD	Local anesthetics
00409-4776-01	D04AB	Anesthetics for topical use
00409-4776-01	N01BB	Amides
00409-4776-01	R02AD	"Anesthetics, local"
00409-4776-01	S01HA	Local anesthetics
00409-4776-01	S02DA	Analgesics and anesthetics
00409-4900-34	B05CB	Salt solutions
00409-4900-34	B05XA	Electrolyte solutions
00409-4904-34	C01BB	"Antiarrhythmics, class Ib"
00409-4904-34	C05AD	Local anesthetics
00409-4904-34	D04AB	Anesthetics for topical use
00409-4904-34	N01BB	Amides
00409-4904-34	R02AD	"Anesthetics, local"
00409-4904-34	S01HA	Local anesthetics
00409-4904-34	S02DA	Analgesics and anesthetics
00409-5082-16	J01DD	Third-generation cephalosporins
00409-5086-11	J01DD	Third-generation cephalosporins
00409-5534-34	B05CB	Salt solutions
00409-5534-34	B05XA	Electrolyte solutions
00409-5820-01	C01CA	Adrenergic and dopaminergic agents
00409-5921-01	R03DA	Xanthines
00409-5922-01	R03DA	Xanthines
00409-6476-44	D10AF	Antiinfectives for treatment of acne
00409-6476-44	J01FA	Macrolides
00409-6476-44	S01AA	Antibiotics
00409-6629-02	M03AB	Choline derivatives
00409-6648-02	B05CX	Other irrigating solutions
00409-6648-02	V04CA	Tests for diabetes
00409-6648-02	V06DC	Carbohydrates
00409-7241-01	A01AD	Other agents for local oral treatment
00409-7241-01	B02BC	Local hemostatics
00409-7241-01	C01CA	Adrenergic and dopaminergic agents
00409-7241-01	R01AA	"Sympathomimetics, plain"
00409-7241-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-7241-01	S01EA	Sympathomimetics in glaucoma therapy
00409-7248-03	B05AA	Blood substitutes and plasma protein fractions
00409-7333-04	J01DD	Third-generation cephalosporins
00409-7336-04	J01DD	Third-generation cephalosporins
00409-7551-01	N01BB	Amides
00409-7600-01	N01BB	Amides
00409-7600-01	A01AD	Other agents for local oral treatment
00409-7600-01	B02BC	Local hemostatics
00409-7600-01	C01CA	Adrenergic and dopaminergic agents
00409-7600-01	R01AA	"Sympathomimetics, plain"
00409-7600-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-7600-01	S01EA	Sympathomimetics in glaucoma therapy
00409-7713-09	A06AD	Osmotically acting laxatives
00409-7713-09	B05BC	Solutions producing osmotic diuresis
00409-7713-09	B05CX	Other irrigating solutions
00409-7713-09	R05CB	Mucolytics
00409-9042-01	N01BB	Amides
00409-9042-01	A01AD	Other agents for local oral treatment
00409-9042-01	B02BC	Local hemostatics
00409-9042-01	C01CA	Adrenergic and dopaminergic agents
00409-9042-01	R01AA	"Sympathomimetics, plain"
00409-9042-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-9042-01	S01EA	Sympathomimetics in glaucoma therapy
00409-9043-01	N01BB	Amides
00409-9043-01	A01AD	Other agents for local oral treatment
00409-9043-01	B02BC	Local hemostatics
00409-9043-01	C01CA	Adrenergic and dopaminergic agents
00409-9043-01	R01AA	"Sympathomimetics, plain"
00409-9043-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-9043-01	S01EA	Sympathomimetics in glaucoma therapy
00409-9045-01	N01BB	Amides
00409-9045-01	A01AD	Other agents for local oral treatment
00409-9045-01	B02BC	Local hemostatics
00409-9045-01	C01CA	Adrenergic and dopaminergic agents
00409-9045-01	R01AA	"Sympathomimetics, plain"
00409-9045-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-9045-01	S01EA	Sympathomimetics in glaucoma therapy
00409-9046-01	N01BB	Amides
00409-9046-01	A01AD	Other agents for local oral treatment
00409-9046-01	B02BC	Local hemostatics
00409-9046-01	C01CA	Adrenergic and dopaminergic agents
00409-9046-01	R01AA	"Sympathomimetics, plain"
00409-9046-01	R03AA	Alpha- and beta-adrenoreceptor agonists
00409-9046-01	S01EA	Sympathomimetics in glaucoma therapy
00409-9104-20	C01CA	Adrenergic and dopaminergic agents
00409-9158-01	B02BA	Vitamin K
00430-0005-31	B03AA	"Iron bivalent, oral preparations"
00430-0005-31	B03AD	Iron in combination with folic acid
00430-0005-31	G03AA	"Progestogens and estrogens, fixed combinations"
00430-0005-31	G03AB	"Progestogens and estrogens, sequential preparations"
00430-0005-31	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0005-31	L02AA	Estrogens
00430-0005-31	G03AC	Progestogens
00430-0005-31	G03DC	Estren derivatives
00430-0010-05	B03AA	"Iron bivalent, oral preparations"
00430-0010-05	B03AD	Iron in combination with folic acid
00430-0010-05	G03AA	"Progestogens and estrogens, fixed combinations"
00430-0010-05	G03AB	"Progestogens and estrogens, sequential preparations"
00430-0010-05	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0010-05	L02AA	Estrogens
00430-0010-05	G03AC	Progestogens
00430-0010-05	G03DC	Estren derivatives
00430-0145-14	G03AA	"Progestogens and estrogens, fixed combinations"
00430-0145-14	G03AB	"Progestogens and estrogens, sequential preparations"
00430-0145-14	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0145-14	L02AA	Estrogens
00430-0145-14	G03AC	Progestogens
00430-0145-14	G03DC	Estren derivatives
00430-0210-14	N06AB	Selective serotonin reuptake inhibitors
00430-0220-14	N06AB	Selective serotonin reuptake inhibitors
00430-0535-95	B03AA	"Iron bivalent, oral preparations"
00430-0535-95	B03AD	Iron in combination with folic acid
00430-0535-95	G03AA	"Progestogens and estrogens, fixed combinations"
00430-0535-95	G03AB	"Progestogens and estrogens, sequential preparations"
00430-0535-95	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0535-95	L02AA	Estrogens
00430-0535-95	G03AC	Progestogens
00430-0535-95	G03DC	Estren derivatives
00430-0580-45	G03AA	"Progestogens and estrogens, fixed combinations"
00430-0580-45	G03AB	"Progestogens and estrogens, sequential preparations"
00430-0580-45	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0580-45	L02AA	Estrogens
00430-0580-45	G03AC	Progestogens
00430-0580-45	G03DC	Estren derivatives
00430-0720-24	G03CA	"Natural and semisynthetic estrogens, plain"
00430-0753-27	A07EC	Aminosalicylic acid and similar agents
00436-0672-16	D08AX	Other antiseptics and disinfectants
00436-0936-16	D08AX	Other antiseptics and disinfectants
00436-0946-16	D08AX	Other antiseptics and disinfectants
00440-8065-69	G04BX	Other urologicals
00450-0257-08	N02BE	Anilides
00450-0257-08	R05DA	Opium alkaloids and derivatives
00450-0257-08	C01CA	Adrenergic and dopaminergic agents
00450-0257-08	R01AA	"Sympathomimetics, plain"
00450-0257-08	R01AB	"Sympathomimetics, combinations excl. corticosteroids"
00450-0257-08	R01BA	Sympathomimetics
00450-0257-08	S01FB	Sympathomimetics excl. antiglaucoma preparations
00450-0257-08	S01GA	Sympathomimetics used as decongestants
00456-0045-01	H03AA	Thyroid hormones
00456-0050-01	H03AA	Thyroid hormones
00456-0055-01	H03AA	Thyroid hormones
00456-0060-01	H03AA	Thyroid hormones
00456-0400-01	J01DI	Other cephalosporins and penems
00456-0600-01	J01DI	Other cephalosporins and penems
00456-1101-30	N06AX	Other antidepressants
00456-1110-30	N06AX	Other antidepressants
00456-1120-30	N06AX	Other antidepressants
00456-1140-30	N06AX	Other antidepressants
00456-1201-04	A06AX	Other drugs for constipation
00456-1202-04	A06AX	Other drugs for constipation
00456-1203-04	A06AX	Other drugs for constipation
00456-1228-30	N06DA	Anticholinesterases
00456-1228-30	N06DX	Other anti-dementia drugs
00456-1402-11	C07AB	"Beta blocking agents, selective"
00456-1500-55	N06AX	Other antidepressants
00456-1512-60	N06AX	Other antidepressants
00456-2101-08	N06AB	Selective serotonin reuptake inhibitors
00456-2402-06	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00456-2405-06	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00456-2410-06	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00456-2700-01	J01DD	Third-generation cephalosporins
00456-3200-14	N06DX	Other anti-dementia drugs
00456-3202-12	N06DX	Other anti-dementia drugs
00456-3400-29	N06DX	Other anti-dementia drugs
00456-3407-33	N06DX	Other anti-dementia drugs
00456-3414-11	N06DX	Other anti-dementia drugs
00456-3421-33	N06DX	Other anti-dementia drugs
00456-3428-11	N06DX	Other anti-dementia drugs
00456-4300-01	J01XX	Other antibacterials
00456-4320-01	R03DA	Xanthines
00469-0125-99	L02BB	Anti-androgens
00469-0607-73	D11AH	"Agents for dermatitis, excluding corticosteroids"
00469-0607-73	L04AD	Calcineurin inhibitors
00469-0657-11	D11AH	"Agents for dermatitis, excluding corticosteroids"
00469-0657-11	L04AD	Calcineurin inhibitors
00469-2601-30	G04BD	Drugs for urinary frequency and incontinence
00469-2602-30	G04BD	Drugs for urinary frequency and incontinence
00469-3211-10	J02AX	Other antimycotics for systemic use
00469-3250-10	J02AX	Other antimycotics for systemic use
00472-0527-94	R06AX	Other antihistamines for systemic use
00472-1030-16	S01FA	Anticholinergics
00472-1030-16	R05DA	Opium alkaloids and derivatives
00472-1738-03	A01AB	Antiinfectives and antiseptics for local oral treatment
00472-1738-03	A07AC	Imidazole derivatives
00472-1738-03	D01AC	Imidazole and triazole derivatives
00472-1738-03	G01AF	Imidazole derivatives
00472-1738-03	J02AB	Imidazole derivatives
00472-1738-03	S02AA	Antiinfectives
00484-3590-22	C03DB	Other potassium-sparing agents
00484-3590-22	C03AA	"Thiazides, plain"
00486-1114-01	J01XX	Other antibacterials
00486-1132-01	A02AA	Magnesium compounds
00486-1132-01	A06AD	Osmotically acting laxatives
00486-1132-01	A12CC	Magnesium
00486-1132-01	A11HA	Other plain vitamin preparations
00487-9901-30	R03AC	Selective beta-2-adrenoreceptor agonists
00487-9901-30	R03CC	Selective beta-2-adrenoreceptor agonists
00496-0748-03	C05AD	Local anesthetics
00496-0748-03	D04AB	Anesthetics for topical use
00496-0882-06	C01BB	"Antiarrhythmics, class Ib"
00496-0882-06	C05AD	Local anesthetics
00496-0882-06	D04AB	Anesthetics for topical use
00496-0882-06	N01BB	Amides
00496-0882-06	R02AD	"Anesthetics, local"
00496-0882-06	S01HA	Local anesthetics
00496-0882-06	S02DA	Analgesics and anesthetics
00496-0882-07	C01BB	"Antiarrhythmics, class Ib"
00496-0882-07	C05AD	Local anesthetics
00496-0882-07	D04AB	Anesthetics for topical use
00496-0882-07	N01BB	Amides
00496-0882-07	R02AD	"Anesthetics, local"
00496-0882-07	S01HA	Local anesthetics
00496-0882-07	S02DA	Analgesics and anesthetics
00496-0883-15	C01BB	"Antiarrhythmics, class Ib"
00496-0883-15	C05AD	Local anesthetics
00496-0883-15	D04AB	Anesthetics for topical use
00496-0883-15	N01BB	Amides
00496-0883-15	R02AD	"Anesthetics, local"
00496-0883-15	S01HA	Local anesthetics
00496-0883-15	S02DA	Analgesics and anesthetics
00517-0955-01	N05AH	"Diazepines, oxazepines, thiazepines and oxepines"
00517-2310-05	B03AB	"Iron trivalent, oral preparations"
00517-2502-01	N06BC	Xanthine derivatives
00517-2502-01	A16AX	Various alimentary tract and metabolism products
00517-2710-25	A12AA	Calcium
00517-2710-25	B05XA	Electrolyte solutions
00517-2710-25	G04BA	Acidifiers
00517-4002-25	A03AD	Papaverine and derivatives
00517-4002-25	G04BE	Drugs used in erectile dysfunction
00517-4201-25	N05BB	Diphenylmethane derivatives
00517-4810-25	C01DA	Organic nitrates
00517-4810-25	C05AE	Muscle relaxants
00517-5601-25	N05BB	Diphenylmethane derivatives
00517-8575-10	D08AX	Other antiseptics and disinfectants
00517-8575-10	V03AB	Antidotes
00517-8575-10	V03AZ	Nerve depressants
00527-1312-01	A01AD	Other agents for local oral treatment
00527-1312-01	B01AC	Platelet aggregation inhibitors excl. heparin
00527-1312-01	N02BA	Salicylic acid and derivatives
00527-1312-01	N06BC	Xanthine derivatives
00527-1312-01	R05DA	Opium alkaloids and derivatives
00527-1324-01	C01AA	Digitalis glycosides
00527-1325-01	C01AA	Digitalis glycosides
00527-1368-01	G03XA	Antigonadotropins and similar agents
00527-1392-01	G03XA	Antigonadotropins and similar agents
00527-1728-73	N01BC	Esters of benzoic acid
00527-1728-73	R02AD	"Anesthetics, local"
00527-1728-73	S01HA	Local anesthetics
00527-1728-73	S02DA	Analgesics and anesthetics
00527-1768-36	N05BA	Benzodiazepine derivatives
00527-1818-43	N02CC	Selective serotonin (5HT1) agonists
00527-1947-48	J05AR	"Antivirals for treatment of HIV infections, combinations"
00527-1947-48	J05AE	Protease inhibitors
00536-0015-83	A02AB	Aluminium compounds
00536-0015-83	A02AA	Magnesium compounds
00536-0015-83	G04BX	Other urologicals
00536-0122-85	N02BE	Anilides
00536-0160-97	A11GA	"Ascorbic acid (vitamin C), plain"
00536-0160-97	G01AD	Organic acids
00536-0160-97	S01XA	Other ophthalmologicals
00536-0710-80	B03AA	"Iron bivalent, oral preparations"
00536-0710-80	B03AD	Iron in combination with folic acid
00536-0770-85	D04AA	Antihistamines for topical use
00536-0770-85	R06AA	Aminoalkyl ethers
00536-1003-01	N02BE	Anilides
00536-1003-01	D04AA	Antihistamines for topical use
00536-1003-01	R06AA	Aminoalkyl ethers
00536-1010-01	D04AA	Antihistamines for topical use
00536-1010-01	R06AA	Aminoalkyl ethers
00536-1014-07	N02BE	Anilides
00536-1016-01	D04AA	Antihistamines for topical use
00536-1016-01	R06AA	Aminoalkyl ethers
00536-1018-01	R06AE	Piperazine derivatives
00536-1025-47	R06AB	Substituted alkylamines
00536-1068-34	R05DA	Opium alkaloids and derivatives
00536-1079-97	A01AC	Corticosteroids for local oral treatment
00536-1079-97	A07EA	Corticosteroids acting locally
00536-1079-97	C05AA	Corticosteroids
00536-1079-97	D07AA	"Corticosteroids, weak (group I)"
00536-1079-97	D07XA	"Corticosteroids, weak, other combinations"
00536-1079-97	H02AB	Glucocorticoids
