A	ALIMENTARY TRACT AND METABOLISM
C04A C07	CICLONICATE
C04A D	PURINE DERIVATIVES
C04A D01	PENTIFYLLINE
C04A D02	XANTINOL NICOTINATE
C04A D03	PENTOXIFYLLINE
C04A D04	ETOFYLLINE NICOTINATE
C04A E	ERGOT ALKALOIDS
C04A E01	ERGOLOID MESYLATES
C04A E02	NICERGOLINE
C04A E04	DIHYDROERGOCRISTINE
C04A E51	"ERGOLOID MESYLATES, COMBINATIONS"
C04A E54	"DIHYDROERGOCRISTINE, COMBINATIONS"
C04A F	ENZYMES
C04A F01	KALLIDINOGENASE
C04A X	OTHER PERIPHERAL VASODILATORS
C04A X01	CYCLANDELATE
C04A X02	PHENOXYBENZAMINE
C04A X07	VINCAMINE
C04A X09	CINNARIZINE
C04A X10	MOXISYLYTE
C04A X11	BENCYCLANE
C04A X13	PIRIBEDIL - OLD CODE
C04A X17	VINBURNINE
C04A X19	SULCOTIDIL
C04A X20	BUFLOMEDIL
C04A X21	NAFTIDROFURYL
C04A X23	BUTALAMINE
C04A X24	VISNADINE
C04A X26	CETIEDIL
C04A X27	CINEPAZIDE
C04A X28	IFENPRODIL
C04A X30	AZAPETINE
C04A X32	FASUDIL
C05	VASOPROTECTIVES
C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05A A	CORTICOSTEROIDS
C05A A01	HYDROCORTISONE
C05A A04	PREDNISOLONE
C05A A05	BETAMETHASONE
C05A A06	FLUOROMETHOLONE
C05A A08	FLUOCORTOLONE
C05A A09	DEXAMETHASONE
C05A A10	FLUOCINOLONE ACETONIDE
C05A A11	FLUOCINONIDE
C05A A12	TRIAMCINOLONE
C05A B	ANTIBIOTICS
C05A D	LOCAL ANESTHETICS
C05A D01	LIDOCAINE
C05A D02	TETRACAINE
C05A D03	BENZOCAINE
C05A D04	CINCHOCAINE
C05A D05	PROCAINE
C05A D06	OXETACAINE
C05A D07	PRAMOCAINE
C05A E	MUSCLE RELAXANTS
C05A E01	GLYCERYL TRINITRATE
C05A E02	ISOSORBIDE DINITRATE
C05A E03	DILTIAZEM
C05A X	OTHER AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05A X01	ALUMINIUM ACETOTARTRATE
C05A X02	"BISMUTH PREPARATIONS, COMBINATIONS"
C05A X03	"OTHER PREPARATIONS, COMBINATIONS"
C05A X04	ZINC PREPARATIONS
C05A X05	TRIBENOSIDE
C05B	ANTIVARICOSE THERAPY
C05B A	HEPARINS OR HEPARINOIDS FOR TOPICAL USE
C05B A01	ORGANO-HEPARINOID
C05B A02	SODIUM APOLATE
C05B A03	HEPARIN
C05B A04	PENTOSAN POLYSULFATE SODIUM
C05B A51	"HEPARINOID, COMBINATIONS"
C05B A53	"HEPARIN, COMBINATIONS"
C05B B	SCLEROSING AGENTS FOR LOCAL INJECTION
C05B B01	MONOETHANOLAMINE OLEATE
C05B B02	POLIDOCANOL
C05B B03	INVERT SUGAR
C05B B04	SODIUM TETRADECYL SULFATE
C05B B05	PHENOL
C05B B56	"GLUCOSE, COMBINATIONS"
C05B X	OTHER SCLEROSING AGENTS
C05B X01	CALCIUM DOBESILATE
C05B X51	"CALCIUM DOBESILATE, COMBINATIONS"
C05C	CAPILLARY STABILIZING AGENTS
C05C A	BIOFLAVONOIDS
C05C A01	RUTOSIDE
C05C A02	MONOXERUTIN
C05C A03	DIOSMIN
C05C A04	TROXERUTIN
C05C A05	HIDROSMIN
C05C A51	"RUTOSIDE, COMBINATIONS"
C05C A53	"DIOSMIN, COMBINATIONS"
C05C A54	"TROXERUTIN, COMBINATIONS"
C05C X	OTHER CAPILLARY STABILIZING AGENTS
C05C X01	TRIBENOSIDE
C05C X02	NAFTAZONE
C05C X03	HIPPOCASTANI SEMEN
C06	OTHER CARDIOVASCULAR AGENTS
C07	BETA BLOCKING AGENTS
C07A	BETA BLOCKING AGENTS
C07A A	"BETA BLOCKING AGENTS, NON-SELECTIVE"
C07A A01	ALPRENOLOL
C07A A02	OXPRENOLOL
C07A A03	PINDOLOL
C07A A05	PROPRANOLOL
C07A A06	TIMOLOL
C07A A07	SOTALOL
C07A A12	NADOLOL
C07A A14	MEPINDOLOL
C07A A15	CARTEOLOL
C07A A16	TERTATOLOL
C07A A17	BOPINDOLOL
C07A A19	BUPRANOLOL
C07A A23	PENBUTOLOL
C07A A27	CLORANOLOL
C07A A57	"SOTALOL, COMBINATIONS - OLD CODE"
C07A B	"BETA BLOCKING AGENTS, SELECTIVE"
C07A B01	PRACTOLOL
C07A B02	METOPROLOL
C07A B03	ATENOLOL
C07A B04	ACEBUTOLOL
C07A B05	BETAXOLOL
C07A B06	BEVANTOLOL
C07A B07	BISOPROLOL
C07A B08	CELIPROLOL
C07A B09	ESMOLOL
C07A B10	EPANOLOL
C07A B11	S-ATENOLOL
C07A B12	NEBIVOLOL
C07A B14	LANDIOLOL
C07A B52	"METOPROLOL, COMBINATIONS - OLD CODE"
C07A B57	"BISOPROLOL, COMBINATIONS - OLD CODE"
C07A G	ALPHA AND BETA BLOCKING AGENTS
C07A G01	LABETALOL
C07A G02	CARVEDILOL
C07B	BETA BLOCKING AGENTS AND THIAZIDES
C07B A	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND THIAZIDES"
C07B A02	OXPRENOLOL AND THIAZIDES
C07B A05	PROPRANOLOL AND THIAZIDES
C07B A06	TIMOLOL AND THIAZIDES
C07B A07	SOTALOL AND THIAZIDES
C07B A12	NADOLOL AND THIAZIDES
C07B A68	"METIPRANOLOL AND THIAZIDES, COMBINATIONS"
C07B B	"BETA BLOCKING AGENTS, SELECTIVE, AND THIAZIDES"
C07B B02	METOPROLOL AND THIAZIDES
C07B B03	ATENOLOL AND THIAZIDES
C07B B04	ACEBUTOLOL AND THIAZIDES
C07B B06	BEVANTOLOL AND THIAZIDES
C07B B07	BISOPROLOL AND THIAZIDES
C07B B12	NEBIVOLOL AND THIAZIDES
C07B B52	"METOPROLOL AND THIAZIDES, COMBINATIONS"
C07B G	ALPHA AND BETA BLOCKING AGENTS AND THIAZIDES
C07B G01	LABETALOL AND THIAZIDES
C07C	BETA BLOCKING AGENTS AND OTHER DIURETICS
C07C A	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER DIURETICS"
C07C A02	OXPRENOLOL AND OTHER DIURETICS
C07C A03	PINDOLOL AND OTHER DIURETICS
C07C A17	BOPINDOLOL AND OTHER DIURETICS
C07C A23	PENBUTOLOL AND OTHER DIURETICS
C07C B	"BETA BLOCKING AGENTS, SELECTIVE, AND OTHER DIURETICS"
C07C B02	METOPROLOL AND OTHER DIURETICS
C07C B03	ATENOLOL AND OTHER DIURETICS
C07C B53	"ATENOLOL AND OTHER DIURETICS, COMBINATIONS"
C07C G	ALPHA AND BETA BLOCKING AGENTS AND OTHER DIURETICS
C07C G01	LABETALOL AND OTHER DIURETICS
C07D	"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS"
C07D A	"BETA BLOCKING AGENTS, NON-SELECTIVE, THIAZIDES AND OTHER DIURETICS"
C07D A06	"TIMOLOL, THIAZIDES AND OTHER DIURETICS"
C07D B	"BETA BLOCKING AGENTS, SELECTIVE, THIAZIDES AND OTHER DIURETICS"
C07D B01	"ATENOLOL, THIAZIDES AND OTHER DIURETICS"
C07E	BETA BLOCKING AGENTS AND VASODILATORS
C07E A	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND VASODILATORS"
C07E B	"BETA BLOCKING AGENTS, SELECTIVE, AND VASODILATORS"
C07F	"BETA BLOCKING AGENTS, OTHER COMBINATIONS"
C07F A	"BETA BLOCKING AGENTS, NON-SELECTIVE, AND OTHER ANTIHYPERTENSIVES - OLD CODE"
C07F A05	PROPRANOLOL AND OTHER ANTIHYPERTENSIVES - OLD CODE
C07F B	BETA BLOCKING AGENTS AND CALCIUM CHANNEL BLOCKERS
C07F B02	METOPROLOL AND FELODIPINE
C07F B03	ATENOLOL AND NIFEDIPINE
C07F B07	BISOPROLOL AND AMLODIPINE
C07F B12	NEVIBOLOL AND AMLODIPINE
C07F B13	METOPROLOL AND AMLODIPINE
C07F X	"BETA BLOCKING AGENTS, OTHER COMBINATIONS"
C07F X01	PROPRANOLOL AND OTHER COMBINATIONS
C07F X02	SOTALOL AND ACETYLSALICYLIC ACID
C07F X03	METOPROLOL AND ACETYLSALICYLIC ACID
C07F X04	BISOPROLOL AND ACETYLSALICYLIC ACID
C07F X05	METOPROLOL AND IVABRADINE
C07F X06	CARVEDILOL AND IVABRADINE
C08	CALCIUM CHANNEL BLOCKERS
C08C	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08C A	DIHYDROPYRIDINE DERIVATIVES
C08C A01	AMLODIPINE
C08C A02	FELODIPINE
C08C A03	ISRADIPINE
C08C A04	NICARDIPINE
C08C A05	NIFEDIPINE
C08C A06	NIMODIPINE
C08C A07	NISOLDIPINE
C08C A08	NITRENDIPINE
C08C A09	LACIDIPINE
C08C A10	NILVADIPINE
C08C A11	MANIDIPINE
C08C A12	BARNIDIPINE
C08C A13	LERCANIDIPINE
C08C A15	BENIDIPINE
C08C A16	CLEVIDIPINE
C08C A55	"NIFEDIPINE, COMBINATIONS"
C08C X	OTHER SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08C X01	MIBEFRADIL
C08D	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08D A	PHENYLALKYLAMINE DERIVATIVES
C08D A01	VERAPAMIL
C08D A02	GALLOPAMIL
C08D A51	"VERAPAMIL, COMBINATIONS"
C08D B	BENZOTHIAZEPINE DERIVATIVES
C08D B01	DILTIAZEM
C08E	NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08E A	PHENYLALKYLAMINE DERIVATIVES
C08E A01	FENDILINE
C08E A02	BEPRIDIL
C08E X	OTHER NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08E X01	LIDOFLAZINE
C08E X02	PERHEXILINE
C08G	CALCIUM CHANNEL BLOCKERS AND DIURETICS
C08G A	CALCIUM CHANNEL BLOCKERS AND DIURETICS
C08G A01	NIFEDIPINE AND DIURETICS
C08G A02	AMLODIPINE AND DIURETICS
C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09A	"ACE INHIBITORS, PLAIN"
C09A A	"ACE INHIBITORS, PLAIN"
C09A A01	CAPTOPRIL
C09A A02	ENALAPRIL
C09A A03	LISINOPRIL
C09A A04	PERINDOPRIL
C09A A05	RAMIPRIL
C09A A06	QUINAPRIL
C09A A07	BENAZEPRIL
C09A A08	CILAZAPRIL
C09A A09	FOSINOPRIL
C09A A10	TRANDOLAPRIL
C09A A11	SPIRAPRIL
C09A A12	DELAPRIL
C09A A13	MOEXIPRIL
C09A A14	TEMOCAPRIL
C09A A15	ZOFENOPRIL
C09A A16	IMIDAPRIL
C09B	"ACE INHIBITORS, COMBINATIONS"
C09B A	ACE INHIBITORS AND DIURETICS
C09B A01	CAPTOPRIL AND DIURETICS
C09B A02	ENALAPRIL AND DIURETICS
C09B A03	LISINOPRIL AND DIURETICS
C09B A04	PERINDOPRIL AND DIURETICS
C09B A05	RAMIPRIL AND DIURETICS
C09B A06	QUINAPRIL AND DIURETICS
C09B A07	BENAZEPRIL AND DIURETICS
C09B A08	CILAZAPRIL AND DIURETICS
C09B A09	FOSINOPRIL AND DIURETICS
C09B A12	DELAPRIL AND DIURETICS
C09B A13	MOEXIPRIL AND DIURETICS
C09B A15	ZOFENOPRIL AND DIURETICS
C09B B	ACE INHIBITORS AND CALCIUM CHANNEL BLOCKERS
C09B B02	ENALAPRIL AND LERCANIDIPINE
C09B B03	LISINOPRIL AND AMLODIPINE
C09B B04	PERINDOPRIL AND AMLODIPINE
C09B B05	RAMIPRIL AND FELODIPINE
C09B B06	ENALAPRIL AND NITRENDIPINE
C09B B07	RAMIPRIL AND AMLODIPINE
C09B B10	TRANDOLAPRIL AND VERAPAMIL
C09B B12	DELAPRIL AND MANIDIPINE
C09B X	"ACE INHIBITORS, OTHER COMBINATIONS"
C09B X01	"PERINDOPRIL, AMLODIPINE AND INDAPAMIDE"
C09B X02	PERINDOPRIL AND BISOPROLOL
C09B X03	"RAMIPRIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE"
C09C	"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09C A	"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09C A01	LOSARTAN
C09C A02	EPROSARTAN
C09C A03	VALSARTAN
C09C A04	IRBESARTAN
C09C A05	TASOSARTAN
C09C A06	CANDESARTAN
C09C A07	TELMISARTAN
C09C A08	OLMESARTAN MEDOXOMIL
C09C A09	AZILSARTAN MEDOXOMIL
C09C A10	FIMASARTAN
C09D	"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09D A	ANGIOTENSIN II ANTAGONISTS AND DIURETICS
C09D A01	LOSARTAN AND DIURETICS
C09D A02	EPROSARTAN AND DIURETICS
C09D A03	VALSARTAN AND DIURETICS
C09D A04	IRBESARTAN AND DIURETICS
C09D A06	CANDESARTAN AND DIURETICS
C09D A07	TELMISARTAN AND DIURETICS
C09D A08	OLMESARTAN MEDOXOMIL AND DIURETICS
C09D A09	AZILSARTAN MEDOXOMIL AND DIURETICS
C09D A10	FIMASARTAN AND DIURETICS
C09D B	ANGIOTENSIN II ANTAGONISTS AND CALCIUM CHANNNEL BLOCKERS
C09D B01	VALSARTAN AND AMLODIPINE
C09D B02	OLMESARTAN MEDOXOMIL AND AMLODIPINE
C09D B04	TELMISARTAN AND AMLODIPINE
C09D B05	IRBESARTAN AND AMLODIPINE
C09D B06	LOSARTAN AND AMLODIPINE
C09D B07	CANDESARTAN AND AMLODIPINE
C09D B08	VALSARTAN AND LERCANIDIPINE
C09D X	"ANGIOTENSIN II ANTAGONISTS, OTHER COMBINATIONS"
C09D X01	"VALSARTAN, AMLODIPINE AND HYDROCHLOROTHIAZIDE"
C09D X02	VALSARTAN AND ALISKIREN
C09D X03	"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE"
C09D X04	VALSARTAN AND SACUBITRIL
C09X	OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09X A	RENIN-INHIBITORS
C09X A01	REMIKIREN
C09X A02	ALISKIREN
C09X A52	ALISKIREN AND HYDROCHLOROTHIAZIDE
C09X A53	ALISKIREN AND AMLODIPINE
C09X A54	"ALISKIREN, AMLODIPINE AND HYDROCHLOROTHIAZIDE"
C10	LIPID MODIFYING AGENTS
C10A	"LIPID MODIFYING AGENTS, PLAIN"
C10A A	HMG COA REDUCTASE INHIBITORS
C10A A01	SIMVASTATIN
C10A A02	LOVASTATIN
C10A A03	PRAVASTATIN
C10A A04	FLUVASTATIN
C10A A05	ATORVASTATIN
C10A A06	CERIVASTATIN
C10A A07	ROSUVASTATIN
C10A A08	PITAVASTATIN
C10A A51	"SIMVASTATIN, COMBINATIONS - OLD CODE"
C10A A52	"LOVASTATIN, COMBINATIONS - OLD CODE"
C10A A53	"PRAVASTATIN, COMBINATIONS - OLD CODE"
C10A A55	"ATORVASTATIN, COMBINATIONS - OLD CODE"
C10A B	FIBRATES
C10A B01	CLOFIBRATE
C10A B02	BEZAFIBRATE
C10A B03	ALUMINIUM CLOFIBRATE
C10A B04	GEMFIBROZIL
C10A B05	FENOFIBRATE
C10A B06	SIMFIBRATE
C10A B07	RONIFIBRATE
C10A B08	CIPROFIBRATE
C10A B09	ETOFIBRATE
C10A B10	CLOFIBRIDE
C10A B11	CHOLINE FENOFIBRATE
C10A C	BILE ACID SEQUESTRANTS
C10A C01	COLESTYRAMINE
C10A C02	COLESTIPOL
C10A C03	COLEXTRAN
C10A C04	COLESEVELAM
C10A D	NICOTINIC ACID AND DERIVATIVES
C10A D01	NICERITROL
C10A D02	NICOTINIC ACID
C10A D03	NICOFURANOSE
C10A D04	ALUMINIUM NICOTINATE
C10A D05	NICOTINYL ALCOHOL (PYRIDYLCARBINOL)
C10A D06	ACIPIMOX
C10A D52	"NICOTINIC ACID, COMBINATIONS"
C10A X	OTHER LIPID MODIFYING AGENTS
C10A X01	DEXTROTHYROXINE
C10A X02	PROBUCOL
C10A X03	TIADENOL
C10A X04	BENFLUOREX - OLD CODE
C10A X05	MEGLUTOL
C10A X06	OMEGA-3-TRIGLYCERIDES INCL. OTHER ESTERS AND ACIDS
C10A X07	MAGNESIUM PYRIDOXAL 5-PHOSPHATE GLUTAMATE
C10A X08	POLICOSANOL
C10A X09	EZETIMIBE
C10A X10	ALIPOGENE TIPARVOVEC
C10A X11	MIPOMERSEN
C10A X12	LOMITAPIDE
C10A X13	EVOLOCUMAB
C10A X14	ALIROCUMAB
C10B	"LIPID MODIFYING AGENTS, COMBINATIONS"
C10B A	HMG COA REDUCTASE INHIBITORS IN COMBINATION WITH OTHER LIPID MODIFYING AGENTS
C10B A01	LOVASTATIN AND NICOTINIC ACID
C10B A02	SIMVASTATIN AND EZETIMIBE
C10B A03	PRAVASTATIN AND FENOFIBRATE
C10B A04	SIMVASTATIN AND FENOFIBRATE
C10B A05	ATORVASTATIN AND EZETIMIBE
C10B A06	ROSUVASTATIN AND EZETIMIBE
C10B X	"HMG COA REDUCTASE INHIBITORS, OTHER COMBINATIONS"
C10B X01	SIMVASTATIN AND ACETYLSALICYLIC ACID
C10B X02	PRAVASTATIN AND ACETYLSALICYLIC ACID
C10B X03	ATORVASTATIN AND AMLODIPINE
C10B X04	"SIMVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL"
C10B X05	ROSUVASTATIN AND ACETYLSALICYLIC ACID
C10B X06	"ATORVASTATIN, ACETYLSALICYLIC ACID AND RAMIPRIL"
C10B X07	"ROSUVASTATIN, AMLODIPINE AND LISINOPRIL"
C10B X08	ATORVASTATIN AND ACETYLSALICYLIC ACID
C10B X09	ROSUVASTATIN AND AMLODIPINE
C10B X10	ROSUVASTATIN AND VALSARTAN
C10B X11	"ATORVASTATIN, AMLODIPINE AND PERINDOPRIL"
C10B X12	"ATORVASTATIN, ACETYLSALICYLIC ACID AND PERINDOPRIL"
C10B X13	"ROSUVASTATIN, PERINDOPRIL AND INDAPAMIDE"
C10B X14	"ROSUVASTATIN, AMLODIPINE AND PERINDOPRIL"
C10B X15	ATORVASTATIN AND PERINDOPRIL
D	DERMATOLOGICALS
D0	ANTIFUNGALS FOR DERMATOLOGICAL USE
D01	ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A	ANTIFUNGALS FOR TOPICAL USE
D01A A	ANTIBIOTICS
D01A A01	NYSTATIN
D01A A02	NATAMYCIN
D01A A03	HACHIMYCIN
D01A A04	PECILOCIN
D01A A06	MEPARTRICIN
D01A A07	PYRROLNITRIN
D01A A08	GRISEOFULVIN
D01A A20	COMBINATIONS
D01A A21	TOLNAFTATE COMBINATIONS
D01A C	IMIDAZOLE AND TRIAZOLE DERIVATIVES
D01A C01	CLOTRIMAZOLE
D01A C02	MICONAZOLE
D01A C03	ECONAZOLE
D01A C04	CLOMIDAZOLE
D01A C05	ISOCONAZOLE
D01A C06	TIABENDAZOLE
D01A C07	TIOCONAZOLE
D01A C08	KETOCONAZOLE
D01A C09	SULCONAZOLE
D01A C10	BIFONAZOLE
D01A C11	OXICONAZOLE
D01A C12	FENTICONAZOLE
D01A C13	OMOCONAZOLE
D01A C14	SERTACONAZOLE
D01A C15	FLUCONAZOLE
D01A C16	FLUTRIMAZOLE
D01A C17	EBERCONAZOLE
D01A C18	LULICONAZOLE
D01A C19	EFINACONAZOLE
D01A C20	IMIDAZOLES/TRIAZOLES IN COMBINATION WITH CORTICOSTEROIDS
D01A C52	"MICONAZOLE, COMBINATIONS"
D01A C60	"BIFONAZOLE, COMBINATIONS"
D01A E	OTHER ANTIFUNGALS FOR TOPICAL USE
D01A E01	BROMOCHLOROSALICYLANILIDE
D01A E02	METHYLROSANILINE
D01A E03	TRIBROMOMETACRESOL
D01A E04	UNDECYLENIC ACID
D01A E05	POLYNOXYLIN
D01A E06	2-(4-CHLORPHENOXY)-ETHANOL
D01A E07	CHLORPHENESIN
D01A E08	TICLATONE
D01A E09	SULBENTINE
D01A E10	ETHYL HYDROXYBENZOATE
D01A E11	HALOPROGIN
D01A E12	SALICYLIC ACID
D01A E13	SELENIUM SULFIDE
D01A E14	CICLOPIROX
D01A E15	TERBINAFINE
D01A E16	AMOROLFINE
D01A E17	DIMAZOLE
D01A E18	TOLNAFTATE
D01A E19	TOLCICLATE
D01A E20	COMBINATIONS
D01A E21	FLUCYTOSINE
D01A E22	NAFTIFINE
D01A E23	BUTENAFINE
D01A E24	TAVABOROLE
D01A E54	"UNDECYLENIC ACID, COMBINATIONS"
D01B	ANTIFUNGALS FOR SYSTEMIC USE
D01B A	ANTIFUNGALS FOR SYSTEMIC USE
D01B A01	GRISEOFULVIN
D01B A02	TERBINAFINE
D02	EMOLLIENTS AND PROTECTIVES
D02A	EMOLLIENTS AND PROTECTIVES
D02A A	SILICONE PRODUCTS
D02A B	ZINC PRODUCTS
D02A C	SOFT PARAFFIN AND FAT PRODUCTS
D02A D	LIQUID PLASTERS
D02A E	CARBAMIDE PRODUCTS
D02A E01	CARBAMIDE
D02A E51	"CARBAMIDE, COMBINATIONS"
D02A F	SALICYLIC ACID PREPARATIONS
D02A X	OTHER EMOLLIENTS AND PROTECTIVES
D02B	PROTECTIVES AGAINST UV-RADIATION
D02B A	PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE
D02B A01	AMINOBENZOIC ACID
D02B A02	OCTYL METHOXYCINNAMATE
D02B B	PROTECTIVES AGAINST UV-RADIATION FOR SYSTEMIC USE
D02B B01	BETACAROTENE
D02B B02	AFAMELANOTIDE
D03	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03A	CICATRIZANTS
D03A A	COD-LIVER OIL OINTMENTS
D03A X	OTHER CICATRIZANTS
D03A X01	CADEXOMER IODINE
D03A X02	DEXTRANOMER
D03A X03	DEXPANTHENOL
D03A X04	CALCIUM PANTOTHENATE
D03A X05	HYALURONIC ACID
D03A X06	BECAPLERMIN
D03A X07	GLYCERYL TRINITRATE - OLD CODE
D03A X08	ISOSORBIDE DINITRATE - OLD CODE
D03A X10	ENOXOLONE
D03A X11	SODIUM CHLORITE
D03A X12	TROLAMINE
D03A X13	BETULAE CORTEX
D03B	ENZYMES
D03B A	PROTEOLYTIC ENZYMES
D03B A01	TRYPSIN
D03B A02	COLLAGENASE
D03B A03	BROMELAINS
D03B A52	"COLLAGENASE, COMBINATIONS"
D04	"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
D04A	"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC."
D04A A	ANTIHISTAMINES FOR TOPICAL USE
D04A A01	THONZYLAMINE
D04A A02	MEPYRAMINE
D04A A03	THENALIDINE
D04A A04	TRIPELENNAMINE
D04A A09	CHLOROPYRAMINE
D04A A10	PROMETHAZINE
D04A A12	TOLPROPAMINE
D04A A13	DIMETINDENE
D04A A14	CLEMASTINE
D04A A15	BAMIPINE
D04A A16	PHENIRAMINE
D04A A22	ISOTHIPENDYL
D04A A32	DIPHENHYDRAMINE
D04A A33	DIPHENHYDRAMINE METHYLBROMIDE
D04A A34	CHLORPHENOXAMINE
D04A B	ANESTHETICS FOR TOPICAL USE
D04A B01	LIDOCAINE
D04A B02	CINCHOCAINE
D04A B03	OXYBUPROCAINE
D04A B04	BENZOCAINE
D04A B05	QUINISOCAINE
D04A B06	TETRACAINE
D04A B07	PRAMOCAINE
D04A X	OTHER ANTIPRURITICS
D05	ANTIPSORIATICS
D05A	ANTIPSORIATICS FOR TOPICAL USE
D05A A	TARS
D05A C	ANTRACEN DERIVATIVES
D05A C01	DITHRANOL
D05A C51	"DITHRANOL, COMBINATIONS"
D05A D	PSORALENS FOR TOPICAL USE
D05A D01	TRIOXYSALEN
D05A D02	METHOXSALEN
D05A X	OTHER ANTIPSORIATICS FOR TOPICAL USE
D05A X01	FUMARIC ACID
D05A X02	CALCIPOTRIOL
D05A X03	CALCITRIOL
D05A X04	TACALCITOL
D05A X05	TAZAROTENE
D05A X52	"CALCIPOTRIOL, COMBINATIONS"
D05B	ANTIPSORIATICS FOR SYSTEMIC USE
D05B A	PSORALENS FOR SYSTEMIC USE
D05B A01	TRIOXYSALEN
D05B A02	METHOXSALEN
D05B A03	BERGAPTEN
D05B B	RETINOIDS FOR TREATMENT OF PSORIASIS
D05B B01	ETRETINATE
D05B B02	ACITRETIN
D05B X	OTHER ANTIPSORIATICS FOR SYSTEMIC USE
D05B X51	"FUMARIC ACID DERIVATIVES, COMBINATIONS"
D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A	ANTIBIOTICS FOR TOPICAL USE
D06A A	TETRACYCLINE AND DERIVATIVES
D06A A01	DEMECLOCYCLINE
D06A A02	CHLORTETRACYCLINE
D06A A03	OXYTETRACYCLINE
D06A A04	TETRACYCLINE
D06A X	OTHER ANTIBIOTICS FOR TOPICAL USE
D06A X01	FUSIDIC ACID
D06A X02	CHLORAMPHENICOL
D06A X04	NEOMYCIN
D06A X05	BACITRACIN
D06A X07	GENTAMICIN
D06A X08	TYROTHRICIN
D06A X09	MUPIROCIN
D06A X10	VIRGINIAMYCIN
D06A X11	RIFAXIMIN
D06A X12	AMIKACIN
D06A X13	RETAPAMULIN
D06A X14	OZENOXACIN
D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE
D06B A	SULFONAMIDES
D06B A01	SILVER SULFADIAZINE
D06B A02	SULFATHIAZOLE
D06B A03	MAFENIDE
D06B A04	SULFAMETHIZOLE
D06B A05	SULFANILAMIDE
D06B A06	SULFAMERAZINE
D06B A51	"SILVER SULFADIAZINE, COMBINATIONS"
D06B B	ANTIVIRALS
D06B B01	IDOXURIDINE
D06B B02	TROMANTADINE
D06B B03	ACICLOVIR
D06B B04	PODOPHYLLOTOXIN
D06B B05	INOSINE
D06B B06	PENCICLOVIR
D06B B07	LYSOZYME
D06B B08	IBACITABINE
D06B B09	EDOXUDINE
D06B B10	IMIQUIMOD
D06B B11	DOCOSANOL
D06B B12	SINECATECHINS
D06B B53	"ACICLOVIR, COMBINATIONS"
D06B X	OTHER CHEMOTHERAPEUTICS
D06B X01	METRONIDAZOLE
D06B X02	INGENOL MEBUTATE
D06C	"ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS"
D07	"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
D07A	"CORTICOSTEROIDS, PLAIN"
D07A A	"CORTICOSTEROIDS, WEAK (GROUP I)"
D07A A01	METHYLPREDNISOLONE
D07A A02	HYDROCORTISONE
D07A A03	PREDNISOLONE
D07A B	"CORTICOSTEROIDS, MODERATELY POTENT (GROUP II)"
D07A B01	CLOBETASONE
D07A B02	HYDROCORTISONE BUTYRATE
D07A B03	FLUMETASONE
D07A B04	FLUOCORTIN
D07A B05	FLUPEROLONE
D07A B06	FLUOROMETHOLONE
D07A B07	FLUPREDNIDENE
D07A B08	DESONIDE
D07A B09	TRIAMCINOLONE
D07A B10	ALCLOMETASONE
D07A B11	HYDROCORTISONE BUTEPRATE
D07A B19	DEXAMETHASONE
D07A B21	CLOCORTOLONE
D07A B30	COMBINATIONS OF CORTICOSTEROIDS
D07A C	"CORTICOSTEROIDS, POTENT (GROUP III)"
D07A C01	BETAMETHASONE
D07A C02	FLUCLOROLONE
D07A C03	DESOXIMETASONE
D07A C04	FLUOCINOLONE ACETONIDE
