source	count	destination
IgM (lambda;monoklonalt);P	139	IGNORE
Bilirubin konjugeret;P	138	IGNORE
Pancreaselastase I;F	137	IGNORE
Potassium::Kalium;P(kB)	136	K+
Diverse	136	IGNORE
Aldosteron;P	135	IGNORE
Lever fibrose (FIB-4);Pt	134	IGNORE
Kryoglobulin;P	134	IGNORE
Homocystein;P	134	IGNORE
Anlæggelse af perifert venekateter	134	IGNORE
Albumin-ratio;Csv/P	133	IGNORE
Immunglobulin G;Csv	133	IGNORE
Albumin;Csv	133	IGNORE
IgM (kappa;monoklonalt);P	133	IGNORE
Borrelia burgdorferi-Ab(IgG);P	132	IGNORE
Sjøgren syndrom [SSB]-Ab(IgG);P	132	IGNORE
Immunglobulin G (teknisk);P	131	IGNORE
Cardiolipin-IgG;P	131	IGNORE
Albumin ratio, blod til;P	131	IGNORE
Lupus antikoagulans;P	131	IGNORE
EBNA-IgG;P	128	IGNORE
IgA (kappa;monoklonalt);P	128	IGNORE
Complement C3d;P	125	IGNORE
Nucleært-IgG [ANA];arb.stofk.;P	125	IGNORE
Carbonmonoxidhæmoglobin;Hb(kB)	125	IGNORE
Bilirubin ukonjugeret;P	125	IGNORE
Immunglobulin G(oligoklonalt);Csv	124	IGNORE
Thyroglobulin;P	124	IGNORE
Immunglobulin G1;P	123	IGNORE
Calcium;U	123	IGNORE
Immunglobulin G2;P	123	IGNORE
Immunglobulin G3;P	123	IGNORE
Sirolimus;B	122	IGNORE
Major centromere B-Ab(IgG);P	122	IGNORE
Cardiolipin-IgM;P	119	IGNORE
Borrelia burgd.-Ab IgG+IgM;P	119	IGNORE
Somatotropin [GH];P	118	IGNORE
SARS-CoV-2 spike glykoprotein-IgG;B	117	IGNORE
HIV 1+2(Ab+Ag);P	116	IGNORE
Anæmiudredning; P	115	IGNORE
Borrelia burgdorferi-IgG;P	115	IGNORE
SARS-CoV-2 Spike-Ab;P	115	IGNORE
Borrelia burgdorferi-Ab(IgM);P	115	IGNORE
Hepatitis B virus e(Ag) [HBeAg];P	115	IGNORE
Hepatitis B virus e-Ab;P	114	IGNORE
Noradrenalin;U	114	IGNORE
Adrenalin;U	114	IGNORE
Sjøgren syndrom [SSA]-Ab(IgG);P	112	IGNORE
Leukocytter(mononukl.);Asc	111	IGNORE
Leukocytter(polynukl.);Asc	111	IGNORE
Teknisk ADM[45-92],stofk.	111	IGNORE
Oxyhæmoglobin;Hb(tot.;vB)	110	IGNORE
Smittemarkører(arkiv);P	109	IGNORE
Hæmoglobin(semikvant);U	108	IGNORE
U1 snRNP A-IgG;P	108	IGNORE
beta-2-Glykoprotein 1-IgG;P	107	IGNORE
TEK-iFLASH	106	IGNORE
Platelets::Trombocytter-citrat;B	106	Platelets
Calcium;Pt(U)	104	IGNORE
beta-2-Glykoprotein 1-IgM;P	103	IGNORE
Cytomegalovirus-IgM [CMV];P	102	IGNORE
Bilirubiner;P(aB)	102	IGNORE
Cytomegalovirus-IgG [CMV];P	102	IGNORE
eGFR (1,73 m²);Nyre	101	IGNORE
Teknisk analyse 2, 25OHD3	98	IGNORE
ENA7 screening;P	97	IGNORE
CSV - ekstra glas;Csv	97	IGNORE
Protein;Asc	97	IGNORE
Immunglobulin G/Albumin;Csv/P	96	IGNORE
Quetiapin;P	96	IGNORE
DNA topoisomerase1-Ab(IgG)[Scl70];P	96	IGNORE
Hepatitis A virus-Ab(IgM);P	96	IGNORE
Erytrocytter(Anisocytose);B	95	IGNORE
Prostataspecifikt antigen [PSA];P	95	IGNORE
CO2;P(vB)	95	IGNORE
Mitochondrie-Ab;P	95	IGNORE
Hepatitis B virus c-Ab(IgM);P	93	IGNORE
Bence Jones protein;U	93	IGNORE
Leukocytter;Ledv	92	IGNORE
Hepatitis B virus e-Ag;P	92	IGNORE
Hassel (t4)-IgE;P	91	IGNORE
Antithrombin (enz.; trombin);P	91	IGNORE
Gyldig: plprvt.dato -15 til +31dage	91	IGNORE
HLA-B-gen (B27);DNA	90	IGNORE
Cardiolipin-Ab(IgG);P	90	IGNORE
Amylase, pancreastype;Plv	89	IGNORE
Insulin;P(fPt)	89	IGNORE
HIV 1+2 (Ab+Ag);P	89	IGNORE
Thyreiodea behandlingsktr.grp;P	89	IGNORE
Kobber;P	89	IGNORE
Protokolprøver	88	IGNORE
Laktat;P(kB)	88	IGNORE
Teknisk analyse 1, 25OHD3	88	IGNORE
Mycoplasma pneumoniae-Ab;P	88	IGNORE
Antitrombin (enz.; faktor Xa);P	87	IGNORE
Blod til IgGI-index;P	87	IGNORE
Prolaktin(monomer);P	87	IGNORE
Fæces masse;Pt	87	IGNORE
Itraconazol;P	87	IGNORE
Epitelceller;U	86	IGNORE
Penicillium chrysogenum (m1)-IgE;P	86	IGNORE
Thyreoglobulin-Ab;P	85	IGNORE
Hepatitis B virus(DNA);P	85	IGNORE
JAK2-gen;DNA	85	IGNORE
Mannosebindende lektin;P	84	IGNORE
TB antigen;T-lymc(B)	83	IGNORE
Chlamydia-Ab;P	83	IGNORE
SARS-CoV-2 Nukleokapsid-Ab;P	83	IGNORE
Phenobarbital;P	83	IGNORE
IFN-gamma-frig.(TB-rel.);CD8-lymc	83	IGNORE
Epstein-Barr VCA-IgM [EBV];P	82	IGNORE
IFN-gamma-frig.(TB-rel.);CD4-lymc	82	IGNORE
Aspergillus-Ab(IgG);P	82	IGNORE
Epstein-Barr VCA-IgG [EBV];P	82	IGNORE
IFN-gamma-frig.(TB-rel.,sum);T-lymc	82	IGNORE
Levetiracetam;P	82	IGNORE
HIV 1 RNA (kvant);P	81	IGNORE
P-Procalcitonin (teknisk)	81	IGNORE
SARS-CoV-2 (Ag);P	81	IGNORE
Calcium-ion frit;P(vB;efter filter)	81	IGNORE
Epstein-Barr virus nukle.-Ab(IgG);P	80	IGNORE
P -ekstra glas KMA	80	IGNORE
Itraconazol+Hydroxyitraconazol;P	79	IGNORE
Hepatitis B virus s-Ab [Anti-HBs];P	79	IGNORE
Cardiolipin-Ab(IgM);P	78	IGNORE
Komælk (f2)-IgE;P	78	IGNORE
Erytrocytter;Asc	78	IGNORE
Hydroxyitraconazol;P	77	IGNORE
Amoxicilloyl (c6)-IgE;P	77	IGNORE
Kortikotropin (0 min);P	77	IGNORE
Hemoglobin::Hæmoglobin (frit);P	76	Hemoglobin
Noradrenalin;Pt(U)	76	IGNORE
Bordetella pertussis-IgG;P	76	IGNORE
Kortisol-mangl.gr.;Binyrebark	76	IGNORE
Ampicilloyl (c5)-IgE;P	76	IGNORE
Hønseæggehvide (f1)-IgE;P	75	IGNORE
Hvede (f4)-IgE;P	74	IGNORE
Adrenalin;Pt(U)	74	IGNORE
P-Thyreoideaudredning gruppe	73	IGNORE
Voriconazol;P	72	IGNORE
Cytomegalovirus-Ab(IgM);P	72	IGNORE
Teknisk analyse 4, 25OHD3	72	IGNORE
Glucose::Glukose;B	71	Glucose
Fosforyleret tau;Csv	71	IGNORE
Laktat;Csv	71	IGNORE
tau protein;Csv	71	IGNORE
pCO2;P(cvB)	70	IGNORE
Elm (t8)-IgE;P	70	IGNORE
Amiodaron;P	70	IGNORE
Aldosteron / Renin;P	70	IGNORE
pO2;P(cvB)	70	IGNORE
Leukocytter(polynukl.);Ledv	70	IGNORE
CD4+T-celler;P	70	IGNORE
Leukocytter(mononukl.);Ledv	70	IGNORE
Laktat;P(cvB)	70	IGNORE
Calcitonin;P	70	IGNORE
P-Teknisk Lactat på Na-Flourid/Hepa	70	IGNORE
pH;P(cvB)	69	IGNORE
Hydrogencarbonat (standard);P(cvB)	69	IGNORE
Potassium::Kalium;P(cvB)	69	K+
Sodium::Natrium;P(cvB)	69	Na
Laktat;B(vB)	69	IGNORE
Thyreiodeakontrol (Myxødem);P	69	IGNORE
Glucose::Glukose;P(cvB)	69	Glucose
Calcium::Calcium-ion frit;P(cvB)	69	Ca
Helicobacter pylori (pustepr.);Mave	68	IGNORE
Bloddyrkning (CVK), 2 sæt	68	IGNORE
Dyrkning(Bacterium+fungus);U(kat)	67	IGNORE
Posaconazol;P	67	IGNORE
Inhalationsantigenpanel-IgE,kval;P	66	IGNORE
Treponema-Ab;P	66	IGNORE
Cytomegalovirus-Ab(IgG);P	65	IGNORE
Calcium(II)(albuminkorrigeret);P	65	IGNORE
Amylase, pancreastype;Asc	64	IGNORE
beta-2-Glykoprotein 1-Ab(IgG);P	63	IGNORE
Thyroglobulin-Ab;P	63	IGNORE
Amoxicillin (c204)-IgE;P	63	IGNORE
Kuldeagglutinin;P	63	IGNORE
U1 snRNP(70 kDa+A+C)-Ab(IgG);P	63	IGNORE
Epstein-Barr VCA-Ab(IgM);P	61	IGNORE
Epstein-Barr VCA-Ab(IgG);P	61	IGNORE
Heparin, lav molmasse [Anti-Xa];P	61	IGNORE
Methylmalonat(teknisk2);P	60	IGNORE
Ampicillin (c203)-IgE;P	60	IGNORE
Coronavirus SARS-CoV-2-IgG;P	60	IGNORE
Cobolt;P	60	IGNORE
NAT-test (HIV,HBV,HCV);P	60	IGNORE
Alifatisk carboxylat (C14-26);Pt(F)	59	IGNORE
Glutam.decarb.(gad65)-Ab(IgG);P	59	IGNORE
Torsk (f3)-IgE;P	59	IGNORE
Testosteron frit(LC-MS/MS);P	59	IGNORE
Forgiftningsprøve;P	59	IGNORE
Mycoplasma pneumoniae-Ab(IgM);P	58	IGNORE
Venesectio;Pt	58	IGNORE
Leukocytter(mononukl.);Csv	56	IGNORE
Actin-Ab(IgG);P	56	IGNORE
Proinsulin C-peptid;P	56	IGNORE
Leukocytter(polynukl.);Csv	56	IGNORE
EDTA lilla 3 ml x 1	55	IGNORE
Cancer-antigen 50[CA50];P	55	IGNORE
Projekt LIRA-KOL	55	IGNORE
Nucleært-Ab(IgG) [ANA];arb.stofk.;P	55	IGNORE
Wassermann-Ab;P	54	IGNORE
Krom;P	54	IGNORE
Legeme vægt;Pt	54	IGNORE
beta-2-Glykoprotein 1-Ab(IgM);P	54	IGNORE
Legeme højde;Pt	54	IGNORE
PaxGene 2,5 ml x 2, DRB	53	IGNORE
Projekt DRB	53	IGNORE
Amyloid beta-protein;Csv	53	IGNORE
Serum rød 10 ml x 2, DRB	53	IGNORE
Prøvetagning  med ultralyd	53	IGNORE
Sojabønne (f14)-IgE;P	53	IGNORE
EDTA k2 lilla 9 ml x 1, DRB	53	IGNORE
Hydrogencarbonat (standard);P(vB)	53	IGNORE
NK-VUE 1 ml x 1, NK-Check	52	IGNORE
Aspergillus(galactomannan Ag);P	52	IGNORE
EDTA lilla 9 ml x 3, NK-Check	52	IGNORE
BF-test udvidet;P	52	IGNORE
Serum rød 10 ml x 1, NK-Check	52	IGNORE
T-lymfocytter;B	52	IGNORE
Projekt NK-Check	52	IGNORE
Udstrygningspræparat;B	52	IGNORE
5-Hydroxyindolylacetat;U	51	IGNORE
Tacrolimus(LC-MS/MS);B	51	IGNORE
Methotrexat;P	51	IGNORE
T-lymfocytter(cytotox.);B	51	IGNORE
Erytrocytter;Ledv	51	IGNORE
IgA (lambda;monoklonalt);P	50	IGNORE
Trombocytvolumen (middel);B	50	IGNORE
Bilirubiner;P(neonatal)	50	IGNORE
3-Methoxyadrenalin frit;P	49	IGNORE
Lymfocytter;Lkc(B)	49	IGNORE
Teknisk analyse 6, 25OHD3	49	IGNORE
Varicella zoster virus IgG;P	49	IGNORE
T-lymfocytter(helper);Lymc(B)	49	IGNORE
3-Methoxynoradrenalin frit;P	49	IGNORE
T-lymphocytter(cytotox);Lymc(B)	49	IGNORE
T-lymfocytter;Lymc(B)	49	IGNORE
T-lymfocyt(helper/cytotox);Lymc(B)	49	IGNORE
Cøliakiscreening gruppe;P	48	IGNORE
Projekt DANCAVAS	48	IGNORE
CDR2-IgG;P	48	IGNORE
Amphiphysin-IgG;P	48	IGNORE
Krystaller;U	48	IGNORE
Urinvejssten gruppe;U	48	IGNORE
DRP-5-IgG;P	48	IGNORE
Neuroncellekerne Hu-IgG;P	48	IGNORE
NOVA1-IgG;P	48	IGNORE
PNMA2-IgG;P	48	IGNORE
Immunglobulin G-ratio;Csv/P	48	IGNORE
Immunglobulin D;P	48	IGNORE
O2 sat.;Hb(cvB)	46	IGNORE
Proinsulin;P(fPt)	46	IGNORE
Bacterium+fungus;U	46	IGNORE
Hemoglobin::Hæmoglobin;B(cvB)	45	Hemoglobin
Cor.SARS(COVID19)DNA/RNA(POCT);Podn	45	IGNORE
Treponema pallidum flagel-Ab;P	45	IGNORE
Fibrinmonomer;P	44	IGNORE
Serum Rød 4 ml x 2, LIRA-KOL	44	IGNORE
GAD65 Ab (neurologi);P	44	IGNORE
T-Lymphocytter(helper);B	44	IGNORE
Tacrolimus (od);B	44	IGNORE
Titin-IgG;P	44	IGNORE
Complement C1q;P	44	IGNORE
Prøvetagning på ISO patient	44	IGNORE
Citrat blå 2.7 ml x 2, LIRA-KOL	44	IGNORE
Ciclosporin (od);B	44	IGNORE
EDTA Lilla 4 ml x 1, LIRA-KOL	44	IGNORE
Klorid;P(kB)	43	IGNORE
SOX-1-IgG;P	43	IGNORE
Zinc finger prot ZIC 4-IgG;P	43	IGNORE
Penicilloyl G (c1)-IgE;P	43	IGNORE
Recoverin-IgG;P	43	IGNORE
Histidin-tRNA-ligase[Jo1]-Ab(IgG);P	43	IGNORE
2010-030 Dansk CancerBiobank	43	IGNORE
2010-030 4 mL EDTA x 3	43	IGNORE
Paraneoplastic Tr-IgG;P	43	IGNORE
Jordnød (f13)-IgE;P	43	IGNORE
Leverfibrose Sværhedsgrad(score);Pt	43	IGNORE
Irregulær blodtype-Ab;P	43	IGNORE
Pr. 2008-044 PIT Diabetes, Aterosch	42	IGNORE
Risperidon+Paliperidon;P	42	IGNORE
Coronavirus SARS-CoV-2-IgM;P	42	IGNORE
Ampicillin (c5)-IgE;P	42	IGNORE
Teknisk vasopressin-neurophysin;P	42	IGNORE
Everolimus;B	42	IGNORE
Dyrkning (bacterium+fungus);cvB	42	IGNORE
Penicilloyl V (c2)-IgE;P	42	IGNORE
Base excess (aktuel);P(nsB; vB)	41	IGNORE
pCO2;P(nsB; vB)	41	IGNORE
Hjemmelab, prøvetagning VE	41	IGNORE
Koriogonadotropin [HCG];P	41	IGNORE
Status ved patient kontakt;Pt	41	IGNORE
pH;P(nsB; vB)	41	IGNORE
Metalloproteinase inhibitor 1;P	41	IGNORE
CMVPCR;B	41	IGNORE
Vitamin A;P	40	IGNORE
Carbonmonoxidhæmoglobin;Hb(cvB)	40	IGNORE
Amoxicillin (c6)-IgE;P	40	IGNORE
Methæmoglobin;Hb(cvB)	40	IGNORE
Bilirubin::Bilirubin;P	40	Bilirubin
Lactat;P(kB)	40	IGNORE
Risperidon;P	40	IGNORE
Bindevævssygdom-relateret-Ab;P	40	IGNORE
Calcium/Kreat.clearance-ratio;Nyre	40	IGNORE
9-hydroxy-Risperidon;P	40	IGNORE
Hepatitis B kontrol af kendt;P	40	IGNORE
Bacterium+fungus, 2 sæt	40	IGNORE
Proj-002 4 mL Rød 1 af 1	40	IGNORE
Borrelia burgd.-Ab(IgM);P	39	IGNORE
Booking mangler	39	IGNORE
Ukendt analyse	39	IGNORE
Haemophilus influenzae b-Ab;P	39	IGNORE
Theophyllin;P	39	IGNORE
Borrelia burgd.-Ab(IgG);P	39	IGNORE
Projekt, Hæmatologisk KFE	39	IGNORE
Clostridium tetani-toxin-Ab;P	39	IGNORE
DAN-HEP;B	39	IGNORE
Mycoplasma pneumoniae IgG+IgM;P	38	IGNORE
Borrelia index,blod til;P	38	IGNORE
2008-044 4 ml EDTA x 2	38	IGNORE
Laktatdehydrogenase [LDH];Asc	38	IGNORE
LDL::Kolesterol LDL(direkte);P	38	LDL
EDTA Lilla 9 ml x 3, PROMIL	38	IGNORE
Projekt PROMIL	38	IGNORE
Streptococcus pneumoniae-Ab;P	38	IGNORE
NK-VUE 1 ml x 1, PROMIL	38	IGNORE
Serum Rød 10 ml x 1, PROMIL	38	IGNORE
2008-044 6,0 mL RØD x 2	37	IGNORE
Makrocytter;B	37	IGNORE
Legionella pneumophila IgG;P	36	IGNORE
2013-015 4 mL RØD x 1	36	IGNORE
Testosteron/SHBG (teknisk);P	36	IGNORE
El, grå (t2)-IgE;P	36	IGNORE
Methylmalonat(teknisk);P	36	IGNORE
Trombocytter PDW;B	36	IGNORE
HFE-gen (CYS282TYR);DNA	36	IGNORE
Ciclosporin (120 min);B	36	IGNORE
HFE-gen (HIS63ASP);DNA	36	IGNORE
Magnesium;U	36	IGNORE
Basisk fosfatasetype gruppe;P	35	IGNORE
Urinmikroskopi kommentar;U	35	IGNORE
Skimmelsvamp (m1;2;3;5;6)-IgE;P	34	IGNORE
Hepatitis C virus-IgG (konfirm);P	34	IGNORE
Cylinder, voksagtig;U	34	IGNORE
Lipoprotein(a);P	34	IGNORE
Paraneoplastisk syndrom-Ab gruppe;P	34	IGNORE
Pseudomonas aeruginosa-Ab;P	34	IGNORE
3-Hydroxybutyrat;P	34	IGNORE
Calcium-clearance;Nyre	34	IGNORE
Leukocytter(mononukl.);Lkc(Plv)	33	IGNORE
Leukocytter(polynukl.);Lkc(Plv)	33	IGNORE
SARS-CoV-2 Nukleoprotein(Ag);P	33	IGNORE
Stikskade, US af eksponent;P	33	IGNORE
Albumin;Asc	33	IGNORE
52 kDa Ro protein-Ab(IgG);P	33	IGNORE
13-015 Mikro,d1-7,t 0-4-8-12-16-20	33	IGNORE
Immunglobulin G/Albumin-ratio;Csv/P	33	IGNORE
Hba1c::Hæmoglobin A1c (IFCC) (POCT);Hb(B)	33	HbA1C
Glukose (120 min);P	33	IGNORE
Olanzapin;P	32	IGNORE
EDTA k2 lilla 9 ml x 2	32	IGNORE
Streptococc.pneum.type-IgG gruppe;P	32	IGNORE
Glucose::Glukose;P(kB;fPt)	32	Glucose
2018-051 R 3,5 mL Citrat	32	IGNORE
Projekt Lunge-DNA 2	32	IGNORE
Rotem;B	32	IGNORE
PCR til Patologer - OUH;B	32	IGNORE
Ciclosporin(LC-MS/MS);B	32	IGNORE
Mononucleose-reaktion;P	32	IGNORE
Urat;U	32	IGNORE
5-Hydroxyindolylacetat;Pt(U)	32	IGNORE
Parvovirus B-19 IgG+IgM;P	32	IGNORE
Herpes simplexvirus(type1+2)-IgG;P	31	IGNORE
Legionella-Ab gruppe;P	31	IGNORE
Anden genetisk analyse;DNA	31	IGNORE
Sodium::Natrium - POCT;P	31	Na
Creatinine::Kreatinin - POCT;P	31	Creatinine
Farve;F	30	IGNORE
Potassium::Kalium - POCT;P	30	K+
Konsistens;F	30	IGNORE
Citrat;U	30	IGNORE
Ufordøjede føderester;F	30	IGNORE
60 kDa Ro Protein-Ab(IgG);P	30	IGNORE
Reje (f24)-IgE;P	30	IGNORE
Koagulation, trombintid;P	30	IGNORE
Slim (0 1);F	30	IGNORE
Trombocytter(RNA-holdige);Trc(B)	30	IGNORE
Dyrkning (bacterium+fungus);aB	30	IGNORE
Mitokondrie-Ab(IgG);P	30	IGNORE
Benzodiazepiner;U	30	IGNORE
Amylase, pancreastype;Drænv	30	IGNORE
Blod;F	30	IGNORE
Corynebacterium diphth.-toxin-Ab;P	30	IGNORE
Vitamin E;P	29	IGNORE
Pr. 2011 Dansk Cancer Biobank	29	IGNORE
Noradrenalin;Pt(nU)	29	IGNORE
EDTA 3 ml DCB	29	IGNORE
Proteinase 3-Ab(IgG);P	29	IGNORE
Gul gel 4x5ml DCB	29	IGNORE
Hepatitis C virus(RNA),genotype;P	29	IGNORE
Glukose (0 min);P	29	IGNORE
Prokollagen I, N-term.propeptid;P	29	IGNORE
Human immundefektvir. 1+2(Ab+Ag);P	29	IGNORE
17-alfa-Hydroxyprogesteron;P	29	IGNORE
Urin Volumen, nat;Pt	29	IGNORE
Kreatinin;Drænv	29	IGNORE
EDTA 10 ml DCB	29	IGNORE
Dopamin;Pt(nU)	29	IGNORE
CALR-gen;DNA	29	IGNORE
Proj-002 COVAC-Tx pakke 3	29	IGNORE
Adrenalin;Pt(nU)	29	IGNORE
F5-gen Leiden (ARG506GLN);DNA	28	IGNORE
SARS-CoV-2 Nukleoprot.(Ag) screen;P	28	IGNORE
Serum rød 10 ml x 1, ENZ	28	IGNORE
Transglutaminase-Ab(IgA);P	28	IGNORE
Thyreoidea behandlingsktr.grp;P	28	IGNORE
NK-VUE 1 ml x 1, ENZ	28	IGNORE
Fosfolipidantistofudredning;Pt	28	IGNORE
Fæcesopsamling;Pt	28	IGNORE
Stikskade, 1.US af eksponeret grp;P	28	IGNORE
Smiths-Ab(IgG);P	28	IGNORE
Hepatitis A virus-Ab(IgG);P	28	IGNORE
Alifatisk carbox.(g fedt/g fæces);F	28	IGNORE
Kulhydratfattigt transferrin[CDT];P	28	IGNORE
Projekt ENZ	28	IGNORE
Nucleus(homogen farvning)-Ab(IgG);P	28	IGNORE
EDTA k2 lilla 9 ml x 2, ENZ	28	IGNORE
Alifatisk carbox.(g fedt/24h);Pt(F)	28	IGNORE
Projekt RESOLUTE	28	IGNORE
Karbamid;Dialysev	27	IGNORE
Gliacelleprotein S-100b;P	27	IGNORE
Fosfolipid-Ab;P	27	IGNORE
Teknisk analyse 14, 25OHD3	27	IGNORE
ASPItest - Pr-miRNA	27	IGNORE
Hepatitis E virus-IgM [HEV];P	27	IGNORE
Chlamydia pneumoniae IgG+IgM;P	27	IGNORE
Laktatdehydrogenase;Asc	27	IGNORE
Hepatitis E virus-IgG [HEV];P	27	IGNORE
Lymfocytter, B/T/NK-celler;B	27	IGNORE
Projekt DETECT	27	IGNORE
Kreatinin;Dialysev	27	IGNORE
Base excess (aktuel);P(cvB)	27	IGNORE
M-komp. TOP1+ Konc. (TEK)	27	IGNORE
Kortisol sekr.test grp;Binyrebark	26	IGNORE
Projekt SUPE_R	26	IGNORE
Bas.fos. knogletype;P	26	IGNORE
Oxalat;U	26	IGNORE
Bas.fos. tarmtype;P	26	IGNORE
Bas.fos. leverendoteltype;P	26	IGNORE
Bas.fos. lever canaliculi.;P	26	IGNORE
Acetylcholinreceptor-IgG;P	26	IGNORE
Myeloperoxidase-Ab (IgG);P	26	IGNORE
Streck rør 10 ml x 2, SUPE_R	26	IGNORE
Amitriptylin;P	26	IGNORE
2014-063 6,0 mL RØD x 2	25	IGNORE
PaxGene 2,5 ml x 2, BIOPAC	25	IGNORE
2014-063 4,0 mL EDTA x 3	25	IGNORE
Thyreiodeaktr (Thyreotoxikose);P	25	IGNORE
Triglycerid;Plv	25	IGNORE
Kerneholdige celler;Plv	25	IGNORE
2014-063  B DANCAVAS	25	IGNORE
Hvepsegift (i3)-IgE;P	25	IGNORE
Magnesium;Pt(U)	25	IGNORE
2014-063 3,0 mL LiHe x 3	25	IGNORE
Projekt BIOPAC	25	IGNORE
Serum Rød 10 ml x 3, BIOPAC	25	IGNORE
EDTA k2 lilla 9 ml x 3, BIOPAC	25	IGNORE
Herpes Encefalitis HSV + VZV;Csv	25	IGNORE
Glukose;Asc	25	IGNORE
Etanol;P	24	IGNORE
Carbamazepin;P	24	IGNORE
Kerneholdige celler(mononukl.);Plv	24	IGNORE
Hepatitis B før vaccine;P	24	IGNORE
Glukose belast (120min)grp;Pt	24	IGNORE
Tek. LUPUS, LA-check;P	24	IGNORE
SDCO OUH: Booking af tid til prvt	24	IGNORE
Amitriptylin+nortriptylin;P	24	IGNORE
EDTA lilla 4 ml x 2, BoneProst	24	IGNORE
Projekt BoneProst	24	IGNORE
Serum gel 8,5 ml x 1, Detect_PRO	24	IGNORE
EDTA lilla 10 ml x 3, Detect_PRO	24	IGNORE
Projekt Detect_PRO	24	IGNORE
Serum rød 10 ml x 1, Detect_PRO	24	IGNORE
Sertralin;P	24	IGNORE
Dyrkning (bacterium+fungus);B(aB)	24	IGNORE
Tek. LUPUS, PTTLA Screen;P	24	IGNORE
Deamid.gliadin peptid-Ab(IgG);P	24	IGNORE
Serum SST-US 10 ml x 1, Detect_PRO	24	IGNORE
Koagulationsfaktor VIII (koag.);P	24	IGNORE
Kerneholdige celler(polynukl.);Plv	24	IGNORE
Anæmiudredning,FERRI	24	IGNORE
Projekt FOLFIRI RAS/RAF	23	IGNORE
2021-R01 10 mL Rød x1	23	IGNORE
GenKaBcell	23	IGNORE
BK polyomavirus DNA;P	23	IGNORE
Projekt INDEED-Blod	23	IGNORE
Projekt NOVELTY	23	IGNORE
Histon-Ab;P	23	IGNORE
Projekt MATINEE	23	IGNORE
SERUM rød 10ml x1, FOLFIRI RAS/RAF	23	IGNORE
2010-030 6 mL RØD x 3	23	IGNORE
Progesteron;P	23	IGNORE
Herpes Encefalitis HSV + VZV;P	23	IGNORE
NK-VUE 1 ml x 1, FOLFIRI RAS/RAF	23	IGNORE
Erytrocytter, vol.fr.;B(cvB)	23	IGNORE
Projekt ASPEN	23	IGNORE
M-komp. TOP2+Konc (TEK)	23	IGNORE
EDTA lilla 9ml x1, FOLFIRI RAS/RAF	23	IGNORE
F2-gen (20210G-A);DNA	23	IGNORE
Interferon gamma-reaktion;T-lymc(B)	22	IGNORE
Neutrophils::Neutrophilocytter;B	22	Neutrophils#
Erythrocytter,vol.fr.;B(cvB)	22	IGNORE
Projekt OVH2N	22	IGNORE
Epstein-Barr virus capsid-Ab(IgM);P	22	IGNORE
Epstein-Barr virus capsid-Ab(IgG);P	22	IGNORE
RØD tør 10 ml x 1, OVH2N	22	IGNORE
Projekt HERO	22	IGNORE
Coronavirus SARS-Cov-2-IgG;P	22	IGNORE
Fosfat;U	22	IGNORE
Dyrkning(bacterium+fungus);cvB sæt2	22	IGNORE
EGF receptor 2 (HER2);P	22	IGNORE
Erytrocytter, vol.fr. [EVF];B(vB)	22	IGNORE
Cytomegalovirus IgG+IgM [CMV];P	21	IGNORE
Kortisol (LC-MS/MS);P	21	IGNORE
Beta-globulin til HLAB27	21	IGNORE
13-015 M.RØR,d 1-7,t 0-4-8-12-16-20	21	IGNORE
Mycoplasma pneumoniae-IgM;P	21	IGNORE
2013-015 2 x mikrodial.rør	21	IGNORE
Leukocyt-Ab;P	21	IGNORE
Bloddyrkning (arteriekanyle), 2 sæt	21	IGNORE
2021-R01 4 mL EDTA x 2	21	IGNORE
Bence Jones protein taxon;U	21	IGNORE
Teknisk analyse 13, 25OHD3	21	IGNORE
Nucleus(plettet farvning)-Ab(IgG);P	21	IGNORE
2010-030-005 Å 10 mL EDTA 7 af 7	20	IGNORE
Zuclopenthixol;P	20	IGNORE
2010-030-005 Å 10 mL TØR 1 af 1	20	IGNORE
Human EGF receptor 2;P	20	IGNORE
Phenytoin;P	20	IGNORE
2010-030-005 Å 10 mL EDTA 3 af 7	20	IGNORE
Hepatitis B virus(DNA,kvant)[HBV];P	20	IGNORE
2010-030-005 Å 10 mL EDTA 1 af 7	20	IGNORE
2010-030-005 Å IMPROVE DCB	20	IGNORE
Toxoplasma gondii IgG+IgM;P	20	IGNORE
2010-030-005 Å 10 mL EDTA 5 af 7	20	IGNORE
2010-030-005 Å 10 mL EDTA 6 af 7	20	IGNORE
2010-030-005 Å 10 mL EDTA 2 af 7	20	IGNORE
Hasselnød (f17)-IgE;P	20	IGNORE
Vitamin B1;B	20	IGNORE
Epstein-Barr virus(DNA) [EBV];P	20	IGNORE
Lambda-kæde(frit;monoklonalt);P	20	IGNORE
HR Urtikaria;P	20	IGNORE
TEK-iFLASH4	20	IGNORE
Skimmelsvamp (m1;2;3;5;6;8)-IgE;P	20	IGNORE
Citrat;Pt(U)	20	IGNORE
Hepatitis A før vaccine gruppe;P	20	IGNORE
Hepatitis C virus-Ab(IgG);P	20	IGNORE
Bilirubiner(semikvant);Csv	20	IGNORE
2010-030-005 Å 10 mL EDTA 4 af 7	20	IGNORE
Gul gel 3,5 ml x 4	20	IGNORE
Protein C (enz.);P	20	IGNORE
B-EDTA k2 lilla 4 ml x 1, HER2N	20	IGNORE
