code	description	count
18841928	Enterovirus PCR CSF	559
18841930	RST Report Action	208629
18841932	Serotype 51 (7F)	917
18841936	C3d Immune Complex	19
18841938	Lambs quarter IgE	21905
18841942	Ethylene Glycol	109
18841944	U Hippuric Acid	2
18841946	Placental Iso	573
18841948	Base Excess POCT	62499
18841952	Striated Muscle Ab	10
18841956	D-Dimer	37521
18841958	Peanut Class	12967
18841960	Viscosity	5646
18841962	VIP	176
18841964	Sickle Scrn	196
18841968	HTLV I/II Assay	151
18841970	Time Collected	164273
18841974	Allopurinol and Meta	2
18841976	D-lactate	26
18841978	U24 Potassium	390
18841982	Fecal Fat Qnt	530
18841984	JAK2 Exon 12	1559
18841986	Vitamin B1	2422
18841988	Cardiolipin IgG	5539
18841994	Bone Isoenzyme	573
18841996	U C Trachomatis	202152
18841998	Hep Bs Ab	37940
18842000	Organic Base Screen	1927
18842002	pH Pleural Fluid	376
18842004	Androstenedione	1105
18842006	Normal Sperm	5645
18842008	Hgb A1c Peds	6474
18842010	Trig BF	635
18842012	U Total Porphyrin	308
18842014	Ferritin	323149
18842020	Albumin.	679
18842022	ACTH Baseline	5
18842026	p40	263
18842028	Neut % CSF	5407
18842030	U Amino Acid Qnt	27
18842032	Tot Cells CSF	6957
18842034	Ur Sodium	4070
18842036	Thick Smear	469
18842038	TV Sodium	4070
18842044	Cyptococcal Ttr	134
18842048	U Phencyclidine Conf	189
18842050	QFever/Phs1 IgM Scr	234
18842052	Hemochromatosis DNA	1160
18842056	Rubella IgG Status	39641
18842058	Progressive Lyme	2094
18842062	IgG4	1716
18842064	Cottonwood Tree Class	23820
18842066	MAG Ab (IgM) Wb	143
18842068	GGT	17670
18842070	U Copro	270
18842072	PAI	50
18842076	Lyme Ab	2094
18842078	Alpha 1 %	61474
18842080	HSV Type II IgG	12564
18842082	Other BF	3207
18842084	Fecal Weight	308
18842086	Parietal Cell Ab Titer	469
18842088	Helminthosporium IgE	21904
18842090	Alpha 2 Globulin	378
18842094	U24 Heptacarb	55
18842098	A. Fumigatus Class	21870
18842100	Sodium, Feces	109
18842106	D. farinae Class	23834
18842114	Aspergillus Allergy	134
18842116	Albumin	1494444
18842118	U24 Calcium mg	4843
18842120	Human Placental	1
18842122	CMV DNA PCR	2852
18842124	pCO2 Ven	8398
18842128	Gent	126
18842130	Vitamin B12	285262
18842132	Digeorge VCF Fish	6
18842134	T3 Total	14864
18842136	Chol BF	401
18842138	WBC CSF	6957
18842140	Potassium, Feces	109
18842144	pO2 Ven	8397
18842146	Base Excess Cap	1
18842148	Birch Tree IgE	23867
18842150	U Propox Conf	29
18842152	U Lysozyme	1
18842154	Mix PT Interp	76
18842156	Act Prot C Resist	551
18842158	U Creat	347704
18842162	Proinsulin	126
18842164	BNP	7876
18842166	Gamma Globulin.	378
18842168	Normal Pool 60 min APTT	221
18842170	HLA-DQB1	206
18842172	CD8 %	13443
18842174	Toxoplasma IgM	797
18842176	Spina Bifida Pt Risk	10409
18842178	Desoxycortico	8
18842180	Cryocrit	3
18842182	Endomysial IgA	29
18842186	HLA-DQA1	206
18842188	U Amph Scr	344910
18842190	PT Gene Interp	2837
18842192	Phenobarb	1171
18842194	U24 Oxalate	2997
18842196	U Hexacarbox	308
18842198	PT WB	90
18842204	U Alpha 2 %	4371
18842206	Plasminogen	6
18842208	Microsporidia ID	237
18842210	CMT1a MPZ Muta	11
18842214	Eos Smear Neut %	75
18842218	Voriconazole HPLC	380
18842224	Alpha 1 Glob	61473
18842226	Timothy Grass IgE	17799
18842228	gp41	263
18842232	Mugwort Class	21802
18842234	Soybean IgE	10702
18842236	Acid Phos	5
18842238	Comment Semen	1090
18842240	Total Fetal RBC Counted	578
18842242	Breast Cancer Oncotype	1001
18842244	Phosphorus	365449
18842248	B quintana IgM	1031
18842252	Hazel Tree Class	23809
18842254	Cells Counted	5178
18842256	Timothy Grass Class	17800
18842258	ACE	1360
18842260	Hep Bs Ag OB	32938
18842262	U Gamma Glob	4371
18842266	H. Influenzae Ag	12
18842272	U24 Creatinine gm	6244
18842274	Celiac Interp	202
18842276	C Diff Toxins Ag	48376
18842278	Total Hgb Art	1994
18842280	U Creat NR	125
18842282	Bili Total	1295615
18842286	CMV IgG	1714
18842288	Carotene	167
18842292	Carnitine Total	312
18842294	Ur Creat	165188
18842296	Hgb Free	85
18842300	Referral Reason	9674
18842304	Lymph Abs CSF	6957
18842306	Intercellular Sub Ab	18
18842308	Donor Number	1060
18842310	Binding Loc IgG	9
18842312	U Eos Smear % Neuts	4016
18842314	Ritalin	348
18842316	Abn Prot Band 2	378
18842318	QFever/Phs1 IgG Scr	234
18842320	Stone Analysis	8167
18842322	Chro/Creat Ratio	134
18842326	Bili Tot Neonatal	48269
18842328	QFever/Phs1 IgG Ttr	3
18842330	T4 Free Dir Dial	171
18842332	Acute Sero Disease	232
18842336	Histo Ab	133
18842338	PM-Scl Ab	15
18842340	Mycoplasma IgG	137
18842342	HIV 2	86
18842348	ASO	1592
18842350	Normal Pool 0 min APTT	244
18842352	U24 Glucose	36
18842354	gp46-II	11
18842356	Cold Agglutinin	306
18842358	U Albumin %	4424
18842360	U Methyl Alcohol	7
18842364	Hct Spun	5
18842366	Trichomonas	105884
18842368	GH Binding Protein	2
18842370	AFP Tumor CSF	3
18842374	Total Sperm	5645
18842376	Ceruloplasmin	7501
18842380	HLA-DQ8	206
18842382	Maternal Quad Scr	1292
18842386	O2Hb	3621
18842388	1:1 Mix 60 min PT	80
18842390	Haptoglobin	9892
18842392	Prader Willi DNA	23
18842394	U Alpha 1 Glob	4371
18842396	Basophil BF	3207
18842398	C1q Imm Complex	21
18842400	Pancreatic Amy	491
18842402	pH BF	243
18842404	U THC Quant	30770
18842406	JO-1 Ab	171
18842408	Insulin Lvl	1138
18842410	Iron Liver	8
18842412	White Oak Tree Class	23806
18842414	Ur Microalbumin	99
18842418	HCV Genotype	1956
18842424	CRP High Sens	2483
18842428	Phenytoin Free	137
18842430	Ri Ab WB	19
18842432	Heparin Assay LMW	1042
18842436	Aspergillus Ab	112
18842440	Fructose Semen	173
18842442	Goose Down Class	21872
18842446	LDH 3	108
18842448	HGH 60 min	1
18842450	Iron Sat	170554
18842452	Adrenal Ab Scr	95
18842454	Ur Chloride	50
18842458	Myotonic DNA	41
18842462	Acetylchol Qual	4
18842464	Alternaria Class	23866
18842468	Mercury	1038
18842470	Beta %	61474
18842472	Walnut IgE	2885
18842474	HIV Rapid Test	1670
18842478	Trig Fasting	272842
18842480	Hgb POCT	23471
18842482	U Cannab Conf	12
18842484	0.40% NACL	23
18842486	MMA Qnt	11885
18842488	C. pneu Interp	66
18842492	Other Cell % CSF	5397
18842494	Alk Phos	1243421
18842498	U24 Porphyrins	55
18842500	LDH 5	108
18842504	Chloride, Feces	109
18842512	HPV DNA	135204
18842514	U24 Chloride	50
18842516	Alpha 1 Globulin	378
18842522	Copper	2308
18842524	Hep Bs Ab Empl	232
18842526	Complement C3	3
18842530	Iron	173374
18842532	Leukocyte Adhesion	25
18842534	Mycelial Phase Ab	133
18842536	Islet Cell Ab	153
18842538	Wheat Class	11395
18842542	Cyc Cit Peptide	26194
18842544	Protein BF	3372
18842546	U24 Uric Acid	4069
18842550	Band Resolution	1644
18842552	gp160	263
18842554	U24 5 HIAA	1469
18842560	Appear CSF	6957
18842562	Zinc Proto	461
18842564	HIV 1 Log 10 RNA	14341
18842566	KRAS Mutation	146
18842568	Cortisol Dex Sup	2212
18842570	Tube Num CSF	6957
18842574	Basophil % CSF	5403
18842576	ABPA Panel	148
18842578	G-6-PD Quant	1213
18842580	Arylsulfatase A	11
18842584	Latex IgE	537
18842586	Conv Serology Inf	73
18842588	Desmethylclom	77
18842590	Beta-Gamma Toco	972
18842594	TSH	280827
18842596	Mycoplasma IgM	295
18842598	Helminthosporium Class	21868
18842600	CD8	13443
18842602	U24 Citrate	3961
18842604	LH Pediatric	932
18842606	Hazelnut Class	2776
18842608	HIV Genotype	569
18842610	U Methyl Acid	20
18842612	PTT	96326
18842616	U Opiate/Oxy Conf	44564
18842618	Free Kap/Lam Ratio	20701
18842620	TV Creatinine	11087
18842622	Chromium	341
18842624	Maternal Age at Term	10408
18842626	Esterified/Free Ratio	312
18842630	PTH Intact	29697
18842632	IGF-1	1870
18842634	LDL	518578
18842636	Protein CSF	4342
18842638	U Hemosid Comment	9
18842640	Occult Bld Stl Outreach	52615
18842642	1:1 Mix 60 min APTT	220
18842644	CF Mutation Detected	7537
18842646	Base Excess Art	3484
18842648	Hep B Core IgM	3298
18842650	Rye Grass Class	21874
18842652	Hep A IgM	12808
18842654	Scotch Broom Class	21874
18842656	Cytogen Related Testing	2867
18842658	Transferrin	320
18842660	Estriol MOM	6285
18842662	U Myoglobin Qnt	174
18842668	B henselae IgG	1031
18842670	p24.	11
18842672	Hematocrit	26
18842674	QFever/Phs2 IgG Scr	234
18842676	Meadow Fescue IgE	21905
18842678	Large Mononuclear BF	3207
18842680	Isopropanol	26
18842682	Factor 9 Inhib	21
18842686	HSV Type I IgG	12564
18842688	H. Influenza Source	12
18842692	CSF Albumin	679
18842694	Other Cells CSF	6957
18842696	Serogroup 1	30
18842698	FSH Pediatric	756
18842700	17 OH Progest	2588
18842702	U Lorazepam	800
18842704	Pre Wash Volume	4538
18842706	Dibucaine Nbr	45
18842710	Theoph	462
18842712	CMT Profile Eval	1
18842716	Fetal RBC %	578
18842718	Myco pneumo PCR	597
18842720	Amino Acid Qnt	323
18842722	Bromide	3
18842724	Hypersensitivity Pneu	111
18842726	CD4/CD8 Ratio	13573
18842728	Hazel Tree IgE	23867
18842730	Interval Amylase	1
18842732	Reticulin IgA	15
18842734	U Trichloroacetic	1
18842736	Vitamin D2 1,25	1039
18842738	hCG Quant	118500
18842740	p51	263
18842742	U Amph Scr EDS	29786
18842744	Pentachloro	1
18842748	COHb	3621
18842750	U Alpha 1 %	4371
18842752	Sjogren's Ab SSA	1824
18842754	PTH 5 min Post Ex	120
18842758	U Selenium	28
18842762	Spina Bifida Risk	10409
18842766	Reticulocyte %	2
18842770	U Heptacarbox	308
18842772	Tri 18 Risk Flag	1
18842774	HSV IGM Titer	804
18842776	Collagen/EPI	1295
18842778	Inhibin A MOM	6285
18842780	U24 Pentacarb	55
18842782	Cells Karyotyped	5142
18842788	FSH	31313
18842790	Copper Liver	53
18842792	Spinal Muscular	9
18842794	Sperm Ab IgA	9
18842796	Calcium Ionized	22118
18842800	Tot Testosterone	24629
18842802	Serotype 1 (1)	926
18842804	Cashew Class	2807
18842806	TV Phosphorus	1001
18842814	CO2 Totl Art	3484
18842818	Sheep Sorrel IgE	23868
18842820	DNA Ab Titer	128
18842822	Factor XIII	69
18842824	Semen Coll Time	9075
18842828	Blood Dipstick	1337
18842832	Rapid Strep Report	208627
18842834	MPL W515	942
18842836	Parvo B19 IgG	725
18842844	U Porpho Qnt	227
18842846	Total Meta/Norm	1196
18842850	Lymph Panel w LK	338
18842852	RBC Cholinester	16
18842856	D. pteronyssinus Class	23835
18842858	C4 Complement	14876
18842860	GFR Non AA CKD EPI	2311135
18842870	Hexo A and Total	77
18842872	Testoster Free	24629
18842874	Total Count	5258
18842876	Beta Glob	61473
18842878	Cytogen Director	8811
18842880	CEA	14219
18842882	TV Urea	141
18842884	Cort Binding Glob	5
18842886	Free Kappa	20701
18842888	Kennedy Disease	14
18842890	Glucose Timed	14
18842892	HGH baseline	47
18842894	Biotinidase	20
18842896	Serotype 12 (12F)	917
18842900	IGF Bind Prot-3	1158
18842902	Ur Creatinine.	991
18842904	Sm Antibody	683
18842906	C9 Complement	2
18842908	Vitamin B12 Bind	44
18842910	Basophil Abs CSF	6957
18842912	U24 Hexacarb	55
18842914	Hep B Core Ab	31001
18842916	Cytogen Interp	8459
18842918	Patient 0 min APTT	290
18842920	Uric Acid	139722
18842922	U Catechol Total	101
18842924	Carnitine Esters	312
18842926	WA NBS Results	7520
18842928	Protein S Act	1340
18842930	QFever/Phs2 IgM Scr	234
18842932	Fecal Leukocyte	11572
18842936	SHBG	309
18842938	Scl 70 Ab	557
18842942	U Amphetamine	23128
18842944	English Plantain IgE	23868
18842946	Insulin Ab	40
18842948	Elm Tree IgE	21905
18842950	EBV EBNA Ab (IgG)	5297
18842952	U Protein mg/int	2110
18842954	U24 Cort Free	1398
18842958	Shrimp Class	10111
18842960	Dog Dander IgE	23866
18842962	Cortisol 30 min	4344
18842966	Cytogen Diagnosis	6474
18842970	Parvo B19 IgM	3465
18842972	U N-Telopeptide	473
18842974	Tot Cells BF	3207
18842976	T4 Free	87162
18842978	Platelet Ab	6
18842980	Retic Absolute	25737
18842982	Manganese	102
18842984	Collect Sample	5
18842986	U24 Cadmium	168
18842988	Hep Bs Ab Quant	10881
18842990	Cyanide	6
18842992	CF Genotype	7537
18842994	Thyroperoxidase Ab	10353
18842996	CRP HS Interp	2483
18842998	0.55% NACL	23
18843000	Gluc 3 Hr	7230
18843004	RBC Folate	183
18843006	WBC BF	13170
18843010	Codfish Class	9733
18843012	Aldolase	726
18843014	Lymph Mitogen	159
18843016	Ave Risk Maternal Age	6285
18843020	Serotype 23 (23F)	917
18843022	PTH Cyst Fluid	135
18843024	Willow Tree IgE	21904
18843026	Shrimp IgE	10111
18843030	Lupus Anticoag	4293
18843032	Lactate POCT	23364
18843034	Hep Bs Ag	119079
18843040	JAK2 Exon 13	1559
18843042	PTH Baseline 2	83
18843046	Neut Abs CSF	6957
18843048	RBC Frag Interp	23
18843050	TV Albumin	283
18843052	Cryoglobulin Quant	3
18843054	Valpro Acid	9321
18843056	U Pro El Interp	12740
18843058	JAK2 V617F	1837
18843060	Alpha-Toco	972
18843062	Bili Amniotic	2
18843064	Glucose CSF	4324
18843066	Estrogens Total	140
18843068	Gamma Glob	61473
18843070	B hens IgM Ttr	28
18843072	B quint IgG Ttr	5
18843074	AFP Maternal MOM	17806
18843076	Parasitemia %	469
18843082	Microalb/Creat	77156
18843084	Mumps IgM	588
18843086	Estriol	6307
18843090	Lymph % BF	12998
18843092	GFR AA CKD EPI	2313387
18843094	Clue Cells	105699
18843096	Gluc 2Hr PP	930
18843098	Willow Tree Class	21859
18843100	Phenylalanine Oregon Health	279
18843102	Almond IgE	2962
18843104	1:1 Mix 0 min APTT	244
18843106	Cryofibrinogen	2047
18843108	TV Glucose	36
18843110	TV Uric Acid	4069
18843112	RBC CSF	6957
18843114	Glucose POCT	52676
18843116	hCG MOM	6285
18843118	Walnut Tree Class	21866
18843122	Amylase Serum	491
18843124	Creatinine POCT	16505
18843126	Factor VIII Act	1490
18843130	Lactate Plasma	113422
18843132	Ur pH	11
18843134	C8 complement	2
18843136	U Flurazepam met	800
18843138	MS Panel Interp	378
18843142	CRP	167983
18843144	D. pteronyssinus IgE	23866
18843146	Ur Timed Amylase	1
18843148	LDH 1	108
18843152	Coccidiomycosis Ab Serum	1172
18843154	Milk IgE	11926
18843156	C1 Esterase Inh	676
18843158	CD4 (T Cell)	16239
18843162	Reduc Subst Stl	199
18843164	Arbovirus IgG Ab	2
18843166	BCP Mutations	11
18843168	Calcium BF	1
18843170	Varicella IgM	641
18843172	Influ H1N1 PCR	7462
18843174	0.85% NACL	23
18843176	Motility	5258
18843182	Pro El Interp	61474
18843184	Appear BF	13170
18843186	LD-1 LD-2 Ratio	106
18843188	Hep B Virus DNA	1843
18843190	U24 Microalb	99
18843192	Ovarian Ab Scr	4
18843194	TV Chloride	50
18843198	Cortisol Total	9600
18843202	C.trach IgM	66
18843208	U Sodium	11538
18843210	IgG1	708
18843214	PTH-RP	802
18843216	Total CK	93367
18843218	Hep B Empl status	232
18843220	EBV VCA Ab (IgG)	5297
18843222	Hgb F Qual	6
18843224	Eos Source	75
18843226	HIV 1 P24 Ag	5
18843232	U Reduc Subst	14
18843234	HPV DNA High Risk	5297
18843236	Ganglioside Ab	184
18843238	Hep A Ab	13098
18843240	Pigweed Class	21813
18843242	IF Block Ab	1808
18843244	Egg White IgE	11228
18843246	Influ A PCR	18964
18843248	p-19-I	11
18843250	Hct POCT	47442
18843252	AFP Comment	159
18843254	C. psittaci IgG	66
18843256	Reticulin Additional	15
18843258	Osmolality	8338
18843260	Corn Class	942
18843264	Procain Tot	3
18843266	Pistachio IgE	2645
18843268	Total Hgb Ven	8118
18843270	Sperm per mL	5645
18843272	Gluc 1.5 Hr	2
18843272	Gluc 90 Min-LT	11
18843274	IgG Index CSF	679
18843276	Microsatellite	13
18843280	Intercellular Titer	5
18843282	Tot Clom/Desmeth	77
18843284	Isoniazid HPLC	1
18843286	Box-Elder Tree IgE	23830
18843288	TV Cort Free	1398
18843290	White Oak Tree IgE	23867
18843292	Varicella IgG	50924
18843294	JAK2 Exon Source	538
18843296	MBP CSF	384
18843300	Alpha 2 %	61474
18843302	Normal Pool 0 min PT	84
18846174	Haloperidol	6
18846176	Thioridazine	1
18846178	Protriptyline	2
18846180	Estradiol	13803
18846186	Zonisamide	562
18846190	Flecainide	59
18846192	Dopamine	62
18846194	Estrone	117
18846196	Butalbital	6
18846198	Diazepam	1
18846200	Lidocaine	11
18846202	Itraconazole	68
18846204	Phenytoin	6141
18846206	Methotrexate	936
18846208	Procainamide	3
18846210	Glucagon	50
18846212	Amikacin	355
18846214	Creatine	4
18846216	Iodine	110
18846218	Bupropion	3
18846222	Tiagabine	1
18846226	Lorazepam	1
18846228	Cyclosporine	4076
18846230	Doxepin	15
18846232	Nortrip	444
18846234	Nortriptyline	106
18846238	Amoxapine	2
18846240	Clozapine	242
18846242	Clomipramine	77
18846244	Amitriptyline	106
18846246	Primidone	138
18846250	Trazodone	1
18846252	Tacrolimus	28520
18846254	Multiple Births	10547
18846258	Calcitonin	754
18846262	Lamotrigine	3858
18846264	Imipramine	62
18846266	Amylase	19001
18846268	Sirolimus	1608
18846270	Progesterone	14727
18846272	Glucose	2366681
18846274	Lipase	227675
18846276	Felbamate	36
18846278	Ethosuximide	111
18846280	Clorazepate	1
18846282	Chlorpromazine	2
18846286	Epinephrine	62
18846288	Norepinephrine	62
18846290	Digoxin	16686
18846294	Sertraline	1
18846296	Vitamin A	1419
18846298	Topiramate	527
18846300	Trimipramine	2
18846302	Levetiracetam	2922
18846304	Quinidine	5
18846306	Desipramine	85
18846308	Flucytosine	50
18848170	Lithium	13239
18870158	Pen IV (non-meningitis)	377
18876154	ABO Type	134612
18876158	RH Type	134612
18876162	Direct Coombs	19189
18876166	Antibody Screen	133140
18876170	ARC Ab Identification	141
18876174	Additional Result:	72
18876178	Antibody Identification	6443
18876187	Antibody Titer	571
18876195	Poly AHG	6518
18876203	Fetal Maternal Screen	1787
18876234	Isohemagglutinin Titer	200
18876240	Viscosity Serum	766
18876438	T3, Total	870
18878172	Stool Source	28
18925380	Estriol Frac	37
18925389	Donath Landsteiner	1
18925395	U24 Creatinine CF	1398
18925401	Generic Stat	1993
18925410	Estradiol Frac	37
18925416	Ur Creat CF	1398
18926280	Hep C Log10 RNA	8988
18938265	Stearoylcarnitine, C18	162
18938268	Methylmalonylcarn, C4DC	162
18938271	Adipoylcarnitine, C6DC	162
18938274	Suberylcarnitine, C8DC	162
18938277	Glutarylcarnitine, C5DC	162
18938280	Tetradecenoylcarn, C14:1	162
18938283	OH-Hexadecanoylcarn, C16OH	162
18938286	Toxoplasma IgG Interp	1165
18938289	Oleoylcarnitine, C18:1	162
18938292	OH-Linoleoylcarn, C18:2-OH	162
18938295	Hexadecanoylcarnitine, C16	162
18938298	OH-Dodecanoylcarn, C12OH	162
18938301	Dodecenoylcarnitine, C12:1	162
18938304	Tetradecanoylcarnitine,C14	162
18938307	Decenoylcarnitine, C10:1	162
18938310	OH-Hexanoylcarnitine, C6OH	162
18938313	Hexadecenoylcarn, C16:1	162
18938316	OH-Butyrylcarnitine, C4OH	162
18938319	OH-Hexadecenoyl, C16:1-OH	162
18938322	OH-Isovalerylcarnitin,C5OH	162
18938325	Propionylcarnitine, C3	162
18938328	Tiglyl/methylcrotonyl,C5:1	162
18938331	EBV Heterophile IgM	7046
18938334	Iso-/Butyrylcarnitine, C4	162
18938337	Acylcarnitine Interp	162
18938340	Decanoylcarnitine, C10	162
18938343	Dodecanoylcarnitine, C12	162
18938346	Hexanoylcarnitine, C6	162
18938349	OH-Tetradecenoyl, C14:1-OH	162
18938352	Tetradecadienoylcarn,C14:2	162
18938355	CCP Interp	26194
18938358	Isovaleryl-/2-methylbut C5	162
18938361	Octenoylcarnitine, C8:1	162
18938364	OH-Tetradecanoylcarn,C14OH	162
18938367	Acetylcarnitine, C2	162
18938370	Linoleoylcarnitine, C18:2	162
18938373	Octanoylcarnitine, C8	162
18938376	OH-Oleoylcarn, C18:1-OH	162
18943214	EDD	207
18943217	NTD Family Hx	207
18943220	Pine Nut Class	2578
18943223	Pine Nut IgE	2578
18943226	Yellowjacket Class	350
18943229	Yellowjacket IgE	350
18943232	Paper Wasp Class	349
18943235	Paper Wasp IgE	349
18943238	Hornet, Yellow IgE	349
18943241	Hornet, Yellow Class	349
18943244	Hornet, White-Faced IgE	342
18943247	Hornet, White-Faced Class	342
18943250	Honey Bee IgE	380
18943253	Honey Bee Class	380
19091411	B Cell Clonality	139
19091414	T Cell Clonality	231
19091603	Angio Conv CSF	259
19091609	JC Virus DNA	14
19091873	Adenosine Deaminase	239
19091879	TBI Immunoglobs	50
19091882	Mycophenolic Acid Lvl	180
19091885	Oxcarbazepine Level	840
19091888	Thiopurine Metabolite	627
19107351	Total CO2 Ven POCT	5010
19107354	Dosage mg/day	100
19107357	Adenovirus	753
19107360	Cryptosporidium exam	449
19107366	Pyruvic Acid	14
19107372	FIO2 Cd Bl Ven POCT	2
19107378	Pancreatic Elastase-1	1045
19107381	pO2 Cap/Mix POCT	1608
19107387	Block/Specimen ID:	684
19107393	Paraneoplastic Ab CSF	132
19107396	Gestational age weeks	107
19107402	sO2 Cap/Mix POCT	1608
19107408	Total CO2 Cd Bl Art POCT	2073
19107411	Base Excess Cd Bl Art POCT	2068
19107414	Glucose Base Ins-Arg	1
19107417	HCV FibroSURE	5
19107420	Macadamia Nut IgE	2592
19107423	Trofile(TM) Co-Receptor	17
19107429	HCO3 Cd Bl Ven POCT	2195
19107432	HSV Result	4292
19107435	BRAF Mutation	535
19107438	sO2 Cd Bl Art POCT	2074
19107441	Histoplasma Ag Urine	75
19107444	Influenzae B	753
19107447	Index	112
19107450	Neuromyelitis IgG	250
19107456	BK Virus DNA, QN PCR	1692
19107459	BK Virus DNA, QL PCR	14
19107462	O2Hb Cap/Mix POCT	4
19107465	FIO2 Ven POCT	1795
19107468	pCO2 Cap/Mix POCT	1609
19107471	pO2 Cd Bl Art POCT	2074
19107474	Final VZ	1866
19107477	Parainfluenzae 1	753
19107480	pH Ven POCT	5357
19107486	Total CO2 Cap/Mix POCT	1602
19107495	Ethyl Glucuronide	1246
19107498	EBV DNA, QL PCR	631
19107504	sO2 Cd Bl Ven POCT	2194
19107513	Cytomegalovirus	654
19107522	Cortisol 60 min-CRH	5
19107525	pH Cap/Mix POCT	1609
19107528	Base Excess Cap/Mix POCT	1534
19107531	pH Cd Bl Art POCT	2074
19107534	Paraneoplastic Ab	645
19107537	Parainfluenzae 3	753
19107540	Preliminary VZ	588
19107543	Base Excess Cd Bl Ven POCT	2190
19107549	Macadamia Nut Class	2592
19107552	BK Virus Source	1682
19107555	Cortisol 15 min-CRH	4
19107558	HGH 2 Hr Supp	45
19107561	Musk QN Titers Ab	112
19107564	Cortisol 30 min-CRH	5
19107570	RSV	753
19107573	FISH, ALK, 2p23 Rearrange	405
19107576	Cortisol Base Ins-Arg	1
19107579	Beta2-Glycoprot (IgA)	298
19107582	Cortisol 60 Ins-Arg	1
19107585	Results reviewed by:	105
19107591	Parainfluenzae 2	753
19107606	H. pylori Antigen	14587
19107609	Beta2-Glycoprot  (IgG)	4027
19107615	pO2 Ven POCT	5351
19107618	sO2 Ven POCT	5356
19107621	Gluc 120 Min	7243
19107624	pH Cd Bl Ven POCT	2195
19107627	Influenzae A	753
19107630	Constitutional Array	342
19107630	Genomic Array	391
19107633	Beta2-Glycoprot (IgM)	4009
19107636	CA 15-3	12
19107642	Drug Given	100
19107645	FIO2 Cd Bl Art POCT	10
19107654	pCO2 Cd Bl Ven POCT	2195
19107657	pCO2 Ven POCT	5357
19107660	Anti Mullerian Hormone	3525
19107666	O2Hb Ven POCT	226
19107675	HLA-B 5701	659
19107678	Calprotectin Stool	13925
19107681	HCO3 Cap/Mix POCT	1602
19107684	FIO2 Cap/Mix POCT	856
19107690	HSP-70 Antibody	4
19107693	HCO3 Cd Bl Art POCT	2073
19107696	pO2 Cd Bl Ven POCT	2194
19107699	Total CO2 Cd Bl Ven POCT	2195
19107705	HCO3 Ven POCT	5150
19107711	Glucose 60 Ins-Arg	1
19107714	Base Excess Ven POCT	5015
19107717	Gluc Baseline	3291
19107723	pCO2 Cd Bl Art POCT	2074
19109092	HAL	58
19109095	PCA3 MRNA Urine	452
19109098	PF4	684
19111166	Gluc 60 Min	7281
19111747	Preliminary Report	573
19111750	Gestational age days	73
19129391	U Microalb	77156
19129768	Endomys Additional Testing	29
19143568	Lyme Ab IgG WB	210
19143571	Lyme 93 kD IgG	210
19143574	Lyme 39 kD IgM	210
19143577	Lyme 23 kD IgG	210
19143580	Lyme 41 kD IgM	210
19143583	Lyme 28 kD IgG	210
19143586	Lyme 23 kD IgM	210
19143589	Lyme 41 kD IgG	210
19143592	Lyme 45 KD IgG	210
19143595	Lyme 30 kD IgG	210
19143598	Lyme 66 kD IgG	210
19143601	Lyme 39 kD IgG	210
19143604	Lyme 18 kD IgG	210
19143607	Lyme Ab IgM WB	210
19143613	Cytogenetics Communication	24
19143619	Lyme 58 kD IgG	210
19163155	Donor DOB	8
19163158	DS Family Hx	207
19167784	B hens IgG Ttr Ind	1020
19167787	B hens IgM Ttr Ind	1020
19167790	B quint IgG Ttr Ind	1020
19167793	B quint IgM Ttr Ind	1020
19167796	Collect	716
19167799	HSV 1 PCR CSF	1204
19167802	HSV Titer Indicator	345
19167805	MPA Glucuronide	180
19167811	U Fentanyl Scr	8926
19168778	Yo Ab IFA	65
19168784	Iron Index	8
19168787	Yo Ab WB	18
19169635	Total Volume.	1786
19169638	U Porphyrin Interp	305
19169641	U24 Porphyrin Interp	55
19171345	Pneumocystis DFA	1001
19172968	H pylori Ab Interp	10419
19172977	Diazepam+Nordiazepam	1
19172983	Semen Note	656
19172986	U Cotinine	877
19172989	Misc Test Result	33652
19172995	MS Panel Interp CSF	376
19172998	JAK2 Exon Comment	1559
19173001	Beta % MS	376
19173004	Albumin Elec CSF MS	376
19173007	Alpha 2 % MS	376
19173010	MPL Comment	942
19173013	JAK2 MPL Source	942
19173019	Source.	4195
19173022	Alpha 1 % MS	376
19173025	TV Delta ALA	28
19173028	Jak2 Comment	1835
19173031	Glucagon Result Received	48
19173037	Gamma % MS	376
19173040	Lipid Interp	1061391
19173046	Albumin Elec MS	376
19175368	HCV RNA Interp	13690
19175371	M Protein Conc	1226
19175374	M Protein ID	31420
19177510	PT POC	5
19177513	ACT POCT	26119
19177516	INR POC	887
19183946	HSV 2 PCR CSF	1204
19186444	Transfusion Rx Interp	200
19197104	Antibody ID 3	136
19197116	Antibody ID 5	12
19197128	Antibody ID 4	29
19197134	Antibody ID 2	483
19197146	Ur Interval	44030
19197152	Antibody ID 6	9
19198320	Cytogen Spec Type2	5109
19206626	Bordetella Para	1567
19206629	CA 27.29	2381
19208281	Rhogam	1904
19209586	Dir Tissue IF	900
19209589	H Ducreyi Cult	6
19210977	DS Comment Amph	15
19210980	DS Comment Methadone	14
19210983	DS Comment Benzo	16
19210986	DS Comment Oxycodone	3
19210989	DS Comment Alcohol	228
19210992	DS Comment Comp	1926
19210995	DS Comment Abbrev	2200
19210998	DS Comment Basic	340773
