Read0	Read1	Read3	Read4	Read code	# records	# patients	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015
2	22	225	225.	B225.00	5	5	Malignant neoplasm of overlapping lesion of bronchus & lung					tumor;lung	cancer	lung	lung
2	22	226	226.	B226.00	287	203	Mesothelioma					tumor;lung	cancer	lung	lung
2	22	22y	22y.	B22y.00	57	54	Malignant neoplasm of other sites of bronchus or lung					tumor;lung	cancer	lung	lung
2	22	22z	22z.	B22z.00	0	0	Malignant neoplasm of bronchus or lung NOS					tumor;lung	cancer	lung	lung
2	22	22z	22z.	B22z.11	0	0	Lung cancer					tumor;lung	cancer	lung	lung
2	23	23.	23..	B23..00	8	8	Malignant neoplasm of pleura		Cancer	Pleura	Pleura	tumor	cancer	na	na
2	23	232	232.	B232.00	58	50	Mesothelioma of pleura					tumor	cancer	na	na
2	23	23y	23y.	B23y.00	1	1	Malignant neoplasm of other specified pleura					tumor	cancer	na	na
2	23	23z	23z.	B23z.00	3	3	Malignant neoplasm of pleura NOS					tumor	cancer	na	na
2	24	240	240.	B240.00	9	8	Malignant neoplasm of thymus		Cancer	na	na	tumor	cancer	na	na
2	24	241	241.	B241.00	1	1	Malignant neoplasm of heart		Cancer	na	na	tumor	cancer	na	na
2	24	241	2414	B241400	2	2	Mesothelioma of pericardium		Cancer	na	na	tumor	cancer	na	na
2	24	243	243.	B243.00	2	2	Malignant neoplasm of posterior mediastinum		Cancer	na	na	tumor	cancer	na	na
2	2z	2z.	2z..	B2z..00	4	3	Malig neop other/ill-defined sites resp/intrathoracic organs		Cancer	na	na	tumor	cancer	na	na
2	2z	2z0	2z0.	B2z0.00	2	2	"Malig neop of upper respiratory tract, part unspecified"		Cancer	Respiratory tract 	na	tumor	cancer	na	na
2	2z	2zy	2zy.	B2zy.00	1	1	Malignant neoplasm of other site of respiratory tract		Cancer	Respiratory tract 	na	tumor	cancer	na	na
2	2z	2zz	2zz.	B2zz.00	27	25	Malignant neoplasm of respiratory tract NOS		Cancer	Respiratory tract 	na	tumor	cancer	na	na
3	3.	3..	3...	B3...00	124	116	"Malig neop of bone, connective tissue, skin and breast"		Cancer	na	na	tumor	morph	na	na
3	3.	3..	3...	B3...11	26	23	"Carcinoma of bone, connective tissue, skin and breast"		Cancer	na	na	medr_tumor;tumor	cancer	na	na
3	3.	3..	3...	B3...12	26	18	Sarcoma of bone and connective tissue		Cancer	Bones	Bones	tumor	cancer	na	na
3	30	30.	30..	B30..00	12	12	Malignant neoplasm of bone and articular cartilage		Cancer	Bones	Bones	tumor	cancer	na	na
3	30	30.	30..	B30..12	2	2	Osteoma		Benign	na	na	tumor;benign	benign	na	na
3	30	300	300.	B300.00	1	1	Malignant neoplasm of bones of skull and face					tumor	cancer	na	na
3	30	300	3007	B300700	2	2	Malignant neoplasm of sphenoid bone					tumor	cancer	na	na
3	30	300	300A	B300A00	1	1	Malignant neoplasm of maxilla					tumor	cancer	na	na
3	30	301	301.	B301.00	7	7	Malignant neoplasm of mandible					tumor	cancer	na	na
3	30	302	302.	B302.00	1	1	Malignant neoplasm of vertebral column					tumor	cancer	na	na
3	30	302	3020	B302000	2	2	Malignant neoplasm of cervical vertebra					tumor	cancer	na	na
3	30	302	3021	B302100	3	3	Malignant neoplasm of thoracic vertebra					tumor	cancer	na	na
3	30	302	3022	B302200	2	2	Malignant neoplasm of lumbar vertebra					tumor	cancer	na	na
3	30	302	302z	B302z00	1	1	Malignant neoplasm of vertebral column NOS					tumor	cancer	na	na
3	30	303	3030	B303000	2	2	Malignant neoplasm of rib					tumor	cancer	na	na
3	30	303	3031	B303100	1	1	Malignant neoplasm of sternum					tumor	cancer	na	na
3	30	303	3032	B303200	1	1	Malignant neoplasm of clavicle					tumor	cancer	na	na
3	30	304	3040	B304000	1	1	Malignant neoplasm of scapula					tumor	cancer	na	na
3	30	306	306.	B306.00	3	3	"Malignant neoplasm of pelvic bones, sacrum and coccyx"					tumor	cancer	na	na
3	30	306	3060	B306000	1	1	Malignant neoplasm of ilium					tumor	cancer	na	na
3	30	306	3063	B306300	1	1	Malignant neoplasm of sacral vertebra					tumor	cancer	na	na
3	30	306	3064	B306400	1	1	Malignant neoplasm of coccygeal vertebra					tumor	cancer	na	na
3	30	306	3065	B306500	1	1	Malignant sacral teratoma					tumor	cancer	na	na
3	30	306	306z	B306z00	3	3	"Malignant neoplasm of pelvis, sacrum or coccyx NOS"					tumor	cancer	na	na
3	30	307	3070	B307000	4	4	Malignant neoplasm of femur					tumor	cancer	na	na
3	30	30z	30z.	B30z.00	4	4	Malignant neoplasm of bone and articular cartilage NOS					tumor	cancer	na	na
3	30	30z	30z0	B30z000	6	6	Osteosarcoma					tumor	cancer	na	na
3	31	31.	31..	B31..00	24	24	Malignant neoplasm of connective and other soft tissue		Cancer	Connective tissue	Connective tissue	tumor	cancer	na	na
3	31	310	310.	B310.00	1	1	"Malig neop of connective and soft tissue head, face and neck"					tumor	cancer	na	na
3	31	310	3100	B310000	3	3	Malignant neoplasm of soft tissue of head					tumor	cancer	na	na
3	31	310	3101	B310100	6	4	Malignant neoplasm of soft tissue of face					tumor	cancer	na	na
3	31	310	3102	B310200	4	4	Malignant neoplasm of soft tissue of neck					tumor	cancer	na	na
3	31	310	3103	B310300	2	2	Malignant neoplasm of cartilage of ear					tumor	cancer	na	na
3	31	310	310z	B310z00	2	2	"Malig neop connective and soft tissue head, face, neck NOS"					tumor	cancer	na	na
3	31	311	311.	B311.00	1	1	Malig neop connective and soft tissue upper limb/shoulder					tumor	cancer	na	na
3	31	311	3110	B311000	1	1	Malignant neoplasm of connective and soft tissue of shoulder					tumor	cancer	na	na
3	31	311	3112	B311200	1	1	Malignant neoplasm of connective and soft tissue of fore-arm					tumor	cancer	na	na
3	31	311	3113	B311300	1	1	Malignant neoplasm of connective and soft tissue of hand					tumor	cancer	na	na
3	31	312	312.	B312.00	2	2	Malig neop of connective and soft tissue of hip and leg					tumor	cancer	na	na
3	31	312	3120	B312000	2	2	Malignant neoplasm of connective and soft tissue of hip					tumor	cancer	na	na
3	31	312	3121	B312100	11	8	Malig neop of connective and soft tissue thigh and upper leg					tumor	cancer	na	na
3	31	312	3123	B312300	4	4	Malig neop of connective and soft tissue of lower leg					tumor	cancer	na	na
3	31	313	313.	B313.00	1	1	Malignant neoplasm of connective and soft tissue of thorax					tumor	cancer	na	na
3	31	313	3130	B313000	1	1	Malignant neoplasm of connective and soft tissue of axilla					tumor	cancer	na	na
3	31	313	3131	B313100	1	1	Malignant neoplasm of diaphragm					tumor	cancer	na	na
3	31	314	314.	B314.00	1	1	Malignant neoplasm of connective and soft tissue of abdomen					tumor	cancer	na	na
3	31	314	3140	B314000	3	3	Malig neop of connective and soft tissue of abdominal wall					tumor	cancer	na	na
3	31	315	315.	B315.00	2	2	Malignant neoplasm of connective and soft tissue of pelvis					tumor	cancer	na	na
3	31	315	3150	B315000	2	2	Malignant neoplasm of connective and soft tissue of buttock					tumor	cancer	na	na
3	31	315	3151	B315100	1	1	Malig neop of connective and soft tissue of inguinal region					tumor	cancer	na	na
3	31	315	3152	B315200	3	3	Malignant neoplasm of connective and soft tissue of perineum					tumor	cancer	na	na
3	31	31y	31y.	B31y.00	1	1	Malig neop connective and soft tissue other specified site					tumor	cancer	na	na
3	31	31z	31z.	B31z.00	3	3	"Malignant neoplasm of connective and soft tissue, site NOS"					tumor	cancer	na	na
3	32	32.	32..	B32..00	1301	1042	Malignant melanoma of skin		Cancer	Melanoma	Skin	medr_tumor;tumor	cancer	na	na
3	32	320	320.	B320.00	2	1	Malignant melanoma of lip					tumor	cancer	na	na
3	32	321	321.	B321.00	1	1	Malignant melanoma of eyelid including canthus					tumor	cancer	na	na
3	32	322	322.	B322.00	1	1	Malignant melanoma of ear and external auricular canal					tumor	cancer	na	na
3	32	322	3220	B322000	4	4	Malignant melanoma of auricle (ear)					tumor	cancer	na	na
3	32	322	3221	B322100	1	1	Malignant melanoma of external auditory meatus					tumor	cancer	na	na
3	32	323	323.	B323.00	1	1	Malignant melanoma of other and unspecified parts of face					tumor	cancer	na	na
3	32	323	3230	B323000	1	1	Malignant melanoma of external surface of cheek					tumor	cancer	na	na
3	32	323	3231	B323100	1	1	Malignant melanoma of chin					tumor	cancer	na	na
3	32	323	3233	B323300	2	2	Malignant melanoma of forehead					tumor	cancer	na	na
3	32	323	3235	B323500	1	1	Malignant melanoma of temple					tumor	cancer	na	na
3	32	323	323z	B323z00	4	4	Malignant melanoma of face NOS					tumor	cancer	na	na
3	32	324	324.	B324.00	2	2	Malignant melanoma of scalp and neck					tumor	cancer	na	na
3	32	324	3240	B324000	3	3	Malignant melanoma of scalp					tumor	cancer	na	na
3	32	324	3241	B324100	1	1	Malignant melanoma of neck					tumor	cancer	na	na
3	32	325	325.	B325.00	6	6	Malignant melanoma of trunk (excluding scrotum)					tumor	cancer	na	na
3	32	325	3250	B325000	2	2	Malignant melanoma of axilla					tumor	cancer	na	na
3	32	325	3251	B325100	27	26	Malignant melanoma of breast					tumor	cancer	na	na
3	32	325	3253	B325300	2	2	Malignant melanoma of groin					tumor	cancer	na	na
3	32	325	3257	B325700	18	18	Malignant melanoma of back					tumor	cancer	na	na
3	32	325	3258	B325800	1	1	Malignant melanoma of chest wall					tumor	cancer	na	na
3	32	325	325z	B325z00	1	1	"Malignant melanoma of trunk, excluding scrotum, NOS"					tumor	cancer	na	na
3	32	326	326.	B326.00	4	4	Malignant melanoma of upper limb and shoulder					tumor	cancer	na	na
3	32	326	3260	B326000	4	4	Malignant melanoma of shoulder					tumor	cancer	na	na
3	32	326	3261	B326100	12	12	Malignant melanoma of upper arm					tumor	cancer	na	na
3	32	326	3262	B326200	7	7	Malignant melanoma of fore-arm					tumor	cancer	na	na
3	32	326	3264	B326400	1	1	Malignant melanoma of finger					tumor	cancer	na	na
3	32	326	326z	B326z00	1	1	Malignant melanoma of upper limb or shoulder NOS					tumor	cancer	na	na
3	32	327	327.	B327.00	4	4	Malignant melanoma of lower limb and hip					tumor	cancer	na	na
3	32	327	3271	B327100	7	6	Malignant melanoma of thigh					tumor	cancer	na	na
3	32	327	3272	B327200	4	4	Malignant melanoma of knee					tumor	cancer	na	na
3	32	327	3274	B327400	9	9	Malignant melanoma of lower leg					tumor	cancer	na	na
3	32	327	3275	B327500	3	3	Malignant melanoma of ankle					tumor	cancer	na	na
3	32	327	3277	B327700	3	3	Malignant melanoma of foot					tumor	cancer	na	na
3	32	327	3278	B327800	4	2	Malignant melanoma of toe					tumor	cancer	na	na
3	32	327	3279	B327900	1	1	Malignant melanoma of great toe					tumor	cancer	na	na
3	32	32y	32y.	B32y.00	1	1	Malignant melanoma of other specified skin site					tumor	cancer	na	na
3	32	32z	32z.	B32z.00	31	30	Malignant melanoma of skin NOS					tumor	cancer	na	na
3	33	33.	33..	B33..00	223	206	Other malignant neoplasm of skin		Cancer	Skin	Skin	tumor	cancer	na	na
3	33	33.	33..	B33..11	16234	10938	Basal cell carcinoma	this is apparently a morphology as its so common	Cancer	BCC	Skin	medr_tumor;tumor	morph	na	na
3	33	33.	33..	B33..12	27	27	Epithelioma					tumor	cancer	na	na
3	33	33.	33..	B33..13	598	522	Rodent ulcer					medr_tumor;tumor	cancer	na	na
3	33	33.	33..	B33..15	1	1	Malignant neoplasm of sweat gland					tumor	cancer	na	na
3	33	33.	33..	B33..16	39	36	Epithelioma basal cell					tumor	cancer	na	na
3	33	330	330.	B330.00	3	3	Malignant neoplasm of skin of lip					tumor	cancer	na	na
3	33	331	331.	B331.00	8	7	Malignant neoplasm of eyelid including canthus					tumor	cancer	na	na
3	33	331	3310	B331000	7	7	Malignant neoplasm of canthus					tumor	cancer	na	na
3	33	331	3311	B331100	1	1	Malignant neoplasm of upper eyelid					tumor	cancer	na	na
3	33	331	3312	B331200	5	5	Malignant neoplasm of lower eyelid					tumor	cancer	na	na
3	33	332	332.	B332.00	5	5	Malignant neoplasm skin of ear and external auricular canal					tumor	cancer	na	na
3	33	332	3320	B332000	3	3	Malignant neoplasm of skin of auricle (ear)					tumor	cancer	na	na
3	33	332	3321	B332100	1	1	Malignant neoplasm of skin of external auditory meatus					tumor	cancer	na	na
3	33	332	3322	B332200	12	11	Malignant neoplasm of pinna NEC					tumor	cancer	na	na
3	33	333	333.	B333.00	3	3	Malignant neoplasm skin of other and unspecified parts face					tumor	cancer	na	na
3	33	333	3330	B333000	6	6	"Malignant neoplasm of skin of cheek, external"					tumor	cancer	na	na
3	33	333	3331	B333100	1	1	Malignant neoplasm of skin of chin					tumor	cancer	na	na
3	33	333	3333	B333300	5	5	Malignant neoplasm of skin of forehead					tumor	cancer	na	na
3	33	333	3334	B333400	18	17	Malignant neoplasm of skin of nose (external)					tumor	cancer	na	na
3	33	333	3335	B333500	14	13	Malignant neoplasm of skin of temple					tumor	cancer	na	na
3	33	333	333z	B333z00	3	3	Malignant neoplasm skin other and unspec part of face NOS					tumor	cancer	na	na
3	33	334	334.	B334.00	1	1	Malignant neoplasm of scalp and skin of neck					tumor	cancer	na	na
3	33	334	3340	B334000	7	7	Malignant neoplasm of scalp					tumor	cancer	na	na
3	33	334	3341	B334100	7	7	Malignant neoplasm of skin of neck					tumor	cancer	na	na
3	33	335	335.	B335.00	1	1	"Malignant neoplasm of skin of trunk, excluding scrotum"					tumor	cancer	na	na
3	33	335	3351	B335100	3	3	"Malignant neoplasm of skin of chest, excluding breast"					tumor	cancer	na	na
3	33	335	3352	B335200	6	6	Malignant neoplasm of skin of breast					tumor	cancer	breast	breast
3	33	335	3353	B335300	1	1	Malignant neoplasm of skin of abdominal wall					tumor	cancer	na	na
3	33	335	3355	B335500	1	1	Malignant neoplasm of skin of groin					tumor	cancer	na	na
3	33	335	3357	B335700	14	7	Malignant neoplasm of skin of back					tumor	cancer	na	na
3	33	335	3359	B335900	1	1	Malignant neoplasm of perianal skin					tumor	cancer	na	na
3	33	336	336.	B336.00	1	1	Malignant neoplasm of skin of upper limb and shoulder					tumor	cancer	na	na
3	33	336	3360	B336000	2	2	Malignant neoplasm of skin of shoulder					tumor	cancer	na	na
3	33	336	3361	B336100	1	1	Malignant neoplasm of skin of upper arm					tumor	cancer	na	na
3	33	336	3362	B336200	2	2	Malignant neoplasm of skin of fore-arm					tumor	cancer	na	na
3	33	336	3363	B336300	3	3	Malignant neoplasm of skin of hand					tumor	cancer	na	na
3	33	336	336z	B336z00	1	1	Malignant neoplasm of skin of upper limb or shoulder NOS					tumor	cancer	na	na
3	33	337	337.	B337.00	2	2	Malignant neoplasm of skin of lower limb and hip					tumor	cancer	na	na
3	33	337	3371	B337100	4	3	Malignant neoplasm of skin of thigh					tumor	cancer	na	na
3	33	337	3374	B337400	4	3	Malignant neoplasm of skin of lower leg					tumor	cancer	na	na
3	33	337	3375	B337500	1	1	Malignant neoplasm of skin of ankle					tumor	cancer	na	na
3	33	338	338.	B338.00	1411	1146	Squamous cell carcinoma of skin		Cancer	SCC	Skin	tumor	cancer	na	na
3	33	339	339.	B339.00	24	22	Dermatofibrosarcoma protuberans					tumor	cancer	na	na
3	33	33y	33y.	B33y.00	2	2	Malignant neoplasm of other specified skin sites					tumor	cancer	na	na
3	33	33z	33z.	B33z.00	123	108	Malignant neoplasm of skin NOS					tumor	cancer	na	na
3	33	33z	33z.	B33z.11	210	191	Squamous cell carcinoma of skin NOS					tumor	cancer	na	na
3	33	33z	33z0	B33z000	3	3	Kaposi's sarcoma of skin					tumor	cancer	na	na
3	33	33z	33z1	B33z111	2	2	Basal cell naevus syndrome					tumor	cancer	na	na
3	34	34.	34..	B34..00	5599	4591	Malignant neoplasm of female breast		Cancer	Breast	Female Breast	medr_tumor;tumor	cancer	breast	breast
3	34	34.	34..	B34..11	1034	873	Ca female breast					medr_tumor;tumor	cancer	breast	breast
3	34	340	340.	B340.00	5	5	Malignant neoplasm of nipple and areola of female breast					tumor	cancer	breast	breast
3	34	340	3400	B340000	6	4	Malignant neoplasm of nipple of female breast					tumor	cancer	breast	breast
3	34	340	3401	B340100	2	2	Malignant neoplasm of areola of female breast					tumor	cancer	breast	breast
3	34	341	341.	B341.00	13	12	Malignant neoplasm of central part of female breast					tumor	cancer	breast	breast
3	34	342	342.	B342.00	14	14	Malignant neoplasm of upper-inner quadrant of female breast					tumor	cancer	breast	breast
3	34	343	343.	B343.00	8	8	Malignant neoplasm of lower-inner quadrant of female breast					tumor	cancer	breast	breast
3	34	344	344.	B344.00	37	36	Malignant neoplasm of upper-outer quadrant of female breast					tumor	cancer	breast	breast
3	34	345	345.	B345.00	9	9	Malignant neoplasm of lower-outer quadrant of female breast					tumor	cancer	breast	breast
3	34	346	346.	B346.00	1	1	Malignant neoplasm of axillary tail of female breast					tumor	cancer	breast	breast
3	34	347	347.	B347.00	1	1	"Malignant neoplasm, overlapping lesion of breast"					tumor	cancer	breast	breast
3	34	34y	34y.	B34y.00	5	5	Malignant neoplasm of other site of female breast					tumor	cancer	breast	breast
3	34	34y	34yz	B34yz00	3	3	Malignant neoplasm of other site of female breast NOS					tumor	cancer	breast	breast
3	34	34z	34z.	B34z.00	501	468	Malignant neoplasm of female breast NOS					tumor	cancer	breast	breast
3	35	35.	35..	B35..00	38	33	Malignant neoplasm of male breast		Cancer	Breast	Male Breast	tumor	cancer	breast	breast
3	35	35z	35z.	B35z.00	1	1	Malignant neoplasm of other site of male breast					tumor	cancer	breast	breast
3	35	35z	35zz	B35zz00	2	2	Malignant neoplasm of male breast NOS					tumor	cancer	breast	breast
3	3y	3y.	3y..	B3y..00	3	3	"Malig neop of bone, connective tissue, skin and breast OS"					tumor	cancer	na	na
3	3z	3z.	3z..	B3z..00	5	5	"Malig neop of bone, connective tissue, skin and breast NOS"					tumor	cancer	na	na
4	4.	4..	4...	B4...00	99	94	Malignant neoplasm of genitourinary organ		Cancer	Genitourinary	na	tumor	cancer	na	na
4	4.	4..	4...	B4...11	37	31	Carcinoma of genitourinary organ					tumor	cancer	na	na
4	40	40.	40..	B40..00	117	107	"Malignant neoplasm of uterus, part unspecified"		Cancer	Uterus	Uterus	medr_tumor;tumor	cancer	na	na
4	41	41.	41..	B41..00	141	123	Malignant neoplasm of cervix uteri		Cancer	Uterus	Cervix Uteri	medr_tumor;tumor	cancer	na	na
4	41	41.	41..	B41..11	34	33	Cervical carcinoma (uterus)					medr_tumor;tumor	cancer	na	na
4	41	410	410.	B410.00	5	5	Malignant neoplasm of endocervix					tumor	cancer	na	na
4	41	410	410z	B410z00	3	3	Malignant neoplasm of endocervix NOS					tumor	cancer	na	na
4	41	411	411.	B411.00	1	1	Malignant neoplasm of exocervix					tumor	cancer	na	na
4	41	412	412.	B412.00	1	1	"Malignant neoplasm, overlapping lesion of cervix uteri"					tumor	cancer	na	na
4	41	41y	41y.	B41y.00	5	5	Malignant neoplasm of other site of cervix					tumor	cancer	na	na
4	41	41y	41y0	B41y000	1	1	Malignant neoplasm of cervical stump					tumor	cancer	na	na
4	41	41y	41yz	B41yz00	3	3	Malignant neoplasm of other site of cervix NOS					tumor	cancer	na	na
4	41	41z	41z.	B41z.00	52	48	Malignant neoplasm of cervix uteri NOS					tumor	cancer	na	na
4	42	420	420.	B420.00	1	1	Choriocarcinoma					tumor	cancer	na	na
4	43	43.	43..	B43..00	181	174	Malignant neoplasm of body of uterus		Cancer	Uterus	Uterus	tumor	cancer	uterus	uterus
4	43	430	430.	B430.00	1	1	"Malignant neoplasm of corpus uteri, excluding isthmus"					tumor	cancer	uterus	uterus
4	43	430	4300	B430000	2	2	Malignant neoplasm of cornu of corpus uteri					tumor	cancer	uterus	uterus
4	43	430	4302	B430200	421	388	Malignant neoplasm of endometrium of corpus uteri					medr_tumor;tumor	cancer	uterus	uterus
4	43	430	4302	B430211	6	5	Malignant neoplasm of endometrium					tumor	cancer	uterus	uterus
4	43	430	4303	B430300	2	2	Malignant neoplasm of myometrium of corpus uteri					tumor	cancer	uterus	uterus
4	43	430	430z	B430z00	3	3	Malignant neoplasm of corpus uteri NOS					tumor	cancer	uterus	uterus
4	43	431	4310	B431000	1	1	Malignant neoplasm of lower uterine segment					tumor	cancer	uterus	uterus
4	43	431	431z	B431z00	1	1	Malignant neoplasm of isthmus of uterine body NOS					tumor	cancer	uterus	uterus
4	43	432	432.	B432.00	4	4	Malignant neoplasm of overlapping lesion of corpus uteri					tumor	cancer	na	na
4	43	43y	43y.	B43y.00	4	4	Malignant neoplasm of other site of uterine body					tumor	cancer	uterus	uterus
4	43	43z	43z.	B43z.00	30	25	Malignant neoplasm of body of uterus NOS					tumor	cancer	uterus	uterus
4	44	44.	44..	B44..00	22	22	Malignant neoplasm of ovary and other uterine adnexa		Cancer	Ovary	Ovary	tumor	cancer	ovary	ovary
4	44	440	440.	B440.00	519	436	Malignant neoplasm of ovary					medr_tumor;tumor	cancer	ovary	ovary
4	44	440	440.	B440.11	275	229	Cancer of ovary					medr_tumor;tumor	cancer	ovary	ovary
4	44	441	441.	B441.00	16	14	Malignant neoplasm of fallopian tube					tumor	cancer	na	na
4	44	44y	44y.	B44y.00	1	1	Malignant neoplasm of other site of uterine adnexa					tumor	cancer	na	na
4	45	45.	45..	B45..00	12	11	Malig neop of other and unspecified female genital organs		Cancer	Vagina / Vulva	Vagina / Vulva	tumor	cancer	na	na
4	45	450	450.	B450.00	40	17	Malignant neoplasm of vagina					tumor	cancer	na	na
4	45	450	450z	B450z00	2	2	Malignant neoplasm of vagina NOS					tumor	cancer	na	na
4	45	451	451.	B451.00	3	3	Malignant neoplasm of labia majora					tumor	cancer	na	na
4	45	451	4510	B451000	1	1	Malignant neoplasm of greater vestibular (Bartholin's) gland					tumor	cancer	na	na
4	45	451	451z	B451z00	2	2	Malignant neoplasm of labia majora NOS					tumor	cancer	na	na
4	45	452	452.	B452.00	1	1	Malignant neoplasm of labia minora					tumor	cancer	na	na
4	45	454	454.	B454.00	69	63	Malignant neoplasm of vulva unspecified					tumor	cancer	na	na
4	45	454	454.	B454.11	1	1	Primary vulval cancer					tumor	cancer	na	na
4	45	45X	45X.	B45X.00	1	1	Malignant neoplasm/overlapping lesion/feml genital organs					tumor	cancer	na	na
4	45	45y	45y.	B45y.00	2	2	Malignant neoplasm of other specified female genital organ					tumor	cancer	na	na
4	45	45z	45z.	B45z.00	4	4	Malignant neoplasm of female genital organ NOS					tumor	cancer	na	na
4	46	46.	46..	B46..00	5950	4663	Malignant neoplasm of prostate		Cancer	Prostate	Prostate	medr_tumor;tumor	cancer	prostate	prostate
4	47	47.	47..	B47..00	46	40	Malignant neoplasm of testis		Cancer	Testis	Testis	tumor	cancer	na	na
4	47	470	4702	B470200	1	1	Seminoma of undescended testis					tumor	cancer	na	na
4	47	471	4710	B471000	38	31	Seminoma of descended testis					tumor	cancer	na	na
4	47	471	4711	B471100	5	5	Teratoma of descended testis					tumor	cancer	na	na
4	47	47z	47z.	B47z.00	9	9	Malignant neoplasm of testis NOS					tumor	cancer	na	na
4	47	47z	47z.	B47z.11	13	11	Seminoma of testis					tumor	cancer	na	na
4	48	48.	48..	B48..00	13	13	Malignant neoplasm of penis and other male genital organs					medr_tumor;tumor	cancer	na	na
4	48	480	480.	B480.00	5	4	Malignant neoplasm of prepuce (foreskin)					tumor	cancer	na	na
4	48	481	481.	B481.00	14	14	Malignant neoplasm of glans penis					tumor	cancer	na	na
4	48	482	482.	B482.00	5	3	Malignant neoplasm of body of penis					tumor	cancer	na	na
4	48	483	483.	B483.00	15	15	"Malignant neoplasm of penis, part unspecified"					tumor	cancer	na	na
4	48	484	484.	B484.00	1	1	Malignant neoplasm of epididymis					tumor	cancer	na	na
4	48	486	486.	B486.00	1	1	Malignant neoplasm of scrotum					tumor	cancer	na	na
4	48	48y	48y.	B48y.00	3	3	Malignant neoplasm of other male genital organ					tumor	cancer	na	na
4	48	48y	48yz	B48yz00	1	1	Malignant neoplasm of other male genital organ NOS					tumor	cancer	na	na
4	49	49.	49..	B49..00	1450	1191	Malignant neoplasm of urinary bladder		Cancer	Bladder	Bladder	tumor	cancer	bladder	bladder
4	49	490	490.	B490.00	8	7	Malignant neoplasm of trigone of urinary bladder					tumor	cancer	bladder	bladder
4	49	491	491.	B491.00	3	3	Malignant neoplasm of dome of urinary bladder					tumor	cancer	bladder	bladder
4	49	492	492.	B492.00	7	7	Malignant neoplasm of lateral wall of urinary bladder					tumor	cancer	bladder	bladder
4	49	493	493.	B493.00	3	2	Malignant neoplasm of anterior wall of urinary bladder					tumor	cancer	bladder	bladder
4	49	494	494.	B494.00	9	9	Malignant neoplasm of posterior wall of urinary bladder					tumor	cancer	bladder	bladder
4	49	495	495.	B495.00	7	7	Malignant neoplasm of bladder neck					tumor	cancer	bladder	bladder
4	49	496	496.	B496.00	10	10	Malignant neoplasm of ureteric orifice					tumor	cancer	na	na
4	49	49y	49y.	B49y.00	2	2	Malignant neoplasm of other site of urinary bladder					tumor	cancer	bladder	bladder
4	49	49y	49y0	B49y000	1	1	"Malignant neoplasm, overlapping lesion of bladder"					tumor	cancer	bladder	bladder
4	49	49z	49z.	B49z.00	294	272	Malignant neoplasm of urinary bladder NOS					tumor	cancer	bladder	bladder
4	4A	4A.	4A..	B4A..00	287	232	Malig neop of kidney and other unspecified urinary organs		Cancer	Kidney	Kidney	tumor	cancer	kidney	kidney
4	4A	4A.	4A..	B4A..11	110	103	Renal malignant neoplasm					tumor	cancer	kidney	kidney
4	4A	4A0	4A0.	B4A0.00	142	121	Malignant neoplasm of kidney parenchyma					tumor	cancer	kidney	kidney
4	4A	4A0	4A00	B4A0000	29	25	Hypernephroma					tumor	cancer	na	na
4	4A	4A1	4A1.	B4A1.00	21	19	Malignant neoplasm of renal pelvis					tumor	cancer	kidney	kidney
4	4A	4A1	4A1z	B4A1z00	11	11	Malignant neoplasm of renal pelvis NOS					tumor	cancer	kidney	kidney
4	4A	4A2	4A2.	B4A2.00	33	33	Malignant neoplasm of ureter					tumor	cancer	na	na
4	4A	4A3	4A3.	B4A3.00	4	4	Malignant neoplasm of urethra		Cancer	Bladder	Bladder	tumor	cancer	na	na
4	4A	4Ay	4Ay.	B4Ay.00	4	4	Malignant neoplasm of other urinary organs					tumor	cancer	na	na
4	4A	4Az	4Az.	B4Az.00	161	155	Malignant neoplasm of kidney or urinary organs NOS					tumor	cancer	kidney	kidney
4	4y	4y.	4y..	B4y..00	4	4	Malignant neoplasm of genitourinary organ OS		Cancer	Genitourinary	na	tumor	cancer	na	na
4	4z	4z.	4z..	B4z..00	2	2	Malignant neoplasm of genitourinary organ NOS		Cancer	Genitourinary	na	tumor	cancer	na	na
5	5.	5..	5...	B5...00	170	140	Malignant neoplasm of other and unspecified sites					tumor	morph	na	na
5	5.	5..	5...	B5...11	30	29	Carcinoma of other and unspecified sites					medr_tumor;tumor	cancer	na	na
5	50	50.	50..	B50..00	14	13	Malignant neoplasm of eye					tumor	cancer	na	na
5	50	500	500z	B500z00	1	1	Malignant neoplasm of eyeball NOS					tumor	cancer	na	na
5	50	501	501.	B501.00	2	2	Malignant neoplasm of orbit					tumor	cancer	na	na
5	50	503	503.	B503.00	2	2	Malignant neoplasm of conjunctiva					tumor	cancer	na	na
5	50	504	504.	B504.00	1	1	Malignant neoplasm of cornea					tumor	cancer	na	na
5	50	505	505.	B505.00	4	4	Malignant neoplasm of retina					tumor	cancer	na	na
5	50	506	506.	B506.00	19	19	Malignant neoplasm of choroid					tumor	cancer	na	na
5	50	507	5070	B507000	1	1	Malignant neoplasm of lacrimal sac					tumor	cancer	na	na
5	50	508	508.	B508.00	2	1	"Malignant neoplasm, overlapping lesion of eye and adnexa"					tumor	cancer	na	na
5	50	50y	50y.	B50y.00	1	1	Malignant neoplasm of other specified site of eye					tumor	cancer	na	na
