Read code	# records	# patients	description	internal comment	status	type	organ
BB57.00	22	22	[M]Adenocarcinoma, intestinal type	tumor	cancer	na	na
BB83.00	22	20	[M]Pseudomyxoma peritonei	tumor	cancer	na	na
BBM4.11	22	21	[M]Cystadenofibroma NOS	tumor	morph	na	na
B64..00	22	22	Lymphoid leukaemia	medr_tumor;tumor	cancer	blood	LEU
BBe0.00	22	20	[M]Neurofibroma NOS	medr_tumor;tumor;medr_benign	cancer	na	na
B1...11	21	20	Carcinoma of digestive organs and peritoneum	tumor	cancer	na	na
B143.00	21	20	Malignant neoplasm of anus unspecified	tumor	cancer	na	na
B4A1.00	21	19	Malignant neoplasm of renal pelvis	tumor	cancer	kidney	kidney
B627X00	21	8	Diffuse non-Hodgkin's lymphoma, unspecified	tumor	cancer	blood	NHL
B630100	21	18	Solitary myeloma	tumor	cancer	blood	MM
BB07.00	21	21	[M]Tumour cells, malignant	tumor	morph	na	na
BB2..11	21	20	[M]Papillary neoplasms	tumor;benign	benign	na	na
BB55.00	21	20	[M]Linitis plastica	tumor	cancer	na	na
BBJB.00	21	19	[M]Angiolipomatous neoplasms	tumor	morph	na	na
BBK1011	21	21	[M]Angioleiomyoma	tumor	morph	na	na
ByuDF11	21	20	[X]Non-Hodgkin's lymphoma NOS	tumor	cancer	blood	NHL
B00..00	20	18	Malignant neoplasm of lip	tumor	cancer	na	na
B15..00	20	18	Malignant neoplasm of liver and intrahepatic bile ducts	tumor;liver	cancer	liver	liver
B834000	20	18	High grade prostatic intraepithelial neoplasia	tumor	cancer	na	na
BB3A.00	20	20	[M]Tricholemmoma	tumor	cancer	na	na
BB5D500	20	20	[M]Hepatocellular carcinoma NOS	tumor	cancer	na	na
BB63.12	20	19	[M]Eccrine poroma	tumor	cancer	na	na
BBmD.00	20	20	[M] Cutaneous lymphoma	tumor	cancer	blood	NHL
8BC6.00	19	18	Cancer treatment started	tumor	anc	na	na
B113.00	19	4	Malignant neoplasm of fundus of stomach	tumor;stom	cancer	stom	stom
B506.00	19	19	Malignant neoplasm of choroid	tumor	cancer	na	na
B810.00	19	18	Carcinoma in situ of larynx	tumor	cancer	na	na
B82..00	19	15	Carcinoma in situ of skin	tumor	cancer	na	na
B833300	19	19	Carcinoma in situ of vulva	tumor	cancer	na	na
B907200	19	19	Neoplasm of uncertain behaviour of lung	tumor;benign	ca_bg	na	na
B91z111	19	19	Renal neoplasm of uncertain behaviour	tumor;benign	ca_bg	na	na
BB29.00	19	18	[M]Squamous cell carcinoma in situ NOS	tumor	morph	na	na
BB38.00	19	15	[M]Trichoepithelioma	tumor	cancer	na	na
BB9..00	19	18	[M]Ductal, lobular and medullary neoplasms	tumor	morph	na	na
BA06.00	19	16	Neoplasm of unspecified nature of brain	medr_tumor;tumor;benign	ca_bg	na	na
B0zz.00	18	17	Malignant neoplasm of lip, oral cavity and pharynx NOS	tumor	cancer	na	na
B110.00	18	17	Malignant neoplasm of cardia of stomach	tumor;stom	cancer	stom	stom
B224z00	18	17	Malignant neoplasm of lower lobe, bronchus or lung NOS	tumor;lung	cancer	lung	lung
B325700	18	18	Malignant melanoma of back	tumor	cancer	na	na
B333400	18	17	Malignant neoplasm of skin of nose (external)	tumor	cancer	na	na
B58z.00	18	17	Secondary malignant neoplasm of other specified site NOS	tumor	cancer	na	na
BB90.00	18	18	[M]Intraductal carcinoma, noninfiltrating NOS	tumor	morph	na	na
BBEN.13	18	16	[M] Spitz naevus	tumor	cancer	na	na
BBa0.00	18	10	[M]Craniopharyngioma	tumor	cancer	na	na
BB0..00	18	17	[M]Neoplasms NOS	medr_tumor;tumor;medr_benign;benign	benign	na	na
B0...11	17	14	Carcinoma of lip, oral cavity and pharynx	tumor	cancer	na	na
B223.00	17	17	Malignant neoplasm of middle lobe, bronchus or lung	tumor;lung	cancer	lung	lung
B833000	17	16	Carcinoma in situ of ovary	tumor	cancer	ovary	ovary
B934.12	17	14	Primary polycythaemia	tumor;benign	benign	na	na
B937W00	17	16	Myelodysplastic syndrome, unspecified	tumor	cancer	blood	MDS
BBEF.00	17	14	[M]Hutchinson's melanotic freckle	tumor	cancer	na	na
BBg1.00	17	9	[M]Malignant lymphoma NOS	tumor	cancer	blood	NHL
BBgC.11	17	14	[M]Lymphocytic lymphoma NOS	tumor	cancer	na	na
B053.00	16	15	Malignant neoplasm of soft palate	tumor	cancer	na	na
B12z.00	16	16	Malignant neoplasm of small intestine NOS	tumor	cancer	na	na
B172.00	16	16	Malignant neoplasm of tail of pancreas	tumor	cancer	pancreas	pancreas
B18y.00	16	14	Malignant neoplasm of specified parts of peritoneum	tumor	cancer	na	na
B441.00	16	14	Malignant neoplasm of fallopian tube	tumor	cancer	na	na
B62..00	16	16	Other malignant neoplasm of lymphoid and histiocytic tissue	tumor	cancer	blood	NHL
B68z.00	16	15	Leukaemia NOS	tumor	cancer	blood	LEU
B812z00	16	15	Carcinoma in situ of bronchus or lung NOS	tumor;lung	cancer	lung	lung
BB05.00	16	16	[M]Tumour cells, benign	tumor;benign	benign	na	na
BB08.00	16	16	[M]Malignant tumour, small cell type	tumor	morph	na	na
BB51100	16	16	[M]Adenocarcinoma in situ in tubulovillous adenoma	tumor	morph	na	na
BB5B200	16	9	[M]Insulinoma NOS	tumor	cancer	na	na
BB5J.13	16	13	[M]Cylindroma NOS	tumor	cancer	na	na
BB65.00	16	16	[M]Hidrocystoma	tumor	morph	na	na
BBJB000	16	15	[M]Angiomyolipoma	tumor	morph	na	na
BBn0.00	16	15	[M]Plasma cell myeloma	tumor	cancer	na	na
Byu2.00	16	16	[X]Malignant neoplasm of respiratory and intrathoracic orga	tumor	cancer	na	na
ByuA.00	16	14	[X]Malignant neoplasm of eye, brain and other parts of cent	tumor	cancer	na	na
BB5jz00	16	15	[M]Endometrioid adenoma or carcinoma NOS	medr_tumor;tumor;medr_benign	cancer	uterus	uterus
B483.00	15	15	Malignant neoplasm of penis, part unspecified	tumor	cancer	na	na
B51..11	15	14	Cerebral tumour - malignant	tumor	cancer	na	na
B511.00	15	13	Malignant neoplasm of frontal lobe	tumor	cancer	na	na
B58y.00	15	10	Secondary malignant neoplasm of other specified sites	tumor	cancer	na	na
B675.00	15	11	Acute myelofibrosis	tumor	cancer	na	na
BB27.00	15	15	[M]Inverted papilloma	tumor;benign	benign	na	na
BB35.00	15	14	[M]Basosquamous carcinoma	tumor	morph	na	na
BB5Bz00	15	15	[M]Pancreatic adenoma or carcinoma NOS	tumor	cancer	pancreas	pancreas
BB5J.00	15	12	[M]Adenoid cystic carcinoma	medr_tumor;medr_benign	benign	na	na
BB5S212	15	14	[M]Bronchiolar carcinoma	tumor	cancer	na	na
BB5f111	15	14	[M]Follicular carcinoma	tumor	morph	na	na
BBQ1.00	15	15	[M]Seminomas	tumor	morph	na	na
BBT1.11	15	12	[M]Angiosarcoma	tumor	morph	na	na
BBV9.00	15	10	[M]Myxoid chondrosarcoma	medr_tumor;tumor;medr_benign	cancer	na	na
BBr..00	15	13	[M]Leukaemias	medr_tumor;tumor;medr_benign	cancer	blood	LEU
B060z00	14	14	Malignant neoplasm tonsil NOS	tumor	cancer	na	na
B160.11	14	11	Carcinoma gallbladder	tumor	cancer	na	na
B210.00	14	13	Malignant neoplasm of glottis	tumor	cancer	na	na
B333500	14	13	Malignant neoplasm of skin of temple	tumor	cancer	na	na
B335700	14	7	Malignant neoplasm of skin of back	tumor	cancer	na	na
B342.00	14	14	Malignant neoplasm of upper-inner quadrant of female breast	tumor	cancer	breast	breast
B481.00	14	14	Malignant neoplasm of glans penis	tumor	cancer	na	na
B50..00	14	13	Malignant neoplasm of eye	tumor	cancer	na	na
B64..11	14	13	Lymphatic leukaemia	tumor	cancer	blood	LEU
B804000	14	14	Carcinoma in situ of rectosigmoid junction	tumor	cancer	crc	rectum;colon
B833600	14	12	Vulval intraepithel neop grd 3	tumor	cancer	na	na
BB34.00	14	14	[M]Basal cell carcinoma, fibroepithelial type	tumor	morph	na	na
BB5R000	14	12	[M]Carcinoid tumour NOS	tumor	morph	na	na
BB5X.00	14	14	[M]Clear cell adenomas and adenocarcinomas	tumor	morph	na	na
BB61011	14	13	[M]Hidradenoma NOS	tumor;benign	benign	na	na
BB9F.00	14	13	[M]Lobular carcinoma NOS	tumor	cancer	na	na
BBJB200	14	14	[M]Angiolipoma NOS	tumor	morph	na	na
B831.00	14	14	Carcinoma in situ of cervix uteri	medr_tumor;tumor;medr_benign	cancer	na	na
BBe1.00	14	14	[M]Neurofibromatosis NOS	medr_tumor;tumor;medr_benign	benign	na	na
4M00.00	13	13	Gleason prostate grade 2-4 (low)	tumor	anc	na	na
B224000	13	13	Malignant neoplasm of lower lobe bronchus	tumor;lung	cancer	lung	lung
B341.00	13	12	Malignant neoplasm of central part of female breast	tumor	cancer	breast	breast
B47z.11	13	11	Seminoma of testis	tumor	cancer	na	na
B550400	13	13	Malignant neoplasm of neck NOS	tumor	cancer	na	na
B602.00	13	11	Burkitt's lymphoma	tumor	cancer	blood	NHL
B808000	13	13	Carcinoma in situ of liver	tumor	cancer	liver	liver
B900011	13	12	Mixed parotid tumour	tumor	cancer	na	na
B912.00	13	9	Neoplasm of uncertain behaviour of ovary	tumor;benign	ca_bg	na	na
B91z100	13	13	Neoplasm of uncertain behaviour of kidney	tumor;benign	ca_bg	na	na
B932.00	13	9	Neoplasm of uncertain behaviour of skin	tumor;benign	ca_bg	na	na
BB11.11	13	13	[M]Intraepithelial carcinoma NOS	tumor	morph	na	na
BBF3.00	13	12	[M]Spindle cell sarcoma	tumor	cancer	na	na
Byu5011	13	13	[X]Mesothelioma of lung	tumor	cancer	na	na
B48..00	13	13	Malignant neoplasm of penis and other male genital organs	medr_tumor;tumor	cancer	na	na
B050.00	12	12	Malignant neoplasm of cheek mucosa	tumor	cancer	na	na
B112.00	12	12	Malignant neoplasm of pyloric antrum of stomach	tumor;stom	cancer	stom	stom
B30..00	12	12	Malignant neoplasm of bone and articular cartilage	tumor	cancer	na	na
B326100	12	12	Malignant melanoma of upper arm	tumor	cancer	na	na
B332200	12	11	Malignant neoplasm of pinna NEC	tumor	cancer	na	na
B45..00	12	11	Malig neop of other and unspecified female genital organs	tumor	cancer	na	na
B576100	12	12	Secondary malignant neoplasm of peritoneum	tumor	cancer	na	na
B587.00	12	12	Secondary malignant neoplasm of adrenal gland	tumor	cancer	na	na
B630300	12	12	Lambda light chain myeloma	tumor	cancer	blood	MM
B65y100	12	10	Acute promyelocytic leukaemia	tumor	cancer	blood	AML
B741900	12	10	Lipoma of abdominal wall	medr_tumor;medr_benign	ignore	na	na
B901100	12	10	Neoplasm of uncertain behaviour of tongue	tumor;benign	ca_bg	na	na
B905100	12	12	Neoplasm of uncertain behaviour of pancreas	tumor;benign	ca_bg	na	na
BB14.00	12	12	[M]Carcinomatosis	tumor	morph	na	na
BB1D.00	12	12	[M]Spindle cell carcinoma	tumor	morph	na	na
BB81.00	12	12	[M]Ovarian cystic, mucinous and serous neoplasms	tumor	cancer	ovary	ovary
BB9K000	12	11	[M]Paget's disease and intraductal carcinoma of breast	tumor	cancer	na	na
BBC0.12	12	11	[M]Ovarian stromal tumour	tumor	cancer	ovary	ovary
BBEG000	12	12	[M]Acral lentiginous melanoma, malignant	tumor	cancer	na	na
BBEU.00	12	12	[M]Blue naevus NOS	tumor	cancer	na	na
BBQ8.11	12	12	[M]Dermoid NOS	tumor;benign	benign	na	na
BBb..00	12	12	[M]Gliomas	tumor	morph	na	na
BBbC.00	12	12	[M]Astrocytoma, anaplastic type	tumor	cancer	na	na
BBm5.00	12	11	[M] Peripheral T-cell lymphoma NOS	tumor	cancer	blood	NHL
Byu1.00	12	12	[X]Malignant neoplasm of digestive organs	tumor	cancer	na	na
ByuA100	12	11	[X]Malignant neoplasm/central nervous system, unspecified	tumor	cancer	na	na
B16..00	11	9	Malignant neoplasm gallbladder and extrahepatic bile ducts	tumor	cancer	na	na
B161.00	11	11	Malignant neoplasm of extrahepatic bile ducts	tumor	cancer	na	na
B312100	11	8	Malig neop of connective and soft tissue thigh and upper leg	tumor	cancer	na	na
B4A1z00	11	11	Malignant neoplasm of renal pelvis NOS	tumor	cancer	kidney	kidney
B540.00	11	10	Malignant neoplasm of adrenal gland	tumor	cancer	na	na
B825000	11	11	Carcinoma in situ of skin of breast	tumor	cancer	na	na
B835.00	11	10	Carcinoma in situ of penis	tumor	cancer	na	na
B917.00	11	11	Neoplasm of uncertain behaviour of bladder	tumor;benign	ca_bg	na	na
BB5L.00	11	11	[M]Adenomatous and adenocarcinomatous polyps	tumor	morph	na	na
BB9G.00	11	11	[M]Infiltrating ductular carcinoma	tumor	morph	na	na
BBK1012	11	11	[M]Vascular leiomyoma	tumor	morph	na	na
BBb7.00	11	8	[M]Ependymoma NOS	tumor	cancer	na	na
ByuC800	11	10	[X]Malignant neoplasm without specification of site	tumor	cancer	na	na
ByuDF00	11	10	[X]Non-Hodgkin's lymphoma, unspecified type	tumor	cancer	blood	NHL
B917.12	11	11	Transitional cell papilloma of bladder	medr_tumor;tumor	cancer	bladder	bladder
BBCG.00	11	10	[M]Sclerosing stromal tumour	medr_tumor;tumor;medr_benign	benign	na	na
BBe..00	11	9	[M]Nerve sheath tumour	medr_tumor;tumor;medr_benign	ca_bg	na	na
4M1..00	10	9	Dukes staging system	tumor	cancer	crc	rectum;colon
4M12.00	10	10	Dukes stage C1	tumor	cancer	crc	rectum;colon
B07..00	10	10	Malignant neoplasm of nasopharynx	tumor	cancer	na	na
B496.00	10	10	Malignant neoplasm of ureteric orifice	tumor	cancer	na	na
B55..00	10	10	Malignant neoplasm of other and ill-defined sites	tumor	cancer	na	na
B57..00	10	8	Secondary malig neop of respiratory and digestive systems	tumor	cancer	na	na
B61z.00	10	10	Hodgkin's disease NOS	tumor	cancer	blood	HODG
B627E00	10	10	Diffuse large B-cell lymphoma	tumor	cancer	blood	NHL
B64y100	10	8	Prolymphocytic leukaemia	tumor	cancer	blood	LEU
B69..00	10	10	Myelomonocytic leukaemia	tumor	cancer	blood	LEU
B6z..00	10	10	Malignant neoplasm lymphatic or haematopoietic tissue NOS	tumor	cancer	blood	NHL
BB24.00	10	8	[M]Verrucous carcinoma NOS	tumor	morph	na	na
BB5D513	10	7	[M]Liver cell carcinoma	tumor	cancer	liver	liver
BB6..00	10	10	[M]Adnexal and skin appendage neoplasms	tumor	cancer	na	na
BBL5.00	10	10	[M]Mullerian mixed tumour	tumor	morph	na	na
BBQ7.00	10	7	[M]Teratomas	tumor	morph	na	na
BBR0.00	10	10	[M]Hydatidiform mole NOS	medr_tumor;medr_benign	ignore	na	na
BBe1.11	10	9	[M]Multiple neurofibromatosis	tumor	cancer	na	na
Byu9.00	10	10	[X]Malignant neoplasm of urinary tract	tumor	cancer	na	na
B927.00	10	10	Neurofibromatosis - Von Recklinghausen's disease	medr_tumor;tumor;benign	benign	na	na
4M02.00	9	9	Gleason prostate grade 8-10 (high)	tumor	anc	na	na
B05z.00	9	9	Malignant neoplasm of mouth NOS	tumor	cancer	na	na
B104.00	9	7	Malignant neoplasm of middle third of oesophagus	tumor;oeso	cancer	oeso	oeso
B122.00	9	6	Malignant neoplasm of ileum	tumor	cancer	na	na
B18..00	9	9	Malignant neoplasm of retroperitoneum and peritoneum	tumor	cancer	na	na
B180.00	9	8	Malignant neoplasm of retroperitoneum	tumor	cancer	na	na
B1z0.00	9	9	Malignant neoplasm of intestinal tract, part unspecified	tumor	cancer	na	na
B220.00	9	7	Malignant neoplasm of trachea	tumor	cancer	na	na
B240.00	9	8	Malignant neoplasm of thymus	tumor	cancer	na	na
B327400	9	9	Malignant melanoma of lower leg	tumor	cancer	na	na
B345.00	9	9	Malignant neoplasm of lower-outer quadrant of female breast	tumor	cancer	breast	breast
B47z.00	9	9	Malignant neoplasm of testis NOS	tumor	cancer	na	na
B494.00	9	9	Malignant neoplasm of posterior wall of urinary bladder	tumor	cancer	bladder	bladder
B580.00	9	9	Secondary malignant neoplasm of kidney	tumor	cancer	kidney	meta
B583.00	9	8	Secondary malignant neoplasm of brain and spinal cord	tumor	cancer	na	na
B58yz00	9	9	Secondary malignant neoplasm of other specified site NOS	tumor	cancer	na	na
B768X00	9	8	Melanocytic naevi, unspecified	medr_tumor;medr_benign	ignore	na	na
B905000	9	5	Neoplasm of uncertain behaviour of oesophagus	tumor;oeso;benign	ca_bg	oeso	oeso
B913100	9	9	Neoplasm of uncertain behaviour of vulva	tumor;benign	ca_bg	na	na
BB18.00	9	5	[M]Carcinoma, undifferentiated type, NOS	tumor	morph	na	na
BB51000	9	9	[M]Adenocarcinoma in situ in villous adenoma	tumor	morph	na	na
BB69000	9	9	[M]Sebaceous adenoma	tumor;benign	benign	na	na
BB81.14	9	9	[M]Ovarian serous tumour	tumor	cancer	ovary	ovary
BB81000	9	9	[M]Serous cystadenoma NOS	tumor	morph	na	na
BBB0.00	9	7	[M]Adenosquamous carcinoma	medr_tumor;medr_benign	morph	na	na
BBC3.00	9	9	[M]Granulosa cell tumour NOS	medr_tumor;medr_benign	cancer	na	na
BBEX.00	9	6	[M]Melanoma in situ	tumor	cancer	na	na
BBL2.00	9	9	[M]Adenomyoma	tumor	morph	na	na
BBT3.00	9	8	[M]Venous haemangioma	tumor	cancer	na	na
BBU4.11	9	9	[M]Cystic hygroma	tumor	morph	na	na
BBbQ.00	9	8	[M]Oligodendroglioma NOS	tumor	cancer	na	na
BBgR.00	9	9	[M]Malignant lymphoma, large cell, diffuse NOS	tumor	cancer	blood	NHL
4M11.00	8	8	Dukes stage B	tumor	cancer	crc	rectum;colon
B01z.00	8	8	Malignant neoplasm of tongue NOS	tumor	cancer	na	na
B081.00	8	7	Malignant neoplasm of pyriform sinus	tumor	cancer	na	na
B115.00	8	7	Malignant neoplasm of lesser curve of stomach unspecified	tumor;stom	cancer	stom	stom
B151.00	8	8	Malignant neoplasm of intrahepatic bile ducts	tumor;liver	cancer	liver	liver
B173.00	8	8	Malignant neoplasm of pancreatic duct	tumor	cancer	pancreas	pancreas
B181.00	8	6	Mesothelioma of peritoneum	tumor	cancer	na	na
B222.11	8	5	Pancoast's syndrome	tumor;lung	cancer	lung	lung
B23..00	8	8	Malignant neoplasm of pleura	tumor	cancer	na	na
B331.00	8	7	Malignant neoplasm of eyelid including canthus	tumor	cancer	na	na
B343.00	8	8	Malignant neoplasm of lower-inner quadrant of female breast	tumor	cancer	breast	breast
B490.00	8	7	Malignant neoplasm of trigone of urinary bladder	tumor	cancer	bladder	bladder
B522.00	8	3	Malignant neoplasm of spinal cord	tumor	cancer	na	na
B550000	8	8	Malignant neoplasm of head NOS	tumor	cancer	na	na
B550200	8	8	Malignant neoplasm of nose NOS	tumor	cancer	na	na
B55yz00	8	8	Malignant neoplasm of specified site NOS	tumor	cancer	na	na
B627A00	8	8	Diffuse non-Hodgkin's large cell lymphoma	tumor	cancer	blood	NHL
B62xX00	8	6	Oth and unspecif peripheral & cutaneous T-cell lymphomas	tumor	cancer	blood	NHL
B805000	8	8	Anal intraepithelial neoplasia grade III	tumor	cancer	na	na
B9...00	8	8	Neoplasms of uncertain behaviour	tumor;benign	ca_bg	na	na
B903000	8	7	Neoplasm of uncertain behaviour of liver	tumor;benign	ca_bg	na	na
BB00.00	8	8	[M]Neoplasm, benign	tumor;benign	benign	na	na
BB0z.00	8	8	[M]Unspecified tumour cell NOS	tumor	morph	na	na
BB2..00	8	8	[M]Papillary and squamous cell neoplasms	tumor	morph	na	na
BB48.00	8	8	[M]Basaloid carcinoma	tumor	morph	na	na
BB5D512	8	8	[M]Hepatoma, malignant	tumor	cancer	liver	liver
BB64.00	8	8	[M]Eccrine spiradenoma	tumor	cancer	na	na
BB69.00	8	7	[M]Sebaceous adenoma and adenocarcinoma	tumor	morph	na	na
BB81.12	8	8	[M]Ovarian mucinous tumour	tumor	cancer	ovary	ovary
BB82.00	8	8	[M]Mucinous adenoma and adenocarcinoma	tumor	morph	na	na
BBK1000	8	8	[M]Angiomyoma	tumor	morph	na	na
BBPX.00	8	3	[M]Mesothelioma, unspecified	tumor	morph	na	na
BBs4.00	8	5	[M]Idiopathic thrombocythaemia	tumor	cancer	na	na
4M10.00	7	7	Dukes stage A	tumor	cancer	crc	rectum;colon
B06z.00	7	6	Malignant neoplasm of oropharynx NOS	tumor	cancer	na	na
B0z0.00	7	6	Malignant neoplasm of pharynx unspecified	tumor	cancer	na	na
B10y.00	7	6	Malignant neoplasm of other specified part of oesophagus	tumor;oeso	cancer	oeso	oeso
B16z.00	7	7	Malignant neoplasm gallbladder/extrahepatic bile ducts NOS	tumor	cancer	na	na
B171.00	7	7	Malignant neoplasm of body of pancreas	tumor	cancer	pancreas	pancreas
B18y300	7	7	Malignant neoplasm of omentum	tumor	cancer	na	na
B18yz00	7	7	Malignant neoplasm of specified parts of peritoneum NOS	tumor	cancer	na	na
B215.00	7	7	Malignant neoplasm of epiglottis NOS	tumor	cancer	na	na
B301.00	7	7	Malignant neoplasm of mandible	tumor	cancer	na	na
B326200	7	7	Malignant melanoma of fore-arm	tumor	cancer	na	na
B327100	7	6	Malignant melanoma of thigh	tumor	cancer	na	na
B331000	7	7	Malignant neoplasm of canthus	tumor	cancer	na	na
B334000	7	7	Malignant neoplasm of scalp	tumor	cancer	na	na
B334100	7	7	Malignant neoplasm of skin of neck	tumor	cancer	na	na
B492.00	7	7	Malignant neoplasm of lateral wall of urinary bladder	tumor	cancer	bladder	bladder
B495.00	7	7	Malignant neoplasm of bladder neck	tumor	cancer	bladder	bladder
B512.00	7	7	Malignant neoplasm of temporal lobe	tumor	cancer	na	na
B513.00	7	6	Malignant neoplasm of parietal lobe	tumor	cancer	na	na
B627B00	7	7	Other types of follicular non-Hodgkin's lymphoma	tumor	cancer	blood	NHL
B62x200	7	7	Peripheral T-cell lymphoma	tumor	cancer	blood	NHL
B803600	7	6	Carcinoma in situ of ascending colon	tumor;crc	cancer	crc	colon
B828W00	7	6	Melanoma in situ, unspecified	tumor	cancer	na	na
B900000	7	6	Neoplasm of uncertain behaviour of parotid gland	tumor;benign	ca_bg	na	na
B937000	7	7	Refractory anaemia without sideroblasts, so stated	tumor	cancer	na	na
BB04.00	7	7	[M]Neoplasm, malig, uncertain whether primary or metastatic	tumor	morph	na	na
BB5S211	7	7	[M]Alveolar cell carcinoma	tumor	cancer	na	na
BB5W011	7	7	[M]Hurthle cell adenoma	tumor;benign	benign	na	na
BB5f511	7	7	[M]Colloid adenoma	tumor	morph	na	na
BB5f600	7	7	[M]Papillary and follicular adenocarcinoma	tumor	morph	na	na
BB5h000	7	7	[M]Adrenal cortical adenoma NOS	tumor	cancer	na	na
BB95.12	7	7	[M]Ductal papilloma	tumor;benign	benign	na	na
BBC0.13	7	7	[M]Testicular stromal tumour	tumor	cancer	na	na
BBXz.00	7	5	[M]Giant cell tumour NOS	tumor	morph	na	na
BBf0.00	7	7	[M]Granular cell tumour NOS	tumor	morph	na	na
BBg1000	7	3	[M]Malignant lymphoma, diffuse NOS	tumor	cancer	blood	NHL
BBg2.00	7	7	[M]Malignant lymphoma, non Hodgkin's type	tumor	cancer	blood	NHL
BBr0100	7	7	[M]Acute leukaemia NOS	tumor	cancer	blood	LEU
ByuC300	7	7	[X]Secondary malignant neoplasm/oth+unspc respiratory organs	tumor	cancer	na	na
BBb0.00	7	6	[M]Glioma, malignant	medr_tumor;tumor;medr_benign	cancer	na	na
B016.00	6	6	Malignant neoplasm of lingual tonsil	tumor	cancer	na	na
B061.00	6	5	Malignant neoplasm of tonsillar fossa	tumor	cancer	na	na
B119.00	6	5	Siewert type III adenocarcinoma	tumor;stom	cancer	stom	stom
B12..00	6	6	Malignant neoplasm of small intestine and duodenum	tumor	cancer	na	na
B21y.00	6	5	Malignant neoplasm of larynx, other specified site	tumor	cancer	na	na
B223000	6	5	Malignant neoplasm of middle lobe bronchus	tumor;lung	cancer	lung	lung
B30z000	6	6	Osteosarcoma	tumor	cancer	na	na
B310100	6	4	Malignant neoplasm of soft tissue of face	tumor	cancer	na	na
B325.00	6	6	Malignant melanoma of trunk (excluding scrotum)	tumor	cancer	na	na
B333000	6	6	Malignant neoplasm of skin of cheek, external	tumor	cancer	na	na
B335200	6	6	Malignant neoplasm of skin of breast	tumor	cancer	breast	breast
B340000	6	4	Malignant neoplasm of nipple of female breast	tumor	cancer	breast	breast
B430211	6	5	Malignant neoplasm of endometrium	tumor	cancer	uterus	uterus
B551100	6	5	Malignant neoplasm of chest wall NOS	tumor	cancer	na	na
B555.00	6	6	Malignant neoplasm of lower limb NOS	tumor	cancer	na	na
B56z.00	6	6	Secondary and unspec malig neop lymph nodes NOS	tumor	cancer	na	na
B583100	6	6	Secondary malignant neoplasm of spinal cord	tumor	cancer	na	na
B591.00	6	6	Other malignant neoplasm NOS	tumor	cancer	na	na
B5y..00	6	6	Malignant neoplasm of other and unspecified site OS	tumor	cancer	na	na
B614.00	6	6	Hodgkin's disease, nodular sclerosis	tumor	cancer	blood	HODG
B63..00	6	5	Multiple myeloma and immunoproliferative neoplasms	tumor	cancer	blood	MM
B630000	6	6	Malignant plasma cell neoplasm, extramedullary plasmacytoma	tumor	cancer	blood	MM
B741E00	6	6	Lipoma of thigh	medr_tumor;medr_benign	benign	na	na
B800700	6	6	Carcinoma in situ of nasopharynx	tumor	cancer	na	na
B804100	6	6	Carcinoma in situ of rectum	tumor	cancer	crc	rectum
B806.00	6	6	Carcinoma in situ of anus NOS	tumor	cancer	na	na
B807000	6	6	Carcinoma in situ of duodenum	tumor	cancer	na	na
B8z..00	6	6	Carcinoma in situ NOS	tumor	cancer	na	na
B906800	6	6	Neoplasm of uncertain behaviour of vocal cord	tumor;benign	ca_bg	na	na
BB03.11	6	6	[M]Secondary neoplasm	tumor	morph	na	na
BB17.00	6	5	[M]Large cell carcinoma NOS	tumor	morph	na	na
BB19.00	6	5	[M]Carcinoma, anaplastic type, NOS	tumor	morph	na	na
BB2E.00	6	6	[M]Squamous cell carcinoma, small cell, non-keratinising	tumor	morph	na	na
BB5N012	6	6	[M]Familial polyposis coli	tumor	cancer	na	na
BB5T100	6	6	[M]Papillary adenocarcinoma NOS	tumor	morph	na	na
BB5U011	6	6	[M]Villous papilloma	tumor;benign	benign	na	na
BB5g.00	6	5	[M]Multiple endocrine adenomas	tumor	cancer	na	na
BB5h.00	6	4	[M]Adrenal cortical tumours	tumor	cancer	na	na
BB5y200	6	5	[M]Klatskin's tumour	tumor	cancer	na	na
BB5z.00	6	5	[M]Adenoma or adenocarcinoma NOS	tumor	morph	na	na
BB8..00	6	6	[M]Cystic, mucinous and serous neoplasms	tumor	morph	na	na
BB91100	6	6	[M]Infiltrating duct and lobular carcinoma	tumor	morph	na	na
BB9E.00	6	6	[M]Lobular carcinoma in situ	tumor	cancer	na	na
BB9z.00	6	6	[M]Ductal, lobular or medullary neoplasm NOS	tumor	morph	na	na
BBEW.00	6	6	[M]Cellular blue naevus	tumor	cancer	na	na
BBF4.11	6	6	[M]Pleomorphic cell sarcoma	tumor	cancer	na	na
BBP8.00	6	6	[M]Adenomatoid tumour NOS	tumor	morph	na	na
BBV4.00	6	6	[M]Telangiectatic osteosarcoma	tumor	cancer	na	na
BBbG.00	6	3	[M]Pilocytic astrocytoma	tumor	cancer	na	na
BBbR.00	6	5	[M]Oligodendroglioma, anaplastic type	tumor	cancer	na	na
BBe5.00	6	6	[M]Neurilemmoma NOS	tumor	cancer	na	na
BBl..00	6	5	[M]Mycosis fungoides	tumor	cancer	na	na
BBr0300	6	6	[M]Chronic leukaemia NOS	tumor	cancer	blood	LEU
BBr2700	6	6	[M]Adult T-cell leukaemia/lymphoma	tumor	cancer	blood	NHL
Byu2000	6	6	[X]Malignant neoplasm of bronchus or lung, unspecified	tumor;lung	cancer	lung	lung
