Read0	Read1	Read3	Read4	Read code	description	internal comment 2016	status 2016	type 2016	organ 2016	internal comment 2015	status 2015	type 2015	organ 2015	read_code	medical_freq	ahd_freq
2	22	22	22..	B22..00	"Malignant neoplasm of trachea, bronchus and lung"		Cancer	Lung	Lung	tumor;lung	cancer	lung	lung	B22..00	9690	368
2	22	220	220	B220.00	Malignant neoplasm of trachea					tumor	cancer	na	na	B220.00	194	1
2	22	220	220z	B220z00	Malignant neoplasm of trachea NOS					tumor	cancer	na	na	B220z00	26	
2	22	221	221	B221.00	Malignant neoplasm of main bronchus					tumor;lung	cancer	lung	lung	B221.00	2497	165
2	22	221	2210	B221000	Malignant neoplasm of carina of bronchus					tumor;lung	cancer	lung	lung	B221000	130	6
2	22	221	2211	B221100	Malignant neoplasm of hilus of lung					tumor;lung	cancer	lung	lung	B221100	358	3
2	22	221	221z	B221z00	Malignant neoplasm of main bronchus NOS					tumor;lung	cancer	lung	lung	B221z00	617	15
2	22	222	222	B222.00	"Malignant neoplasm of upper lobe, bronchus or lung"					tumor;lung	cancer	lung	lung	B222.00	1880	30
2	22	222	222	B222.11	Pancoast's syndrome					tumor;lung	cancer	lung	lung	B222.11	278	1
2	22	222	2220	B222000	Malignant neoplasm of upper lobe bronchus					tumor;lung	cancer	lung	lung	B222000	472	4
2	22	222	2221	B222100	Malignant neoplasm of upper lobe of lung					tumor;lung	cancer	lung	lung	B222100	2311	30
2	22	222	222z	B222z00	"Malignant neoplasm of upper lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung	B222z00	224	8
2	22	223	223	B223.00	"Malignant neoplasm of middle lobe, bronchus or lung"					tumor;lung	cancer	lung	lung	B223.00	271	3
2	22	223	2230	B223000	Malignant neoplasm of middle lobe bronchus					tumor;lung	cancer	lung	lung	B223000	70	3
2	22	223	2231	B223100	Malignant neoplasm of middle lobe of lung					tumor;lung	cancer	lung	lung	B223100	285	2
2	22	223	223z	B223z00	"Malignant neoplasm of middle lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung	B223z00	35	3
2	22	224	224	B224.00	"Malignant neoplasm of lower lobe, bronchus or lung"					tumor;lung	cancer	lung	lung	B224.00	776	14
2	22	224	2240	B224000	Malignant neoplasm of lower lobe bronchus					tumor;lung	cancer	lung	lung	B224000	202	1
2	22	224	2241	B224100	Malignant neoplasm of lower lobe of lung					tumor;lung	cancer	lung	lung	B224100	1226	15
2	22	224	224z	B224z00	"Malignant neoplasm of lower lobe, bronchus or lung NOS"					tumor;lung	cancer	lung	lung	B224z00	141	2
2	22	225	225	B225.00	Malignant neoplasm of overlapping lesion of bronchus & lung					tumor;lung	cancer	lung	lung	B225.00	72	2
2	22	226	226	B226.00	Mesothelioma					tumor;lung	cancer	lung	lung	B226.00	3454	200
2	22	22y	22y.	B22y.00	Malignant neoplasm of other sites of bronchus or lung					tumor;lung	cancer	lung	lung	B22y.00	395	15
2	22	22z	22z.	B22z.00	Malignant neoplasm of bronchus or lung NOS					tumor;lung	cancer	lung	lung	B22z.00	28652	1498
2	22	22z	22z.	B22z.11	Lung cancer					tumor;lung	cancer	lung	lung	B22z.11	28402	1921
2	23	23	23..	B23..00	Malignant neoplasm of pleura		Cancer	Pleura	Pleura	tumor	cancer	na	na	B23..00	156	7
2	23	232	232	B232.00	Mesothelioma of pleura					tumor	cancer	na	na	B232.00	1015	60
2	23	23y	23y.	B23y.00	Malignant neoplasm of other specified pleura					tumor	cancer	na	na	B23y.00	3	
2	23	23z	23z.	B23z.00	Malignant neoplasm of pleura NOS					tumor	cancer	na	na	B23z.00	67	1
2	24	240	240	B240.00	Malignant neoplasm of thymus		Cancer	na	na	tumor	cancer	na	na	B240.00	132	5
2	24	241	241	B241.00	Malignant neoplasm of heart		Cancer	na	na	tumor	cancer	na	na	B241.00	2	
2	24	241	2414	B241400	Mesothelioma of pericardium		Cancer	na	na	tumor	cancer	na	na	B241400	4	
2	24	243	243	B243.00	Malignant neoplasm of posterior mediastinum		Cancer	na	na	tumor	cancer	na	na	B243.00	3	
2	2z	2z.	2z..	B2z..00	Malig neop other/ill-defined sites resp/intrathoracic organs		Cancer	na	na	tumor	cancer	na	na	B2z..00	12	
2	2z	2z0	2z0.	B2z0.00	"Malig neop of upper respiratory tract, part unspecified"		Cancer	Respiratory tract 	na	tumor	cancer	na	na	B2z0.00	6	
2	2z	2zy	2zy.	B2zy.00	Malignant neoplasm of other site of respiratory tract		Cancer	Respiratory tract 	na	tumor	cancer	na	na	B2zy.00	8	
2	2z	2zz	2zz.	B2zz.00	Malignant neoplasm of respiratory tract NOS		Cancer	Respiratory tract 	na	tumor	cancer	na	na	B2zz.00	221	
3	3	3..	3...	B3...00	"Malig neop of bone, connective tissue, skin and breast"		Cancer	na	na	tumor	morph	na	na	B3...00	1598	5
3	3	3..	3...	B3...11	"Carcinoma of bone, connective tissue, skin and breast"		Cancer	na	na	medr_tumor;tumor	cancer	na	na	B3...11	1023	33
3	3	3..	3...	B3...12	Sarcoma of bone and connective tissue		Cancer	Bones	Bones	tumor	cancer	na	na	B3...12	825	7
3	30	30	30..	B30..00	Malignant neoplasm of bone and articular cartilage		Cancer	Bones	Bones	tumor	cancer	na	na	B30..00	235	3
3	30	30	30..	B30..12	Osteoma		Benign	na	na	tumor;benign	benign	na	na	B30..12	111	
3	30	300	300	B300.00	Malignant neoplasm of bones of skull and face					tumor	cancer	na	na	B300.00	27	
3	30	300	3007	B300700	Malignant neoplasm of sphenoid bone					tumor	cancer	na	na	B300700	4	
3	30	300	300A	B300A00	Malignant neoplasm of maxilla					tumor	cancer	na	na	B300A00	111	4
3	30	301	301	B301.00	Malignant neoplasm of mandible					tumor	cancer	na	na	B301.00	155	5
3	30	302	302	B302.00	Malignant neoplasm of vertebral column					tumor	cancer	na	na	B302.00	74	
3	30	302	3020	B302000	Malignant neoplasm of cervical vertebra					tumor	cancer	na	na	B302000	27	
3	30	302	3021	B302100	Malignant neoplasm of thoracic vertebra					tumor	cancer	na	na	B302100	49	
3	30	302	3022	B302200	Malignant neoplasm of lumbar vertebra					tumor	cancer	na	na	B302200	54	
3	30	302	302z	B302z00	Malignant neoplasm of vertebral column NOS					tumor	cancer	na	na	B302z00	28	
3	30	303	3030	B303000	Malignant neoplasm of rib					tumor	cancer	na	na	B303000	54	1
3	30	303	3031	B303100	Malignant neoplasm of sternum					tumor	cancer	na	na	B303100	26	
3	30	303	3032	B303200	Malignant neoplasm of clavicle					tumor	cancer	na	na	B303200	10	
3	30	304	3040	B304000	Malignant neoplasm of scapula					tumor	cancer	na	na	B304000	26	
3	30	306	306	B306.00	"Malignant neoplasm of pelvic bones, sacrum and coccyx"					tumor	cancer	na	na	B306.00	36	
3	30	306	3060	B306000	Malignant neoplasm of ilium					tumor	cancer	na	na	B306000	16	
3	30	306	3063	B306300	Malignant neoplasm of sacral vertebra					tumor	cancer	na	na	B306300	14	
3	30	306	3064	B306400	Malignant neoplasm of coccygeal vertebra					tumor	cancer	na	na	B306400	6	
3	30	306	3065	B306500	Malignant sacral teratoma					tumor	cancer	na	na	B306500	66	
3	30	306	306z	B306z00	"Malignant neoplasm of pelvis, sacrum or coccyx NOS"					tumor	cancer	na	na	B306z00	35	1
3	30	307	3070	B307000	Malignant neoplasm of femur					tumor	cancer	na	na	B307000	97	
3	30	30z	30z.	B30z.00	Malignant neoplasm of bone and articular cartilage NOS					tumor	cancer	na	na	B30z.00	326	3
3	30	30z	30z0	B30z000	Osteosarcoma					tumor	cancer	na	na	B30z000	401	9
3	31	31	31..	B31..00	Malignant neoplasm of connective and other soft tissue		Cancer	Connective tissue	Connective tissue	tumor	cancer	na	na	B31..00	479	1
3	31	310	310	B310.00	"Malig neop of connective and soft tissue head, face and neck"					tumor	cancer	na	na	B310.00	23	
3	31	310	3100	B310000	Malignant neoplasm of soft tissue of head					tumor	cancer	na	na	B310000	68	2
3	31	310	3101	B310100	Malignant neoplasm of soft tissue of face					tumor	cancer	na	na	B310100	92	
3	31	310	3102	B310200	Malignant neoplasm of soft tissue of neck					tumor	cancer	na	na	B310200	72	
3	31	310	3103	B310300	Malignant neoplasm of cartilage of ear					tumor	cancer	na	na	B310300	29	
3	31	310	310z	B310z00	"Malig neop connective and soft tissue head, face, neck NOS"					tumor	cancer	na	na	B310z00	29	
3	31	311	311	B311.00	Malig neop connective and soft tissue upper limb/shoulder					tumor	cancer	na	na	B311.00	14	
3	31	311	3110	B311000	Malignant neoplasm of connective and soft tissue of shoulder					tumor	cancer	na	na	B311000	15	
3	31	311	3112	B311200	Malignant neoplasm of connective and soft tissue of fore-arm					tumor	cancer	na	na	B311200	30	
3	31	311	3113	B311300	Malignant neoplasm of connective and soft tissue of hand					tumor	cancer	na	na	B311300	21	
3	31	312	312	B312.00	Malig neop of connective and soft tissue of hip and leg					tumor	cancer	na	na	B312.00	22	
3	31	312	3120	B312000	Malignant neoplasm of connective and soft tissue of hip					tumor	cancer	na	na	B312000	6	
3	31	312	3121	B312100	Malig neop of connective and soft tissue thigh and upper leg					tumor	cancer	na	na	B312100	94	3
3	31	312	3123	B312300	Malig neop of connective and soft tissue of lower leg					tumor	cancer	na	na	B312300	69	
3	31	313	313	B313.00	Malignant neoplasm of connective and soft tissue of thorax					tumor	cancer	na	na	B313.00	19	
3	31	313	3130	B313000	Malignant neoplasm of connective and soft tissue of axilla					tumor	cancer	na	na	B313000	25	
3	31	313	3131	B313100	Malignant neoplasm of diaphragm					tumor	cancer	na	na	B313100	5	
3	31	314	314	B314.00	Malignant neoplasm of connective and soft tissue of abdomen					tumor	cancer	na	na	B314.00	37	4
3	31	314	3140	B314000	Malig neop of connective and soft tissue of abdominal wall					tumor	cancer	na	na	B314000	12	1
3	31	315	315	B315.00	Malignant neoplasm of connective and soft tissue of pelvis					tumor	cancer	na	na	B315.00	22	
3	31	315	3150	B315000	Malignant neoplasm of connective and soft tissue of buttock					tumor	cancer	na	na	B315000	18	
3	31	315	3151	B315100	Malig neop of connective and soft tissue of inguinal region					tumor	cancer	na	na	B315100	6	1
3	31	315	3152	B315200	Malignant neoplasm of connective and soft tissue of perineum					tumor	cancer	na	na	B315200	4	
3	31	31y	31y.	B31y.00	Malig neop connective and soft tissue other specified site					tumor	cancer	na	na	B31y.00	23	
3	31	31z	31z.	B31z.00	"Malignant neoplasm of connective and soft tissue, site NOS"					tumor	cancer	na	na	B31z.00	321	4
3	32	32	32..	B32..00	Malignant melanoma of skin		Cancer	Melanoma	Skin	medr_tumor;tumor	cancer	na	na	B32..00	27547	146
3	32	320	320	B320.00	Malignant melanoma of lip					tumor	cancer	na	na	B320.00	12	
3	32	321	321	B321.00	Malignant melanoma of eyelid including canthus					tumor	cancer	na	na	B321.00	26	
3	32	322	322	B322.00	Malignant melanoma of ear and external auricular canal					tumor	cancer	na	na	B322.00	31	
3	32	322	3220	B322000	Malignant melanoma of auricle (ear)					tumor	cancer	na	na	B322000	29	
3	32	322	3221	B322100	Malignant melanoma of external auditory meatus					tumor	cancer	na	na	B322100	2	
3	32	323	323	B323.00	Malignant melanoma of other and unspecified parts of face					tumor	cancer	na	na	B323.00	56	2
3	32	323	3230	B323000	Malignant melanoma of external surface of cheek					tumor	cancer	na	na	B323000	93	
3	32	323	3231	B323100	Malignant melanoma of chin					tumor	cancer	na	na	B323100	11	
3	32	323	3233	B323300	Malignant melanoma of forehead					tumor	cancer	na	na	B323300	22	
3	32	323	3235	B323500	Malignant melanoma of temple					tumor	cancer	na	na	B323500	19	
3	32	323	323z	B323z00	Malignant melanoma of face NOS					tumor	cancer	na	na	B323z00	51	
3	32	324	324	B324.00	Malignant melanoma of scalp and neck					tumor	cancer	na	na	B324.00	198	
3	32	324	3240	B324000	Malignant melanoma of scalp					tumor	cancer	na	na	B324000	74	1
3	32	324	3241	B324100	Malignant melanoma of neck					tumor	cancer	na	na	B324100	96	
3	32	325	325	B325.00	Malignant melanoma of trunk (excluding scrotum)					tumor	cancer	na	na	B325.00	306	
3	32	325	3250	B325000	Malignant melanoma of axilla					tumor	cancer	na	na	B325000	46	
3	32	325	3251	B325100	Malignant melanoma of breast					tumor	cancer	na	na	B325100	470	4
3	32	325	3253	B325300	Malignant melanoma of groin					tumor	cancer	na	na	B325300	51	
3	32	325	3257	B325700	Malignant melanoma of back					tumor	cancer	na	na	B325700	327	
3	32	325	3258	B325800	Malignant melanoma of chest wall					tumor	cancer	na	na	B325800	69	
3	32	325	325z	B325z00	"Malignant melanoma of trunk, excluding scrotum, NOS"					tumor	cancer	na	na	B325z00	50	
3	32	326	326	B326.00	Malignant melanoma of upper limb and shoulder					tumor	cancer	na	na	B326.00	221	
3	32	326	3260	B326000	Malignant melanoma of shoulder					tumor	cancer	na	na	B326000	134	1
3	32	326	3261	B326100	Malignant melanoma of upper arm					tumor	cancer	na	na	B326100	156	
3	32	326	3262	B326200	Malignant melanoma of fore-arm					tumor	cancer	na	na	B326200	152	
3	32	326	3264	B326400	Malignant melanoma of finger					tumor	cancer	na	na	B326400	19	
3	32	326	326z	B326z00	Malignant melanoma of upper limb or shoulder NOS					tumor	cancer	na	na	B326z00	15	
3	32	327	327	B327.00	Malignant melanoma of lower limb and hip					tumor	cancer	na	na	B327.00	445	
3	32	327	3271	B327100	Malignant melanoma of thigh					tumor	cancer	na	na	B327100	188	
3	32	327	3272	B327200	Malignant melanoma of knee					tumor	cancer	na	na	B327200	42	
3	32	327	3274	B327400	Malignant melanoma of lower leg					tumor	cancer	na	na	B327400	386	
3	32	327	3275	B327500	Malignant melanoma of ankle					tumor	cancer	na	na	B327500	42	
3	32	327	3277	B327700	Malignant melanoma of foot					tumor	cancer	na	na	B327700	73	
3	32	327	3278	B327800	Malignant melanoma of toe					tumor	cancer	na	na	B327800	34	
3	32	327	3279	B327900	Malignant melanoma of great toe					tumor	cancer	na	na	B327900	13	
3	32	32y	32y.	B32y.00	Malignant melanoma of other specified skin site					tumor	cancer	na	na	B32y.00	61	
3	32	32z	32z.	B32z.00	Malignant melanoma of skin NOS					tumor	cancer	na	na	B32z.00	723	4
3	33	33	33..	B33..00	Other malignant neoplasm of skin		Cancer	Skin	Skin	tumor	cancer	na	na	B33..00	16467	2
3	33	33	33..	B33..11	Basal cell carcinoma	this is apparently a morphology as its so common	Cancer	BCC	Skin	medr_tumor;tumor	morph	na	na	B33..11	268074	60
3	33	33	33..	B33..12	Epithelioma					tumor	cancer	na	na	B33..12	1905	8
3	33	33	33..	B33..13	Rodent ulcer					medr_tumor;tumor	cancer	na	na	B33..13	19514	3
3	33	33	33..	B33..15	Malignant neoplasm of sweat gland					tumor	cancer	na	na	B33..15	14	
3	33	33	33..	B33..16	Epithelioma basal cell					tumor	cancer	na	na	B33..16	18935	61
3	33	330	330	B330.00	Malignant neoplasm of skin of lip					tumor	cancer	na	na	B330.00	174	
3	33	331	331	B331.00	Malignant neoplasm of eyelid including canthus					tumor	cancer	na	na	B331.00	230	
3	33	331	3310	B331000	Malignant neoplasm of canthus					tumor	cancer	na	na	B331000	113	
3	33	331	3311	B331100	Malignant neoplasm of upper eyelid					tumor	cancer	na	na	B331100	33	
3	33	331	3312	B331200	Malignant neoplasm of lower eyelid					tumor	cancer	na	na	B331200	116	
3	33	332	332	B332.00	Malignant neoplasm skin of ear and external auricular canal					tumor	cancer	na	na	B332.00	124	
3	33	332	3320	B332000	Malignant neoplasm of skin of auricle (ear)					tumor	cancer	na	na	B332000	113	1
3	33	332	3321	B332100	Malignant neoplasm of skin of external auditory meatus					tumor	cancer	na	na	B332100	11	
3	33	332	3322	B332200	Malignant neoplasm of pinna NEC					tumor	cancer	na	na	B332200	281	
3	33	333	333	B333.00	Malignant neoplasm skin of other and unspecified parts face					tumor	cancer	na	na	B333.00	169	
3	33	333	3330	B333000	"Malignant neoplasm of skin of cheek, external"					tumor	cancer	na	na	B333000	435	
3	33	333	3331	B333100	Malignant neoplasm of skin of chin					tumor	cancer	na	na	B333100	52	
3	33	333	3333	B333300	Malignant neoplasm of skin of forehead					tumor	cancer	na	na	B333300	442	
3	33	333	3334	B333400	Malignant neoplasm of skin of nose (external)					tumor	cancer	na	na	B333400	654	
3	33	333	3335	B333500	Malignant neoplasm of skin of temple					tumor	cancer	na	na	B333500	353	
3	33	333	333z	B333z00	Malignant neoplasm skin other and unspec part of face NOS					tumor	cancer	na	na	B333z00	97	
3	33	334	334	B334.00	Malignant neoplasm of scalp and skin of neck					tumor	cancer	na	na	B334.00	47	
3	33	334	3340	B334000	Malignant neoplasm of scalp					tumor	cancer	na	na	B334000	320	
3	33	334	3341	B334100	Malignant neoplasm of skin of neck					tumor	cancer	na	na	B334100	158	
3	33	335	335	B335.00	"Malignant neoplasm of skin of trunk, excluding scrotum"					tumor	cancer	na	na	B335.00	555	
3	33	335	3351	B335100	"Malignant neoplasm of skin of chest, excluding breast"					tumor	cancer	na	na	B335100	117	
3	33	335	3352	B335200	Malignant neoplasm of skin of breast					tumor	cancer	breast	breast	B335200	133	1
3	33	335	3353	B335300	Malignant neoplasm of skin of abdominal wall					tumor	cancer	na	na	B335300	27	
3	33	335	3355	B335500	Malignant neoplasm of skin of groin					tumor	cancer	na	na	B335500	9	
3	33	335	3357	B335700	Malignant neoplasm of skin of back					tumor	cancer	na	na	B335700	214	
3	33	335	3359	B335900	Malignant neoplasm of perianal skin					tumor	cancer	na	na	B335900	113	
3	33	336	336	B336.00	Malignant neoplasm of skin of upper limb and shoulder					tumor	cancer	na	na	B336.00	367	
3	33	336	3360	B336000	Malignant neoplasm of skin of shoulder					tumor	cancer	na	na	B336000	86	1
3	33	336	3361	B336100	Malignant neoplasm of skin of upper arm					tumor	cancer	na	na	B336100	43	
3	33	336	3362	B336200	Malignant neoplasm of skin of fore-arm					tumor	cancer	na	na	B336200	76	
3	33	336	3363	B336300	Malignant neoplasm of skin of hand					tumor	cancer	na	na	B336300	105	
3	33	336	336z	B336z00	Malignant neoplasm of skin of upper limb or shoulder NOS					tumor	cancer	na	na	B336z00	6	
3	33	337	337	B337.00	Malignant neoplasm of skin of lower limb and hip					tumor	cancer	na	na	B337.00	745	
3	33	337	3371	B337100	Malignant neoplasm of skin of thigh					tumor	cancer	na	na	B337100	50	
3	33	337	3374	B337400	Malignant neoplasm of skin of lower leg					tumor	cancer	na	na	B337400	229	1
3	33	337	3375	B337500	Malignant neoplasm of skin of ankle					tumor	cancer	na	na	B337500	10	
3	33	338	338	B338.00	Squamous cell carcinoma of skin		Cancer	SCC	Skin	tumor	cancer	na	na	B338.00	13541	24
3	33	339	339	B339.00	Dermatofibrosarcoma protuberans					tumor	cancer	na	na	B339.00	598	
3	33	33y	33y.	B33y.00	Malignant neoplasm of other specified skin sites					tumor	cancer	na	na	B33y.00	93	1
3	33	33z	33z.	B33z.00	Malignant neoplasm of skin NOS					tumor	cancer	na	na	B33z.00	8201	75
3	33	33z	33z.	B33z.11	Squamous cell carcinoma of skin NOS					tumor	cancer	na	na	B33z.11	2635	1
3	33	33z	33z0	B33z000	Kaposi's sarcoma of skin					tumor	cancer	na	na	B33z000	59	
3	33	33z	33z1	B33z111	Basal cell naevus syndrome					tumor	cancer	na	na	B33z111	187	
3	34	34	34..	B34..00	Malignant neoplasm of female breast		Cancer	Breast	Female Breast	medr_tumor;tumor	cancer	breast	breast	B34..00	113733	1231
3	34	34	34..	B34..11	Ca female breast					medr_tumor;tumor	cancer	breast	breast	B34..11	45054	341
3	34	340	340	B340.00	Malignant neoplasm of nipple and areola of female breast					tumor	cancer	breast	breast	B340.00	379	
3	34	340	3400	B340000	Malignant neoplasm of nipple of female breast					tumor	cancer	breast	breast	B340000	149	1
3	34	340	3401	B340100	Malignant neoplasm of areola of female breast					tumor	cancer	breast	breast	B340100	28	
3	34	341	341	B341.00	Malignant neoplasm of central part of female breast					tumor	cancer	breast	breast	B341.00	162	
3	34	342	342	B342.00	Malignant neoplasm of upper-inner quadrant of female breast					tumor	cancer	breast	breast	B342.00	231	
3	34	343	343	B343.00	Malignant neoplasm of lower-inner quadrant of female breast					tumor	cancer	breast	breast	B343.00	155	
3	34	344	344	B344.00	Malignant neoplasm of upper-outer quadrant of female breast					tumor	cancer	breast	breast	B344.00	906	
3	34	345	345	B345.00	Malignant neoplasm of lower-outer quadrant of female breast					tumor	cancer	breast	breast	B345.00	188	
3	34	346	346	B346.00	Malignant neoplasm of axillary tail of female breast					tumor	cancer	breast	breast	B346.00	83	
3	34	347	347	B347.00	"Malignant neoplasm, overlapping lesion of breast"					tumor	cancer	breast	breast	B347.00	22	
3	34	34y	34y.	B34y.00	Malignant neoplasm of other site of female breast					tumor	cancer	breast	breast	B34y.00	72	
3	34	34y	34yz	B34yz00	Malignant neoplasm of other site of female breast NOS					tumor	cancer	breast	breast	B34yz00	57	
3	34	34z	34z.	B34z.00	Malignant neoplasm of female breast NOS					tumor	cancer	breast	breast	B34z.00	10647	46
3	35	35	35..	B35..00	Malignant neoplasm of male breast		Cancer	Breast	Male Breast	tumor	cancer	breast	breast	B35..00	579	11
3	35	35z	35z.	B35z.00	Malignant neoplasm of other site of male breast					tumor	cancer	breast	breast	B35z.00	6	
3	35	35z	35zz	B35zz00	Malignant neoplasm of male breast NOS					tumor	cancer	breast	breast	B35zz00	43	1
3	3y	3y.	3y..	B3y..00	"Malig neop of bone, connective tissue, skin and breast OS"					tumor	cancer	na	na	B3y..00	43	
3	3z	3z.	3z..	B3z..00	"Malig neop of bone, connective tissue, skin and breast NOS"					tumor	cancer	na	na	B3z..00	57	1
4	4	4..	4...	B4...00	Malignant neoplasm of genitourinary organ		Cancer	Genitourinary	na	tumor	cancer	na	na	B4...00	1692	6
4	4	4..	4...	B4...11	Carcinoma of genitourinary organ					tumor	cancer	na	na	B4...11	555	21
4	40	40	40..	B40..00	"Malignant neoplasm of uterus, part unspecified"		Cancer	Uterus	Uterus	medr_tumor;tumor	cancer	na	na	B40..00	2960	28
4	41	41	41..	B41..00	Malignant neoplasm of cervix uteri		Cancer	Uterus	Cervix Uteri	medr_tumor;tumor	cancer	na	na	B41..00	6632	50
4	41	41	41..	B41..11	Cervical carcinoma (uterus)					medr_tumor;tumor	cancer	na	na	B41..11	3296	47
4	41	410	410	B410.00	Malignant neoplasm of endocervix					tumor	cancer	na	na	B410.00	263	
4	41	410	410z	B410z00	Malignant neoplasm of endocervix NOS					tumor	cancer	na	na	B410z00	64	3
4	41	411	411	B411.00	Malignant neoplasm of exocervix					tumor	cancer	na	na	B411.00	54	1
4	41	412	412	B412.00	"Malignant neoplasm, overlapping lesion of cervix uteri"					tumor	cancer	na	na	B412.00	18	
4	41	41y	41y.	B41y.00	Malignant neoplasm of other site of cervix					tumor	cancer	na	na	B41y.00	87	
4	41	41y	41y0	B41y000	Malignant neoplasm of cervical stump					tumor	cancer	na	na	B41y000	6	
4	41	41y	41yz	B41yz00	Malignant neoplasm of other site of cervix NOS					tumor	cancer	na	na	B41yz00	50	
4	41	41z	41z.	B41z.00	Malignant neoplasm of cervix uteri NOS					tumor	cancer	na	na	B41z.00	1442	16
4	42	420	420	B420.00	Choriocarcinoma					tumor	cancer	na	na	B420.00	137	1
4	43	43	43..	B43..00	Malignant neoplasm of body of uterus		Cancer	Uterus	Uterus	tumor	cancer	uterus	uterus	B43..00	2984	32
4	43	430	430	B430.00	"Malignant neoplasm of corpus uteri, excluding isthmus"					tumor	cancer	uterus	uterus	B430.00	243	2
4	43	430	4300	B430000	Malignant neoplasm of cornu of corpus uteri					tumor	cancer	uterus	uterus	B430000	8	
4	43	430	4302	B430200	Malignant neoplasm of endometrium of corpus uteri					medr_tumor;tumor	cancer	uterus	uterus	B430200	6024	38
4	43	430	4302	B430211	Malignant neoplasm of endometrium					tumor	cancer	uterus	uterus	B430211	237	
4	43	430	4303	B430300	Malignant neoplasm of myometrium of corpus uteri					tumor	cancer	uterus	uterus	B430300	26	
4	43	430	430z	B430z00	Malignant neoplasm of corpus uteri NOS					tumor	cancer	uterus	uterus	B430z00	53	1
4	43	431	4310	B431000	Malignant neoplasm of lower uterine segment					tumor	cancer	uterus	uterus	B431000	10	
4	43	431	431z	B431z00	Malignant neoplasm of isthmus of uterine body NOS					tumor	cancer	uterus	uterus	B431z00	6	
4	43	432	432	B432.00	Malignant neoplasm of overlapping lesion of corpus uteri					tumor	cancer	na	na	B432.00	23	
4	43	43y	43y.	B43y.00	Malignant neoplasm of other site of uterine body					tumor	cancer	uterus	uterus	B43y.00	70	
4	43	43z	43z.	B43z.00	Malignant neoplasm of body of uterus NOS					tumor	cancer	uterus	uterus	B43z.00	409	5
4	44	44	44..	B44..00	Malignant neoplasm of ovary and other uterine adnexa		Cancer	Ovary	Ovary	tumor	cancer	ovary	ovary	B44..00	401	17
4	44	440	440	B440.00	Malignant neoplasm of ovary					medr_tumor;tumor	cancer	ovary	ovary	B440.00	9170	207
4	44	440	440	B440.11	Cancer of ovary					medr_tumor;tumor	cancer	ovary	ovary	B440.11	9214	254
4	44	441	441	B441.00	Malignant neoplasm of fallopian tube					tumor	cancer	na	na	B441.00	140	5
4	44	44y	44y.	B44y.00	Malignant neoplasm of other site of uterine adnexa					tumor	cancer	na	na	B44y.00	10	
4	45	45	45..	B45..00	Malig neop of other and unspecified female genital organs		Cancer	Vagina / Vulva	Vagina / Vulva	tumor	cancer	na	na	B45..00	462	4
4	45	450	450	B450.00	Malignant neoplasm of vagina					tumor	cancer	na	na	B450.00	269	7
4	45	450	450z	B450z00	Malignant neoplasm of vagina NOS					tumor	cancer	na	na	B450z00	31	
4	45	451	451	B451.00	Malignant neoplasm of labia majora					tumor	cancer	na	na	B451.00	41	
4	45	451	4510	B451000	Malignant neoplasm of greater vestibular (Bartholin's) gland					tumor	cancer	na	na	B451000	17	
4	45	451	451z	B451z00	Malignant neoplasm of labia majora NOS					tumor	cancer	na	na	B451z00	13	
4	45	452	452	B452.00	Malignant neoplasm of labia minora					tumor	cancer	na	na	B452.00	19	
4	45	454	454	B454.00	Malignant neoplasm of vulva unspecified					tumor	cancer	na	na	B454.00	1493	21
4	45	454	454	B454.11	Primary vulval cancer					tumor	cancer	na	na	B454.11	161	
4	45	45X	45X.	B45X.00	Malignant neoplasm/overlapping lesion/feml genital organs					tumor	cancer	na	na	B45X.00	17	
4	45	45y	45y.	B45y.00	Malignant neoplasm of other specified female genital organ					tumor	cancer	na	na	B45y.00	11	
4	45	45z	45z.	B45z.00	Malignant neoplasm of female genital organ NOS					tumor	cancer	na	na	B45z.00	61	
4	46	46	46..	B46..00	Malignant neoplasm of prostate		Cancer	Prostate	Prostate	medr_tumor;tumor	cancer	prostate	prostate	B46..00	109044	1403
4	47	47	47..	B47..00	Malignant neoplasm of testis		Cancer	Testis	Testis	tumor	cancer	na	na	B47..00	2461	5
4	47	470	4702	B470200	Seminoma of undescended testis					tumor	cancer	na	na	B470200	227	
4	47	471	4710	B471000	Seminoma of descended testis					tumor	cancer	na	na	B471000	1412	1
4	47	471	4711	B471100	Teratoma of descended testis					tumor	cancer	na	na	B471100	675	2
4	47	47z	47z.	B47z.00	Malignant neoplasm of testis NOS					tumor	cancer	na	na	B47z.00	1115	
4	47	47z	47z.	B47z.11	Seminoma of testis					tumor	cancer	na	na	B47z.11	1703	1
4	48	48	48..	B48..00	Malignant neoplasm of penis and other male genital organs					medr_tumor;tumor	cancer	na	na	B48..00	457	2
4	48	480	480	B480.00	Malignant neoplasm of prepuce (foreskin)					tumor	cancer	na	na	B480.00	47	
4	48	481	481	B481.00	Malignant neoplasm of glans penis					tumor	cancer	na	na	B481.00	129	1
4	48	482	482	B482.00	Malignant neoplasm of body of penis					tumor	cancer	na	na	B482.00	47	1
4	48	483	483	B483.00	"Malignant neoplasm of penis, part unspecified"					tumor	cancer	na	na	B483.00	239	3
