RC	RN
da	Phenobarbital
w0	Phenobarbital
Hh	Phenothiazine Screen
UP	Phenotype Comments
oj	Phensuximide
UL	Phenylalanine Comments
cB	Phenytoin
Oa	Phenytoin % Bnd
G8	Phone Date
d0	Phos Ur Random
dP	Phos Urine
dQ	Phos Urine
dR	Phos Urine
wD	Phospholipid Antibody Panel
cm	Phosphorus
S2	Pigment
QM	Pigment A
Dw	Pine nut
Dx	Pine nut
tg	Pinworm Prep:
Rb	Pip/Tazo
Rw	Piperacillin
zb	Pistachio
zc	Pistachio
Sj	Pitting Colony
YP	Placental Isoenzyme
SJ	Plate Date
SK	Plate Time
pl	Platelets
PC	Plt Comment
lI	Pneumococcal Ab IgG
ab	Polio Type 2, Titer
ac	Polio Type 3, Titer
aa	Poliovirus 1-3 (CF)
HG	Poly AHG (DAT)
Ox	Poly B
i0	Polyethylene Debris
Ll	Pop. Rsk, Spina Bifida
M6	Porphobilinogen
nn	Porphobilinogen
fS	Porphobilinogen 24 hr Ur
jo	Porphyrin Scrn
pI	Porphyrins, 24 hr Feces
of	Porphyrins, Fractionation
lv	Porphyrins,UR,24HR
no	Porphyrins,UR,Random
4F	Pos HAS Worklist only
6N	Pos HIG Worklist only
30	Posaconazole
sY	Positive Cultures
Bf	Post-Wash Volume
cb	Potassium
RF	Potassium POCT
nf	Potassium Urine
ng	Potassium Urine
1M	Potassium, WB
qj	Potassium, WB
Aw	Potassium- BF:
hk	Potassium-Dialysate
rR	Prader-Willi
ru	Prader-Willi D15S10 probe
rZ	Prader-Willi FISH analysis
rt	Prader-Willi/SNRPN probe
KQ	Pre or Post Vaccine?
A6	Pre-Wash Volume
gi	Prealbumin
MX	Prealbumin,CSF
nZ	Pregnanetriol Urine
pP	Pregnenadiol, 24 Hr Urine
jE	Prelim 1
ja	Prelim 1
jx	Prelim 1
rB	Prelim 1
sj	Prelim 1.......:
jF	Prelim 2
jb	Prelim 2
jy	Prelim 2
jG	Prelim 3
jc	Prelim 3
jz	Prelim 3
jC	Prelim Report
sk	Preliminary 2
sm	Preliminary 4
Hl	Preliminary Results
Nm	Preliminary results
KZ	Preservative
Hm	Presumptive ID-Other Drug
gF	Presumptive ID:
cO	Prim LD Date
cP	Prim LD Time
cQ	Prim ND Date
cR	Prim ND Time
cN	Primidone
mb	Print Microbiology Label?
xp	Prior Therapy/Transplant
C7	Prior Therapy:
3S	Pro/Creat Ratio
c9	Procain + NAPA
j8	Procain + NAPA
c4	Procain LD Date
kD	Procain LD Date
c5	Procain LD Time
kE	Procain LD Time
c6	Procain ND Date
kF	Procain ND Date
c7	Procain ND Time
kG	Procain ND Time
c3	Procainamide
iZ	Procainamide
j6	Procainamide
SM	Procedure
FN	Progesterone
A8	Progression
AQ	Progressive Motility
Bh	Progressive Motility
lk	Proinsulin, Plasma
fU	Prolactin
nF	Propafenone (Rhythmol)
nG	Propoxyphene, GCMS, Serum
1E	Propoxyphene:
gr	Propoxyphene:
mH	Propranolol
nk	Prot Ur Random
B9	Protein
Zw	Protein
uB	Protein
uk	Protein
ZO	Protein C
aG	Protein S
nl	Protein Urine
nm	Protein Urine
oa	Protein Urine
rT	Protein Urine
rV	Protein Urine
rU	Protein mg/interval
AG	Protein, BF
AF	Protein, CSF
Hd	Protein, CSF
Xa	Proteinase 3 Ab
08	Protime
Aa	Protime
Ue	Protime
Uf	Protime
pU	Protoporphyrin, Free
nS	Protriptyline
9K	Purifier Source
bN	Purkinje Cell Ab
Xh	Pyridinium Cross Links
oL	Pyruvate Kinase
ai	Q Fever IgG, Phase II
aj	Q Fever IgM, Phase I
ak	Q Fever IgM, Phase II
ah	Q Fever Phase I & II
5c	QC Conjugated Bili VITROS
2Q	QC Hep B Confirm
5u	QC Unconjugated Bili VITROS
Rn	Quadferm
Ie	Quant Hepatitis OD
dv	Quin LD Date
kT	Quin LD Date
dw	Quin LD Time
kU	Quin LD Time
dx	Quin ND Date
kV	Quin ND Date
dy	Quin ND Time
kW	Quin ND Time
du	Quinidine
j5	Quinidine, Serum
Hf	RA Factor, B.Fluid
Vp	RAPID ANA
Zh	RBC
rc	RBC
1o	RBC /uL
G2	RBC Folate,Corr
qw	RBC Fragility
mp	RBC Morphology
BD	RBC's / cu mm
uW	RBC/HPF
ur	RBC/HPF
rW	RDW-SD
jV	RF Titer
HJ	RHIG Component Disposition
og	RI Autoantibody Test
nw	RI(T)
jS	RPR Screen
jT	RPR Titer
gT	RR
v5	RR
Qm	RSV
vT	RSV
jh	RSV (Virus)
Qi	RSV Screen
Ej	RSV Source
Ek	RSV/R
k2	RVVT Control
K1	RVVT Patient
nK	Rabies Virus Antibody
qg	Race
tZ	Rapamycin (Sirolimus)
bs	Desmethylclomipramine
hu	DiGeorge/VCF
LW	Diagnosis
KI	Diagnosis of Patient
mZ	Diazepam
sW	Difco Loading Time
DC	Diff Comment
a0	Dig LD Date
cZ	Dig LD Date
c0	Dig LD Time
c1	Dig ND Date
c2	Dig ND Time
XO	Digitoxin
cY	Digoxin
Y5	Dihydrotestosterone
aO	Diphtheria Antibody
co	Direct Bili
X5	Direct Bili Neonatal
HF	Direct Coombs(DAT)
Uv	Direct FOX (18-20 I)
Vr	Direct Germ Tube
If	Direct LDL Chol
KU	Disease? of Patient
uY	Disopyramide (Norpace)
PM	Dnase
Np	Dockweed
Nq	Dockweed
NS	Dog Dander
NR	Dog dander
dL	Donath Landsteiner:
A5	Donor Number
Yz	Dopamine
Xx	Dopamine 24 Hr Urine
=E	Doripenem
Ut	Doripenem
5X	Dosage:
IP	Down Syndrome Risk
Lc	Downs Risk Flag
bv	Doxepin
5M	Doxycycline
FF	Drug
FG	Drug
p8	Drug Expanded Sedative
Hj	Drug Requested
2I	Drug expected:
2K	Drug identified:
5W	Drug:
zB	Duck Feathers
vf	Dummy A1c no.1
vg	Dummy A1c no.2
sh	E Coli 0157:H7.:
sJ	E#
Si	E-Test
aL	E. histolytica Ab, IHA
tN	E.R. Drug Screen billing item
Xg	EBNA IgG Ab
Xe	EBV Capsid IgG Ab
Xd	EBV Capsid IgM Ab
Xf	EBV EA (D) Ab IgG Ab
XI	EBV Heterophil IgM Ab
Dp	EBVCAG QC
Dh	EBVCAM QC
Dj	EBVEAG QC
Dg	EBVHM QC
Di	EBVNAG QC
1q	EC/uL
=e	EC0157 LATEX
yX	EGFR BY PCR
xN	EGFR Fish
b9	EH Scrn Status
zH	EML-ALK Lung
AS	EPI's
34	ESBL
r6	ESBL CAZ/CAZ-CL
r4	ESBL CFT/CFT-Cl
6E	ETHNICITY:
JP	Early Reminder
lS	Echinococcosis Ab IgG
pF	Echinococcus IgG Ab WB
Nz	Egg white
O0	Egg white
y9	Egg yolk
za	Egg yolk
N9	Elm tree
wy	Elm tree
lb	Encainide
g3	End Tidal CO2
va	End Tidal CO2
wx	Endomysial AB IGA Titer
zL	Endomysial AB IGA reflx Titer
aT	Endomysial Ab IgA Titer
Mq	English Plantain weed
Mr	English Plantain weed
2G	Entamoeba Histolytica AB
ou	Entamoeba histolytica Ag
rA	Enterovirus Culture:
Qj	Enterovirus IFA
Vj	Enterovirus RNA by PCR
8C	Enterovirus,CSF
=4	Enzyme Detection
Bx	Eos's Counted
ut	Epi
Yx	Epinephrine
0R	Ertapenem
Rg	Erythromycin
ZM	Erythropoietin
kY	Erythropoietin
PN	Esculin
T2	Estimated GFR
kh	Estradiol
rs	Estradiol
pZ	Estradiol/Proges Recptr
IL	Estriol (uE3 ng/mL)
IM	Estriol MoM
aJ	Estriol, Serum
lT	Estrogen Fractionation
lU	Estrogen, Total 24 Hr Ur
WL	Estrogens Fractionated
Z2	Estrogens Total, Serum
Y3	Estrone, Serum
Rh	Ethambutol
Vn	Ethanol Confirm (Urine)
XP	Ethosuximide
yh	Exon 12, 13 Reflex MPL
KK	Exposure Date
xd	Extended Diff
sn	FA Stain.......:
P0	FA Strep Screen
6H	FAMILY HISTORY?:
gR	FIO2
xE	FISH TO REF LAB?
6U	FISH,Interphase
Lz	FK506 (Tacrolimus)
1j	FL
1k	FL2
r8	FOX (6-21 R)
f5	FSH
rI	FTA
ks	FTA (Hearing Loss)
fY	FTI
ve	Factor VII Act. Comment
vd	Factor VII Activity
Eo	Factor VIII Activity
fC	Fasting Glucose
fE	Fasting Glucose
fm	Fasting Glucose
fr	Fasting Glucose
1P	Fasting status:
tt	Fatty Acids
RA	Fax to Epidemiology
qF	Fecal Electrolytes
VV	Fecal Fat Qual
tp	Fecal Leukocytes
mu	Fecal Lipids,Total
nJ	Fecal Trypsin Screen
f6	Felbamate
CW	Fentanyl:
ej	Ferritin
I7	Fetal Hemoglobin Screen
HK	Fetal-Maternal Hemorrhage Scr.
Af	Fibrinogen
F0	Final
jD	Final Report
sw	Final Report
sf	Final Report...:
jH	Final Results:
be	Flecainide
QY	Flourochrome
xY	Flu A,H1N1,B PCR:
15	Fluconazole
Yv	Fluid HCT
ov	Fluoride, Plasma
lV	Fluoride, Random Urine
bz	Fluoxetine, Serum
Gs	Folate
f2	Folate
VW	Folate, RBC
GG	For Neogen Worklist only
oF	Formic Acid, Urine
lE	Fractionated Amylase
CC	Free Kappa Light Chains
CA	Free Lambda Light Chains
G4	Free Phenytoin
Xy	Free T3
Gu	Free T4
i8	Freeze Bug
na	Fructosamine
AY	Fructose
1i	Fsc
1l	Fscw
2k	Ftl Fibronectin
vx	Fungus Billing
vo	Fungus Source
mM	Furosemide (Lasix)
ZE	G-6-PD, RBC
hN	GAD-65 Ab
pt	GAL Evaluation
I0	GAL Results
4a	GAMMA INTERFERON TB
9M	GBM QC
05	GBS
Gc	GC Culture
gc	GC Culture
sc	GC Culture.....:
Nj	GC/Chlam Probe
9E	GFR AA CKD-EPI
0a	GFR AfrAmer
9F	GFR nonAA CKD-EPI
0b	GFR nonAfrAmer
V9	GLU-QUAD
aY	GM1 IgM Ab
LF	GTT urine testing location
px	GUT Evaluation
I2	GUT Results
bm	Gabapentin
iC	Gamma
iR	Gamma
cy	Gamma GT
Me	Gamma Globulin
aX	Ganglioside Ab
0Z	Gas
YU	Gastrin, Fasting
5L	Gatifloxacin
HN	Generic Stat Test
sb	Genital Culture
GR	Genomic Array
6K	Genotype results:
6P	Genotype results:
6k	Genotype results:
yb	Genotype results:
dp	Gent LD Date
dq	Gent LD Time
dr	Gent ND Date
ds	Gent ND Time
hl	Gent Random
nx	Gent Tr LD Date
ny	Gent Tr LD Time
nz	Gent Tr ND Date
oc	Gent Tr ND Time
nA	Gent next dose time
Ri	Gentamicin
do	Gentamicin Peak
S7	Gentamicin Synergy
dt	Gentamicin Tr
Pn	Germ Tube
IB	Gest. age based on:
GB	Gestation (weeks)
KM	Gestational Age
IV	Gestational Age-Days
IA	Gestational Age-Weeks
th	Giardia lamblia EIA
aH	Gliadin Ab IGA
aI	Gliadin Ab IgG
7E	Glu, Baseline
cg	Glu, Fasting
ql	Glu, Nonfast, WB
ch	Glu, Nonfasting
qS	Glu, Nonfasting
TL	Glu, WB by Meter
7F	Glu,15 Min
7G	Glu,30 Min
7H	Glu,45 Min
7I	Glu,60 Min
YM	Glucagon, Plasma
Za	Glucose
Zx	Glucose
fA	Glucose
uE	Glucose
ul	Glucose
fz	Glucose (Timed)
oM	Glucose Phos Isomerase
dT	Glucose Urine
dU	Glucose Urine
fl	Glucose Urine
Zz	Glucose by dipstick for Reduc
Ay	Glucose, CSF
dS	Glucose, Urine
1S	Glucose,Blood
Az	Glucose- BF..:
ij	Glyco Fract [X]
il	Glyco Hgb
Sg	Gonococcus Confirmation
RD	Good Growth
Sp	Good Growth
yW	Goose down
yY	Goose down
zC	Goose/Duck Feathers/Down
R5	Gram Stain
sd	Gram Stain Comment
Mi	Gram Stain.....:
o3	Growth Hormone Bind Pro
5S	Grp B Strep DNA,PCR
zy	H Pylori Ab IgM
sA	H influenzae type B
sK	H.influenzae Type B Ag
aP	H.influenzae Type B IgG
Xb	H.pyl IgG
0T	H2S
yU	HAL
WD	HB-2
aQ	HBV Viral Load bDNA
IN	HCG (IU/mL)
IO	HCG MoM
ka	HCG Quant STAT
fR	HCG Serum Qualatative
b0	HCO3
g7	HCO3
gN	HCO3
ie	HCO3
rh	HCV Ab, RIBA
lZ	HCV Qual RT-PCR/ALT
CD	HCV RNA
gG	HDL Chol
dF	HDL Non-Fasting
2s	HEP B DRUG RESISTANCE GENO
UT	HER-2/neu (c-erb B2)
pw	HGB Evaluation
HS	HGB Results
Fq	HGH
7L	HGH, Baseline
7S	HGH,105 Min
7T	HGH,120 Min
7U	HGH,135 Min
7M	HGH,15 Min
7V	HGH,150 Min
7N	HGH,30 Min
7O	HGH,45 Min
7P	HGH,60 Min
7Q	HGH,75 Min
7R	HGH,90 Min
EJ	HHb
3C	HIV 1/2 Scrn S/CO
oB	HIV 2 Serology
lp	HIV-1 DNA QL(PCR) Eval
rJ	HIV-1 Genotyping
q5	HIV-1 Western Blot
ml	HIV-1 p24 Antigen
b7	HIV-1/2 OD Panel
b8	HIV-1/2 Screen
po	HIV-1/2 Western Blot
q3	HIV-1/2 Western Blot
q4	HIV-2 Western Blot
Hv	HIV1 RNA copies/mL
Hu	HIV1 RNA log copies/mL
lo	HLA Antigen B5
Lw	HLA B27
zP	HLA Typing for Celiac Disease
1U	HOB/HBA Confirm
0U	HP2
x0	HPV DNA
06	HPV DNA, High Risk, CX
hK	HSV 1 DNA
hL	HSV 2 DNA
hJ	HSV Ab Type 1&2, DNA
aM	HSV-1 IgG Ab
Ds	HSV-2 IgG Ab
Df	HSVG-1 QC
Dd	HSVG-2 QC
9A	HTLV 1&2 WESTERN BLOT
9B	HTLV 1&2 WESTERN BLOT
lW	Haloperidol, Serum
BU	Hapt Age Reflex
ge	Haptoglobin
N3	Hazel Nut Tree
N4	Hazel Nut Tree
zh	Hazel nut tree
zi	Hazel nut tree
ii	HbA1c
xa	Hct POCT
lB	Heavy Metal Group, Blood
XV	Heavy Metals Panel
hz	Heinz Bodies
XZ	Helicobacter pylori IgG
NZ	Helminth. halodes mold
Na	Helminth. halodes mold
ht	Hematocrit
qm	Hematocrit
1N	Hematocrit, Whole Blood
hb	Hemoglobin
qn	Hemoglobin
T9	Hemoglobin comments
gu	Hemoglobin, Plasma
1O	Hemoglobin, Whole Blood
K7	Hemoglobin-Wash.NB Screen
8H	Hemolysis Index
uR	Hemosiderin
3A	Hep A AB Tot S/CO
1X	Hep A Ab IgM S/CO
1W	Hep A Total OD
3D	Hep B Ab IgM S/CO
3B	Hep B CR Ab S/CO
Em	Hep B Core AB IgM
2M	Hep B Core Ab IgM Specific OD
GN	Hep B Employ Status
Id	Hep B Surface Ab (Emp Scrn)
I9	Hep B Surface Ab, Quant
3E	Hep C Ab S/CO
lX	Hep C Genotyping
aK	Hep C Quant RNA
zI	Hep C RNA log IU/mL
4A	Heparin Enox LMW
Ae	Heparin Ther?
CE	Heparin Ther?
Uh	Heparin Ther?
jk	Hepatitis A Ab, Igm
3G	Hepatitis A Ab, Total
j9	Hepatitis A Ab, Total
jl	Hepatitis B AB
Lt	Hepatitis B Core AB
En	Hepatitis B Core Ab, IgM
El	Hepatitis B Core Ab, Total
JF	Hepatitis B Core Ab, Total
jj	Hepatitis B Surface Ab
ji	Hepatitis B Surface Ag
jm	Hepatitis B Surface Ag(OB)
kd	Hepatitis BE Antibody
ke	Hepatitis BE Antigen
ra	Hepatitis C Ab
kc	Hepatitis C Antibody
LQ	Hepatitis C S/CO
3L	Hepatitis D IgM Ab
Z4	Hepatitis Delta Ab
3J	Hepatitis Delta Ag
Ji	Hepatitis OD Panel
LK	Hepatitis OD Panel
LL	Hepatitis OD Panel
LM	Hepatitis OD Panel
LN	Hepatitis OD Panel
LO	Hepatitis OD Panel
LP	Hepatitis OD Panel
LR	Hepatitis OD Panel
LS	Hepatitis OD Panel
bK	Herpes Ab IgM
bM	Herpes Ab IgM, Type 2
jd	Herpes Final
Qg	Herpes IFA
6C	Herpes IgM Titer
aR	Herpes Simplex Ab IgM
mg	Herpes Simplex Virus, PCR
yZ	Herpes Simplex by PCR CSF
7c	Hexagonal PL PTT
q1	Hgb 1st Spec Eval
HT	Hgb 1st Specimen
HU	Hgb 2nd Specimen
iv	Hgb A2:
iq	Hgb A:
it	Hgb C:
iu	Hgb E:
ir	Hgb F:
yF	Hgb POCT
HV	Hgb Repeat
is	Hgb S:
QG	Hippurate
oE	Hippuric Acid Urine
la	Histamine, 24 Hr
hM	Histamine, 24 hr Urine
mq	Histamine, Plasma
ZR	Histone Ab, Qual
Oi	Histoplasma Ab Mycelial Ag
OM	Histoplasma Ab Panel
Oh	Histoplasma Ab Yeast Ag
wd	Histoplasma Ag Urine
3T	Homocysteine
Gb	Homocysteine
nW	Homovanillic Acid
CS	Honey Bee
CT	Honey Bee
YA	Human Insulin Antibody
pX	Human Placental Lactogen
uv	Hyal Casts
qG	Hydroxyproline, Total 24Hr
Zl	Hyln Casts
3Z	Hyperaldost Screen
uT	ID (MD)
R7	ID CARD
gA	ID:
gl	ID:
gt	ID:
gv	ID:
gw	ID:
gx	ID:
gz	ID:
Gy	ID: Barbiturates
Gx	ID: Amphetamines
Gz	ID: Cannabinoids
Lu	ID: Cannabinoids
H0	ID: Cocaine
Lv	ID: Cocaine
H5	ID: Methadone
H6	ID: Organic Drug Base
4I	ID: Oxycodone
H1	ID: Phencyclidine
H2	ID: Propoxyphene
8A	ID:THC by GC/MS
II	IDDM
yV	IGE CONCENTRATION
YF	IGF Binding Protein-3
G3	IGF-1
4C	IGF-1 Referred
a7	IGG Subclasses 1,2,3,4
Sr	IMO
VG	IND-MOT
6G	INDICATION:
2o	INH Inhibin A
09	INR
Ac	INR
Ug	INR
GE	INTERPRETATION
Sv	IPA
VH	IPA-MOT
5U	IRIS Counts QC
qH	Ibuprofen
8I	Icterus Index
f8	IgA
hs	IgA, Secretory
ga	IgE
f7	IgG
a8	IgG 2
a9	IgG 3
aA	IgG 4
HH	IgG AHG (DAT)
KX	IgG Index
Mj	IgG Index,CSF
aB	IgG Serum
KW	IgG Synthesis Rate
qR	IgG Synthesis Rate
hp	IgG, Body Fluid
Mh	IgG, CSF
Mg	IgG, Serum
f9	IgM
hq	IgM, Body Fluid
e7	Imip + Desip
e8	Imip LD Date
e9	Imip LD Time
fa	Imip ND Date
fb	Imip ND Time
Pq	Imipenem
e6	Imipramine
ki	Imipramine, Serum
v0	Immunocomprimised:
1m	Imp
Ni	Impression:
pc	Impression:
QH	India Ink
tC	India Ink Mount
P1	Indole
rK	Influ Flu A
rL	Influ Flu B
vO	Influenza A
vP	Influenza B
OX	Influenza Group
OY	Influenza Virus Ab type B
hY	Influenzae A
Pv	Influenzae A virus
rG	Influenzae B
P4	Influenzae B virus
WR	Inhibin A (pg/mL)
XC	Inhibin A MoM
Ao	Inhibitor Screen:
tf	Insect Identification
W3	Insect Venom IgG
C6	Instrument
YB	Insulin Ab Titer
ow	Insulin, 5 specimens
Y8	Insulin, Fasting
Y2	Insulin, Free
Y7	Insulin, total
F9	Intensity
2p	Interop PTH
0i	Interpretation
22	Interpretation
2q	Interpretation
IY	Interpretation
IZ	Interpretation
Lp	Interpretation
iK	Interpretation
qX	Interpretation
uX	Interpretation
1A	Interpretation:
Ge	Interpretation:
L$	Interpretation:
Ln	Interpretation:
Tm	Interpretation:
Vb	Interpretation:
ix	Interpretation:
qf	Interpretation:
Fv	Interval
dH	Interval
pJ	Interval
r0	Interval
YO	Intestine Isoenzyme
YZ	Intrinsic Factor Block Ab
Ws	Iodine 24 hr. Urine
ox	Iodine Inorganic
XR	Ionized Calcium
k4	Ionized Calcium
ri	Ionized Calcium
ef	Iron
mI	Iron, 24 Hour Urine
me	Iron, Liver Tissue
kt	Iron/R
ZQ	Islet Cell Ab
HL	Isohemagglutinin Titer
FH	Isolate
Rk	Isoniazid
mj	Isoniazid (INH), Serum
mL	Isopropanol, Blood
lr	Isospora exam
16	Itraconazole
vc	Itraconazole
ym	JAK2 Exons 12, 13 Qual Reflex
yn	JAK2 Qual Mutation Analysis
yj	JAK2 Reflex Exon 12,13 & MPL
ZT	Jo-1 Ab
Mx	June grass
My	June grass
ne	K Urine Random
zN	KRAS,ONLY
Rl	Kanamycin
QC	Kanamycin(100ug)
vh	Kaolin Clotting Time
6b	Kappa/Lambda
wh	Kappa/Lambda Urine
17	Ketoconazole
Zb	Ketones
Zr	Ketones
un	Ketones
fc	Ketones Undil
RN	Kirby-Bauer
mJ	L. pneumonphilia IgM
VB	LAC-QUAD
24	LAP
hd	LAP High
he	LAP Negative
hy	LAP Normal
ls	LAP Score
cA	LD
lA	LD Isoenzymes
AH	LD- BF.......:
gH	LDL Chol
pv	LEU Evaluation
HY	LEU Results
f4	LH
Ss	LIA
By	LMN's Counted
mK	LSD Quant Ur
sG	LSD Screen,Reflex Quant
Qd	Lab (Fungus)
Qe	Lab (Mold)
ep	Lactate Art
yr	Lactate POCT
en	Lactate Plasma
6R	Lactate, WB
Mt	Lamb's Quarter(Goose foot)
Mu	Lamb's Quarter(Goose foot)
fN	Lamotrigine
EB	Last Dose Date
EC	Last Dose Time
rN	Latex
zw	Latex
pb	Lead - Blood
XY	Lead, 24 Hr Urine
mN	Lead, 24 Hr Urine
tY	Legionella DFA
vV	Legionella Ur Ag
W2	Leptin
uC	Leucocytes
uf	Leucocytes
B5	Leukocytes
Zu	Leukocytes
ue	Leukocytes
Ve	Levetiracetam (Keppra)
Rm	Levofloxacin
zJ	Limulus Amebocyte Lysate
sO	Linezolid
8L	Lipemia Index
XM	Lipids Total Stool
aF	Lipoprotein A (Lp(a))
mi	Lipoprotein Electro
ev	Lith LD Date
ew	Lith LD Time
ex	Lith ND Date
ey	Lith ND Time
eu	Lithium
YR	Liver Isoenzyme
am	Liver Kidney Mic Titer
al	Liver Kidney Microsomal
S9	Lomefloxacin
SA	Loracarbef
qM	Lorazepam
7a	Lupus Inhibitor Interpretation
q2	Lyme Ab West Blot
kr	Lyme Disease Serology
Bw	Lymph's Counted
PT	Lysine
WA	M-Pprotein
HO	M-protein
mm	M. pneumoniae IgG Ab
kX	M. pneumoniae IgM Ab
hT	MAC/SORB-S
mP	MAG Antibody, ELISA
VA	MAL-QUAD
P2	MAV Probe
0V	MAVPR
cI	MB Index
cG	MB-Index
LI	MB-Index BKC
Oz	MCAT
mh	MCH
mc	MCHC
mv	MCV
Q1	MDASE
Iw	ME 6-Monoacetyl Morphine
J6	ME Acetone
JD	ME Age at Time of Death
In	ME Amphetamine Confirm
Im	ME Amphetamine Screen
Iy	ME Barbituate Screen
Iz	ME Benzodiazepines:
Ir	ME Benzoylecgonine
J3	ME Blood Organic Base
J1	ME Cannabinoids:
J8	ME Carbon Monoxide
JK	ME Cocaethylene
Ip	ME Cocaine Screen
Iv	ME Codeine
JC	ME Date of Death
1C	ME Diphenhydramine QC
Is	ME Ecgonine Methyl Ester
J4	ME Ethanol
Ix	ME Free Morphine
1G	ME Hydrocodone QC
J7	ME Isopropanol
1D	ME Methadone QC
J5	ME Methanol
LG	ME Miscellaneous
1F	ME Nortriptyline QC
JI	ME Number
It	ME Opiates Screen
1H	ME Oxycodone QC
Iq	ME Quant Cocaine
Io	ME Quant Metamphetamines
JG	ME Referring Labs
JB	ME Requesting County
JE	ME Requesting Pathologist
JJ	ME Sample Type (Alcohol)
JH	ME Sedative Screen
JL	ME Specimen Type
Iu	ME Total Morphine
J2	ME Urine Organic Base
1I	ME Verapramil QC
JA	ME Vitreous Fl. Source
Q2	MGP
=m	MIDI
sp	MLS Processed..:
yi	MPL w515 and MPL s505
9L	MPO QC
MV	MPV
6T	MRSA DNA PCR:
Qc	MRSA Screen Plate
l4	MS PURITY
l5	MS TRAY CHECK
Q9	MS-UR7
BY	MTB DNA PCR SPUTUM
P3	MTB Probe
Qb	MTM
RM	MUG
VF	MUG-MOT
Sk	MacKonkey Growth
Du	Macadamia nut
Dv	Macadamia nut
tU	Macroprolactin Screen
cp	Magnesium
om	Magnesium, 24 hr Urine
Ma	Malarial Search
PU	Malonate
fM	Manganese
l6	Manitol Salt
PV	Mannitol
Fn	Manual Fn
NH	Maple(box elder) tree
NI	Maple(box elder) tree
or	Maprotiline
Ld	Mat Age Risk Flag
IF	Maternal Age at Term(Yrs)
IH	Maternal Race
IG	Maternal Weight(lbs)
Mz	Meadow fescue grass
N0	Meadow fescue grass
Dc	MeasIG QC
oA	Meconium Drug Screen
KH	Medications (Patient)
KT	Medications of Patient
vB	Medium for Collection:
Lg	Menstrual History
mQ	Mephenytoin & Metabolite
im	Mephob LD Date
in	Mephob LD Time
io	Mephob ND Date
ip	Mephob ND Time
mS	Meprobamate, Serum
od	Mercury 24 Hr Urine
XX	Mercury, 24 Hr Urine
bq	Mercury, Blood
0M	Meropenem
mn	Mesoridazine
hG	Mesoridazine, Serum
EH	Met Hb
LB	Metanephrine, Frac
kz	Metanephrines Total
Gh	Metanephrines, plasma
2B	Methadone:
gp	Methadone:
7g	Methamphetamine:
Ex	Methemoglobin
Fs	Methotrexate
pC	Methylhippuric Acid
h3	Methylmalonic Acid, Serum
hO	Methylmalonic Acid, Urine
mU	Mexiletine (Mexitil)
SB	Mezlocillin
Ul	Mezlocillin
7D	Micafungin
Ms	Micro Sensitivity
nq	Microalb 24 hr
np	Microalb Screen
VY	Microalb/Creat
Uu	Microbiology
iY	Microglob. B2
R6	Microscan
n4	Microsporidia Detection
Nx	Milk
Ny	Milk
Q3	Minocycline
g1	Minute Volume
v2	Minute Volume
jL	Misc Viral Final
jI	Misc Viral Prelim 1
jJ	Misc Viral Prelim 2
jK	Misc Viral Prelim 3
Ux	Rapid ANA
5T	Rapid HIV Test
R1	Rapid NHID
==	Raw Micro Chemistry
C1	Reason for Referral:
4M	Receipt Date:
H8	Red Cell Unit No. #2
H7	Red cell unit number #1
uK	Reducing Subtances STOOL
GA	Referral Reason
Fc	Referred Test
l	Referred Test
rj	Referred Test
qa	Referring MD:
B7	Reflex Culture
GF	Related Testing
YG	Renin Activity Plasma
tn	Report
to	Report Action
G9	Report Date
vK	Respiratory DFA
vL	Respiratory DFA Panel
sz	Result
td	Result
X4	Result name
6S	Resulting Dr:
Yf	Results
Yh	Results
Yj	Results
k3	Results
tE	Results
tj	Results
tz	Results
qe	Results:
rx	Retic QC RBC-X
ry	Retic QC item RBC-y
lJ	Reticulin IgA Ab
Wn	Reviewed By
HE	Rh Type
jU	Rheumatoid Fac
aZ	Ribosomal P Ab
Pj	Rifampin
h8	Risk of Prostate Cancer
IS	Risk, Open Spina Bifida
qA	Ritalin
jg	Rotavirus
Mv	Rough Pigweed
Mw	Rough Pigweed
aN	Rubella IbM Ab
jn	Rubella IgG Ab
jr	Rubeola IgG Ab
Ht	Rubeola Antibody IGM
KR	Run as Paired Sera?
25	SATELLITING
Q8	SENSI
Oy	SPS
1x	SRC
ZY	SS-A Ab
Zs	SS-B Ab
qb	SSN:
2y	STL OCC BLD, IA OUTREACH
VC	SUC-QUAD
3k	S_FLH
3l	S_FLL
3m	S_FLLW
3n	S_SSC
hX	Sab Sub
Nr	Sage pollen
Ns	Sage pollen
eA	Sal LD Date
eB	Sal LD Time
eC	Sal ND Date
eD	Sal ND Time
ez	Salicylate
Qt	Salm D1
Qs	Salm Vi
oy	Salmonella Antibodies
pf	Sample site
ti	Scabies/Mites Exam:
ZV	Scl-70 Ab, EIA
Nt	Scotch Broom weed
Nu	Scotch Broom weed
ma	Secobarbital, Serum
sr	Sed Rate
XQ	Sedative Screen Expanded
eb	Selenium
pn	Selenium Urine
7j	Semi Quant Opiate2
7k	Semi Quant Opiate3
7m	Semi Quant THC
Sm	Send to State
BT	Sendout Item
4J	Sensitivity Staph
4L	Sensitivity Cath Tip
4K	Sensitivity Sterility Cul
ZP	Serotonin, Blood
nL	Sertraline, (Zoloft)
fT	Serum HCG Quant
