PC	PN
SPR	GRAM STAIN REVIEW SPUTUM
WNR	GRAM STAIN REVIEW WOUND
N02	GRAN NEG ID #2
GBP	GROWTH HORMONE BIND PRO
GHB	GROWTH HORMONE BIND PRO
GHS	GROWTH HORMONE GLU SUPP
RHE	H INFLU B VACCINE STATUS
HIA	H.INFLUENZAE TYPE B AG'S
RHO	HALOPERIDOL
HND	HANDLING FEE
HAP	HAPTOGLOBIN
HAC	HAS POS SAMPLE TO STATE
HZL	HAZELNUT IGE ALLERGEN
RHC	HCG QUANT/REFERRED
QCG	HCG SERUM QUANTITATIVE
CHC	HCG TUMOR MARKER CSF
UCG	HCG URINE
SUG	HCG URINE, SELF REFERRED
HDL	HDL CHOL
RBQ	HEAVY METALS GROUP, BLOOD
RBX	HEAVY METALS PANEL URINE
HNZ	HEINZ BODIES
HEI	HEIRS STUDY
HPA	HELICOBACTER PYLORI IGG
HCT	HEMATOCRIT ONLY
HTG	HEMATOCRIT, BLOOD GAS
HPM	HEME MASTER
P1	HEMOCARE PRODUCT
A1C	HEMOGLOBIN A1C
HGB	HEMOGLOBIN ONLY
RFH	HEMOGLOBIN, PLASMA
HEL	HEMOGLOBINOPATHY WORKUP
DUC	HEMOPHILUS DUCREYI
UHE	HEMOSIDERIN
HAS	HEP A AB, IGM
HAR	HEP A AB,TOTAL
HIG	HEP B CORE AB, IGM
HBC	HEP B CORE AB, TOTAL
HBG	HEP B GENOTYPE
HAB	HEP B SURFACE AB
QHB	HEP B SURFACE AB QUANT
HES	HEP B SURFACE AB(EMP SCR)
HBA	HEP B SURFACE AG
HOB	HEP B SURFACE AG (OB)
HCR	HEP C AB, REFLEX PCR
HCN	HEP C GENOTYPE
HCL	HEP C RNA PCR QUANT
HSC	HEP SCRN FOR MT CLINICIAN
HEP	HEPARIN ASSAY
RB5	HEPARIN PLATELET ANTIBODY
HFP	HEPATIC FUNCTION PANEL
HBM	HEPATITIS B CORE IGM
HBV	HEPATITIS B VIRAL DNA
HBE	HEPATITIS BE ANTIBODY
RBE	HEPATITIS BE ANTIGEN
HDA	HEPATITIS DELTA AG
RHD	HEPATITIS DELTA ANTIBODY
H2C	HER-2/NEU FISH COMMENT
JD	HERPES FINAL
HST	HERPES IGM AB TITER
JB	HERPES PRELIM 2
JC	HERPES PRELIM 3
REA	HERPES SIMPLEX 1&2 IGG
HER	HERPES SIMPLEX CULTURE
HRG	HERPES SIMPLEX IGM
HSV	HERPES SIMPLEX IGM
HSM	HERPES SIMPLEX PCR CSF
HSP	HERPES SIMPLEX VIRUS, PCR
PA1	HGB A1C (PEDIATRIC)
HH	HGB AND HCT
HGP	HIG POS SAMPLE TO STATE
HCC	HIGH SENS CARDIO CRP
RHA	HIPPURIC ACID
RHT	HISTAMINE
RHU	HISTAMINE, URINE 24HR
HMB	HISTOPATH/MICRO SPLIT
BX	HISTOPATHOLOGY
HIP	HISTOPLASMA ANTIBODY
HPG	HISTOPLASMA ANTIGEN
HVF	HIV 1 (IFA)
HVE	HIV 2 (EIA)
HGT	HIV GENOTYPING
HVL	HIV VIRAL LOAD
HWB	HIV-1 WB WITH REFLX HIV-2
HVA	HIV-1/2 SCREEN
HVP	HIV-1/2 AB PRENATAL
HVC	HIV-1/2 WESTERN BLOT
HW2	HIV-2 AB IMMUNOBLOT
RA0	HIV-DNA BY PCR ASSAY
RAT	HLA AB TYPING
RHS	HLA ANTIBODY SCREEN
RHL	HLA B27
RH5	HLA B5
RDR	HLA DR TYPING
HLA	HLA NEW PATIENT WORKUP
RDT	HLA PLATELET XMATCH
HCD	HLA, CELIAC DISEASE
DQW	HLA-DR2/DQW1
RHR	HLA-TYPING RECIPIENT
HOM	HOMOCYSTEINE
HMG	HOMOGENIZATION BILL ONLY
HNB	HONEY BEE IGE ALLERGEN
FFS	HPS FFS (BILL ONLY)
HPC	HPV COTEST HIGH RISK
HPV	HPV DNA, HIGH RISK, CX
HPS	HPV HIGH RISK
HTL	HTLV 1&2 SCRN RFLX WBLOT
HTW	HTLV 1&2 WESTERN BLOT
AN2	HU, YO, RI AB W/REFLEX
RHG	HUMAN GROWTH HORMONE
RPP	HYPER PNEUMONITIS PANEL
RRA	HYPERALDOSTERONISM SCREEN
IGA	IGA
IGE	IGE
IB3	IGF BINDING PROTEIN-3
SOM	IGF-1
IGG	IGG
HIS	IGG SUBCLASS 4
ISP	IGG SUBCLASS PANEL
IGM	IGM
IHC	IHC,HER2 WITH INTERP
IMP	IMIPRAMINE MASTER PANEL
RIM	IMIPRAMINE/REFERRED
IMS	IMMUNOGLOBULINS
IMM	IMMUNOGLOBULINS MASTER
IBF	IMMUNOGLOBULINS, BF MASTR
RI1	IMMUNOLOGY PANEL 1
BC1	INACTIVE BLD PRELIM 1
BC	INACTIVE ORDER BLC
INL	INDERAL (PROPRANOLOL)
LIH	INDICES
FPC	INFLUENZA A,H1N1,B PCR
INF	INFO FOR MSAFP SCREEN
INH	INHIBIN A
INI	INSECT IDENTIFICATION
IVP	INSECT VENOM IGG
POI	INSECTICIDE POISONING
INS	INSULIN
INA	INSULIN ANTIBODIES
I05	INSULIN ARGININE 105 MIN
I20	INSULIN ARGININE 120 MIN
I35	INSULIN ARGININE 135 MIN
I15	INSULIN ARGININE 15 MIN
I50	INSULIN ARGININE 150 MIN
I30	INSULIN ARGININE 30 MIN
I45	INSULIN ARGININE 45 MIN
I60	INSULIN ARGININE 60 MIN
I75	INSULIN ARGININE 75 MIN
I90	INSULIN ARGININE 90 MIN
IAS	INSULIN ARGININE BASELINE
REC	INSULIN TOLERANCE
ISF	INSULIN, FREE
IFN	INTERPHASE FISH
RIF	INTRINSIC FACTOR BLK AB
RIT	IODINE TOTAL
RUI	IODINE, 24 HR URINE
CAI	IONIZED CALCIUM
ICA	IONIZED CALCIUM
ICS	IONIZED CALCIUM "STAT"
TIB	IRON + TIBC
RIR	IRON AND TIBC/REFERRED
IRN	IRON, ER
IRL	IRON, LIVER TISSUE
RIU	IRON, URINE
RA3	ISLET CELL AB
RII	ISOCYANATE IMMUNOASSAY
ISH	ISOHEMAGGLUTININ TITER
ISO	ISONIAZID, SERUM
RIP	ISOPROPANOL
ISS	ISOSPORA EXAM
ITZ	ITRACONAZOLE
JEX	JAK EXON 12,13,REFLEX MPL
J12	JAK2 EXONS 12,13 QUAL
JMP	JAK2 MPL W515, S505 QUAL
JKQ	JAK2 QUAL RFL EX12,13
JKM	JAK2 RFL EX 12,13 AND MPL
JPV	JC POLYOMA VI DNA,QN PCR
JNT	JOINT FLUID CULTURE
JNX	JOINT FLUID CULTURE MASTR
JFG	JOINT FLUID GRAM STAIN
JNS	JOINT FLUID SENSITIVITY
MKL	KAP/LAM LT CH FREE/RATIO
KB	KLEIHAUER BETKE
KOH	KOH PREPARATION
KPR	KPRR DRUG PANEL
KSO	KRAS, ONLY
HCS	KSC ONLY SCREEN HCG
SAA	LAB GUIDE,ASSAULT/ABUSE
LBX	LAB USE TSR
TTX	LAB USE TSR.
LAV	LACTATE PLASMA
LTT	LACTOSE TOLERANCE TEST
LBC	LAMELLAR BODY COUNTS
LTG	LAMOTRIGINE
LTX	LATEX IGE ALLERGEN
LD	LD
LDI	LD ISOENZYME ELECTROPHOR
BLD	LD, BODY FLUID
PB	LEAD - BLOOD
LEA	LEAD, URINE
LGU	LEGIONELLA AG, URINE
RLA	LEGIONELLA ANTIBODY
RB8	LEGIONELLA DFA
LPT	LEPTIN
LAD	LEUKOCYTE ADHESION DEF
ULE	LEUKOCYTE ESTERASE,URINE
KEP	LEVETIRACETAM (KEPPRA)
LIC	LICE EXAM
RLD	LIDOCAINE
P13	LIM WORKUP
AL3	LIMITED INHALENT PANEL
LAL	LIMULUS AMEBOCYTE LYSATE
RLI	LIPASE
RLP	LIPASE
FAS	LIPID FASTING STATUS
LPR	LIPID PANEL, FASTING
LPN	LIPID PANEL,NONFASTING
LSC	LIPID SCREEN
RLE	LIPOPROTEIN ELECTROPHORES
RBP	LIPOPROTEIN ULTRA CENTRIF
LPA	LIPOPROTEIN(A)
LI	LITHIUM
LFT	LIVER FUNCTION PROF
LKM	LIVER/KIDNEY MICROSOME
RA4	LORAZAPAM
RA5	LSD QUANT, UR
LSD	LSD SCREEN UR, REFLEX QNT
LBT	LUPUS BAND TEST
RLU	LUPUS INHIBITOR ANTICOAG
LUP	LUPUS INHIBITOR EVAL
LH	LUTEINIZING HORMONE
LYW	LYME AB WEST BLOT PANEL
LYL	LYME DISEASE AB LATE
LYM	LYME DISEASE ANTIBODY
RI2	LYMPH AG PROLIF ANALYSIS
RL2	LYMPH MIT PROLIF ANALYSIS
RL1	LYMPH SCREEN I
RLZ	LYSOZYME URINE
RLY	LYSOZYME, SERUM
DLY	LYTES-DIALYSATE
MBP	M.TUBERCULOSIS,DNA,PCR
MNA	MACADAMIA NUT IGE ALLERG
MPL	MACROPROLACTIN SCREEN
MG	MAGNESIUM
MGU	MAGNESIUM, URINE
BPC	MALARIA CONFIRMATION
BPM	MALARIA MASTER PANEL
REY	MANGANESE
P15	MANITIOL SALT STAPH WRKUP
DIF	MANUAL DIFFERENTIAL
RA6	MAST PANEL FOOD/MOLD IGE
RMI	MBC**
MDS	MDS BILL CYTOGEN
MED	MECONIUM DRUG SCREEN
RMT	MEPHENYTOIN
MEP	MEPHOBARBITAL/PHENOBARB
RMP	MEPROBAMATE
MEC	MERCURY, BLOOD
MEU	MERCURY, URINE
MET	METANEPHRINES
PME	METANEPHRINES, PLASMA
MES	METHADONE SCREEN
IME	METHADONE URINE CONFIRM
RML	METHANOL, BLOOD
MLU	METHANOL, URINE
MAR	METHARBITAL
MHB	METHEMOGLOBIN
MEX	METHOTREXATE
MAU	METHYLMALONIC ACID UR
MAS	METHYLMALONIC ACID,SERUM
MTP	MICRO TRACKING
UMS	MICROALB/UR CREAT RATIO
UMQ	MICROALBUMIN 24HR URINE
MBS	MICROBIOLOGY SPECIMEN
MSI	MICROSATELLITE INSTABIL
MSP	MICROSPORIDIA, STOOL
MLK	MILK IGE ALLERGEN
MVC	MISC VIRAL CULTURE
JJ	MISC VIRAL PRELIM 2
JK	MISC VIRAL PRELIM 3
RMX	MIXED LYMPHOCYTE CULTURE
MXA	MIXING STUDY, APTT
MXP	MIXING STUDY, PT
MCV	MOLEC CANAVAN DISEASE
CMT	MOLEC CMT PROFILE
C1A	MOLEC CMT1A
C1B	MOLEC CMT1B
CX1	MOLEC CMTX1
MDR	MOLEC DRPLA
MFA	MOLEC FRIEDREICH ATAXIA
MHD	MOLEC HUNTINGTON DISEASE
MKD	MOLEC KENNEDY DISEASE
MEL	MOLEC MITOCHONDRIAL MELAS
MER	MOLEC MITOCHONDRIAL MERRF
NAR	MOLEC MITOCHONDRIAL NARP
SC1	MOLEC SCA1
SC2	MOLEC SCA2
SC3	MOLEC SCA3
SC6	MOLEC SCA6
SC7	MOLEC SCA7
SMA	MOLEC SPINAL MUSCULAR ATR
MTS	MOLEC TAY-SACHS DISEASE
BCQ	MOLECULAR BCR/ABL QUANT
MDB	MOLECULAR DNA BANKING
FRX	MOLECULAR FRAGILE X DNA
HCH	MOLECULAR HEMOCHROMATOSIS
MDY	MOLECULAR MYOTONIC DYSTRO
MON	MONO
MCP	MONOCLONAL PROTEIN
RBC	MORPHOLOGY LAB REFLEXED
N61	MOT PANEL
MRS	MRSA GX DNA PCR SCREEN
OXX	MRSA SCREEN CULTURE MASTR
OXS	MRSA SCREEN SENSITIVITY
OXR	MRSA SCREENING CULTURE
MAP	MSAFP SCREEN
MTR	MTHFR MUTATION ANALYSIS
RMS	MULTIPLE SCLEROSIS PANEL
RMM	MUMPS IGG AB
MUM	MUMPS TITER, IGM
VCM	MUMPS VIRAL CULTURE
VCU	MUMPS VIRAL CULTURE URINE
MUS	MUSCLE BIOPSY
MTB	MYCOBACTERIA DNA PROBE
MCA	MYCOPHENOLIC ACID
MPR	MYCOPLASMA PCR
MYT	MYCOPLASMA PNEUMONIAE IGG
MYC	MYCOPLASMA PNEUMONIAE,IGM
UCC	MYCOPLASMA/UREAPLASMA CLT
RB0	MYELIN ASSOCIATED GLYCOPR
RMB	MYELIN BASIC PROTEIN
MYL	MYELOMA BILL CYTOGEN
UMY	MYOGLOBIN SCREEN URINE
MYQ	MYOGLOBIN,QUANT, UR
NAD	NADH - DIAPHORASE
NAP	NAPA
NOC	NASAL (NOSE) CULTURE
NOX	NASAL (NOSE) CULTURE
NOS	NASAL SUSCEPTIBILITY
NPC	NASOPHARYNGEAL CULTURE
NPX	NASOPHARYNGEAL MASTER
NPS	NASOPHARYNGEAL SENSITIVIY
BCN	NEGATIVE BC FINAL
LST	NEOGEN WORKLIST ONLY
NDS	NEONATAL DRUG SC/REFERRED
NTH	NEONATAL THROMBOCYTOPENIA
NE1	NEPHROLOGY PHOS
NE6	NEPHROLOGY PROF
RBT	NEURL NUC(HU)AB RFX WB/TI
NSE	NEURON SPFC ENOLASE
DHR	NEUTROPHIL OXIDATIVE
RPR	NEW CODE FOR RPR
WNB	NEWBORN SCREEN-WASH.ST.
NBS	NEWBORN SCREENING
NIS	NICKEL, SERUM
NIC	NICKEL,24 HOUR URINE
NIU	NICOTINE AND COTININE, UR
UNI	NITRITE,URINE
NBT	NITROBLUE TETRAZOLIUM
MOD	NOCARDIA SCREEN
RA7	NORTHWEST INHALENT PANEL
NOR	NORTRIPTYLINE
RNO	NORTRIPTYLINE/REFERRED
NMP	NUCLEAR MATRIX PROTEIN 22
RNU	NUCLEOTIDASE
NUT	NUTRITION MASTER
OBP	OB A1C/FRUCTOSAMINE PANEL
OBC	OB STREP SCREEN
OBG	OB STREP SCREEN MASTER
OBS	OB STREP SCREEN SENSI
OH1	OCC HEALTH PANEL 1
OCB	OCCULT BLOOD -OTHER
OCG	OCCULT BLOOD, BODY FLUID
OPC	OHSU PAIN CLINIC DRUG SCR
ODX	ONCOTYPE DX
OPI	OPIATE SCREEN
IOP	OPIATES/OXYS UR CONFIRM
OAP	ORGANIC ACIDS, PLASMA
ROA	ORGANIC ACIDS-URINE
IOD	ORGANIC BASE DRUG CONF
OBD	ORGANIC BASE DRUG SCREEN
ORB	ORGANIC BASE WORKLIST
UOS	OSMOLALITY URINE
SOS	OSMOLALITY, SERUM
OSS	OSMOLALITY, STOOL
REK	OSMOTIC FRAGILITY-RBC
ROV	OVARIAN ANTIBODY
ROU	OXALATE URINE
TLP	OXCARBAZEPINE METAB
OXY	OXYCODONE SCREEN
O2S	OXYGEN STATUS
RAY	P24 ANTIBODY
RAX	P24 ANTIGEN
RDD	PANCREATIC POLYPEPTIDE
PLM	PAP LIQUID MONITOR
PLS	PAP LIQUID SCREEN
PAM	PAP SMEAR MONITOR
PAP	PAP SMEAR SCREEN
PWA	PAPER WASP IGE ALLERGEN
RPD	PARADIONE
PAC	PARANEOPLASTIC AUTOAB CSF
PAS	PARANEOPLASTIC AUTOAB SER
BPA	PARASITE EXAM - BLOOD
PAR	PARASITE EXAM COMPREHENSV
PXT	PAROXETINE (PAXIL)
PNH	PAROXYSMAL NOCT HEMOGLBUR
PBC	PARVOVIRUS B19 IGG AB
PGG	PARVOVIRUS B19 IGG AB
PGM	PARVOVIRUS B19 IGM AB
RPV	PARVOVIRUS B19 IGM AB
PVP	PARVOVIRUS B19, PCR
PRV	PATHOLOGIST REVIEW
REV	PB SMEAR INTERP
PEA	PEANUT IGE ALLERGEN
PEC	PECAN IGE ALLERGEN
PE2	PEDIATRIC ESTRADIOL
PFH	PEDIATRIC FSH
PLH	PEDIATRIC LH
RPM	PEMOLINE
RPJ	PENICILLIN G & V
RBR	PENTACHLOROPHENOL
RBS	PENTOBARBITAL
PPZ	PERPHENAZINE (TRILAFON)
PED	PERTUSSIS DFA
PCC	PERTUSSIS DNA, PCR
RDM	PERTUSSIS IGA/IGM
PER	PERTUSSIS SWAB CULTURE
ADP	PFT REFLEX ADP
BPH	PH, BODY FLUID
PPH	PH,PLEURAL FLUID
SPH	PH,STOOL
UPH	PH,URINE
RPG	PHAGOCYTOSIS ASSAY
RPH	PHENACEMIDE
IPH	PHENCYCLIDINE CONFIRM UR
PHE	PHENOBARBITAL
SPL	PHENOLPHTHALEIN,STOOL
RPX	PHENSUXIMIDE
PHL	PHENYLALANINE, OPHL STUDY
PNY	PHENYLALANINE, PLASMA
PTN	PHENYTOIN
VNP	PHLEBOTOMY DRAW
PHO	PHOSPHORUS
UPO	PHOSPHORUS URINE
RPO	PHOSPHORUS URINE RANDOM
PTA	PHYTANIC ACID
PAL	PINE NUT IGE ALLERGEN
PIN	PINWORM PREP
PST	PISTACHIO IGE ALLERGEN
RA2	PLACENTAL LACTOGEN (HPL)
PAI	PLASMINOGEN ACT INHIB
RA8	PLASMINOGEN ACTIVITY
RDQ	PLATELET ANTIBODY SCREEN
PFT	PLATELET FUNCTION TEST
PDI	PLT AB'S DIRECT/INDIRECT
PLT	PLT COUNT ONLY
PMA	PM SCL ANTIBODY
PCT	POC ACT CLOTTING TIME
PBG	POC BLOOD GASES ARTERIAL
PCG	POC BLOOD GASES CAP/MIXED
PVG	POC BLOOD GASES VENOUS
PBN	POC BUN
PCL	POC CHLORIDE
PCO	POC CO2
CAG	POC CORD BLD GAS ARTERIAL
CVG	POC CORD BLD GAS VENOUS
PCR	POC CREATININE
PEL	POC ELECTROLYTES
GPC	POC GLUCOSE BLOOD
PHT	POC HEMATOCRIT
PHG	POC HEMOGLOBIN
PIC	POC IONIZED CALCIUM
PLC	POC LACTATE
PMP	POC METABOLIC PANEL
PSK	POC POTASSIUM
PNA	POC SODIUM
RBB	POLIO AB 1-2-3
BFD	POLYETHEYLENE DEBRIS, BF
PQU	PORPHOBILINOGEN QUANT UR
PQS	PORPHOBILINOGEN SCREEN UR
SPO	PORPHYRIN QUAL,STOOL
RPU	PORPHYRIN QUANT 24 HR UR
UPP	PORPHYRIN QUANT RANDOM UR
POR	PORPHYRIN SCREEN, RBC
RPS	PORPHYRINS 24 HOUR STOOL
PFE	PORPHYRINS, FRAC, ERYTH
BCP	POSITIVE BC PANEL
SK	POTASSIUM
UK	POTASSIUM URINE
RUK	POTASSIUM URINE RANDOM
SKW	POTASSIUM WHOLE BLOOD
KST	POTASSIUM, STOOL
MPW	PRADER-WILLI METHYLATION
PMS	PRE-MARITAL SEROLOGY
PAB	PREALBUMIN
PIH	PREG HYPERTENS PROF
RAO	PREGNANEDIOL
PGN	PREGNANETRIOL
PNN	PREGNANETRIOL UR, PEDS
BPB	PRELIM MALARIA
PSC	PRENATAL AB SCREEN
MSA	PRENATAL SCREEN AFP ONLY
PTS	PRENATAL TYPE AND SCREEN
TRP	PRIMARY TRANSPLANT CHEM
PRI	PRIMIDONE/PHENOBARB
PRO	PROCAINAMIDE
PRR	PROCAINAMIDE/REFERRED
PNS	PRODUCT NO SPECIMEN
PRG	PROGESTERONE
RPF	PROINSULIN
PRL	PROLACTIN
APM	PROMETAPHASE ANALYSIS
IPR	PROPOXYPHENE CONFIRM UR
PC3	PROSTATE CA ANTIGEN 3, UR
RPC	PROTEIN C
RPN	PROTEIN S
RUP	PROTEIN URINE RANDOM
BFP	PROTEIN, BODY FLUID
CFP	PROTEIN, CSF
UPR	PROTEIN,TEST STRIP URINE
PTM	PROTHROMBIN GENE MUTATION
PT	PROTIME
PWB	PROTIME, WHOLE BLOOD
PTC	PROTIME/COUMADIN
RVV	PROTRIPTYLINE
PSM	PSA TOTAL MONITORING
PSA	PSA TOTAL, SCREEN
MPS	PSA, FREE PSA MASTER
PSU	PSA, ULTRASENSITIVE
COM	PT/APTT PANEL MASTER
CPH	PTH CYST FLUID
PTH	PTH INTACT
PIO	PTH INTRAOPERATIVE
PIA	PTH INTRAOPERATIVE ADD
RB9	PTH RELATED PROTEIN
PCA	PURKINJE CYTOPLASMIC AB
RPY	PYRUVATE KINASE
RQF	Q FEVER PHASE I AND II
N60	QUAD FERM
QTB	QUANTIFERON TB GOLD
QUI	QUINIDINE
QUR	QUINIDINE/REFERRED
RIN	R/O INFLUENZA
RAF	RA FACTOR SYNOVIAL FLUID
RTT	RABIES VIRUS ANTIBODY
RIC	RAJI CELL ASSAY
URM	RANDOM URINE MASTER
RMY	RAPAMYCIN (SIROLIMUS)
RIV	RAPID HIV TEST
RRC	RED CELL CHOLINESTERASE
RBD	RED CELL ENZYME
SRE	REDUCING SUBSTANCES,STOOL
RZZ	REFERRED TEST
RFN	RENAL FUNCTION PANEL
RRN	RENIN
MRA	RESPIRATORY AG PANEL
CFS	RESPIRATORY CULT SENS (CF
SPT	RESPIRATORY CULTURE
SPX	RESPIRATORY CULTURE MASTR
SPS	RESPIRATORY CULTURE SENS
PRA	RESPIRATORY DFA
JF	RESPIRATORY PRELIM 2
JG	RESPIRATORY PRELIM 3
RES	RESPIRATORY VIRAL CULTURE
ARE	RETIC AUTO
MRE	RETIC MANUAL
RA	RHEUMATOID FACTOR
RHI	RHIG (IF INDICATED)
RHX	RHIG ISSUE ONLY
D1	RHOGAM ISSUE
ARP	RIBOSOMAL P AB
RTN	RITALIN (METHYLPHENIDATE)
ROT	ROTAVIRUS
RSV	RSV (VIRUS)
RS	RSV/REFERRED
RUB	RUBELLA IGG AB STATUS
RRM	RUBELLA IGM
RUG	RUBEOLA IGG AB
RDN	RUBEOLA IGM SPECIFIC
RPK	S PNEUMONIAE IGG AB PANEL
SAP	SA MRSA PCR BILL PANEL
SLM	SALEM PANEL (SALEM ONLY)
SAL	SALICYLATE
SMT	SALMONELLA TITER
SCA	SCABIES/MITE EXAM
RSA	SCL-70 (SCLERODERMA AB)
MSQ	SECOND TRIMESTER SCREEN
SED	SED RATE
RSL	SELENIUM
RBH	SELENIUM URINE
MEN	SEMEN ANALYSIS 2ND PART
SEM	SEMEN ANALYSIS FIRST PART
SAC	SEMEN ANALYSIS, COMPLETE
SPV	SEMEN ANALYSIS, POSTVAS.
SPE	SER PROT ELECTROPHORESIS
SES	SEROTONIN, BLOOD
SRT	SERTRALINE
SIM	SERUM IMMUNOFIXATION
RBI	SEX HORMONE BINDING GLOBN
SEZ	SEZARY CELLS TRACKING
N70	SHIGATOXIN
SHA	SHRIMP IGE ALLERGEN
RSI	SIA/SBA PEAK
RSB	SIA/SBA TROUGH
SC	SICKLE CELL SCREEN
SIL	SILICONE ANTIBODIES
REH	SINGLE AMINO ACID QT PLAS
SIN	SINUS CULTURE
SIX	SINUS CULTURE MASTER
SIG	SINUS GRAM STAIN
SIS	SINUS SUSCEPTIBILITY
RSJ	SJOGRENS ANTIBODIES
SLI	SLIDE FOR OFFICE
SMF	SMITH-MAGENIS FISH
NFG	SNF FASTING GLUCOSE
NRG	SNF RANDOM GLUCOSE
NA	SODIUM
UNA	SODIUM URINE
RNA	SODIUM URINE RANDOM
NAW	SODIUM WHOLE BLOOD
NAS	SODIUM, STOOL
RBJ	SOMA
SYA	SOYBEAN IGE ALLERGEN
ASS	SPECIAL STAIN
USG	SPECIFIC GRAVITY,URINE
RSP	SPERM ANTIBODIES
IUI	SPERM WASH -- IUI
SPM	SPORDI MASTER
SHO	SPUN HCT ONLY
SPG	SPUTUM GRAM STAIN
AO	STAIN, ACRIDINE ORANGE
II	STAIN,INDIA INK
PNE	STAIN,PNEUMOCYSTIS
SSG	STAPH CULTURE GRAM STAIN
SSC	STAPH SCREEN CULTURE
SSX	STAPH SCREEN MASTER
SSS	STAPH SCREEN SENSITIVITY
RBK	STELAZINE
STE	STERILITY CULTURE
STX	STERILITY CULTURE MASTER
FIO	STL OCC BLD, IA OUTREACH
STL	STOOL CULTURE
SCD	STOOL CULTURE MASTER
SCS	STOOL SENSITIVITY
RSD	STORAGE DISEASE WORKUP
SPC	STREP B,OB,DNA,PCR,REFLEX
RST	STREP TEST,RAPID
ASO	STREPTOCOCCAL AB SCREEN
RSR	STRIATED MUSCLE AB
RSE	STYRENE EXPOSURE PROFILE
SUB	SUBSTANCE ANALYSIS
RSF	SULFADIAZINE
STA	SULFATIDE ANTIBODY
SLF	SULFONYLUREAS SCREEN
SMM	SURF MARK TRACKING,BM
TSM	SURF MARK TRK, TISSUE/BF
RTB	SURFACE MARKER TRACKING
TB	SUSCEPTIBILITY TB
SWT	SWEAT CHLORIDE
SHL	SYNERGY HI-LO RESISTANCE
STK	SYNERGY TIME KILL 1-2 DRG
SYP	SYPHILIS SEROLOGY
SYR	SYRINGE ANALYSIS
TCC	T CELL CLONALITY BY PCR
RF3	T3 FREE, TRACER DIALYSIS
REE	TAY SACHS CARRIER,SERUM
TSL	TAY-SACHS CARRIER WB
RGD	TBI IMMUNOGLOBULIN
T2C	TEST CK/TRO MASTER
22K	TESTING CK
XXY	TESTING LATE
22M	TESTING MASTER CK/TRO
XXZ	TESTING OUTSTANDING
22T	TESTING TRO
TES	TESTOSTERONE
RFT	TESTOSTERONE,FREE & TOTAL
RTE	TETANUS ANTITOXOID AB
RTL	THALLIUM, BLOOD
RTU	THALLIUM, URINE
THC	THC QUANTITATIVE
TQM	THC/CR MASTER PANEL
THE	THEOPHYLLINE
THI	THIOCYANATE
THM	THIOPURINE METABOLITES
RTZ	THIORIDAZINE
RNV	THIOTHIXENE (NAVANE)
TRC	THROAT CULTURE COMPLETE
TRM	THROAT CULTURE COMPLETE
TRS	THROAT SUSCEPTIBILITY
TCT	THROMBIN CLOTTING TIME
THY	THYROGLOBULIN
ATA	THYROGLOBULIN ANTIBODY
TCF	THYROGLOBULIN CYST FLUID
MAB	THYROID PEROXIDASE AB
RTS	THYROID STIM IMMUNOGLOB
RTH	THYROXINE BINDING GLOBULN
TIA	TIAGABINE
EMA	TIS TRANSGLUTAMINASE IGA
TTG	TIS TRANSGLUTAMINASE IGG
TSS	TISSUE CULT SENSITIVITY
TSU	TISSUE CULTURE
TSX	TISSUE CULTURE MASTER
TIG	TISSUE GRAM STAIN
TIF	TISSUE IMMUNOFLUORESCENCE
TOP	TOBRAMYCIN PEAK
TOB	TOBRAMYCIN RANDOM
TOT	TOBRAMYCIN TROUGH
TOC	TOCAINIDE
TMX	TOPIRAMATE (TOPOMAX)
TOR	TORCH NEONATAL INF. GRP
TFP	TOTAL & FREE PSA
TBB	TOTAL BILIRUBIN BABY
TNC	TOTAL NUCLEATED CELL CT
TP	TOTAL PROTEIN
TT3	TOTAL T3
TID	TOX ID MASTER PANEL
TOX	TOXICOLOGY MASTER PANEL
TAM	TOXOPLASMA IGM
TGM	TOXOPLASMA IGM
TSF	TOXOPLASMOSIS CSF
TAI	TOXOPLASMOSIS IGG
TLT	TOXOPLASMOSIS LOW TITER
C12	TRACKING CSF CYTOLOGY
C10	TRACKING FNA,NON-GYN CYTO
GYN	TRACKING GYN CYTOLOGY
STR	TRACKING PATHOLOGY, SURG
C03	TRACKING URINE CYTOLOGY
TRN	TRANSFERRIN
TRX	TRANSFUSION RX WORKUP
TRA	TRANXENE
REM	TRAZODONE
TPA	TREPONEMA PALLIDUM IGM
TYS	TRICH,YEAST AND BV EXAM
RTR	TRICHINELLA ANTIBODY
TAU	TRICHLORACETIC ACID, UR
ITC	TRICYCLIC CONFIRM UR
RTD	TRIDIONE
TRI	TRIGLYCERIDES NONFASTING
BTR	TRIGLYCERIDES, BODY FLUID
TRF	TRIGLYCERIDES-FASTING
RRT	TRIHEXYPHENIDYL
RT3	TRIIODOTHYRONINE
RBL	TRIMIPRAMINE
TRO	TROPONIN-I
RTY	TRYPSIN STOOL QUALITATIVE
TRY	TRYPSIN, SERUM
TPT	TRYPTASE
RAZ	TRYPTOPHAN
RAI	TRYPTOPHAN, URINE
TSH	TSH
TSR	TSH REFLEX FREE T4
TXM	TYPE AND CROSSMATCH
TSC	TYPE AND SCREEN
U5	UA (CHEMSTRIP ONLY)
U1	UA (CULTURE IF INDICATED)
UZ1	UA MASTER (CULT IF IND)
U2	UA MICROSCOPIC
