"icd","ccs","ccsdesc","icddesc","icdvers"
"3459","42","OR respirato","OTHER PLEURAL EXCISION","ICD-9-CM"
"346","42","OR respirato","SCARIFICATION OF PLEURA","ICD-9-CM"
"3471","41","n-OR respira","SUTURE CHEST WALL LACER","ICD-9-CM"
"3472","41","n-OR respira","THORACOSTOMY CLOSURE","ICD-9-CM"
"3473","42","OR respirato","CLOS THORACIC FISTUL NEC","ICD-9-CM"
"3474","42","OR respirato","PECTUS DEFORMITY REPAIR","ICD-9-CM"
"3479","42","OR respirato","OTHER CHEST WALL REPAIR","ICD-9-CM"
"3481","42","OR respirato","EXCISE DIAPHRAGM LESION","ICD-9-CM"
"3482","42","OR respirato","SUTURE DIAPHRAGM LACERAT","ICD-9-CM"
"3483","42","OR respirato","CLOSE DIAPHRAGM FISTULA","ICD-9-CM"
"3484","42","OR respirato","OTHER DIAPHRAGM REPAIR","ICD-9-CM"
"3485","42","OR respirato","IMPLANT DIAPHRA PACEMAKE","ICD-9-CM"
"3489","42","OR respirato","DIAPHRAGM OPERATION NEC","ICD-9-CM"
"3491","39","Thoracentesi","THORACENTESIS","ICD-9-CM"
"3492","41","n-OR respira","INJECT INTO THORAX CAVIT","ICD-9-CM"
"3493","42","OR respirato","REPAIR OF PLEURA","ICD-9-CM"
"3499","42","OR respirato","THORACIC OPERATION NEC","ICD-9-CM"
"3500","43","Heart valve","CLOSED VALVOTOMY NOS","ICD-9-CM"
"3501","43","Heart valve","CLOSED AORTIC VALVOTOMY","ICD-9-CM"
"3502","43","Heart valve","CLOSED MITRAL VALVOTOMY","ICD-9-CM"
"3503","43","Heart valve","CLOSED PULMON VALVOTOMY","ICD-9-CM"
"3504","43","Heart valve","CLOSED TRICUSP VALVOTOMY","ICD-9-CM"
"3505","43","Heart valve","Endovas repl aortc valve (Begin 2011)","ICD-9-CM"
"3506","43","Heart valve","Trnsapcl rep aortc valve (Begin 2011)","ICD-9-CM"
"3507","43","Heart valve","Endovas repl pulm valve (Begin 2011)","ICD-9-CM"
"3508","43","Heart valve","Trnsapcl repl pulm valve (Begin 2011)","ICD-9-CM"
"3509","43","Heart valve","Endovas repl uns hrt vlv (Begin 2011)","ICD-9-CM"
"3510","43","Heart valve","OPEN VALVULOPLASTY NOS","ICD-9-CM"
"3511","43","Heart valve","OPN AORTIC VALVULOPLASTY","ICD-9-CM"
"3512","43","Heart valve","OPN MITRAL VALVULOPLASTY","ICD-9-CM"
"3513","43","Heart valve","OPN PULMON VALVULOPLASTY","ICD-9-CM"
"3514","43","Heart valve","OPN TRICUS VALVULOPLASTY","ICD-9-CM"
"3520","43","Heart valve","REPLACE HEART VALVE NOS","ICD-9-CM"
"3521","43","Heart valve","REPLACE AORT VALV-TISSUE","ICD-9-CM"
"3522","43","Heart valve","REPLACE AORTIC VALVE NEC","ICD-9-CM"
"3523","43","Heart valve","REPLACE MITR VALV-TISSUE","ICD-9-CM"
"3524","43","Heart valve","REPLACE MITRAL VALVE NEC","ICD-9-CM"
"3525","43","Heart valve","REPLACE PULM VALV-TISSUE","ICD-9-CM"
"3526","43","Heart valve","REPLACE PULMON VALVE NEC","ICD-9-CM"
"3527","43","Heart valve","REPLACE TRIC VALV-TISSUE","ICD-9-CM"
"3528","43","Heart valve","REPLACE TRICUSP VALV NEC","ICD-9-CM"
"3531","49","Ot OR heart","PAPILLARY MUSCLE OPS","ICD-9-CM"
"3532","49","Ot OR heart","CHORDAE TENDINEAE OPS","ICD-9-CM"
"3533","49","Ot OR heart","ANNULOPLASTY","ICD-9-CM"
"3534","49","Ot OR heart","INFUNDIBULECTOMY","ICD-9-CM"
"3535","49","Ot OR heart","TRABECUL CARNEAE CORD OP","ICD-9-CM"
"3539","49","Ot OR heart","TISS ADJ TO VALV OPS NEC","ICD-9-CM"
"3541","49","Ot OR heart","ENLARGE EXISTING SEP DEF","ICD-9-CM"
"3542","49","Ot OR heart","CREATE SEPTAL DEFECT","ICD-9-CM"
"3550","49","Ot OR heart","PROSTH REP HRT SEPTA NOS","ICD-9-CM"
"3551","49","Ot OR heart","PROS REP ATRIAL DEF-OPN","ICD-9-CM"
"3552","49","Ot OR heart","PROS REPAIR ATRIA DEF-CL","ICD-9-CM"
"3553","49","Ot OR heart","PROST REPAIR VENTRIC DEF","ICD-9-CM"
"3554","49","Ot OR heart","PROS REP ENDOCAR CUSHION","ICD-9-CM"
"3555","49","Ot OR heart","PROS REP VENTRC DEF-CLOS (Begin 2006)","ICD-9-CM"
"3560","49","Ot OR heart","GRFT REPAIR HRT SEPT NOS","ICD-9-CM"
"3561","49","Ot OR heart","GRAFT REPAIR ATRIAL DEF","ICD-9-CM"
"3562","49","Ot OR heart","GRAFT REPAIR VENTRIC DEF","ICD-9-CM"
"3563","49","Ot OR heart","GRFT REP ENDOCAR CUSHION","ICD-9-CM"
"3570","49","Ot OR heart","HEART SEPTA REPAIR NOS","ICD-9-CM"
"3571","49","Ot OR heart","ATRIA SEPTA DEF REP NEC","ICD-9-CM"
"3572","49","Ot OR heart","VENTR SEPTA DEF REP NEC","ICD-9-CM"
"3573","49","Ot OR heart","ENDOCAR CUSHION REP NEC","ICD-9-CM"
"3581","49","Ot OR heart","TOT REPAIR TETRAL FALLOT","ICD-9-CM"
"3582","49","Ot OR heart","TOTAL REPAIR OF TAPVC","ICD-9-CM"
"3583","49","Ot OR heart","TOT REP TRUNCUS ARTERIOS","ICD-9-CM"
"3584","49","Ot OR heart","TOT COR TRANSPOS GRT VES (Begin 1988)","ICD-9-CM"
"3591","49","Ot OR heart","INTERAT VEN RETRN TRANSP","ICD-9-CM"
"3592","49","Ot OR heart","CONDUIT RT VENT-PUL ART","ICD-9-CM"
"3593","49","Ot OR heart","CONDUIT LEFT VENTR-AORTA","ICD-9-CM"
"3594","49","Ot OR heart","CONDUIT ARTIUM-PULM ART","ICD-9-CM"
"3595","49","Ot OR heart","HEART REPAIR REVISION","ICD-9-CM"
"3596","43","Heart valve","PERC HEART VALVULOPLASTY (Begin 1986)","ICD-9-CM"
"3597","43","Heart valve","Perc mtrl vlv repr w imp (Begin 2010)","ICD-9-CM"
"3598","49","Ot OR heart","OTHER HEART SEPTA OPS","ICD-9-CM"
"3599","43","Heart valve","OTHER HEART VALVE OPS","ICD-9-CM"
"3600","49","Ot OR heart","REM OBSTR NOS (Begin 1986 End 1991)","ICD-9-CM"
"3601","45","PTCA","PTCA-1 VESSEL W/O AGENT (Begin 1986 End 2005)","ICD-9-CM"
"3602","45","PTCA","PTCA-1 VESSEL WITH AGNT (Begin 1986 End 2005)","ICD-9-CM"
"3603","49","Ot OR heart","OPEN CORONRY ANGIOPLASTY (Begin 1986)","ICD-9-CM"
"3604","46","Thrombolysis","INTRCORONRY THROMB INFUS (Begin 1986)","ICD-9-CM"
"3605","45","PTCA","PTCA-MULTIPLE VESSEL (Begin 1986 End 2005)","ICD-9-CM"
"3606","63","n-OR CV prs","INSERT CORON ART STENT (Begin 1995)","ICD-9-CM"
"3607","63","n-OR CV prs","INSERT DRUG-ELUTING CRNRY ARTRY STNTS (Begin 2002)","ICD-9-CM"
"3609","49","Ot OR heart","(OTH)REM COR ART OBST(NEC) (Begin 1986)","ICD-9-CM"
"3610","44","CABG","AORTOCORONARY BYPASS NOS","ICD-9-CM"
"3611","44","CABG","AORTOCOR BYPAS-1 COR ART","ICD-9-CM"
"3612","44","CABG","AORTOCOR BYPAS-2 COR ART","ICD-9-CM"
"3613","44","CABG","AORTOCOR BYPAS-3 COR ART","ICD-9-CM"
"3614","44","CABG","AORTCOR BYPAS-4+ COR ART","ICD-9-CM"
"3615","44","CABG","1 INT MAM-COR ART BYPASS","ICD-9-CM"
"3616","44","CABG","2 INT MAM-COR ART BYPASS","ICD-9-CM"
"3617","44","CABG","ABD-CORON ART BYPASS (Begin 1996)","ICD-9-CM"
"3619","44","CABG","HRT REVAS BYPS ANAS NEC","ICD-9-CM"
"362","44","CABG","ARTERIAL IMPLANT REVASC","ICD-9-CM"
"363","44","CABG","HEART REVASCULARIZAT NEC (End 1998)","ICD-9-CM"
"3631","44","CABG","OPEN CHEST TRANSMYO REVASC (Begin 1998)","ICD-9-CM"
"3632","44","CABG","OTH TRANSMYO REVASC (Begin 1998)","ICD-9-CM"
"3633","44","CABG","ENDO TRANSMYO REVASCULAR (Begin 2006)","ICD-9-CM"
"3634","44","CABG","PERC TRANSMYO REVASCULAR (Begin 2006)","ICD-9-CM"
"3639","44","CABG","OTHER HEART REVASC (Begin 1998)","ICD-9-CM"
"3691","49","Ot OR heart","CORON VESS ANEURYSM REP","ICD-9-CM"
"3699","49","Ot OR heart","HEART VESSEL OP NEC","ICD-9-CM"
"370","63","n-OR CV prs","PERICARDIOCENTESIS","ICD-9-CM"
"3710","49","Ot OR heart","INCISION OF HEART NOS","ICD-9-CM"
"3711","49","Ot OR heart","CARDIOTOMY","ICD-9-CM"
"3712","49","Ot OR heart","PERICARDIOTOMY","ICD-9-CM"
"3720","62","Ot Dx CV prs","NONINVAS ELECT STIMULATN (Begin 2006)","ICD-9-CM"
"3721","47","Cardiac cath","RT HEART CARDIAC CATH","ICD-9-CM"
"3722","47","Cardiac cath","LEFT HEART CARDIAC CATH","ICD-9-CM"
"3723","47","Cardiac cath","RT/LEFT HEART CARD CATH","ICD-9-CM"
"3724","62","Ot Dx CV prs","PERICARDIAL BIOPSY","ICD-9-CM"
"3725","62","Ot Dx CV prs","CARDIAC BIOPSY","ICD-9-CM"
"3726","62","Ot Dx CV prs","CARDIAC ELECTROPHY STIM (Begin 1988)","ICD-9-CM"
"3727","62","Ot Dx CV prs","CARDIAC MAPPING (Begin 1988)","ICD-9-CM"
"3728","62","Ot Dx CV prs","INTRACARDIAC ECHOCARDIOGRAPHY (Begin 2001)","ICD-9-CM"
"3729","62","Ot Dx CV prs","HRT/PERICAR DX PROC NEC","ICD-9-CM"
"3731","49","Ot OR heart","PERICARDIECTOMY","ICD-9-CM"
"3732","49","Ot OR heart","HEART ANEURYSM EXCISION","ICD-9-CM"
"3733","49","Ot OR heart","EXC(/DEST) OTH HRT LESION (Begin 1988)","ICD-9-CM"
"3734","49","Ot OR heart","CATH ABLATION LES HEART (Begin 1988)","ICD-9-CM"
"3735","49","Ot OR heart","PARTIAL VENTRICULECTOMY (Begin 1997)","ICD-9-CM"
"3736","49","Ot OR heart","EXC LEFT ATRIAL APPENDAG (Begin 2008)","ICD-9-CM"
"3737","49","Ot OR heart","Exc/dest hrt les thrspc (Begin 2010)","ICD-9-CM"
"374","49","Ot OR heart","HEART & PERICARD REPAIR","ICD-9-CM"
"3741","49","Ot OR heart","IMPL CARDIAC SUPPORT DEV (Begin 2005)","ICD-9-CM"
"3749","49","Ot OR heart","HEART/PERICARD REPR NEC (Begin 2005)","ICD-9-CM"
"375","176","Ot orgn tran","HEART TRANSPLANTATION (End 2003)","ICD-9-CM"
"3751","176","Ot orgn tran","HEART TRANSPLANTATION (Begin 2003)","ICD-9-CM"
"3752","49","Ot OR heart","IMPLANTATION OF TOTAL REPLACEMENT HEART SYST (Begin 2003)","ICD-9-CM"
"3753","49","Ot OR heart","REPLACEMENT OR REPAIR OF THORACIC UNIT OF TO (Begin 2003)","ICD-9-CM"
"3754","49","Ot OR heart","REPLACEMENT OR REPAIR OF OTHER IMPLANTABLE C (Begin 2003)","ICD-9-CM"
"3755","49","Ot OR heart","REM INT BIVENT HRT SYS (Begin 2008)","ICD-9-CM"
"3760","49","Ot OR heart","IMP BIVN EXT HRT AST SYS (Begin 2008)","ICD-9-CM"
"3761","49","Ot OR heart","PULSATION BALLOON IMPLAN","ICD-9-CM"
"3762","49","Ot OR heart","IMPLANT HRT ASST SYS NEC","ICD-9-CM"
"3763","49","Ot OR heart","REPLACE HRT ASSIST SYST","ICD-9-CM"
"3764","49","Ot OR heart","REMOVE HEART ASSIST SYS","ICD-9-CM"
"3765","49","Ot OR heart","IMPL EXTERN HEART ASSIST (Begin 1995)","ICD-9-CM"
"3766","49","Ot OR heart","IMPL INTERN HEART ASSIST (Begin 1995)","ICD-9-CM"
"3767","49","Ot OR heart","IMPLANT CARDIOMYOSTIM SYS (Begin 1998)","ICD-9-CM"
"3768","49","Ot OR heart","PERCUTAN HRT ASSIST SYST (Begin 2004)","ICD-9-CM"
"3770","48","Pacemaker","INT INSERT PACEMAK LEAD (Begin 1987)","ICD-9-CM"
"3771","48","Pacemaker","INT INSERT LEAD IN VENT (Begin 1987)","ICD-9-CM"
"3772","48","Pacemaker","INT INSER LEAD ATRI-VENT (Begin 1987)","ICD-9-CM"
"3773","48","Pacemaker","INT INSER LEAD IN ATRIUM (Begin 1987)","ICD-9-CM"
"3774","48","Pacemaker","INT OR REPL LEAD EPICAR (Begin 1987)","ICD-9-CM"
"3775","48","Pacemaker","REVISION OF LEAD (Begin 1987)","ICD-9-CM"
"3776","48","Pacemaker","REPL TV ATRI-VENT LEAD (Begin 1987)","ICD-9-CM"
"3777","48","Pacemaker","REMOVAL OF LEAD W/O REPL (Begin 1987)","ICD-9-CM"
"3778","48","Pacemaker","INSER TEMP PACEMAKER SYS (Begin 1987)","ICD-9-CM"
"3779","48","Pacemaker","REVIS OR RELOCATE POCKET (Begin 1987)","ICD-9-CM"
"3780","48","Pacemaker","INT OR REPL PERM PACEMKR (Begin 1987)","ICD-9-CM"
"3781","48","Pacemaker","INT INSERT 1-CHAM; NON (Begin 1987)","ICD-9-CM"
"3782","48","Pacemaker","INT INSERT 1-CHAM; RATE (Begin 1987)","ICD-9-CM"
"3783","48","Pacemaker","INT INSERT DUAL-CHAM DEV (Begin 1987)","ICD-9-CM"
"3785","48","Pacemaker","REPL PACEM W 1-CHAM; NON (Begin 1987)","ICD-9-CM"
"3786","48","Pacemaker","REPL PACEM 1-CHAM; RATE (Begin 1987)","ICD-9-CM"
"3787","48","Pacemaker","REPL PACEM W DUAL-CHAM (Begin 1987)","ICD-9-CM"
"3789","48","Pacemaker","REVISE OR REMOVE PACEMAK (Begin 1987)","ICD-9-CM"
"3790","49","Ot OR heart","INS LEFT ATR APPEND DEV (Begin 2004)","ICD-9-CM"
"3791","49","Ot OR heart","OPN CHEST CARDIAC MASSAG","ICD-9-CM"
"3792","63","n-OR CV prs","INJECTION INTO HEART","ICD-9-CM"
"3793","63","n-OR CV prs","INJECTION INTO PERICARD","ICD-9-CM"
"3794","48","Pacemaker","IMPLT/REPL CARDDEFIB TOT (Begin 1986)","ICD-9-CM"
"3795","48","Pacemaker","IMPLT CARDIODEFIB LEADS (Begin 1986)","ICD-9-CM"
"3796","48","Pacemaker","IMPLT CARDIODEFIB GENATR (Begin 1986)","ICD-9-CM"
"3797","48","Pacemaker","REPL CARDIODEFIB LEADS (Begin 1986)","ICD-9-CM"
"3798","48","Pacemaker","REPL CARDIODEFIB GENRATR (Begin 1986)","ICD-9-CM"
"3799","49","Ot OR heart","OTHER HEART/PERICARD OPS","ICD-9-CM"
"3800","61","Ot vessels","INCISION OF VESSEL NOS","ICD-9-CM"
"3801","59","Vesl hed/nck","INTRACRAN VESSEL INCIS","ICD-9-CM"
"3802","59","Vesl hed/nck","HEAD/NECK VES INCIS NEC","ICD-9-CM"
"3803","61","Ot vessels","UPPER LIMB VESSEL INCIS","ICD-9-CM"
"3804","61","Ot vessels","INCISION OF AORTA","ICD-9-CM"
"3805","61","Ot vessels","THORACIC VESSEL INC NEC","ICD-9-CM"
"3806","61","Ot vessels","ABDOMEN ARTERY INCISION","ICD-9-CM"
"3807","61","Ot vessels","ABDOMINAL VEIN INCISION","ICD-9-CM"
"3808","60","Vessel leg","EMBOLECTOMY LEG VESSEL","ICD-9-CM"
"3809","61","Ot vessels","LOWER LIMB VEIN INCISION","ICD-9-CM"
"3810","61","Ot vessels","ENDARTERECTOMY NOS","ICD-9-CM"
"3811","51","Endarterecto","ENDARTER INTRACRANIAL","ICD-9-CM"
"3812","51","Endarterecto","HEAD & NECK ENDARTER NEC","ICD-9-CM"
"3813","61","Ot vessels","UPPER LIMB ENDARTERECTOM","ICD-9-CM"
"3814","61","Ot vessels","ENDARTERECTOMY OF AORTA","ICD-9-CM"
"3815","61","Ot vessels","THORACIC ENDARTERECTOMY","ICD-9-CM"
"3816","61","Ot vessels","ABDOMINAL ENDARTERECTOMY","ICD-9-CM"
"3818","60","Vessel leg","ENDARTERECTOMY LEG VESL","ICD-9-CM"
"3821","62","Ot Dx CV prs","BLOOD VESSEL BIOPSY","ICD-9-CM"
"3822","62","Ot Dx CV prs","PERCUTANEOUS ANGIOSCOPY (Begin 1986)","ICD-9-CM"
"3823","226","Ot Dx rad","INTRAVASCLR SPECTROSCOPY (Begin 2008)","ICD-9-CM"
"3824","226","Ot Dx rad","Intravas img cor ves OCT (Begin 2009)","ICD-9-CM"
"3825","226","Ot Dx rad","Intravas img non-cor OCT (Begin 2009)","ICD-9-CM"
"3826","62","Ot Dx CV prs","Insrt prsr snsr w/o lead (Begin 2011)","ICD-9-CM"
"3829","62","Ot Dx CV prs","BLOOD VESSEL DX PROC NEC","ICD-9-CM"
"3830","61","Ot vessels","VESSEL RESECT/ANAST NOS","ICD-9-CM"
"3831","59","Vesl hed/nck","INTRACRAN VES RESEC-ANAS","ICD-9-CM"
"3832","59","Vesl hed/nck","HEAD/NECK VES RESEC-ANAS","ICD-9-CM"
"3833","61","Ot vessels","ARM VESSEL RESECT/ANAST","ICD-9-CM"
"3834","52","Aort resect","AORTA RESECTION & ANAST","ICD-9-CM"
"3835","61","Ot vessels","THOR VESSEL RESECT/ANAST","ICD-9-CM"
"3836","61","Ot vessels","ABD VESSEL RESECT/ANAST","ICD-9-CM"
"3837","61","Ot vessels","ABD VEIN RESECT & ANAST","ICD-9-CM"
"3838","61","Ot vessels","LEG ARTERY RESECT/ANAST","ICD-9-CM"
"3839","61","Ot vessels","LEG VEIN RESECT/ANASTOM","ICD-9-CM"
"3840","61","Ot vessels","VESSEL RESECT/REPLAC NOS","ICD-9-CM"
"3841","59","Vesl hed/nck","INTRACRAN VES RESEC-REPL","ICD-9-CM"
"3842","59","Vesl hed/nck","HEAD/NECK VES RESEC-REPL","ICD-9-CM"
"3843","61","Ot vessels","ARM VES RESECT W REPLACE","ICD-9-CM"
"3844","52","Aort resect","RESECT ABDM AORTA W REPL (Begin 1986)","ICD-9-CM"
"3845","61","Ot vessels","RESECT THORAC VES W REPL (Begin 1986)","ICD-9-CM"
"3846","61","Ot vessels","ABD ARTERY RESEC W REPLA","ICD-9-CM"
"3847","61","Ot vessels","ABD VEIN RESECT W REPLAC","ICD-9-CM"
"3848","61","Ot vessels","LEG ARTERY RESEC W REPLA","ICD-9-CM"
"3849","61","Ot vessels","LEG VEIN RESECT W REPLAC","ICD-9-CM"
"3850","61","Ot vessels","VARICOSE V LIG-STRIP NOS","ICD-9-CM"
"3851","59","Vesl hed/nck","INTCRAN VAR V LIG-STRIP","ICD-9-CM"
"3852","59","Vesl hed/nck","HEAD/NECK VAR V LIG-STR","ICD-9-CM"
"3853","61","Ot vessels","ARM VARICOSE V LIG-STRIP","ICD-9-CM"
"3855","61","Ot vessels","THORAC VAR V LIG-STRIP","ICD-9-CM"
"3857","61","Ot vessels","ABD VARICOS V LIGA-STRIP","ICD-9-CM"
"3859","53","Varic vein","LEG VARICOS V LIGA-STRIP","ICD-9-CM"
"3860","61","Ot vessels","EXCISION OF VESSEL NOS","ICD-9-CM"
"3861","59","Vesl hed/nck","INTRACRAN VESSEL EXCIS","ICD-9-CM"
"3862","59","Vesl hed/nck","HEAD/NECK VESSEL EXCIS","ICD-9-CM"
"3863","61","Ot vessels","ARM VESSEL EXCISION","ICD-9-CM"
"3864","52","Aort resect","EXCISION OF AORTA","ICD-9-CM"
"3865","61","Ot vessels","THORACIC VESSEL EXCISION","ICD-9-CM"
"3866","61","Ot vessels","ABDOMINAL ARTERY EXCIS","ICD-9-CM"
"3867","61","Ot vessels","ABDOMINAL VEIN EXCISION","ICD-9-CM"
"3868","61","Ot vessels","LEG ARTERY EXCISION","ICD-9-CM"
"3869","61","Ot vessels","LEG VEIN EXCISION","ICD-9-CM"
"387","61","Ot vessels","INTERRUPTION VENA CAVA","ICD-9-CM"
"3880","61","Ot vessels","SURG VESSEL OCCLUS NEC","ICD-9-CM"
"3881","59","Vesl hed/nck","OCCLUS INTRACRAN VES NEC","ICD-9-CM"
"3882","59","Vesl hed/nck","OCCLUS HEAD/NECK VES NEC","ICD-9-CM"
"3883","61","Ot vessels","OCCLUDE ARM VESSEL NEC","ICD-9-CM"
"3884","61","Ot vessels","OCCLUDE AORTA NEC","ICD-9-CM"
"3885","61","Ot vessels","OCCLUDE THORACIC VES NEC","ICD-9-CM"
"3886","61","Ot vessels","OCCLUDE ABD ARTERY NEC","ICD-9-CM"
"3887","61","Ot vessels","OCCLUDE ABD VEIN NEC","ICD-9-CM"
"3888","61","Ot vessels","OCCLUDE LEG ARTERY NEC","ICD-9-CM"
"3889","61","Ot vessels","OCCLUDE LEG VEIN NEC","ICD-9-CM"
"3891","54","Ot vasc cath","ARTERIAL CATHETERIZATION","ICD-9-CM"
"3892","54","Ot vasc cath","UMBILICAL VEIN CATH","ICD-9-CM"
"3893","54","Ot vasc cath","OTHER VENOUS CATH (NEC) (Begin 1989)","ICD-9-CM"
"3894","63","n-OR CV prs","VENOUS CUTDOWN","ICD-9-CM"
"3895","63","n-OR CV prs","VEN CATH RENAL DIALYSIS (Begin 1989)","ICD-9-CM"
"3897","54","Ot vasc cath","CV cath plcmt w guidance (Begin 2010)","ICD-9-CM"
"3898","231","Ot Rx procs","ARTERIAL PUNCTURE NEC","ICD-9-CM"
"3899","231","Ot Rx procs","VENOUS PUNCTURE NEC","ICD-9-CM"
"390","56","Ot vas byp","SYSTEMIC-PULM ART SHUNT","ICD-9-CM"
"391","56","Ot vas byp","INTRA-ABD VENOUS SHUNT","ICD-9-CM"
"3921","56","Ot vas byp","CAVAL-PULMON ART ANASTOM","ICD-9-CM"
"3922","56","Ot vas byp","AORTA-SUBCLV-CAROT BYPAS","ICD-9-CM"
"3923","56","Ot vas byp","INTRATHORACIC SHUNT NEC","ICD-9-CM"
"3924","56","Ot vas byp","AORTA-RENAL BYPASS","ICD-9-CM"
"3925","55","Peri vas byp","AORTA-ILIAC-FEMOR BYPASS","ICD-9-CM"
"3926","56","Ot vas byp","INTRA-ABDOMIN SHUNT NEC","ICD-9-CM"
"3927","57","AV fistula","DIALYSIS ARTERIOVENOSTOM","ICD-9-CM"
"3928","56","Ot vas byp","EXTRACRAN-INTRACR BYPASS (Begin 1991)","ICD-9-CM"
"3929","55","Peri vas byp","VASC SHUNT & BYPASS NEC","ICD-9-CM"
"3930","61","Ot vessels","SUTURE OF VESSEL NOS","ICD-9-CM"
"3931","61","Ot vessels","SUTURE OF ARTERY","ICD-9-CM"
"3932","61","Ot vessels","SUTURE OF VEIN","ICD-9-CM"
"3941","61","Ot vessels","POSTOP VASC OP HEM CONTR","ICD-9-CM"
"3942","57","AV fistula","REVIS REN DIALYSIS SHUNT","ICD-9-CM"
"3943","57","AV fistula","REMOV REN DIALYSIS SHUNT","ICD-9-CM"
"3949","61","Ot vessels","VASC PROC REVISION NEC","ICD-9-CM"
"3950","61","Ot vessels","ANGIOPLAST/ATHERECT (Begin 1995)","ICD-9-CM"
"3951","61","Ot vessels","CLIPPING OF ANEURYSM","ICD-9-CM"
"3952","61","Ot vessels","ANEURYSM REPAIR NEC","ICD-9-CM"
"3953","61","Ot vessels","ARTERIOVEN FISTULA REP","ICD-9-CM"
"3954","61","Ot vessels","RE-ENTRY OPERATION","ICD-9-CM"
"3955","61","Ot vessels","REIMPLAN ABERR RENAL VES","ICD-9-CM"
"3956","61","Ot vessels","REPAIR VESS W TIS PATCH","ICD-9-CM"
"3957","61","Ot vessels","REP VESS W SYNTH PATCH","ICD-9-CM"
"3958","61","Ot vessels","REPAIR VESS W PATCH NOS","ICD-9-CM"
"3959","61","Ot vessels","REPAIR OF VESSEL NEC","ICD-9-CM"
"3961","50","Extrcor circ","EXTRACORPOREAL CIRCULAT","ICD-9-CM"
"3962","50","Extrcor circ","HYPOTHERMIA W OPEN HEART","ICD-9-CM"
"3963","50","Extrcor circ","CARDIOPLEGIA","ICD-9-CM"
"3964","50","Extrcor circ","INTRAOP CARDIAC PACEMAK","ICD-9-CM"
"3965","50","Extrcor circ","EXTRACORPOREAL MEMB OXY (Begin 1988)","ICD-9-CM"
"3966","50","Extrcor circ","PER CARDIOPULMON BYPASS (Begin 1990)","ICD-9-CM"
"397","61","Ot vessels","PERIARTER SYMPATHECTOMY","ICD-9-CM"
"3971","52","Aort resect","ENDOVASCULAR IMPLANT IN ABDM AORTA (Begin 2000)","ICD-9-CM"
"3972","59","Vesl hed/nck","ENDOVAS REPAIR/OCCL HEAD & NECK VESSELS (Begin 2002)","ICD-9-CM"
"3973","52","Aort resect","ENDO IMP GRFT THOR AORTA (Begin 2005)","ICD-9-CM"
"3974","59","Vesl hed/nck","ENDO REM OBS HD/NECK VES (Begin 2006)","ICD-9-CM"
"3975","59","Vesl hed/nck","Endo emb hd/nk","ICD-9-CM"
"3976","59","Vesl hed/nck","Endo em hd/nk","ICD-9-CM"
"3977","61","Ot vessels","Temp endovsc occls vessl (Begin 2011)","ICD-9-CM"
"3978","52","Aort resect","Endovas impln grft aorta (Begin 2011)","ICD-9-CM"
"3979","61","Ot vessels","OTHER ENDOVASCULAR REPAIR OF ANEURYSM (Begin 2000)","ICD-9-CM"
"398","61","Ot vessels","VASCULAR BODY OPERATIONS (end 2010)","ICD-9-CM"
"3981","59","Vesl hed/nck","Imp crtd sinus stmtotl (Begin 2010)","ICD-9-CM"
"3982","59","Vesl hed/nck","Imp/rep crtd sinus lead (Begin 2010)","ICD-9-CM"
"3983","59","Vesl hed/nck","Imp/rep crtd sinus gnrtr (Begin 2010)","ICD-9-CM"
"3984","59","Vesl hed/nck","Rev crtd sinus stm leads (Begin 2010)","ICD-9-CM"
"3985","59","Vesl hed/nck","Rev crtd sinus pulse gen (Begin 2010)","ICD-9-CM"
"3986","59","Vesl hed/nck","Rem crtd sinus stm totl (Begin 2010)","ICD-9-CM"
"3987","59","Vesl hed/nck","Rem crtd sinus stm lead (Begin 2010)","ICD-9-CM"
"3988","59","Vesl hed/nck","Rem crtd sinus pulse gen (Begin 2010)","ICD-9-CM"
"3989","59","Vesl hed/nck","Oth cartd body/sinus op (Begin 2010)","ICD-9-CM"
"3990","61","Ot vessels","INSERT NONCOR ART STENT (Begin 1996)","ICD-9-CM"
"3991","61","Ot vessels","FREEING OF VESSEL","ICD-9-CM"
"3992","61","Ot vessels","VEIN INJECT-SCLEROS AGNT","ICD-9-CM"
"3993","57","AV fistula","INSERT VES-TO-VES CANNUL","ICD-9-CM"
"3994","61","Ot vessels","REPLAC VES-TO-VES CANNUL","ICD-9-CM"
"3995","58","Hemodialysis","HEMODIALYSIS","ICD-9-CM"
"3996","63","n-OR CV prs","TOTAL BODY PERFUSION","ICD-9-CM"
"3997","63","n-OR CV prs","OTHER PERFUSION","ICD-9-CM"
"3998","61","Ot vessels","HEMORRHAGE CONTROL NOS","ICD-9-CM"
"3999","61","Ot vessels","VESSEL OPERATION NEC","ICD-9-CM"
"400","67","Ot Rx hemic","INCIS LYMPHATIC STRUCTUR","ICD-9-CM"
"4011","67","Ot Rx hemic","LYMPHATIC STRUCT BIOPSY","ICD-9-CM"
"4019","67","Ot Rx hemic","LYMPHATIC DIAG PROC NEC","ICD-9-CM"
"4021","67","Ot Rx hemic","EXCIS DEEP CERVICAL NODE","ICD-9-CM"
"4022","67","Ot Rx hemic","EXCISE INT MAMMARY NODE","ICD-9-CM"
"4023","67","Ot Rx hemic","EXCISE AXILLARY NODE","ICD-9-CM"
